date,FCT_Demark_Ref_1@40
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,0.36550491510277067
2010-03-10,0.37112488928255133
2010-03-11,0.30276134122287995
2010-03-12,0.34479166666666694
2010-03-15,0.34623430962343127
2010-03-16,0.3391393442622955
2010-03-17,0.36570247933884364
2010-03-18,0.4141749723145074
2010-03-19,0.4046052631578948
2010-03-22,0.41896361631753054
2010-03-23,0.4309392265193372
2010-03-24,0.4346871569703622
2010-03-25,0.4551724137931032
2010-03-26,0.4602076124567472
2010-03-29,0.4575688073394493
2010-03-30,0.44935972060535473
2010-03-31,0.4594285714285712
2010-04-01,0.4679415073115862
2010-04-02,0.4738041002277906
2010-04-06,0.4785553047404066
2010-04-07,0.5332496863237141
2010-04-08,0.5657726692209453
2010-04-09,0.5728643216080405
2010-04-12,0.5906735751295338
2010-04-13,0.5825627476882433
2010-04-14,0.562585969738652
2010-04-15,0.5735694822888288
2010-04-16,0.6022889842632324
2010-04-19,0.599999999999999
2010-04-20,0.58567415730337
2010-04-21,0.5597014925373126
2010-04-22,0.5433436532507734
2010-04-23,0.5496183206106862
2010-04-26,0.575335519341702
2010-04-27,0.5745493553155031
2010-04-28,0.5124868929529097
2010-04-29,0.4726303026211458
2010-04-30,0.47005251496738215
2010-05-04,0.524124844088165
2010-05-05,0.5493667791734399
2010-05-06,0.577512839645739
2010-05-07,0.5710212130182876
2010-05-10,0.5145002531701909
2010-05-11,0.5117030114079413
2010-05-12,0.5258516661012945
2010-05-13,0.5539017597957487
2010-05-14,0.5385073159811109
2010-05-17,0.5021684174795432
2010-05-18,0.4448972256616813
2010-05-19,0.4322265760700562
2010-05-20,0.4244993723351594
2010-05-21,0.4148777836016889
2010-05-24,0.4367915548720686
2010-05-25,0.4397456132048232
2010-05-26,0.4370789920738263
2010-05-27,0.41911241718155245
2010-05-28,0.40287038123084745
2010-05-31,0.39670580020571405
2010-06-01,0.40510552606512434
2010-06-02,0.38442577581984455
2010-06-03,0.3804034278254759
2010-06-04,0.37407413982885285
2010-06-07,0.37642800620177785
2010-06-08,0.34765790521717477
2010-06-09,0.34900249185493015
2010-06-10,0.3407897208311709
2010-06-11,0.347870712458392
2010-06-17,0.3523152399509943
2010-06-18,0.37396746511201295
2010-06-21,0.39226217751931636
2010-06-22,0.42830381590543143
2010-06-23,0.42552095576648485
2010-06-24,0.4141683748134069
2010-06-25,0.402912621359223
2010-06-28,0.3985594237695074
2010-06-29,0.4129901960784309
2010-06-30,0.4396442185514609
2010-07-01,0.4238993710691821
2010-07-02,0.405194805194805
2010-07-05,0.4173027989821882
2010-07-06,0.3758668515950068
2010-07-07,0.36278447121820584
2010-07-08,0.4020771513353116
2010-07-09,0.42346208869814006
2010-07-12,0.43142857142857166
2010-07-13,0.43465909090909083
2010-07-14,0.42265193370165755
2010-07-15,0.4402877697841732
2010-07-16,0.5326797385620917
2010-07-19,0.5510204081632655
2010-07-20,0.5441860465116292
2010-07-21,0.5462962962962975
2010-07-22,0.5391849529780577
2010-07-23,0.5133966530702796
2010-07-26,0.5415432807538468
2010-07-27,0.5522955445184797
2010-07-28,0.5254772339144314
2010-07-29,0.5145324758867459
2010-07-30,0.5581530494776195
2010-08-02,0.5968936557685403
2010-08-03,0.6462900243844848
2010-08-04,0.6362915256860605
2010-08-05,0.6345965775891543
2010-08-06,0.6521294621869336
2010-08-09,0.6397536765585855
2010-08-10,0.6994223629545184
2010-08-11,0.6904889163645438
2010-08-12,0.6905504314383842
2010-08-13,0.6717205719206806
2010-08-16,0.6852739547026364
2010-08-17,0.6881515114964518
2010-08-18,0.6854379311222563
2010-08-19,0.6952591115717959
2010-08-20,0.6834115453803792
2010-08-23,0.6504157931715001
2010-08-24,0.6438336968119377
2010-08-25,0.6402286846073242
2010-08-26,0.6382603337259734
2010-08-27,0.6382603337259734
2010-08-30,0.6422898491245876
2010-08-31,0.6584429699834846
2010-09-01,0.6364037906219554
2010-09-02,0.632364781454495
2010-09-03,0.6153244492301867
2010-09-06,0.6240099840256715
2010-09-07,0.6344911630640009
2010-09-08,0.6503008810866948
2010-09-09,0.6601110581428205
2010-09-10,0.6010585055234607
2010-09-13,0.5908456263961549
2010-09-14,0.5927301612279586
2010-09-15,0.5884672845067552
2010-09-16,0.5883787333350262
2010-09-17,0.6077630234933593
2010-09-20,0.6033057851239654
2010-09-21,0.6528028933092215
2010-09-27,0.6666666666666654
2010-09-28,0.6991666666666655
2010-09-29,0.6886075949367075
2010-09-30,0.6483606557377039
2010-10-08,0.6236842105263147
2010-10-11,0.6246719160104973
2010-10-12,0.6635294117647045
2010-10-13,0.6541984732824417
2010-10-14,0.6572948328267466
2010-10-15,0.6348178137651813
2010-10-18,0.6203124999999993
2010-10-19,0.6188620420888532
2010-10-20,0.6213206046141598
2010-10-21,0.5850234009360366
2010-10-22,0.5913978494623645
2010-10-25,0.5927636643571966
2010-10-26,0.6212614310699335
2010-10-27,0.6277626241373354
2010-10-28,0.5986317217233477
2010-10-29,0.6012028704716619
2010-11-01,0.5816132609052811
2010-11-02,0.6074147409768054
2010-11-03,0.6074147409768054
2010-11-04,0.5894919771626274
2010-11-05,0.5899433872809973
2010-11-08,0.6491809449655123
2010-11-09,0.6650873891016579
2010-11-10,0.6650873891016579
2010-11-11,0.6815436488442527
2010-11-12,0.6720008495946831
2010-11-15,0.6210866204708234
2010-11-16,0.5738430107347862
2010-11-17,0.5994212623660293
2010-11-18,0.5639349461846607
2010-11-19,0.5518772848352864
2010-11-22,0.5532023347228912
2010-11-23,0.543736477683234
2010-11-24,0.5483546711416304
2010-11-25,0.5556053331099575
2010-11-26,0.5228584339204917
2010-11-29,0.5062341391983053
2010-11-30,0.46848729018878044
2010-12-01,0.47042082675649594
2010-12-02,0.48729889878167276
2010-12-03,0.5065761656648197
2010-12-06,0.5112101082146977
2010-12-07,0.47577503043581426
2010-12-08,0.4857776939278788
2010-12-09,0.47058157287558816
2010-12-10,0.4694152237782034
2010-12-13,0.47208032944119405
2010-12-14,0.4868595928439234
2010-12-15,0.4918872447419407
2010-12-16,0.5079566344485578
2010-12-17,0.4858974804761294
2010-12-20,0.4858974804761294
2010-12-21,0.45600920069005196
