underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
AG,2012-05-10,AG1209,6190.0,6140.0,6196.0,6082.0,0,259996.0,6166.0,6126.0,6166.0,33726.0,6473.0,5858.0,6190.0
AG,2012-05-11,AG1209,6110.0,6002.0,6115.0,6000.0,0,206804.0,6140.0,6056.0,6126.0,55020.0,6432.0,5819.0,6110.0
AG,2012-05-14,AG1209,6040.0,5976.0,6045.0,5960.0,0,207668.0,6002.0,5999.0,6056.0,57028.0,6358.0,5753.0,6040.0
AG,2012-05-15,AG1209,5895.0,5842.0,5910.0,5711.0,0,445150.0,5976.0,5813.0,5999.0,82238.0,6298.0,5699.0,5895.0
AG,2012-05-16,AG1209,5750.0,5647.0,5786.0,5643.0,0,599202.0,5842.0,5704.0,5813.0,108376.0,6103.0,5522.0,5750.0
AG,2012-05-17,AG1209,5705.0,5763.0,5787.0,5691.0,0,558288.0,5647.0,5748.0,5704.0,89738.0,5989.0,5418.0,5705.0
AG,2012-05-18,AG1209,5808.0,5863.0,5881.0,5768.0,0,695576.0,5763.0,5827.0,5748.0,92162.0,6035.0,5460.0,5808.0
AG,2012-05-21,AG1209,5957.0,5940.0,5964.0,5903.0,0,405766.0,5863.0,5932.0,5827.0,97686.0,6118.0,5535.0,5957.0
AG,2012-05-22,AG1209,5920.0,5890.0,5930.0,5882.0,0,371088.0,5940.0,5903.0,5932.0,90716.0,6228.0,5635.0,5920.0
AG,2012-05-23,AG1209,5800.0,5791.0,5818.0,5759.0,0,300170.0,5890.0,5791.0,5903.0,90202.0,6198.0,5607.0,5800.0
AG,2012-05-24,AG1209,5785.0,5832.0,5838.0,5766.0,0,301270.0,5791.0,5804.0,5791.0,85938.0,6080.0,5501.0,5785.0
AG,2012-05-25,AG1209,5858.0,5904.0,5912.0,5804.0,0,420278.0,5832.0,5849.0,5804.0,92544.0,6094.0,5513.0,5858.0
