date,Amihud@120
2012-05-10,
2012-05-11,
2012-05-14,
2012-05-15,
2012-05-16,
2012-05-17,
2012-05-18,
2012-05-21,
2012-05-22,
2012-05-23,
2012-05-24,
2012-05-25,
2012-05-28,
2012-05-29,
2012-05-30,
2012-05-31,
2012-06-01,
2012-06-04,
2012-06-05,
2012-06-06,
2012-06-07,
2012-06-08,
2012-06-11,
2012-06-12,
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-18,
2012-06-19,
2012-06-20,
2012-06-21,
2012-06-25,
2012-06-26,
2012-06-27,
2012-06-28,
2012-06-29,
2012-07-02,
2012-07-03,
2012-07-04,
2012-07-05,
2012-07-06,
2012-07-09,
2012-07-10,
2012-07-11,
2012-07-12,
2012-07-13,
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-20,
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-27,
2012-08-28,
2012-08-29,
2012-08-30,
2012-08-31,
2012-09-03,
2012-09-04,
2012-09-05,
2012-09-06,
2012-09-07,
2012-09-10,
2012-09-11,
2012-09-12,
2012-09-13,
2012-09-14,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-10-08,
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,
2012-10-19,
2012-10-22,
2012-10-23,
2012-10-24,
2012-10-25,
2012-10-26,
2012-10-29,
2012-10-30,
2012-10-31,
2012-11-01,
2012-11-02,6.322668342656126e-08
2012-11-05,6.338696013058952e-08
2012-11-06,6.357246504018626e-08
2012-11-07,6.38145549098202e-08
2012-11-08,6.378669702107729e-08
2012-11-09,6.391308759707425e-08
2012-11-12,6.393614344227407e-08
2012-11-13,6.423427767736521e-08
2012-11-14,6.461901417275657e-08
2012-11-15,6.439181543396279e-08
2012-11-16,6.450431538921116e-08
2012-11-19,6.463331155879618e-08
2012-11-20,6.487041861470181e-08
2012-11-21,6.505617021222036e-08
2012-11-22,6.473031723398227e-08
2012-11-23,6.485711920266975e-08
2012-11-26,6.535172485259194e-08
2012-11-27,6.496777006153304e-08
2012-11-28,6.524317809870758e-08
2012-11-29,6.511021145973084e-08
2012-11-30,6.54367852082824e-08
2012-12-03,6.540191165199617e-08
2012-12-04,6.502172525920588e-08
2012-12-05,6.472715393241037e-08
2012-12-06,6.45131428028187e-08
2012-12-07,6.486015561248417e-08
2012-12-10,6.529915822762659e-08
2012-12-11,6.536139207689242e-08
2012-12-12,6.496066213781295e-08
2012-12-13,6.529592177509553e-08
2012-12-14,6.450007697722895e-08
2012-12-17,6.341290328279892e-08
2012-12-18,6.302837979889061e-08
2012-12-19,6.335507758547537e-08
2012-12-20,6.380631137679231e-08
2012-12-21,6.469891192873212e-08
2012-12-24,6.462462817596849e-08
2012-12-25,6.421262878383588e-08
2012-12-26,6.385996644902033e-08
2012-12-27,6.346177482434475e-08
2012-12-28,6.26482469042375e-08
2012-12-31,6.206946215646343e-08
2013-01-04,6.29361974822115e-08
2013-01-07,6.33609992626785e-08
2013-01-08,6.309419300088864e-08
2013-01-09,6.225474519801773e-08
2013-01-10,6.229113514418013e-08
2013-01-11,6.253795206636623e-08
2013-01-14,6.225526530663367e-08
2013-01-15,6.233167510194532e-08
2013-01-16,6.218439090102145e-08
2013-01-17,6.144231954849904e-08
2013-01-18,6.164269724510449e-08
2013-01-21,6.078815132961855e-08
2013-01-22,5.925533125527576e-08
2013-01-23,5.8430245578687764e-08
2013-01-24,5.836152334895327e-08
2013-01-25,5.716733777692283e-08
2013-01-28,5.738846141508871e-08
2013-01-29,5.5564876157895605e-08
2013-01-30,5.4946257769349035e-08
2013-01-31,5.368128057037786e-08
2013-02-01,5.418312916935928e-08
2013-02-04,5.436842761295827e-08
2013-02-05,5.318574762621822e-08
2013-02-06,5.240771729632984e-08
2013-02-07,5.2129037846337254e-08
2013-02-08,5.234503237320574e-08
2013-02-18,5.422513150809027e-08
2013-02-19,5.4261982584050844e-08
2013-02-20,5.2894783673907677e-08
2013-02-21,5.369124785953626e-08
2013-02-22,5.269577040171067e-08
2013-02-25,5.136215953676955e-08
2013-02-26,5.0524803473132094e-08
2013-02-27,5.102225167682131e-08
2013-02-28,5.104774904032291e-08
2013-03-01,5.1587402467868277e-08
2013-03-04,5.177947539900714e-08
2013-03-05,5.211813503487719e-08
2013-03-06,5.1872448968984635e-08
2013-03-07,5.064161029377009e-08
2013-03-08,5.070306484548735e-08
2013-03-11,5.116226561441498e-08
2013-03-12,5.140679708124216e-08
