date,FCT_Dmi_Adx@40
2012-05-10,
2012-05-11,
2012-05-14,
2012-05-15,
2012-05-16,
2012-05-17,
2012-05-18,
2012-05-21,
2012-05-22,
2012-05-23,
2012-05-24,
2012-05-25,
2012-05-28,
2012-05-29,
2012-05-30,
2012-05-31,
2012-06-01,
2012-06-04,
2012-06-05,
2012-06-06,
2012-06-07,
2012-06-08,
2012-06-11,
2012-06-12,
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-18,
2012-06-19,
2012-06-20,
2012-06-21,
2012-06-25,
2012-06-26,
2012-06-27,
2012-06-28,
2012-06-29,
2012-07-02,
2012-07-03,
2012-07-04,
2012-07-05,
2012-07-06,
2012-07-09,
2012-07-10,
2012-07-11,
2012-07-12,
2012-07-13,
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-20,
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-27,
2012-08-28,
2012-08-29,
2012-08-30,14.879740923454733
2012-08-31,15.343061905643221
2012-09-03,16.185242212220146
2012-09-04,17.103208292049253
2012-09-05,18.261796304326715
2012-09-06,19.57610334515604
2012-09-07,20.777383722607716
2012-09-10,22.001352495400948
2012-09-11,23.078377818576534
2012-09-12,24.202211543762104
2012-09-13,25.28281909171721
2012-09-14,26.495763741096578
2012-09-17,27.61480804154388
2012-09-18,28.490750902465827
2012-09-19,29.429977329780122
2012-09-20,30.529064686247402
2012-09-21,31.64405109157883
2012-09-24,32.532634902180135
2012-09-25,33.3229854730355
2012-09-26,34.10755773691028
2012-09-27,34.77601026368997
2012-09-28,35.42883210312073
2012-10-08,36.12241616435615
2012-10-09,36.71420297876456
2012-10-10,37.32213860088616
2012-10-11,37.91073344174371
2012-10-12,38.43004747080275
2012-10-15,38.83352635400366
2012-10-16,39.19446870222448
2012-10-17,39.570681688409834
2012-10-18,40.00772425174504
2012-10-19,40.56523979945816
2012-10-22,40.75873117198451
2012-10-23,40.853636411019195
2012-10-24,40.63240715871951
2012-10-25,40.01731110791617
2012-10-26,39.16944559060822
2012-10-29,38.15530688995406
2012-10-30,37.33978372753398
2012-10-31,36.50797364133971
2012-11-01,35.850345160556934
2012-11-02,35.11799942033758
2012-11-05,34.117721068641025
2012-11-06,33.13792738105401
2012-11-07,31.92925539046204
2012-11-08,30.731078163867657
2012-11-09,29.567341038551195
2012-11-12,28.469407565477372
2012-11-13,27.485759852637425
2012-11-14,26.403563148167954
2012-11-15,25.403250056896724
2012-11-16,24.63856334800947
2012-11-19,23.833461310173597
2012-11-20,22.987916308377315
2012-11-21,22.216905002882804
2012-11-22,21.414874695791504
2012-11-23,20.65844027402259
2012-11-26,19.869785206656214
2012-11-27,19.10718490135618
2012-11-28,18.392214335125505
2012-11-29,17.673832293476796
2012-11-30,16.975213606596068
2012-12-03,16.480234200829432
2012-12-04,16.070155222612826
2012-12-05,15.704196299260214
2012-12-06,15.408499272746536
2012-12-07,15.093680295993357
2012-12-10,14.751820207765183
2012-12-11,14.409064791936448
2012-12-12,14.077431235529914
2012-12-13,13.829741312568018
2012-12-14,13.638707822179637
2012-12-17,13.46668858309673
2012-12-18,13.324173364697495
2012-12-19,13.32649712897997
2012-12-20,13.654932660923071
2012-12-21,14.156645808922983
2012-12-24,14.731406689464652
2012-12-25,15.280042180530234
2012-12-26,15.864254708571995
2012-12-27,16.439767526746934
2012-12-28,16.917973756775243
2012-12-31,17.1114399779566
2013-01-04,17.38472205694375
2013-01-07,17.914045222548403
2013-01-08,18.31788658889386
2013-01-09,18.955543057507327
2013-01-10,19.482233317737034
2013-01-11,19.82812672921975
2013-01-14,20.35482518420154
2013-01-15,20.827733893406645
2013-01-16,20.803451423966926
2013-01-17,20.830881822253012
2013-01-18,21.10921422999028
2013-01-21,21.143828672416795
2013-01-22,21.319042964828604
2013-01-23,21.427223992341002
2013-01-24,22.074608672879272
2013-01-25,22.81849000171639
2013-01-28,23.470556460370886
2013-01-29,24.00362169599247
2013-01-30,24.439113825226865
2013-01-31,24.70542258615911
2013-02-01,24.873058028125143
2013-02-04,24.94875034008562
2013-02-05,24.910127151742223
2013-02-06,24.878018465540848
2013-02-07,25.08540394020496
2013-02-08,25.350387331655213
2013-02-18,25.796520617582495
2013-02-19,26.10357374249338
2013-02-20,26.470192880492544
2013-02-21,27.003837204098755
2013-02-22,27.61250854553766
2013-02-25,28.076867143998424
2013-02-26,28.198592067385157
2013-02-27,27.946334282959178
2013-02-28,27.773992348719435
2013-03-01,27.67974711610937
2013-03-04,27.53431694633166
2013-03-05,27.292885347285523
2013-03-06,27.253578296107456
2013-03-07,27.389555292777082
2013-03-08,27.24109097081152
