underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
AL,2010-01-04,AL1004,14956.274738835189,14750.454444264064,14964.85058444232,14737.590675853367,0,131892.0,14913.395510799537,14836.212900335366,14844.788745942496,127660.0,15286.444794709705,14398.844774371722,17440.0
AL,2010-01-05,AL1004,14793.333672299714,15042.033194906491,15067.760731727883,14784.757826692585,0,215870.0,14750.454444264064,14943.410970424495,14836.212900335366,146912.0,15277.868949102574,14390.268928764592,17250.0
AL,2010-01-06,AL1004,15024.881503692231,15573.73562254857,15689.509538244827,15024.881503692231,0,430170.0,15042.033194906491,15466.53755245944,14943.410970424495,164378.0,15689.509538244827,15024.881503692231,17520.0
AL,2010-01-07,AL1004,15779.555917119695,15295.020640316836,16023.967516922909,14750.454444264064,0,495942.0,15573.73562254857,15470.825475263006,15466.53755245944,159386.0,16023.967516922909,14750.454444264064,18400.0
AL,2010-01-08,AL1004,15239.277643870488,15007.729812477972,15342.187791156051,14853.364591549625,0,356244.0,15295.020640316836,15072.048654531449,15470.825475263006,145602.0,15933.92113804804,14853.364591549625,17770.0
AL,2010-01-11,AL1004,15239.277643870488,15659.494078619871,15668.069924227002,15222.125952656228,0,335398.0,15007.729812477972,15423.658324423788,15072.048654531449,163544.0,15668.069924227002,15222.125952656228,17770.0
AL,2010-01-12,AL1004,15590.887313762829,15655.206155816306,15715.237075066218,15402.218710405963,0,520554.0,15659.494078619871,15573.73562254857,15423.658324423788,175814.0,15882.466064405258,14960.562661638754,18180.0
AL,2010-01-13,AL1004,15007.729812477972,14930.547202013799,15127.791650977795,14793.333672299714,0,374130.0,15655.206155816306,14982.00227565658,15573.73562254857,149034.0,16036.831285333603,14793.333672299714,17500.0
AL,2010-01-14,AL1004,15273.581026299009,15093.488268549274,15277.868949102574,15050.609040513622,0,182448.0,14930.547202013799,15136.367496584924,14982.00227565658,148542.0,15427.946247227354,14531.77038128224,17810.0
AL,2010-01-15,AL1004,15162.095033406316,15084.912422942143,15286.444794709705,14977.714352853014,0,223298.0,15093.488268549274,15136.367496584924,15136.367496584924,141990.0,15586.599390959263,14681.847679407021,17680.0
AL,2010-01-18,AL1004,14921.971356406668,15149.23126499562,15192.110493031272,14879.092128371018,0,107274.0,15084.912422942143,15080.624500138578,15136.367496584924,139062.0,15586.599390959263,14681.847679407021,17400.0
AL,2010-01-19,AL1004,15127.791650977795,15209.262184245532,15316.460254334661,15102.064114156405,0,147694.0,15149.23126499562,15196.398415834838,15080.624500138578,123694.0,15530.856394512917,14626.104682960675,17640.0
AL,2010-01-20,AL1004,15204.974261441967,14930.547202013799,15247.853489477618,14926.259279210233,0,71252.0,15209.262184245532,15067.760731727883,15196.398415834838,115292.0,15650.91823301274,14737.590675853367,17730.0
AL,2010-01-21,AL1004,14836.212900335366,14977.714352853014,14999.153966870841,14827.637054728235,0,41894.0,14930.547202013799,14921.971356406668,15067.760731727883,112484.0,15517.992626102223,14613.240914549979,17300.0
AL,2010-01-22,AL1004,14814.77328631754,14630.392605764238,14896.243819585277,14518.906612871546,0,59878.0,14977.714352853014,14707.575216228412,14921.971356406668,104184.0,15367.915327977442,14471.739462032328,17275.0
