date,Amihud@20
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,1.4172431477572935e-07
2010-02-02,1.3753604162193962e-07
2010-02-03,1.377368959309948e-07
2010-02-04,1.3920643493951721e-07
2010-02-05,1.4055705555958932e-07
2010-02-08,1.346690237387288e-07
2010-02-09,1.3813581717490856e-07
2010-02-10,1.3760894155517107e-07
2010-02-11,1.3551247898748262e-07
2010-02-12,1.430768831405649e-07
2010-02-22,1.4839524374981062e-07
2010-02-23,1.4874046859729788e-07
2010-02-24,1.488872533744842e-07
2010-02-25,1.458211011768623e-07
2010-02-26,1.4005563842280637e-07
2010-03-01,1.3962193628463649e-07
2010-03-02,1.755180457926685e-07
2010-03-03,2.1626022486383633e-07
2010-03-04,2.094781339561471e-07
2010-03-05,2.163250342502841e-07
2010-03-08,2.185026734047543e-07
2010-03-09,2.2383148794274405e-07
2010-03-10,2.2379831692922962e-07
2010-03-11,2.2647020090383008e-07
2010-03-12,2.2304473185950773e-07
2010-03-15,2.312213659119267e-07
2010-03-16,2.287844577101725e-07
2010-03-17,2.2836467461977306e-07
2010-03-18,2.3268691532897008e-07
2010-03-19,2.2869249623568696e-07
2010-03-22,2.284547975631472e-07
2010-03-23,2.296176588715044e-07
2010-03-24,2.1896889672559132e-07
2010-03-25,2.2176260791614467e-07
2010-03-26,2.129920378659112e-07
2010-03-29,2.0064119481892463e-07
2010-03-30,1.2482615421156798e-07
2010-03-31,9.11535302160283e-08
2010-04-01,9.450006425923556e-08
2010-04-02,9.193312559353805e-08
2010-04-06,9.847928422654042e-08
2010-04-07,9.833417613455112e-08
2010-04-08,1.320784783937916e-07
2010-04-09,1.487275629437443e-07
2010-04-12,1.522000757412685e-07
2010-04-13,1.438446529004167e-07
2010-04-14,1.445034840309195e-07
2010-04-15,1.4012626814133635e-07
2010-04-16,1.3709893174917043e-07
2010-04-19,1.439855330890986e-07
2010-04-20,1.4260732869641993e-07
2010-04-21,1.4000518751551895e-07
2010-04-22,1.4170259629837447e-07
2010-04-23,1.4230750566575054e-07
2010-04-26,1.409785263690339e-07
2010-04-27,1.4541606118638986e-07
2010-04-28,1.515173500683341e-07
2010-04-29,1.458175140722302e-07
2010-04-30,1.4585719817731617e-07
2010-05-04,1.4701306623129682e-07
2010-05-05,1.5039332941439225e-07
2010-05-06,1.531221233925956e-07
2010-05-07,1.360952484387099e-07
2010-05-10,1.4707978938876694e-07
2010-05-11,1.494041003918827e-07
2010-05-12,1.6770646436512445e-07
2010-05-13,1.9414502280787683e-07
2010-05-14,2.0243082762164738e-07
2010-05-17,2.933048065770295e-07
2010-05-18,2.8366433372266943e-07
2010-05-19,2.7940060595128205e-07
2010-05-20,2.80699388404828e-07
2010-05-21,2.80737050785475e-07
2010-05-24,2.857483280866924e-07
2010-05-25,2.9015653836650776e-07
2010-05-26,2.869022934026766e-07
2010-05-27,2.7978085391809123e-07
2010-05-28,2.8321268371944977e-07
2010-05-31,2.8435695188080065e-07
2010-06-01,2.930298753233533e-07
2010-06-02,2.971572197992901e-07
2010-06-03,2.909960987400668e-07
2010-06-04,2.921919132028985e-07
2010-06-07,4.1504703581872383e-07
2010-06-08,4.1626098626238595e-07
2010-06-09,4.1003870463879e-07
2010-06-10,3.8786622787919057e-07
2010-06-11,3.875879080423101e-07
2010-06-17,3.0224824819952263e-07
2010-06-18,3.0351993745324065e-07
2010-06-21,3.102771536168973e-07
2010-06-22,3.151266374605058e-07
2010-06-23,3.123834288826846e-07
2010-06-24,3.05726232488653e-07
2010-06-25,3.0062040437946445e-07
2010-06-28,3.0066648409967556e-07
2010-06-29,3.044433193189666e-07
2010-06-30,3.042356702710261e-07
2010-07-01,3.0478791465252387e-07
2010-07-02,3.033762248535673e-07
2010-07-05,2.9058549975674663e-07
2010-07-06,2.884438412083935e-07
2010-07-07,2.692415018596928e-07
2010-07-08,1.3427263484354907e-07
2010-07-09,1.3091965800040225e-07
2010-07-12,1.506073680487032e-07
2010-07-13,1.8359277451250133e-07
2010-07-14,2.2338869508615074e-07
2010-07-15,2.1566514555109953e-07
2010-07-16,2.464412958981709e-07
2010-07-19,2.4532533975292205e-07
2010-07-20,2.4516358425084344e-07
2010-07-21,2.4499373072776865e-07
2010-07-22,2.4490054391690246e-07
2010-07-23,2.525340018344361e-07
2010-07-26,2.5230734519964304e-07
2010-07-27,2.5278567896501973e-07
2010-07-28,2.5871326084550303e-07
2010-07-29,2.5784706471455015e-07
2010-07-30,2.435838057331942e-07
2010-08-02,2.524968416938986e-07
2010-08-03,2.5589260177502727e-07
2010-08-04,2.5450576924249407e-07
2010-08-05,2.3328728224210534e-07
2010-08-06,2.298123836115662e-07
2010-08-09,2.0075203097101644e-07
2010-08-10,1.6849719222470933e-07
2010-08-11,1.225515749077751e-07
2010-08-12,1.277925450387606e-07
2010-08-13,1.045318800113427e-07
2010-08-16,9.92354162081182e-08
2010-08-17,9.550244666849187e-08
2010-08-18,9.555335799505532e-08
2010-08-19,9.379225839346957e-08
2010-08-20,9.481372370428229e-08
2010-08-23,9.158169615891729e-08
2010-08-24,8.885005106904822e-08
2010-08-25,7.889960001212512e-08
2010-08-26,7.486845996409985e-08
2010-08-27,7.194757850808838e-08
2010-08-30,7.820466847211051e-08
2010-08-31,9.477855452885255e-08
2010-09-01,1.1742399534577739e-07
2010-09-02,1.1981181979553757e-07
2010-09-03,1.2083075427350346e-07
2010-09-06,1.216348680346958e-07
2010-09-07,1.1547412789124501e-07
2010-09-08,1.145011595514145e-07
2010-09-09,1.1569591184034865e-07
2010-09-10,1.1452642294517958e-07
2010-09-13,1.134692663630268e-07
2010-09-14,1.19271150848211e-07
2010-09-15,1.193258983693393e-07
2010-09-16,1.1926930579912736e-07
2010-09-17,1.139972632744923e-07
2010-09-20,1.1719858492014812e-07
2010-09-21,1.1805948073647718e-07
2010-09-27,1.318637168944001e-07
2010-09-28,1.3540300810757653e-07
2010-09-29,1.4480624049909058e-07
2010-09-30,1.3544105800890721e-07
2010-10-08,1.3280961178939884e-07
2010-10-11,1.4414632430460174e-07
2010-10-12,1.4598495552161492e-07
2010-10-13,1.4768906996715734e-07
2010-10-14,1.4399818208884906e-07
2010-10-15,1.4373657121788127e-07
2010-10-18,1.5011928176600425e-07
2010-10-19,1.4645339971882984e-07
2010-10-20,1.4501137681902815e-07
2010-10-21,1.4449263576796324e-07
2010-10-22,1.4203400024031284e-07
2010-10-25,1.445010330395335e-07
2010-10-26,1.4682426205537344e-07
2010-10-27,1.474478412941114e-07
