date,FCT_Cmf_1@80
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,0.07297247473087824
2010-05-05,0.08979824816530774
2010-05-06,0.06867022808460527
2010-05-07,0.03566326741049937
2010-05-10,0.04887543111356174
2010-05-11,0.06581385463000379
2010-05-12,0.025750097841633336
2010-05-13,-0.0157087496616523
2010-05-14,-0.007761003157205875
2010-05-17,0.006606531071795888
2010-05-18,0.0380600557741114
2010-05-19,0.04054226454048631
2010-05-20,0.041311596708067264
2010-05-21,0.05698452099126471
2010-05-24,0.05941939610861254
2010-05-25,0.056830991646013386
2010-05-26,0.05687735282015838
2010-05-27,0.06537307467508863
2010-05-28,0.06849435763199949
2010-05-31,0.094331074135722
2010-06-01,0.09914486333632684
2010-06-02,0.048254550867620184
2010-06-03,0.04803581007436139
2010-06-04,0.004944455698257368
2010-06-07,-0.008483770946744646
2010-06-08,-0.016505052479889898
2010-06-09,0.002920224069547837
2010-06-10,-0.033152820130066304
2010-06-11,-0.026518416247975275
2010-06-17,-0.02781881297573564
2010-06-18,-0.03736628746212731
2010-06-21,-0.01650927572125064
2010-06-22,-0.022900815819983038
2010-06-23,-0.018748326267509444
2010-06-24,-0.017208454185453925
2010-06-25,-0.020687160207184557
2010-06-28,-0.02508720334889623
2010-06-29,-0.03417518362049692
2010-06-30,-0.031226483922463556
2010-07-01,-0.035376087765675725
2010-07-02,-0.03176612391855848
2010-07-05,-0.04383185391574031
2010-07-06,-0.03925908785886672
2010-07-07,-0.04600306542661878
2010-07-08,-0.04184204535824005
2010-07-09,-0.043901866694809936
2010-07-12,-0.03189471468910049
2010-07-13,-0.04348852081186693
2010-07-14,-0.052863639106159745
2010-07-15,-0.044226709332954584
2010-07-16,-0.05238221559106756
2010-07-19,-0.04015942176053816
2010-07-20,-0.02635845367168114
2010-07-21,-0.014923316921319967
2010-07-22,-0.002329598679443445
2010-07-23,-0.012350253472359563
2010-07-26,-0.005629966102134721
2010-07-27,-0.015583665823589254
2010-07-28,-0.005612608007821745
2010-07-29,-0.008129156553593662
2010-07-30,-0.01331394730434673
2010-08-02,-0.01234101199373134
2010-08-03,-0.018368401015346144
2010-08-04,-0.014153098085395015
2010-08-05,-0.030198293439016182
2010-08-06,-0.029601274186156237
2010-08-09,-0.0037819941886753088
2010-08-10,0.0023023477889369637
2010-08-11,0.005804204935352249
2010-08-12,0.02146547733810548
2010-08-13,0.0600407514207651
2010-08-16,0.05489181578589874
2010-08-17,0.04953808529109735
2010-08-18,0.03198341280586214
2010-08-19,0.04379339786966156
2010-08-20,0.041601369824997264
2010-08-23,0.046697797096090905
2010-08-24,0.02315590154837214
2010-08-25,0.03512898969515827
2010-08-26,0.030650592321642703
2010-08-27,0.03071113767726936
2010-08-30,0.02798685531241004
2010-08-31,0.03232832670429094
2010-09-01,0.04294029404329744
2010-09-02,0.03602901366787689
2010-09-03,0.03972342517338855
2010-09-06,0.05196280017215686
2010-09-07,0.04150892714054003
2010-09-08,0.04979696445337738
2010-09-09,0.05988541457383
2010-09-10,0.04627935544146635
2010-09-13,0.01813459833095415
2010-09-14,0.009616859358891595
2010-09-15,0.00010005283315713008
2010-09-16,-0.009579925364962502
2010-09-17,0.002533582980151035
2010-09-20,0.004439119836892006
2010-09-21,-0.004047492004554164
2010-09-27,0.0014293155050708176
2010-09-28,0.0031384610166585586
2010-09-29,0.009485946583211263
2010-09-30,0.013622316380674189
2010-10-08,0.016422167197702387
2010-10-11,0.021192600776314803
2010-10-12,0.01919797790364013
2010-10-13,-0.002358820092088304
2010-10-14,-0.022914873410897933
2010-10-15,0.011516847066764622
2010-10-18,-0.013747201936111179
2010-10-19,-0.01756132974843884
2010-10-20,-0.007160769358090162
2010-10-21,-0.03440304535896845
2010-10-22,-0.013566465067278441
2010-10-25,-0.009740753083622475
2010-10-26,-0.03093109626106167
2010-10-27,-0.042289007006577284
2010-10-28,-0.03386565885139926
2010-10-29,-0.02438832556468242
2010-11-01,-0.029420359772145046
2010-11-02,-0.024980207648224385
2010-11-03,-0.03569583327442851
2010-11-04,-0.032271534862238195
2010-11-05,-0.029819574632192647
2010-11-08,-0.03681214803233461
2010-11-09,-0.028172631495411014
2010-11-10,-0.04305299151878344
2010-11-11,-0.03673087138083338
2010-11-12,-0.05532817687084768
2010-11-15,-0.041500947120678
2010-11-16,-0.059577085937896415
2010-11-17,-0.10547098493974977
2010-11-18,-0.10157929361490077
2010-11-19,-0.10276286598244024
2010-11-22,-0.10181013610417167
2010-11-23,-0.11032169884813885
2010-11-24,-0.11138026517703269
2010-11-25,-0.12203960067649407
2010-11-26,-0.11736339647030737
2010-11-29,-0.12314951333974357
2010-11-30,-0.11884502010808572
2010-12-01,-0.11601654672664294
2010-12-02,-0.11996001014623095
2010-12-03,-0.1162321907445452
2010-12-06,-0.11866277648415784
2010-12-07,-0.1082066430373045
2010-12-08,-0.1188304600870417
2010-12-09,-0.13056860899103234
2010-12-10,-0.11802292575319791
2010-12-13,-0.11097100906947048
2010-12-14,-0.11465375402883937
2010-12-15,-0.13368671303592042
2010-12-16,-0.14003020041030262
2010-12-17,-0.1418547021936685
2010-12-20,-0.13508475557009517
2010-12-21,-0.13808051306599772
2010-12-22,-0.1331042540825366
2010-12-23,-0.12755392395299828
2010-12-24,-0.12174344449259492
2010-12-27,-0.12397423953838227
2010-12-28,-0.12334034758148323
2010-12-29,-0.11989934392191463
2010-12-30,-0.11975454848859782
2010-12-31,-0.11475542350667561
2011-01-04,-0.11573150096727379
2011-01-05,-0.11560689206820965
2011-01-06,-0.11772339139483527
