date,FCT_Dmi_Adxr@20
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,23.265797831648896
2010-04-06,23.16674048976629
2010-04-07,23.070000980170306
2010-04-08,23.011197958745285
2010-04-09,22.61068058005462
2010-04-12,21.69155159824498
2010-04-13,20.509111776017132
2010-04-14,19.608648181236756
2010-04-15,18.87697462887288
2010-04-16,18.0588575842355
2010-04-19,17.95013106805174
2010-04-20,18.35234628306389
2010-04-21,18.504370233214736
2010-04-22,18.658266123371902
2010-04-23,18.78466565065427
2010-04-26,19.085908383601875
2010-04-27,19.603499750663904
2010-04-28,20.888532183802724
2010-04-29,22.02625505752817
2010-04-30,22.698424671330272
2010-05-04,23.01054154967307
2010-05-05,23.438118918067808
2010-05-06,23.80593922866734
2010-05-07,24.343224996178336
2010-05-10,24.852448619874032
2010-05-11,25.484810008545935
2010-05-12,26.51385982430129
2010-05-13,27.796763380727675
2010-05-14,29.069845621066708
2010-05-17,30.59615932048372
2010-05-18,32.13697063167548
2010-05-19,33.96083271613303
2010-05-20,35.58724923832864
2010-05-21,37.31532585936975
2010-05-24,38.57963867365859
2010-05-25,40.13130804728438
2010-05-26,41.37909724764718
2010-05-27,42.811968160288714
2010-05-28,43.89823113305429
2010-05-31,45.07438908957286
2010-06-01,46.25002104876286
2010-06-02,47.32305673610466
2010-06-03,48.51987647117383
2010-06-04,49.34383585297705
2010-06-07,50.459705216073786
2010-06-08,51.92139249351975
2010-06-09,52.94133169791245
2010-06-10,53.71700351761446
2010-06-11,54.808356943030134
2010-06-17,55.4272689313173
2010-06-18,55.440237662720676
2010-06-21,54.86491635769745
2010-06-22,54.45961123992264
2010-06-23,54.0306673438826
2010-06-24,53.7689905080813
2010-06-25,53.52378366767627
2010-06-28,52.892043158832934
2010-06-29,51.69084597770325
2010-06-30,50.901851664688195
2010-07-01,50.042830445948105
2010-07-02,48.99647989799332
2010-07-05,47.59261168804636
2010-07-06,46.309240736351384
2010-07-07,45.23849737475601
2010-07-08,44.99475013833968
2010-07-09,44.3644665642359
2010-07-12,43.16416899099697
2010-07-13,41.930516884509515
2010-07-14,40.806708414091645
2010-07-15,39.398562929311915
2010-07-16,38.23526525241955
2010-07-19,36.404972889201446
2010-07-20,34.51837659221661
2010-07-21,32.5980488462815
2010-07-22,30.8864096886567
2010-07-23,29.583657695410384
2010-07-26,28.391261512514852
2010-07-27,27.78389664370859
2010-07-28,27.860415115291303
2010-07-29,28.011665283121765
2010-07-30,27.992450723576592
2010-08-02,28.06557621659251
2010-08-03,28.148380425004227
2010-08-04,27.92353433920848
2010-08-05,27.60176760144797
2010-08-06,27.408496101547783
2010-08-09,27.99686915496084
2010-08-10,28.164248351180653
2010-08-11,28.077053532540315
2010-08-12,28.11277828429992
2010-08-13,28.25944810913531
2010-08-16,29.053110998016976
2010-08-17,29.7404444457292
2010-08-18,30.52183037742224
2010-08-19,31.13262946897902
2010-08-20,31.291538763185226
2010-08-23,31.29196634821009
2010-08-24,31.20699630805734
2010-08-25,31.040346860992628
2010-08-26,30.8110924454245
2010-08-27,30.672285642570355
2010-08-30,30.743543474347376
2010-08-31,31.12394823277598
2010-09-01,30.999111700584457
2010-09-02,30.078230369402718
2010-09-03,29.122192135691634
2010-09-06,28.57780287669662
2010-09-07,28.22617034522385
2010-09-08,28.00205707041624
2010-09-09,27.660478428229013
2010-09-10,27.27788702693246
2010-09-13,27.367955690321377
2010-09-14,27.69885634819273
2010-09-15,28.180788681015702
2010-09-16,28.63094119825857
2010-09-17,28.38429600189912
2010-09-20,27.911140238160364
2010-09-21,27.107404779908062
2010-09-27,25.831046193377006
2010-09-28,24.409116006368066
2010-09-29,23.158176544063362
2010-09-30,22.139666349819514
2010-10-08,20.865712153325514
2010-10-11,19.651473206215503
2010-10-12,18.26659776275804
2010-10-13,16.946339597713635
2010-10-14,15.195222380160391
2010-10-15,14.158920275235626
2010-10-18,13.352483742323509
2010-10-19,13.120040052547115
2010-10-20,12.452303414884362
2010-10-21,11.672133065738814
2010-10-22,11.212738376396004
2010-10-25,10.98182436922197
2010-10-26,10.902611650100354
2010-10-27,11.018271852369157
2010-10-28,11.217030692943835
2010-10-29,11.482981277980464
2010-11-01,11.468914826835034
2010-11-02,11.462030572840415
2010-11-03,11.557514392022572
2010-11-04,11.994969208586626
2010-11-05,12.347613738123886
2010-11-08,12.46676379396047
2010-11-09,12.562431798504148
2010-11-10,12.806394778529956
2010-11-11,13.159378052124021
2010-11-12,12.853860844970086
2010-11-15,12.368725867598098
2010-11-16,12.117870625543283
2010-11-17,12.018432051398305
2010-11-18,12.0394566841162
2010-11-19,11.993170384167202
2010-11-22,12.122764853005792
2010-11-23,12.434534566596462
2010-11-24,12.794994543114992
2010-11-25,13.202102975609542
2010-11-26,13.725147878699588
2010-11-29,14.3419375490699
2010-11-30,15.003246255868977
2010-12-01,15.759244325540248
2010-12-02,15.86442034129784
2010-12-03,16.64020998729516
2010-12-06,17.68884362242963
2010-12-07,18.887627434549568
2010-12-08,20.30851531501063
2010-12-09,21.635260299744473
2010-12-10,22.37173215580413
2010-12-13,22.894888254617104
2010-12-14,23.215547827552516
2010-12-15,23.2607734217187
2010-12-16,23.219461059561812
2010-12-17,23.02234442236623
2010-12-20,22.444335605846163
2010-12-21,22.239986889475663
2010-12-22,22.48518508348571
2010-12-23,22.851730161285154
2010-12-24,23.37444544004323
2010-12-27,23.980840805332793
2010-12-28,24.857215057460778
2010-12-29,25.691437650221786
2010-12-30,25.79205755443023
2010-12-31,25.94603114588711
2011-01-04,26.702591719038175
2011-01-05,27.588802677462958
2011-01-06,28.810730147897022
2011-01-07,29.121828482999884
2011-01-10,30.16195067706922
2011-01-11,30.978300711882532
2011-01-12,31.897301910881524
2011-01-13,32.37180861322081
2011-01-14,32.63180199433579
2011-01-17,32.72432748894815
2011-01-18,32.21371974570559
2011-01-19,31.68325789925418
