date,FCT_Dmi_Adx@20
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,15.441100621005358
2010-03-08,16.370712397591355
2010-03-09,16.45999780237243
2010-03-10,16.628404321657612
2010-03-11,16.250424811187635
2010-03-12,16.686434819447026
2010-03-15,16.01601663420669
2010-03-16,15.661085389191499
2010-03-17,16.106819863431134
2010-03-18,15.984106455154777
2010-03-19,16.00751013480846
2010-03-22,16.46955823549164
2010-03-23,16.468187079407713
2010-03-24,16.295341450027436
2010-03-25,16.180371335592728
2010-03-26,15.986876573370688
2010-03-29,15.758508305793345
2010-03-30,15.426174381600145
2010-03-31,15.551404922620529
2010-04-01,14.975024900943543
2010-04-02,14.060566389111354
2010-04-06,12.978795032539196
2010-04-07,12.864725142849968
2010-04-08,13.071278314310439
2010-04-09,14.249239687892262
2010-04-12,14.241293316380382
2010-04-13,14.444730809710325
2010-04-14,14.527683713336648
2010-04-15,13.949484883149697
2010-04-16,13.807225514656556
2010-04-19,12.884847258973135
2010-04-20,13.339642358945005
2010-04-21,14.359807623938234
2010-04-22,15.625964291798244
2010-04-23,17.254832475982646
2010-04-26,19.023922644558823
2010-04-27,20.411638953046516
2010-04-28,22.11698301590348
2010-04-29,23.208261121474404
2010-04-30,24.556764441987685
2010-05-04,26.211278709274893
2010-05-05,27.199343843812137
2010-05-06,27.8408605193846
2010-05-07,28.816981673839614
2010-05-10,28.71231470933921
2010-05-11,28.243391077243142
2010-05-12,28.930158185875676
2010-05-13,29.712864912429342
2010-05-14,30.943182704263798
2010-05-17,32.06075856242303
2010-05-18,34.217575802545426
2010-05-19,35.247867926315756
2010-05-20,35.04032911163011
2010-05-21,34.20670782668042
2010-05-24,33.40399219700924
2010-05-25,32.02032014293404
2010-05-26,31.375073890903458
2010-05-27,30.54435559462142
2010-05-28,29.46050803620629
2010-05-31,28.18705182282997
2010-06-01,27.03314140946477
2010-06-02,27.04589875427026
2010-06-03,26.95289425130857
2010-06-04,25.634046427438744
2010-06-07,24.401677699105104
2010-06-08,23.72823917577759
2010-06-09,21.777356929444018
2010-06-10,20.125344798037442
2010-06-11,18.6698611073759
2010-06-17,16.876096625971012
2010-06-18,14.794795391818823
2010-06-21,13.56635301188921
2010-06-22,13.35165758194383
2010-06-23,14.01227539960188
2010-06-24,14.1148653661456
2010-06-25,14.643062154893125
2010-06-28,14.815784081074758
2010-06-29,14.22111851999129
2010-06-30,13.877286778802425
2010-07-01,13.589771556940942
2010-07-02,13.567307979556464
2010-07-05,13.032434471079537
2010-07-06,12.725700363311693
2010-07-07,13.042326427911902
2010-07-08,13.609618122054576
2010-07-09,14.481679420586456
2010-07-12,15.287153941532651
2010-07-13,15.842403445928067
2010-07-14,15.724962083259417
2010-07-15,16.229963688820042
2010-07-16,17.30578291306155
2010-07-19,18.499852365888547
2010-07-20,19.420187360447873
2010-07-21,19.70797523495154
2010-07-22,20.30124011052636
2010-07-23,20.79271707675788
2010-07-26,21.74375232912348
2010-07-27,23.22887948975535
2010-07-28,24.9767246326608
2010-07-29,26.650505079946203
2010-07-30,27.201087104800727
2010-08-02,27.42431327381103
2010-08-03,27.44150885034902
2010-08-04,26.8684658080195
2010-08-05,26.447225652107488
2010-08-06,25.190471110826085
2010-08-09,24.24775443896764
2010-08-10,23.393353068166082
2010-08-11,22.99350455672248
2010-08-12,22.194024030481625
2010-08-13,21.416365757252038
2010-08-16,20.78219750529684
2010-08-17,20.826232182605207
2010-08-18,20.848015414936395
2010-08-19,21.30433520577383
2010-08-20,21.516443007294765
2010-08-23,21.334966232327904
2010-08-24,21.282467595742464
2010-08-25,22.529063975683947
2010-08-26,24.019820784110614
2010-08-27,26.04727347793321
2010-08-30,28.10928614428215
2010-08-31,30.383112938048054
2010-09-01,33.42694335259212
2010-09-02,36.2534253627294
2010-09-03,39.18264632647718
2010-09-06,41.5797242920015
2010-09-07,44.39757512109044
2010-09-08,47.38539662180723
2010-09-09,50.04455802256138
2010-09-10,51.08657482928406
2010-09-13,51.178076305717184
2010-09-14,50.82775743943925
2010-09-15,51.380786824746544
2010-09-16,51.15255354886026
2010-09-17,51.38951555921724
2010-09-20,51.74638215440778
2010-09-21,52.61372582578605
2010-09-27,51.86925717307837
2010-09-28,50.7920615277738
2010-09-29,50.45610648197858
2010-09-30,50.59994397444467
2010-10-08,50.80220105827066
2010-10-11,50.98834292541399
2010-10-12,51.20578096870486
2010-10-13,51.475622238546215
2010-10-14,52.7869913174866
2010-10-15,53.55655415292864
2010-10-18,53.02130444139571
2010-10-19,53.12844279457211
2010-10-20,53.6136416505135
2010-10-21,54.34704970230318
2010-10-22,54.566205375881495
2010-10-25,54.102979320114414
2010-10-26,54.01578174666937
2010-10-27,53.34291723506003
2010-10-28,52.366144952489364
2010-10-29,51.21470243776098
2010-11-01,50.076836387102674
2010-11-02,49.252568681856005
2010-11-03,47.582337400714714
2010-11-04,46.46711231769008
2010-11-05,45.07489460515805
2010-11-08,43.39712686910512
2010-11-09,42.27761804721836
2010-11-10,41.04051630794499
2010-11-11,39.09583844157247
2010-11-12,36.04075239758641
2010-11-15,34.52256709421205
2010-11-16,32.54345052239746
2010-11-17,31.44307488865262
2010-11-18,30.43908250467383
2010-11-19,30.347611811239666
2010-11-22,30.049997563962457
2010-11-23,29.6664308812432
2010-11-24,30.025797020733705
2010-11-25,30.502982926905936
2010-11-26,30.50166787030035
2010-11-29,29.752922558483334
2010-11-30,29.031399695715436
2010-12-01,29.22097412033518
2010-12-02,27.986227041933667
2010-12-03,26.893315831187586
2010-12-06,26.372723838045392
2010-12-07,24.486513208323814
2010-12-08,22.805144529126732
2010-12-09,21.443989334103012
2010-12-10,21.38135078772867
2010-12-13,20.929318391890966
2010-12-14,21.050595140167992
2010-12-15,21.511013852788412
2010-12-16,21.21419178819098
2010-12-17,20.34872935982613
2010-12-20,19.815660814921475
2010-12-21,19.27757130722097
2010-12-22,18.079330652618772
2010-12-23,16.845682814574836
2010-12-24,15.890262488840921
2010-12-27,15.916668566451795
2010-12-28,16.009412641797454
2010-12-29,15.032518838797904
2010-12-30,14.93304547427904
2010-12-31,14.74490008514787
2011-01-04,13.738117198019907
2011-01-05,14.61961311634694
2011-01-06,14.593437858212912
