date,FCT_Br_1@120
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,-0.05965176503154069
2014-04-03,-0.06652542219879058
2014-04-04,-0.06827853552784413
2014-04-08,-0.05602621389775088
2014-04-09,-0.05252811658555077
2014-04-10,-0.062212740799920944
2014-04-11,-0.06640640747422745
2014-04-14,-0.055524882299756564
2014-04-15,-0.05475095181838088
2014-04-16,-0.06777089692374873
2014-04-17,-0.06719411432789905
2014-04-18,-0.06447298961815816
2014-04-21,-0.073724719036466
2014-04-22,-0.0694265891387151
2014-04-23,-0.04738610084665094
2014-04-24,-0.04315678910485195
2014-04-25,-0.047914485449519206
2014-04-28,-0.043436256323666114
2014-04-29,-0.048500773062593074
2014-04-30,-0.043210148613694314
2014-05-05,-0.04174400498702734
2014-05-06,-0.04371052863217469
2014-05-07,-0.046532255866628465
2014-05-08,-0.039554877782576985
2014-05-09,-0.04270873089820456
2014-05-12,-0.043492235498778495
2014-05-13,-0.03524750646973554
2014-05-14,-0.03362590592898471
2014-05-15,-0.03586341301456117
2014-05-16,-0.047520860463993175
2014-05-19,-0.04753226999611893
2014-05-20,-0.05342331880442761
2014-05-21,-0.04888005122145317
2014-05-22,-0.05779892650810559
2014-05-23,-0.060500750449677405
2014-05-26,-0.08058179581898833
2014-05-27,-0.0820865704030735
2014-05-28,-0.09064269260960096
2014-05-29,-0.09423671598662384
2014-05-30,-0.09472895719791918
2014-06-03,-0.1090462581019876
2014-06-04,-0.11292447266886359
2014-06-05,-0.11361678298408102
2014-06-06,-0.12218132732142804
2014-06-09,-0.11738104525785398
2014-06-10,-0.11474117744715287
2014-06-11,-0.11952245550682125
2014-06-12,-0.12488391276956999
2014-06-13,-0.09711789184212416
2014-06-16,-0.09500247638960523
2014-06-17,-0.09107090929619306
2014-06-18,-0.09022214347035465
2014-06-19,-0.09521129804580661
2014-06-20,-0.09797283451077068
2014-06-23,-0.09211720245947423
2014-06-24,-0.09206947157565896
2014-06-25,-0.09854817845858534
2014-06-26,-0.08627809894868495
2014-06-27,-0.09187606485690256
2014-06-30,-0.09384881200886112
2014-07-01,-0.09188617203991707
2014-07-02,-0.08650454956684352
2014-07-03,-0.07684906362017349
2014-07-04,-0.0745943148202648
2014-07-07,-0.07010252044282819
2014-07-08,-0.07052103551541658
2014-07-09,-0.07761336092639878
2014-07-10,-0.07490543778857577
2014-07-11,-0.08040970529783555
