date,FCT_Dmi_Adx@120
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-25,
2010-11-26,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-24,
2010-12-27,
2010-12-28,
2010-12-29,22.38342603535638
2010-12-30,22.512931482023482
2010-12-31,22.649688340095373
2011-01-04,22.80375510171452
2011-01-05,22.99463000251162
2011-01-06,23.1907512001867
2011-01-07,23.35963121936966
2011-01-10,23.525986474309207
2011-01-11,23.72217054216589
2011-01-12,23.920724483905175
2011-01-13,24.133092227856555
2011-01-14,24.336812300562677
2011-01-17,24.548029017282357
2011-01-18,24.75202722575391
2011-01-19,24.954039744724106
2011-01-20,25.156682938719044
2011-01-21,25.366693323404423
2011-01-24,25.579888055319383
2011-01-25,25.792193121969863
2011-01-26,25.98710015588475
2011-01-27,26.1886137313521
2011-01-28,26.375797496581562
2011-01-31,26.555926200475305
2011-02-01,26.74846402464679
2011-02-09,26.954568673013572
2011-02-10,27.15538115874316
2011-02-11,27.353193624547824
2011-02-14,27.52945761474662
2011-02-15,27.713114631850665
2011-02-16,27.898642776952066
2011-02-17,28.077770448679406
2011-02-18,28.288011897205834
2011-02-21,28.473948340245467
2011-02-22,28.625828336205814
2011-02-23,28.766174860156365
2011-02-24,28.908401352973048
2011-02-25,29.060028036508502
2011-02-28,29.20863410909864
2011-03-01,29.357404325973935
2011-03-02,29.506871577992964
2011-03-03,29.638569123745892
2011-03-04,29.77244030725226
2011-03-07,29.914180301180505
2011-03-08,30.026230840179434
2011-03-09,30.09961617604626
2011-03-10,30.14380776819103
2011-03-11,30.15797921059691
2011-03-14,30.136751533124823
2011-03-15,30.115226961705616
2011-03-16,30.104477162226473
2011-03-17,30.080866240320372
2011-03-18,30.06261643812853
2011-03-21,30.02037461205053
2011-03-22,29.945585148866762
2011-03-23,29.880580657137546
2011-03-24,29.781460684099056
2011-03-25,29.64513741061987
2011-03-28,29.41759901238928
2011-03-29,29.17188870170504
2011-03-30,28.91546123596239
2011-03-31,28.719460986185013
2011-04-01,28.56380870184676
2011-04-06,28.357254889297668
2011-04-07,28.073662303528653
2011-04-08,27.795892248661367
2011-04-11,27.53840954368935
2011-04-12,27.24977023780698
2011-04-13,26.946618796783877
2011-04-14,26.68245645232358
2011-04-15,26.39621840455595
2011-04-18,26.117699601866438
2011-04-19,25.81593429875601
2011-04-20,25.51526343477723
2011-04-21,25.17804999827417
2011-04-22,24.808263932931894
2011-04-25,24.45548523417695
2011-04-26,24.108505944749076
2011-04-27,23.771027933861323
2011-04-28,23.433416114073598
2011-04-29,23.09515102705388
2011-05-03,22.754787885488224
2011-05-04,22.408829955950463
2011-05-05,22.079600941625905
2011-05-06,21.750491543929577
2011-05-09,21.42200431543696
2011-05-10,21.094894831915664
2011-05-11,20.782323416425722
2011-05-12,20.542069664769564
2011-05-13,20.34234295765406
2011-05-16,20.139549235274583
2011-05-17,19.954899818290084
2011-05-18,19.788954483497857
2011-05-19,19.621017365129934
2011-05-20,19.463784996945005
2011-05-23,19.310312210377827
2011-05-24,19.15821707227428
2011-05-25,19.006121934170732
2011-05-26,18.860557443419093
2011-05-27,18.714866255901338
