date,Amihud@180
2014-12-19,
2014-12-22,
2014-12-23,
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-16,
2015-02-17,
2015-02-25,
2015-02-26,
2015-02-27,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-09,
2015-03-10,
2015-03-11,
2015-03-12,
2015-03-13,
2015-03-16,
2015-03-17,
2015-03-18,
2015-03-19,
2015-03-20,
2015-03-23,
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,
2015-09-15,0.3225107707479454
2015-09-16,0.3192791504703965
2015-09-17,0.3199587802052136
2015-09-18,0.3179224736600801
2015-09-21,0.3159004760195813
2015-09-22,0.3154664977648788
2015-09-23,0.31185750084167296
2015-09-24,0.30961119244311414
2015-09-25,0.30701012964197555
2015-09-28,0.3026785169561531
2015-09-29,0.3007554517973358
2015-09-30,0.3009602494436973
2015-10-08,0.3008193395652011
2015-10-09,0.3005206296536844
2015-10-12,0.2984762853427575
2015-10-13,0.2989614835050047
2015-10-14,0.29649251329226445
2015-10-15,0.29225499846954395
2015-10-16,0.28842243237629916
2015-10-19,0.28504486386816064
2015-10-20,0.2846283064720492
2015-10-21,0.28207379328644927
2015-10-22,0.27893166524814683
2015-10-23,0.27562182247920985
2015-10-26,0.2725555823785441
2015-10-27,0.2673292707500733
2015-10-28,0.26292070371979126
2015-10-29,0.2613013212663389
2015-10-30,0.2610853197234806
2015-11-02,0.25867212960607605
2015-11-03,0.25818752504001574
2015-11-04,0.25778962661005783
2015-11-05,0.25740616308812825
2015-11-06,0.25417053866432854
2015-11-09,0.25323028720660695
2015-11-10,0.25257680266732196
2015-11-11,0.2510720906067899
2015-11-12,0.2498883226597983
2015-11-13,0.24854978157968907
2015-11-16,0.24813467422580066
2015-11-17,0.24343529732205907
2015-11-18,0.24068994340498984
2015-11-19,0.23824505776840482
2015-11-20,0.23484961623619655
2015-11-23,0.23388569614894578
2015-11-24,0.23068616209200066
2015-11-25,0.22782564455336146
2015-11-26,0.22552134707163568
2015-11-27,0.22387549638247997
2015-11-30,0.22109886097729314
2015-12-01,0.22018785512056913
2015-12-02,0.2194937453407497
2015-12-03,0.21948119254272724
2015-12-04,0.21923493891138243
2015-12-07,0.2190427259103948
2015-12-08,0.21884529692001836
2015-12-09,0.21769363569547215
2015-12-10,0.2173944789994254
2015-12-11,0.21701895297177662
2015-12-14,0.21583368157874971
2015-12-15,0.2143596123759878
2015-12-16,0.21387557854664418
2015-12-17,0.21319922565466265
2015-12-18,0.21249736893290383
2015-12-21,0.21207601773107232
2015-12-22,0.21165717911658607
2015-12-23,0.20993911970944135
2015-12-24,0.2090972031124719
2015-12-25,0.20885125588240838
2015-12-28,0.20833752754498058
2015-12-29,0.20741976513517107
2015-12-30,0.20736445059501019
2015-12-31,0.20595062781762655
2016-01-04,0.20511340978754616
2016-01-05,0.20383746144540368
2016-01-06,0.20255246067794963
2016-01-07,0.20237931201131315
2016-01-08,0.2009701986066475
2016-01-11,0.1998189755424011
2016-01-12,0.19975271990250287
2016-01-13,0.19886536386219686
2016-01-14,0.1988680448521411
2016-01-15,0.198770430133068
2016-01-18,0.1985579460132232
2016-01-19,0.19854314925865868
2016-01-20,0.19818286423358836
2016-01-21,0.19640787153092734
2016-01-22,0.19577967014060324
2016-01-25,0.1955987027314685
2016-01-26,0.19559029426779898
2016-01-27,0.19540148427117507
2016-01-28,0.19438139707467822
2016-01-29,0.19419524174291447
2016-02-01,0.19261799801205065
2016-02-02,0.19208634975385833
2016-02-03,0.19153432014336727
2016-02-04,0.19151113526447006
2016-02-05,0.1900927677582776
2016-02-15,0.18998570151663485
2016-02-16,0.18956460494998342
2016-02-17,0.1893764563032718
2016-02-18,0.1885912928618758
2016-02-19,0.18568149070440387
2016-02-22,0.18395553542297075
2016-02-23,0.18134599443250057
2016-02-24,0.1801395831706966
2016-02-25,0.1788102285812319
2016-02-26,0.17737876123315366
2016-02-29,0.17393155344205527
2016-03-01,0.1705973649517737
2016-03-02,0.16967073169007638
2016-03-03,0.16541175341130307
2016-03-04,0.16547792701075703
2016-03-07,0.16512080954915762
2016-03-08,0.16438771002705913
2016-03-09,0.1629595803855961
2016-03-10,0.16224640911677227
2016-03-11,0.1596726858318899
2016-03-14,0.15579008691755963
2016-03-15,0.15564031986724639
2016-03-16,0.1539436916651769
2016-03-17,0.1527928037853594
2016-03-18,0.1525440636548342
2016-03-21,0.15260053574588803
2016-03-22,0.14927818714083574
2016-03-23,0.14796350653835924
2016-03-24,0.14469114377213732
2016-03-25,0.14374834546574966
2016-03-28,0.13944627563489906
2016-03-29,0.13340825051153035
2016-03-30,0.12941734441393787
2016-03-31,0.1290532616927606
2016-04-01,0.128884698787823
2016-04-05,0.12841373217327132
2016-04-06,0.12584605443560296
2016-04-07,0.12451670956391034
2016-04-08,0.12370467499387451
2016-04-11,0.12354276271624938
2016-04-12,0.12374143590714437
2016-04-13,0.11921901479526266
2016-04-14,0.11869782285849059
2016-04-15,0.11021705715802581
2016-04-18,0.10963944061163469
2016-04-19,0.10875512740926108
2016-04-20,0.10689344049924006
2016-04-21,0.10509321377096906
2016-04-22,0.09320576034706411
2016-04-25,0.09247764180819054
2016-04-26,0.08806707657705246
2016-04-27,0.08233283534979248
2016-04-28,0.07876150440573262
2016-04-29,0.07527616398673591
2016-05-03,0.07356249786546151
2016-05-04,0.0722832474343159
2016-05-05,0.06935389601926024
2016-05-06,0.06480275027313598
2016-05-09,0.06313491177758525
2016-05-10,0.06204938501468688
2016-05-11,0.06130612672600777
2016-05-12,0.05891502751819279
2016-05-13,0.05853041797273917
2016-05-16,0.05662428771623875
2016-05-17,0.05558165314599714
2016-05-18,0.053541821433123256
2016-05-19,0.05092750237710146
2016-05-20,0.049887172386126014
2016-05-23,0.049544735404567004
2016-05-24,0.04749397281873065
2016-05-25,0.0472354981085645
2016-05-26,0.046292472388181946
2016-05-27,0.04659583850812939
2016-05-30,0.04269067507836095
2016-05-31,0.0425226370267793
2016-06-01,0.04234236212499855
2016-06-02,0.04133567300934132
2016-06-03,0.03790783072864146
2016-06-06,0.03682312184867408
2016-06-07,0.03702510621009883
2016-06-08,0.036886223489947
2016-06-13,0.03600446930171052
2016-06-14,0.03611661723009946
2016-06-15,0.03536362650825455
2016-06-16,0.034917537806968484
2016-06-17,0.03404863429280473
2016-06-20,0.03359928389734845
2016-06-21,0.03290576743364901
2016-06-22,0.03281233876536614
2016-06-23,0.03323634969868943
2016-06-24,0.032743877617095726
2016-06-27,0.03288372901526413
2016-06-28,0.031167193374090477
2016-06-29,0.02967467316597805
2016-06-30,0.028417199700110758
2016-07-01,0.02875269029309622
2016-07-04,0.0289224825586011
2016-07-05,0.029219229324135787
2016-07-06,0.02941320233069749
2016-07-07,0.029585275718905863
2016-07-08,0.029860084307295597
2016-07-11,0.0299158383885348
2016-07-12,0.030015358093029968
2016-07-13,0.030036947442054384
2016-07-14,0.029974556608276328
2016-07-15,0.030407143248640883
2016-07-18,0.031046119448652005
2016-07-19,0.03086157099345165
2016-07-20,0.030671414589059715
2016-07-21,0.030733803650211555
2016-07-22,0.03101482120347228
2016-07-25,0.030426417519295538
2016-07-26,0.030275923730939264
2016-07-27,0.03000580066001756
2016-07-28,0.030070841454033333
2016-07-29,0.029790404972192257
2016-08-01,0.029776219367508527
2016-08-02,0.029719293625651746
2016-08-03,0.02982355279315998
2016-08-04,0.029686015657721943
2016-08-05,0.029723648372914715
2016-08-08,0.029939617257440286
2016-08-09,0.029982583648473563
2016-08-10,0.0303012716522156
2016-08-11,0.030349766105118022
2016-08-12,0.030507496337417013
2016-08-15,0.030734741440933903
2016-08-16,0.030737672509244363
2016-08-17,0.030740349501731917
2016-08-18,0.03073395088273337
2016-08-19,0.030841504083483063
2016-08-22,0.03101485824895333
2016-08-23,0.030978324220338017
2016-08-24,0.031036635141610206
2016-08-25,0.031027999250494313
2016-08-26,0.031005494020061978
2016-08-29,0.030963469225547064
2016-08-30,0.031120289404655287
2016-08-31,0.031210006199106816
2016-09-01,0.03114680811485049
2016-09-02,0.03123776020858373
2016-09-05,0.03132473519902174
2016-09-06,0.031231411031578154
2016-09-07,0.03125603666084493
2016-09-08,0.031098905388527803
2016-09-09,0.03113881737988808
2016-09-12,0.03119371966131776
2016-09-13,0.031298339098947976
2016-09-14,0.03143066209856835
2016-09-19,0.031420626724276014
2016-09-20,0.031374994285021135
2016-09-21,0.03134269597891479
2016-09-22,0.031237471167727418
2016-09-23,0.03133389977568613
2016-09-26,0.03134181006487061
2016-09-27,0.031463173751327296
2016-09-28,0.03149899739346784
2016-09-29,0.031587369424052776
2016-09-30,0.03161232336145813
2016-10-10,0.031863238677921464
2016-10-11,0.03189104405931507
2016-10-12,0.031870372345897575
2016-10-13,0.032020094568456337
2016-10-14,0.03215931843868441
2016-10-17,0.03214994671826473
2016-10-18,0.032121380641911085
2016-10-19,0.03210466934160739
2016-10-20,0.03229146610576884
2016-10-21,0.03226753874367797
2016-10-24,0.032217637054438274
2016-10-25,0.03226909945133013
2016-10-26,0.03230023939634287
2016-10-27,0.03218321443682213
2016-10-28,0.03224658909737295
2016-10-31,0.032186703289053924
2016-11-01,0.032087294559270126
2016-11-02,0.03204913194948412
2016-11-03,0.032021932056558886
2016-11-04,0.032093733110801576
2016-11-07,0.032205847015695885
2016-11-08,0.031925596721174794
2016-11-09,0.031759972983587285
2016-11-10,0.03172389521425719
2016-11-11,0.03165959402921888
2016-11-14,0.03166298352453769
2016-11-15,0.03176084525866532
2016-11-16,0.03186248161750836
2016-11-17,0.03187874549179792
2016-11-18,0.03188453118076942
2016-11-21,0.032212074598671495
2016-11-22,0.03239375995358685
2016-11-23,0.03233648079202976
2016-11-24,0.032323153582076415
2016-11-25,0.03241807723785899
2016-11-28,0.032415165450541336
2016-11-29,0.03248142032905015
2016-11-30,0.03249972694550845
2016-12-01,0.03254863149918582
2016-12-02,0.03238317828077791
2016-12-05,0.032159579577916125
2016-12-06,0.032007770846821035
2016-12-07,0.032003664934217656
2016-12-08,0.03190479133601014
2016-12-09,0.03191559705946065
2016-12-12,0.031765619847829614
2016-12-13,0.03150580944035239
2016-12-14,0.03150671600121418
2016-12-15,0.03148366549364748
2016-12-16,0.03134103969846773
2016-12-19,0.031418119166588154
2016-12-20,0.031187711826881993
2016-12-21,0.03111417278745172
2016-12-22,0.031228669804705962
2016-12-23,0.031220728535950638
2016-12-26,0.031293944140872415
2016-12-27,0.031054684372989357
2016-12-28,0.031100036511965207
2016-12-29,0.03081198209245528
2016-12-30,0.03072627283375251
2017-01-03,0.030599261871154502
2017-01-04,0.030511796409251953
2017-01-05,0.030560587286565945
2017-01-06,0.030362734141799092
2017-01-09,0.030170776840423054
2017-01-10,0.030036364106332886
2017-01-11,0.029984061898872483
2017-01-12,0.029656605444565838
2017-01-13,0.029309363921602823
2017-01-16,0.02919412963361601
2017-01-17,0.029060813194157594
2017-01-18,0.029101448894651986
2017-01-19,0.028756153400714534
2017-01-20,0.02877512959894589
2017-01-23,0.028884912721896316
2017-01-24,0.028572027686471633
2017-01-25,0.028511327561829267
2017-01-26,0.028228806660065213
2017-02-03,0.02807444944532457
2017-02-06,0.027957826946704355
2017-02-07,0.027869850889284346
2017-02-08,0.027467765159032532
2017-02-09,0.027349775905954648
2017-02-10,0.027113909407361064
2017-02-13,0.02696966073626425
2017-02-14,0.026460229680055684
2017-02-15,0.026415627404025817
2017-02-16,0.02603594786532164
2017-02-17,0.025939844837549
2017-02-20,0.025991731694024127
2017-02-21,0.025955763789957363
2017-02-22,0.025656785234003318
2017-02-23,0.02538548457455379
2017-02-24,0.025199341222954925
2017-02-27,0.02482527868316685
2017-02-28,0.02483001238698876
2017-03-01,0.024736145015257765
2017-03-02,0.024658289836042596
2017-03-03,0.024591797808848428
2017-03-06,0.02443059855130719
2017-03-07,0.02429086868363874
2017-03-08,0.02431545762532056
2017-03-09,0.024019127177433663
2017-03-10,0.0240615743924467
2017-03-13,0.024066860056437905
2017-03-14,0.0237295036544694
2017-03-15,0.023899025007669637
2017-03-16,0.02400165723474358
2017-03-17,0.023925569953390714
2017-03-20,0.02405876713446043
2017-03-21,0.023783338775676597
2017-03-22,0.023888127829785093
2017-03-23,0.023761932477293503
2017-03-24,0.023632905163935215
2017-03-27,0.023283766702267318
2017-03-28,0.022970290859889574
2017-03-29,0.022427599660815898
2017-03-30,0.02190215341441768
2017-03-31,0.021209172070013306
2017-04-05,0.020922990944274557
2017-04-06,0.020747751027380287
2017-04-07,0.020632568771177827
2017-04-10,0.020197653408978077
2017-04-11,0.02015359141935406
2017-04-12,0.020155063555140663
2017-04-13,0.02011524356609859
2017-04-14,0.019734408769096372
2017-04-17,0.018912494752660443
2017-04-18,0.018975346345301788
2017-04-19,0.01880261956056246
2017-04-20,0.018670811644715787
2017-04-21,0.018454417993715166
2017-04-24,0.01852570460722008
2017-04-25,0.018480036170874608
2017-04-26,0.018290276298669837
2017-04-27,0.018117130105231964
2017-04-28,0.01810430808467497
2017-05-02,0.018082886358187337
2017-05-03,0.017974772122791843
2017-05-04,0.01791145517807221
2017-05-05,0.017869155441555696
2017-05-08,0.017789803495037455
2017-05-09,0.017679193483068577
2017-05-10,0.017629718667788268
2017-05-11,0.017454829065370273
2017-05-12,0.01737925082479039
2017-05-15,0.01729797373385844
2017-05-16,0.01702817995241835
2017-05-17,0.017015405681700978
2017-05-18,0.017029439872103896
2017-05-19,0.01701374420521979
2017-05-22,0.016925938155422933
2017-05-23,0.01674076814520542
2017-05-24,0.01680143546237311
2017-05-25,0.016833312678748207
2017-05-26,0.01687488832081979
2017-05-31,0.016758098024617724
2017-06-01,0.016810358732600842
2017-06-02,0.016726118840701583
2017-06-05,0.016537620559366625
2017-06-06,0.016504768452911742
2017-06-07,0.016373015629527393
2017-06-08,0.016339391608711985
2017-06-09,0.0165518361073097
2017-06-12,0.01650762177412471
2017-06-13,0.016739078943248217
2017-06-14,0.01679063961334869
2017-06-15,0.016733286217879395
2017-06-16,0.01660338383844632
2017-06-19,0.01650093408654018
2017-06-20,0.01652031005240934
2017-06-21,0.016603309872745674
2017-06-22,0.016605675453011403
2017-06-23,0.016725422059818112
