date,FCT_Cci@40
2014-12-19,
2014-12-22,
2014-12-23,
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-16,126.60311323432862
2015-02-17,98.79722175165168
2015-02-25,79.49662369551831
2015-02-26,80.36455421727528
2015-02-27,99.33354039662845
2015-03-02,106.16090710626682
2015-03-03,78.97153351698775
2015-03-04,91.48706495440166
2015-03-05,81.42041434236735
2015-03-06,70.6480968068106
2015-03-09,75.08823502726466
2015-03-10,113.75707955512537
2015-03-11,148.7496662810357
2015-03-12,145.4068241469813
2015-03-13,156.56354120679103
2015-03-16,163.12877910716603
2015-03-17,160.57985679898184
2015-03-18,139.48398170237192
2015-03-19,122.73978824264141
2015-03-20,127.64197377672896
2015-03-23,132.37148470719308
2015-03-24,172.80133000831236
2015-03-25,162.9258971369345
2015-03-26,154.10223494172152
2015-03-27,165.6780219573284
2015-03-30,160.68824730242045
2015-03-31,154.44826269568588
2015-04-01,98.70541611624803
2015-04-02,82.55075386737836
2015-04-03,68.13598996009425
2015-04-07,61.5321395821903
2015-04-08,41.35715072285875
2015-04-09,24.783387998053385
2015-04-10,46.354826811536675
2015-04-13,73.51427346011553
2015-04-14,60.30579197831003
2015-04-15,3.2612023066124176
2015-04-16,-6.8871843420916825
2015-04-17,7.672245153743688
2015-04-20,2.409138443304034
2015-04-21,-12.054179456692447
2015-04-22,-8.877934861157943
2015-04-23,-2.093629418632799
2015-04-24,-25.230318076859668
2015-04-27,-28.524929415618928
2015-04-28,-16.819169831153165
2015-04-29,-46.789041983505875
2015-04-30,-13.099341345069332
2015-05-04,26.667540871766928
2015-05-05,25.400516770931965
2015-05-06,22.879816901893086
2015-05-07,45.93494151776121
2015-05-08,18.467722747614253
2015-05-11,18.035400643585408
2015-05-12,24.464643574164423
2015-05-13,54.06479225462194
2015-05-14,62.14401875836515
2015-05-15,77.67712217237506
2015-05-18,49.28187111720873
2015-05-19,44.11222396843512
2015-05-20,32.02326891133857
2015-05-21,32.2591519109197
2015-05-22,22.148991802570716
2015-05-25,-44.47324233894733
2015-05-26,-103.4838450355017
2015-05-27,-183.3314556541034
2015-05-28,-177.05505689016644
2015-05-29,-137.08384048638538
2015-06-01,-93.81255242085507
2015-06-02,-85.99752168525366
2015-06-03,-97.17387235635319
2015-06-04,-143.89819060822418
2015-06-05,-168.23413074123178
2015-06-08,-206.0284993684839
2015-06-09,-158.88615888615968
2015-06-10,-164.07880553198254
2015-06-11,-139.53997809419445
2015-06-12,-151.84876285793564
2015-06-15,-179.88595127008753
2015-06-16,-134.52931385241345
2015-06-17,-105.99537448852554
2015-06-18,-87.84194877799578
2015-06-19,-87.91404752351669
2015-06-23,-73.96210877609317
2015-06-24,-93.2202502486782
2015-06-25,-95.8669601369529
2015-06-26,-93.53779292293278
2015-06-29,-95.94677574544374
2015-06-30,-111.27356822721075
2015-07-01,-72.3391383259147
2015-07-02,-95.73725677048
2015-07-03,-81.08849939222837
2015-07-06,-68.9544836413086
2015-07-07,-63.40196910105146
2015-07-08,-122.35935330031732
2015-07-09,-43.715666159241806
2015-07-10,-40.79921427210263
2015-07-13,-39.2067211521986
2015-07-14,-55.87600873837899
2015-07-15,-67.95851528384425
2015-07-16,-18.3942140905816
2015-07-17,14.870972444961968
2015-07-20,-72.09302325581535
2015-07-21,-99.60091497542167
2015-07-22,-84.41898184481806
2015-07-23,-86.76562405591072
2015-07-24,-118.09894776704805
2015-07-27,-224.15435602248925
2015-07-28,-280.0418435876788
2015-07-29,-234.37029722908596
2015-07-30,-242.72946377025275
2015-07-31,-213.7459796808879
2015-08-03,-260.18958771371
2015-08-04,-246.372021150454
2015-08-05,-228.26335086407238
2015-08-06,-199.8601180402239
2015-08-07,-204.62562322129318
2015-08-10,-214.12323351656178
2015-08-11,-178.72340774919604
2015-08-12,-177.17071085653154
2015-08-13,-125.35390060728335
2015-08-14,-73.06623845768567
2015-08-17,-61.98402154502222
2015-08-18,-56.15911667372702
2015-08-19,-74.1788394014504
2015-08-20,-94.32814156909963
2015-08-21,-105.91535854704684
2015-08-24,-116.67479526357101
2015-08-25,-72.55540401470589
2015-08-26,-69.74815073644096
2015-08-27,-85.87181885234214
2015-08-28,-72.2220678749406
2015-08-31,-136.05823992598167
2015-09-01,-147.3758176459429
2015-09-02,-151.64825091142944
2015-09-07,-150.84592840691957
2015-09-08,-127.16320417233963
2015-09-09,-122.26224806599195
2015-09-10,-143.60764402675667
2015-09-11,-117.66439084210704
2015-09-14,-135.17573173352156
2015-09-15,-143.85780309311045
2015-09-16,-116.16262985038998
2015-09-17,-116.08665003830549
2015-09-18,-146.39933186710402
2015-09-21,-121.20561991263428
2015-09-22,-150.64515940125617
2015-09-23,-162.24372059998237
2015-09-24,-142.0026265838479
2015-09-25,-138.7127643786688
2015-09-28,-135.76303143352672
2015-09-29,-156.50581539223012
2015-09-30,-189.74065598779538
2015-10-08,-262.44374151525057
2015-10-09,-248.35066883438913
2015-10-12,-230.97859075725395
2015-10-13,-243.7461757189646
2015-10-14,-233.68448432826116
2015-10-15,-207.94872023995657
2015-10-16,-190.061565523307
2015-10-19,-181.65618650206062
2015-10-20,-168.96756881458006
2015-10-21,-152.72953400576841
2015-10-22,-153.67381890433276
2015-10-23,-147.4463601173168
2015-10-26,-121.92782880507839
2015-10-27,-99.88217290759123
2015-10-28,-99.8547567175015
2015-10-29,-91.68785567259971
2015-10-30,-83.62551785645343
2015-11-02,-76.10543761302888
2015-11-03,-63.83165266434596
2015-11-04,-46.025424972194386
2015-11-05,-34.60204803643909
2015-11-06,-27.766609221650803
2015-11-09,-2.7418871143122963
2015-11-10,-21.119914127041554
2015-11-11,-25.05971943869684
2015-11-12,3.8598227289030738
2015-11-13,33.758276094209286
2015-11-16,34.91631901073562
2015-11-17,29.19405589047178
2015-11-18,37.881342574852354
2015-11-19,20.783991021545642
2015-11-20,30.480592251881674
2015-11-23,52.762309185519825
2015-11-24,86.62405893721223
2015-11-25,89.25434501117662
2015-11-26,106.29772637034576
2015-11-27,125.9039595627666
2015-11-30,134.26514238932887
2015-12-01,118.12333172578298
2015-12-02,106.86123231379429
2015-12-03,101.29919227220853
2015-12-04,68.93345065413797
2015-12-07,30.506581363622647
2015-12-08,7.429077933744266
2015-12-09,-2.799555424676767
2015-12-10,0.08424867171248
2015-12-11,10.370545114135014
2015-12-14,7.586390002379726
2015-12-15,22.29114717224041
2015-12-16,19.318992355313185
2015-12-17,38.66509091332107
2015-12-18,61.83361525046494
2015-12-21,53.10801169358339
2015-12-22,40.95769257490264
2015-12-23,-0.4384511214669843
2015-12-24,-2.7782730310594745
2015-12-25,-37.64330819692271
2015-12-28,-133.71521635357843
2015-12-29,-115.91127280076849
2015-12-30,-82.89628006815782
2015-12-31,-94.10051848880585
2016-01-04,-94.30313847984607
2016-01-05,-60.60606060606112
2016-01-06,-41.87571074988203
2016-01-07,-86.5721072073483
2016-01-08,-94.9873862016012
2016-01-11,-77.94045769227913
2016-01-12,-47.2219771169735
2016-01-13,-39.6724629680745
2016-01-14,-35.73684015008
2016-01-15,-37.26671391448181
2016-01-18,-9.265601638051885
2016-01-19,-22.181918601613376
2016-01-20,-9.626728328063272
2016-01-21,-0.5172032650534416
2016-01-22,79.181301764885
2016-01-25,126.315789473684
2016-01-26,115.71749629417016
2016-01-27,132.5900226353928
2016-01-28,123.77737910623276
2016-01-29,99.03606719627683
2016-02-01,107.91408678944453
2016-02-02,105.72241286808988
2016-02-03,112.77969294806329
2016-02-04,132.23219628964742
2016-02-05,108.31469052945606
2016-02-15,137.29559079138772
2016-02-16,132.17680749618947
2016-02-17,49.48995389082702
2016-02-18,0.05059640512542535
2016-02-19,-18.551371078108545
2016-02-22,-26.137025295983115
2016-02-23,-35.294530400309355
2016-02-24,-49.34209071408089
2016-02-25,-50.39851512173821
2016-02-26,-48.50834679590721
2016-02-29,-114.84406258554971
2016-03-01,-46.02967977089314
2016-03-02,-53.87223293226135
2016-03-03,4.207929771103035
2016-03-04,53.61410820617515
2016-03-07,32.37276145798396
2016-03-08,18.395233103865767
2016-03-09,0.4990307287778312
2016-03-10,-48.091285291020334
2016-03-11,-2.043109612831116
2016-03-14,-47.4920236414036
2016-03-15,-80.21435150297306
2016-03-16,-120.56781424480327
2016-03-17,-145.87409079508393
2016-03-18,-67.21845999498454
2016-03-21,-9.405841574919307
2016-03-22,18.822392738538
2016-03-23,20.85345040348057
2016-03-24,-46.68560736349993
2016-03-25,-42.751567518471994
2016-03-28,-138.0882145797587
2016-03-29,-142.52330851263125
2016-03-30,-116.59804724043408
2016-03-31,-166.6044727889876
2016-04-01,-166.28558942548094
2016-04-05,-113.38087932912089
2016-04-06,-98.83135394116026
2016-04-07,-124.59875895040174
2016-04-08,-133.49479565418787
2016-04-11,-111.1134975994214
2016-04-12,-44.55265167202509
2016-04-13,13.147773877649513
2016-04-14,90.57515003854736
2016-04-15,77.94920674902329
2016-04-18,201.67372065441697
2016-04-19,266.1377756492708
2016-04-20,334.7266469872139
2016-04-21,396.8407305360679
2016-04-22,268.6494797993332
2016-04-25,235.71262483957585
2016-04-26,221.97118760094943
2016-04-27,153.1899756899564
2016-04-28,114.48465658938878
2016-04-29,123.53854352863267
2016-05-03,141.78738220895818
2016-05-04,119.85983764213665
2016-05-05,85.07872959434172
2016-05-06,40.555500607924756
2016-05-09,30.970460697822123
2016-05-10,30.290099647947535
2016-05-11,77.14056094654183
2016-05-12,71.28079639665924
2016-05-13,35.84698450374076
2016-05-16,32.41544681015859
2016-05-17,41.701985843349625
2016-05-18,41.997606354042254
2016-05-19,57.931830061825345
2016-05-20,74.266206736726
2016-05-23,74.76562053392816
2016-05-24,58.9382448537381
2016-05-25,45.51629420633848
2016-05-26,39.722262685117684
2016-05-27,65.77413259357529
2016-05-30,138.23343953272274
2016-05-31,171.81588368029014
2016-06-01,170.44861931791237
2016-06-02,176.14193638783775
2016-06-03,162.05135174928952
2016-06-06,190.17693281238917
2016-06-07,164.61831159993866
2016-06-08,145.97022682555624
2016-06-13,192.08480880158564
2016-06-14,183.3799237611184
2016-06-15,151.84802062295807
2016-06-16,84.13956631342072
2016-06-17,61.83237510410053
2016-06-20,58.62258953167995
2016-06-21,62.336049670159305
2016-06-22,58.75000000000025
2016-06-23,17.294449131031044
2016-06-24,-2.9992086470887194
2016-06-27,6.713177761739443
2016-06-28,35.29790064907916
2016-06-29,34.23947371557313
2016-06-30,39.95926236126493
2016-07-01,6.9587004636419465
2016-07-04,26.962580170919225
2016-07-05,-10.188650740013644
2016-07-06,-47.113527451043865
2016-07-07,-49.68774480378002
2016-07-08,-81.28375430392235
2016-07-11,-60.91353794768223
2016-07-12,-64.24229552614429
2016-07-13,-47.49105679818805
2016-07-14,-64.0207285067121
2016-07-15,-85.11267912132301
2016-07-18,-139.98459572583624
2016-07-19,-156.5450461200842
2016-07-20,-158.80085043381223
2016-07-21,-145.71309211891165
2016-07-22,-157.81700639686275
2016-07-25,-156.50407852288774
2016-07-26,-141.10917131009575
2016-07-27,-140.488562981628
2016-07-28,-151.0760489776717
2016-07-29,-158.64752888472404
2016-08-01,-138.92617507540373
2016-08-02,-118.36378516116635
2016-08-03,-97.79481935764696
2016-08-04,-84.47032956253366
2016-08-05,-83.28333201440782
2016-08-08,-100.70755405404341
2016-08-09,-99.45974612746208
2016-08-10,-79.39460133843583
2016-08-11,-72.47445851314535
2016-08-12,-68.24737012867836
2016-08-15,-28.658026989907857
2016-08-16,-11.580363450174294
2016-08-17,-13.557703122587622
2016-08-18,-11.540923650767
2016-08-19,-41.70034322684488
2016-08-22,-67.25941526566442
2016-08-23,-87.17991215712259
2016-08-24,-83.62349117920186
2016-08-25,-85.24456320047507
2016-08-26,-93.31381161542186
2016-08-29,-93.21795412973107
2016-08-30,-107.5835379921112
2016-08-31,-154.8763002959028
2016-09-01,-152.4102079395093
2016-09-02,-195.41872652155945
2016-09-05,-236.37008590508805
2016-09-06,-234.02315924513002
2016-09-07,-227.60135110488554
2016-09-08,-214.66118157924805
2016-09-09,-179.16622986336802
2016-09-12,-171.89415812996847
2016-09-13,-132.90395908315958
2016-09-14,-125.83334836215887
2016-09-19,-112.62153924602215
2016-09-20,-113.60559001019729
2016-09-21,-131.27788703503956
2016-09-22,-133.04073653676386
2016-09-23,-124.49426021642799
2016-09-26,-123.1599732401834
2016-09-27,-126.93166946475091
2016-09-28,-138.99120372706327
2016-09-29,-129.2978602229274
2016-09-30,-103.40592517149466
2016-10-10,-58.10397553516794
2016-10-11,-46.817293735033104
2016-10-12,-40.72734479512488
2016-10-13,-27.37786962539176
2016-10-14,8.03134394773129
2016-10-17,23.266267266884554
2016-10-18,13.305682751325172
2016-10-19,17.8387784805618
2016-10-20,90.34196521783373
2016-10-21,103.57038637779735
2016-10-24,89.69012357841075
2016-10-25,69.45509271090654
2016-10-26,68.36828775836463
2016-10-27,96.88215606834588
2016-10-28,72.02779222798259
2016-10-31,72.93796864348987
2016-11-01,100.62547673531635
2016-11-02,86.76810951888464
2016-11-03,107.90108047917941
2016-11-04,93.74530823048943
2016-11-07,96.2161717045163
2016-11-08,142.20374220374225
2016-11-09,153.03999789346193
2016-11-10,186.82193689658573
2016-11-11,193.9457612520201
2016-11-14,145.38339424816363
2016-11-15,132.81362007168437
2016-11-16,125.77756451128744
2016-11-17,113.30098984809719
2016-11-18,114.08628424086693
2016-11-21,129.06805116516907
2016-11-22,163.81645441681826
2016-11-23,160.4839293333656
2016-11-24,150.95128700531586
2016-11-25,112.70274900636852
2016-11-28,117.51650685074378
2016-11-29,141.49636425115108
2016-11-30,138.62204180176226
2016-12-01,136.0894682095176
2016-12-02,125.97064999740851
2016-12-05,131.4360295804608
2016-12-06,103.02950764128596
2016-12-07,88.70063524257887
2016-12-08,62.30212292789857
2016-12-09,52.79204571679511
2016-12-12,53.226514878125904
2016-12-13,47.27724435953397
2016-12-14,36.08602165032578
2016-12-15,30.94671818566793
2016-12-16,51.32772765018921
2016-12-19,32.265139715793566
2016-12-20,-16.963490822022443
2016-12-21,-46.50885205974719
2016-12-22,-72.32876202201722
2016-12-23,-54.720685391493795
2016-12-26,-25.179257392784134
2016-12-27,-26.826161466487584
2016-12-28,-38.82164342026611
2016-12-29,-70.4926885446416
2016-12-30,-101.70859702433299
2017-01-03,-102.64356715190165
2017-01-04,-85.56381800982454
2017-01-05,-86.89665891993648
2017-01-06,-122.04151040807619
2017-01-09,-133.38636530635952
2017-01-10,-129.27225391258514
2017-01-11,-115.07175299047742
2017-01-12,-118.77104546787065
2017-01-13,-82.85559499769288
2017-01-16,-49.53800229873555
2017-01-17,-37.25493644373878
2017-01-18,-13.717500782336032
2017-01-19,-6.96873396891403
2017-01-20,-28.25910348302694
2017-01-23,-1.491580238652462
2017-01-24,-9.954518149832387
2017-01-25,-44.76250299114583
2017-01-26,-45.9115917283251
2017-02-03,-15.011941316956914
2017-02-06,62.112363619901124
2017-02-07,67.07549661101507
2017-02-08,85.0338039167333
2017-02-09,70.6745768739593
2017-02-10,55.296261723784866
2017-02-13,83.07843104118564
2017-02-14,28.973306675083904
2017-02-15,-18.55388813096908
2017-02-16,-2.196137826580268
2017-02-17,-46.67053439051055
2017-02-20,4.4882252923888695
2017-02-21,80.9158796708029
2017-02-22,114.94299868484673
2017-02-23,128.66917527757232
2017-02-24,165.6667965199322
2017-02-27,256.9400772617026
2017-02-28,248.4336751749653
2017-03-01,219.73710025505216
2017-03-02,210.46756064514153
2017-03-03,166.79470763977858
2017-03-06,199.33341364494245
2017-03-07,163.35136126134455
2017-03-08,105.76923076923079
2017-03-09,95.91501311593207
2017-03-10,73.03820885956118
2017-03-13,69.17602204494258
2017-03-14,75.62495517836112
2017-03-15,74.07916962845813
2017-03-16,69.40639269406337
2017-03-17,25.723216279143656
2017-03-20,45.519661338870776
2017-03-21,64.87566035304683
2017-03-22,79.06498721288767
2017-03-23,62.97728921912543
2017-03-24,68.76174912852237
2017-03-27,84.89144522429541
2017-03-28,61.23983235712556
2017-03-29,-17.07195748599792
2017-03-30,-63.853090565700334
2017-03-31,-54.87084517135473
