underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
CU,2010-01-04,CU1004,107296.32695453484,107082.26944440111,108295.26200182561,106707.66880166707,0,285600.0,107064.43131855663,107688.76572311336,106475.77316568885,161040.0,109668.79769185041,103264.91051368283,60150.0
CU,2010-01-05,CU1004,107831.47072986918,108081.20449169187,108223.9094984477,106850.3738084229,0,270286.0,107082.26944440111,107670.92759726888,107688.76572311336,160152.0,110917.46650096387,104442.22681941837,60450.0
CU,2010-01-06,CU1004,108206.07137260321,109936.36957951757,110489.3514806964,107938.49948493605,0,317130.0,108081.20449169187,109526.09268509458,107670.92759726888,172100.0,110899.62837511938,104424.3886935739,60660.0
CU,2010-01-07,CU1004,110721.24711667461,109115.8157906716,113182.90848321257,107938.49948493605,0,585286.0,109936.36957951757,110346.64647394058,109526.09268509458,159808.0,113182.90848321257,107938.49948493605,62070.0
CU,2010-01-08,CU1004,109169.33016820502,108259.58575013666,109633.12144016146,106457.93503984438,0,533576.0,109115.8157906716,107920.66135909157,110346.64647394058,155876.0,113646.69975516899,106457.93503984438,61200.0
CU,2010-01-11,CU1004,109793.66457276176,110899.62837511938,111523.96277967612,109757.9883210728,0,313530.0,108259.58575013666,110578.54210991878,107920.66135909157,156532.0,111523.96277967612,109757.9883210728,61550.0
CU,2010-01-12,CU1004,109740.15019522831,110061.23646042892,110328.80834809609,108901.75828053786,0,269398.0,110899.62837511938,109668.79769185041,110578.54210991878,151668.0,113878.5953911472,107260.65070284589,61520.0
CU,2010-01-13,CU1004,106136.84877464377,106618.47817244468,107884.98510740261,104834.66558799689,0,379902.0,110061.23646042892,106779.02130504498,109668.79769185041,157426.0,112951.01284723435,104834.66558799689,59500.0
CU,2010-01-14,CU1004,108830.40577715995,108366.61450520351,109240.68267158294,108099.04261753635,0,180786.0,106618.47817244468,108598.51014118173,106779.02130504498,150502.0,109972.04583120653,103568.15865303895,61010.0
CU,2010-01-15,CU1004,108295.26200182561,107938.49948493605,108741.21514793756,107332.0032062238,0,157256.0,108366.61450520351,108045.52824000291,108598.51014118173,148232.0,111845.04904487672,105334.13311164227,60710.0
CU,2010-01-18,CU1004,107028.75506686767,108598.51014118173,108723.37702209307,106957.40256348976,0,114758.0,107938.49948493605,108027.69011415844,108045.52824000291,140768.0,111274.22901785343,104798.98933630793,60000.0
CU,2010-01-19,CU1004,109222.84454573847,109936.36957951757,110025.56020873997,109080.13953898264,0,88826.0,108598.51014118173,109615.28331431697,108027.69011415844,120820.0,111256.39089200895,104781.15121046345,61230.0
CU,2010-01-20,CU1005,110541.2953872055,108530.8066734192,110737.00667792805,108495.22280237873,0,309334.0,109936.36957951757,109420.40344943083,109509.36312703199,172128.0,112783.0792627548,106217.85505578895,62130.0
CU,2010-01-21,CU1005,108174.96796301454,108477.4308668585,108940.02119038455,107285.37118700291,0,354376.0,108530.8066734192,108157.17602749431,109420.40344943083,185938.0,112694.11958515365,106128.8953781878,60800.0
CU,2010-01-22,CU1005,106004.35182954617,105612.92924810105,106698.23731483523,104260.74214856337,0,446150.0,108477.4308668585,105630.72118362128,108157.17602749431,205670.0,111395.30829217666,104260.74214856337,59580.0
CU,2010-01-25,CU1005,106360.19053995081,106627.0695727543,106858.36473451732,105470.59376393918,0,316838.0,105612.92924810105,106200.06312026872,105630.72118362128,209794.0,108797.68570622269,102445.96472549964,59780.0
CU,2010-01-26,CU1005,107516.66634876594,105346.05021529755,107552.2502198064,105292.67440873686,0,357058.0,106627.0695727543,106342.39860443058,106200.06312026872,216100.0,109384.81957839036,102997.51472662685,60430.0
CU,2010-01-27,CU1005,105950.97602298546,105915.392151945,106484.73408859245,105168.13086009523,0,336408.0,105346.05021529755,105933.18408746523,106342.39860443058,214978.0,109527.15506255222,103139.8502107887,59550.0
CU,2010-01-28,CU1005,102303.62924133777,102268.0453702973,103157.64214630894,101502.9921429273,0,517296.0,105915.392151945,102481.5485965401,105933.18408746523,225750.0,109100.14861006665,101502.9921429273,57500.0
CU,2010-01-29,CU1005,101022.60988388101,98869.78568593286,101200.52923908335,98549.53084656868,0,533156.0,102268.0453702973,99937.30181714683,102481.5485965401,234376.0,105541.76150602012,98549.53084656868,56780.0
CU,2010-02-01,CU1005,97944.60503888076,96912.67277870727,98353.81955584612,94937.76793596146,0,613814.0,98869.78568593286,96325.5389065396,99937.30181714683,216234.0,102926.34698454592,94937.76793596146,55050.0
CU,2010-02-02,CU1005,98229.27600720449,96610.20987486331,98727.450201771,96272.1630999789,0,459288.0,96912.67277870727,97482.01471535472,96325.5389065396,206016.0,99207.83246081728,93425.45341674167,55210.0
CU,2010-02-03,CU1005,97980.18890992123,99439.12762258032,99634.83891330287,97072.80019838936,0,521488.0,96610.20987486331,98460.57116896752,97482.01471535472,198888.0,100399.89214067288,94546.34535451634,55070.0
CU,2010-02-04,CU1005,95542.69374364936,96076.45180925634,96894.88084318704,95044.51954908285,0,448664.0,99439.12762258032,95969.70019613495,98460.57116896752,201322.0,101414.03246532613,95044.51954908285,53700.0
CU,2010-02-05,CU1005,93016.23889977632,92482.48083416934,93140.78244841796,91379.38083191492,0,397578.0,96076.45180925634,92304.56147896702,95969.70019613495,195436.0,98834.2018148924,91379.38083191492,52280.0
CU,2010-02-08,CU1005,93265.32599705958,93514.41309434283,94795.43245179958,93069.61470633702,0,287140.0,92482.48083416934,93656.7485785047,92304.56147896702,188590.0,95062.31148460308,89529.01953781072,52420.0
CU,2010-02-09,CU1005,93247.53406153935,94653.09696763773,94991.14374252215,92482.48083416934,0,398498.0,93514.41309434283,94012.58728890936,93656.7485785047,193240.0,96450.08245518123,90845.62276630793,52410.0
CU,2010-02-10,CU1005,96076.45180925634,97250.7195535917,97659.93407055705,95453.7340660482,0,369934.0,94653.09696763773,96325.5389065396,94012.58728890936,172102.0,97659.93407055705,95453.7340660482,54000.0
CU,2010-02-11,CU1005,97659.93407055705,98549.53084656868,99047.7050411352,97517.59858639518,0,255914.0,97250.7195535917,98496.15504000799,96325.5389065396,165818.0,99207.83246081728,93425.45341674167,54890.0
CU,2010-02-12,CU1005,100684.5631089966,100364.30826963241,100880.27439971916,99421.33568706008,0,214074.0,98549.53084656868,100133.01310786938,98496.15504000799,162166.0,101449.6163363666,95524.90180812913,56590.0
CU,2010-02-22,CU1005,106733.8211858757,104990.2115048929,106751.61312139593,104883.4598917715,0,183196.0,100364.30826963241,105470.59376393918,100133.01310786938,142436.0,106751.61312139593,104883.4598917715,59990.0
CU,2010-02-23,CU1005,104634.37279448824,104776.70827865011,105203.7147311357,103655.81634087545,0,150202.0,104990.2115048929,104403.07763272522,105470.59376393918,134892.0,108619.76635102036,102303.62924133777,58810.0
CU,2010-02-24,CU1005,102659.46795174242,103495.68892119336,103815.94376055755,102499.34053206033,0,91510.0,104776.70827865011,103264.39375943033,104403.07763272522,124864.0,107534.45828428617,101253.90504564405,57700.0
CU,2010-02-25,CU1006,103726.389187993,102945.55751574806,104613.69790645316,102714.85724894842,0,347708.0,103495.68892119336,103566.67361867017,103158.5116081785,177706.0,106246.34594841987,100052.93109356794,58450.0
CU,2010-02-26,CU1006,103300.48100313212,103264.98865439372,103921.59710605424,102768.09577205603,0,293268.0,102945.55751574806,103353.71952623973,103566.67361867017,189812.0,106672.25413328075,100443.34692969041,58210.0
CU,2010-03-01,CU1006,108517.85626767788,107861.24781601736,108517.85626767788,106654.50795891153,0,441518.0,103264.98865439372,107488.57815426409,103353.71952623973,211726.0,108517.85626767788,106654.50795891153,61150.0
CU,2010-03-02,CU1006,106814.22352823438,105004.11374257563,106973.9390975572,104915.38287072962,0,362298.0,107861.24781601736,105997.89950725102,107488.57815426409,214362.0,110700.63571508988,104258.7744190691,60190.0
CU,2010-03-03,CU1006,106477.04621521951,105873.6762866666,106565.77708706552,105430.02192743652,0,290284.0,105004.11374257563,105980.15333288182,105997.89950725102,209892.0,109174.4647193384,102803.58812079443,60000.0
CU,2010-03-04,CU1006,106246.34594841987,105430.02192743652,107151.40084124923,105412.27575306731,0,405516.0,105873.6762866666,106246.34594841987,105980.15333288182,219192.0,109156.7185449692,102785.84194642524,59870.0
CU,2010-03-05,CU1006,105376.7834043289,106246.34594841987,106423.80769211189,104950.87521946803,0,360530.0,105430.02192743652,105678.46836860536,106246.34594841987,207866.0,109422.91116050725,103052.03456196329,59380.0
CU,2010-03-08,CU1006,106849.71587697278,107701.53224669454,107861.24781601736,106565.77708706552,0,311090.0,106246.34594841987,107311.11641057207,105678.46836860536,210790.0,108837.28740632354,102501.90315651798,60210.0
CU,2010-03-09,CU1006,107009.43144629561,106956.19292318799,107399.84728241808,106441.5538664811,0,287352.0,107701.53224669454,106956.19292318799,107311.11641057207,210164.0,110523.17397139785,104081.31267537706,60300.0
CU,2010-03-10,CU1006,107027.1776206648,107577.30902611012,107790.26311854055,107009.43144629561,0,252260.0,106956.19292318799,107453.08580552568,106956.19292318799,210968.0,110150.50430964459,103744.13536236221,60310.0
CU,2010-03-11,CU1006,106796.47735386516,105252.56018374448,107009.43144629561,105057.35226568325,0,387696.0,107577.30902611012,105980.15333288182,107453.08580552568,218700.0,110665.14336635148,104223.2820703307,60180.0
CU,2010-03-12,CU1006,106122.12272783545,105749.45306608218,106122.12272783545,105075.09844005245,0,293558.0,105252.56018374448,105571.99132239014,105980.15333288182,206580.0,109156.7185449692,102785.84194642524,59800.0
CU,2010-03-15,CU1006,105394.52957869812,103602.16596740858,105483.26045054413,103424.70422371654,0,347316.0,105749.45306608218,103992.58180353105,105571.99132239014,214152.0,108730.81036010833,102395.42611030277,59390.0
CU,2010-03-16,CU1006,102839.08046953284,104347.50529091511,104436.23616276114,102501.90315651798,0,343412.0,103602.16596740858,103566.67361867017,103992.58180353105,202834.0,107098.16231814162,100869.25511455128,57950.0
CU,2010-03-17,CU1006,105199.32166063688,106725.49265638835,106831.96970260357,104986.36756820643,0,297218.0,104347.50529091511,105873.6762866666,103566.67361867017,183030.0,106831.96970260357,104986.36756820643,59280.0
CU,2010-03-18,CU1006,106477.04621521951,105660.72219423616,107027.1776206648,105518.75279928253,0,321864.0,106725.49265638835,106157.61507657386,105873.6762866666,173150.0,109032.49532438477,102697.11107457921,60000.0
