date,FCT_Br_1@180
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,-0.004398553307115051
2010-09-30,-0.020866179383224676
2010-10-08,-0.02287430228912232
2010-10-11,-0.015397503422687177
2010-10-12,-0.02383898371244762
2010-10-13,-0.012877017203875976
2010-10-14,-0.016392422672496996
2010-10-15,-0.014714194345805877
2010-10-18,-0.005231320782632658
2010-10-19,-0.006340792624979015
2010-10-20,-0.011798533518788729
2010-10-21,-0.010843174342238965
2010-10-22,-0.013541705978436154
2010-10-25,-0.0010161932764879088
2010-10-26,0.0017993111867467047
2010-10-27,0.013288964484372423
2010-10-28,0.0077861188881989275
2010-10-29,0.0010685820756486213
2010-11-01,0.00545772413817211
2010-11-02,0.015735512826863945
2010-11-03,0.030803254610281116
2010-11-04,0.04472176788330111
2010-11-05,0.05505507196708385
2010-11-08,0.04078353195338349
2010-11-09,0.06029606848541135
2010-11-10,0.0710963784192826
2010-11-11,0.07664938529703368
2010-11-12,0.057669600845924374
2010-11-15,0.0445414079746612
2010-11-16,0.03911479506987259
2010-11-17,0.019661154855697725
2010-11-18,0.009330996654950874
2010-11-19,0.017607113452144565
2010-11-22,0.01943964359907258
2010-11-23,0.006676782265540258
2010-11-24,0.010107279011266984
2010-11-25,-0.003950904969523934
2010-11-26,0.002023577358834609
2010-11-29,-9.035195005424841e-05
2010-11-30,-0.004484801671165553
2010-12-01,-0.000260059546757374
2010-12-02,0.004103176384731937
2010-12-03,0.00622442718353257
2010-12-06,0.003308215502572797
2010-12-07,0.014634354401593382
2010-12-08,0.006535941266761301
2010-12-09,0.023829183428922582
2010-12-10,0.023408222621488825
2010-12-13,0.02330460223703967
2010-12-14,0.028131281615657793
2010-12-15,0.019910187490734803
2010-12-16,0.019284923340066176
2010-12-17,0.022234968977247558
2010-12-20,0.02517771226880145
2010-12-21,0.0284614124988915
2010-12-22,0.024448139002369217
2010-12-23,0.01519889590747747
2010-12-24,0.013205023191082068
2010-12-27,0.011834966229619378
2010-12-28,0.009137078749763002
2010-12-29,0.007893374276268805
2010-12-30,0.008605481955091702
2010-12-31,0.013849086315029336
2011-01-04,0.020315163786614448
2011-01-05,0.009094461744855455
2011-01-06,0.011275563220226565
2011-01-07,0.0029567307030571844
2011-01-10,0.0028226155587500225
2011-01-11,0.005298452932972262
2011-01-12,0.010094777749880655
2011-01-13,0.024715895346818076
2011-01-14,0.01852418896228271
2011-01-17,0.020546472105090002
2011-01-18,0.023225217173733118
2011-01-19,0.025207194170046954
2011-01-20,0.013479614457812395
2011-01-21,0.012831123234039128
2011-01-24,0.03117426397738556
2011-01-25,0.023647234964107453
2011-01-26,0.0206734667788847
2011-01-27,0.029172270541264648
2011-01-28,0.0369400101167961
2011-01-31,0.04620393605681827
2011-02-01,0.06031808078874604
2011-02-09,0.05238759254313368
2011-02-10,0.05793485672463216
2011-02-11,0.05531269112382144
2011-02-14,0.05431543074322911
2011-02-15,0.05895461756945872
2011-02-16,0.06641546074957616
2011-02-17,0.06741595999707123
2011-02-18,0.07531279751807324
2011-02-21,0.07292618096529922
2011-02-22,0.07400091375435126
2011-02-23,0.057763414391984486
2011-02-24,0.06316995748314451
2011-02-25,0.06455058298451763
2011-02-28,0.0724440467497432
2011-03-01,0.06728362571128332
2011-03-02,0.07266599836514728
2011-03-03,0.0742431691187601
2011-03-04,0.0831786652681163
2011-03-07,0.07580160214445827
2011-03-08,0.06443845902696271
2011-03-09,0.08209293191559844
2011-03-10,0.076359470139296
2011-03-11,0.07567227514219482
2011-03-14,0.07312889903498525
2011-03-15,0.06730435138264242
2011-03-16,0.07031238268115005
2011-03-17,0.0692683835127625
2011-03-18,0.06589245091176024
2011-03-21,0.06956762732389714
2011-03-22,0.06669738704785749
2011-03-23,0.06705063784781082
2011-03-24,0.07281958630682035
2011-03-25,0.06852757678339264
2011-03-28,0.06724415279303388
2011-03-29,0.07279053292222132
2011-03-30,0.07839218492574597
2011-03-31,0.06793771097924986
2011-04-01,0.06720882561018324
