date,Amihud@10
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,2.1974219011326256e-07
2019-10-18,1.9454147375789204e-07
2019-10-21,1.748778775440994e-07
2019-10-22,1.6391306102364922e-07
2019-10-23,1.565607078793605e-07
2019-10-24,1.380295901698458e-07
2019-10-25,1.5419444056530592e-07
2019-10-28,1.3807670118110237e-07
2019-10-29,1.2651056958540113e-07
2019-10-30,1.1260175922069259e-07
2019-10-31,1.0761351769175987e-07
2019-11-01,1.0833714979097714e-07
2019-11-04,1.0908302659542671e-07
2019-11-05,1.0523904535517243e-07
2019-11-06,9.73612056980559e-08
2019-11-07,9.943141263038955e-08
2019-11-08,9.220976981240211e-08
2019-11-11,9.523296909333556e-08
2019-11-12,8.350265886356068e-08
2019-11-13,7.624534358729532e-08
2019-11-14,7.531195124268104e-08
2019-11-15,6.47307881082611e-08
2019-11-18,5.7016727595211696e-08
2019-11-19,5.934072510871879e-08
2019-11-20,6.198307900257051e-08
2019-11-21,5.310784532098653e-08
2019-11-22,3.8072570991314456e-08
2019-11-25,3.755070523055564e-08
2019-11-26,4.092627754581608e-08
2019-11-27,4.0522658123847984e-08
2019-11-28,3.920004962579603e-08
2019-11-29,4.097678177668349e-08
2019-12-02,4.09022119118583e-08
2019-12-03,4.326241080841492e-08
2019-12-04,4.085851861113145e-08
2019-12-05,4.353902557533662e-08
2019-12-06,4.4986981686016955e-08
2019-12-09,3.683308542602864e-08
2019-12-10,3.771161720392719e-08
2019-12-11,4.211649543649412e-08
2019-12-12,4.5368027576987526e-08
2019-12-13,4.276249905283211e-08
2019-12-16,3.8168490131080425e-08
2019-12-17,3.66121894491193e-08
2019-12-18,4.142364887541276e-08
2019-12-19,4.018368001167473e-08
2019-12-20,4.0404598414130536e-08
2019-12-23,4.239358317053182e-08
2019-12-24,3.809617280057817e-08
2019-12-25,3.4421531214456495e-08
2019-12-26,3.28332040348271e-08
2019-12-27,3.692265936682422e-08
2019-12-30,3.877334069063233e-08
2019-12-31,3.848581107126139e-08
2020-01-02,3.844850908079648e-08
2020-01-03,3.9984652078035443e-08
2020-01-06,5.217904971686025e-08
2020-01-07,6.617592968503014e-08
2020-01-08,7.552675010935026e-08
2020-01-09,9.0298188082807e-08
2020-01-10,1.1078009797543789e-07
2020-01-13,1.1623849281549243e-07
2020-01-14,1.1268478515346088e-07
2020-01-15,1.0788041302872085e-07
2020-01-16,1.1244647047932043e-07
2020-01-17,1.063209643341124e-07
2020-01-20,1.037755045849348e-07
2020-01-21,1.0588608168906976e-07
2020-01-22,1.0470566798126379e-07
2020-01-23,1.3707110614705899e-07
2020-02-03,3.4345410025760095e-07
2020-02-04,3.406508349212548e-07
2020-02-05,3.61896621450231e-07
2020-02-06,3.8028068780376864e-07
2020-02-07,3.8381937176747014e-07
2020-02-10,3.854811205190994e-07
2020-02-11,3.858616843176583e-07
2020-02-12,3.8482868468505243e-07
2020-02-13,3.803977048108352e-07
2020-02-14,3.35279047279871e-07
2020-02-17,1.3514640758148744e-07
2020-02-18,1.354867928780666e-07
2020-02-19,1.380355874540869e-07
2020-02-20,1.2702918359153797e-07
2020-02-21,1.1955132191195417e-07
2020-02-24,1.2392767993792733e-07
2020-02-25,1.1903550062142478e-07
2020-02-26,1.295260381718006e-07
2020-02-27,1.5726329447806384e-07
2020-02-28,2.0055204645358396e-07
2020-03-02,1.925207100799122e-07
2020-03-03,2.0212561462437524e-07
2020-03-04,1.996776795437406e-07
2020-03-05,1.939112723054238e-07
2020-03-06,1.998606160236502e-07
2020-03-09,2.8770672886687265e-06
2020-03-10,2.9073333652323643e-06
2020-03-11,2.9165519183487896e-06
2020-03-12,2.9055222484175714e-06
2020-03-13,2.8701002949145227e-06
2020-03-16,2.8892034580775775e-06
2020-03-17,2.8994895208300877e-06
2020-03-18,2.926761875872696e-06
2020-03-19,2.988853264151214e-06
2020-03-20,2.9888600242159986e-06
2020-03-23,3.5287096969672375e-07
2020-03-24,3.214553104873844e-07
2020-03-25,3.0337528920109633e-07
2020-03-26,2.8674491436750427e-07
2020-03-27,2.792568203543685e-07
2020-03-30,2.713100469538162e-07
2020-03-31,2.5342455459703753e-07
2020-04-01,2.0503818143092307e-07
2020-04-02,1.6976764397469203e-07
2020-04-03,1.906899507955982e-07
2020-04-07,1.5250137658431926e-07
2020-04-08,1.5153898612365336e-07
2020-04-09,1.8133905739987052e-07
2020-04-10,1.8520538588963393e-07
2020-04-13,1.8739672910251443e-07
2020-04-14,1.7423508147765406e-07
2020-04-15,1.6655479193926298e-07
2020-04-16,1.677184220408975e-07
2020-04-17,1.4707822143079304e-07
2020-04-20,1.1725724237184936e-07
2020-04-21,1.2692466578127996e-07
2020-04-22,1.5109533575027067e-07
2020-04-23,1.355703480354976e-07
2020-04-24,1.269974829889001e-07
2020-04-27,1.2356983203552794e-07
2020-04-28,1.0696873041568769e-07
2020-04-29,1.1921275852102804e-07
2020-04-30,1.3131879006893362e-07
2020-05-06,1.5122201409303953e-07
2020-05-07,1.6496978446582454e-07
2020-05-08,1.4475442359702397e-07
2020-05-11,1.2845112064231933e-07
2020-05-12,9.422570270790383e-08
2020-05-13,9.710696286252472e-08
2020-05-14,9.85490078294857e-08
2020-05-15,1.0701015484175132e-07
2020-05-18,1.0902781030328866e-07
2020-05-19,9.630055175144194e-08
2020-05-20,7.280212606902557e-08
2020-05-21,5.71108109543378e-08
2020-05-22,7.190172831030828e-08
2020-05-25,7.33958499864357e-08
2020-05-26,7.513739295747892e-08
2020-05-27,7.83878257153778e-08
2020-05-28,8.291031630852741e-08
2020-05-29,7.190910527678985e-08
2020-06-01,7.465251439412272e-08
2020-06-02,7.597322054131346e-08
2020-06-03,8.72428923190906e-08
2020-06-04,1.0679656678373878e-07
2020-06-05,1.0665794346160692e-07
2020-06-08,9.700184924084502e-08
2020-06-09,1.0742259718299035e-07
2020-06-10,1.0179396645193636e-07
2020-06-11,1.0886571650776915e-07
2020-06-12,1.2499486000464702e-07
2020-06-15,1.0927087531477439e-07
2020-06-16,1.3687646286401942e-07
2020-06-17,1.264247324883184e-07
2020-06-18,1.1605713520607174e-07
2020-06-19,1.1295661236997027e-07
2020-06-22,1.2574612964533281e-07
2020-06-23,1.1698735558432629e-07
2020-06-24,1.2237249408144444e-07
2020-06-29,1.457274380531316e-07
2020-06-30,1.3765528455140915e-07
2020-07-01,1.3477548839490035e-07
2020-07-02,1.1091321439962924e-07
2020-07-03,1.1102911840947317e-07
2020-07-06,1.0426807676072487e-07
2020-07-07,9.832423118404952e-08
2020-07-08,8.388664725298936e-08
2020-07-09,8.696562724193029e-08
2020-07-10,1.007793813051022e-07
2020-07-13,7.817183249051235e-08
2020-07-14,7.16614928125859e-08
2020-07-15,8.25133880059635e-08
2020-07-16,8.524515264411394e-08
2020-07-17,9.357131944217217e-08
2020-07-20,9.80351675364128e-08
2020-07-21,9.876956441452829e-08
2020-07-22,9.902944798708136e-08
2020-07-23,1.0567358705276882e-07
2020-07-24,8.820798739237418e-08
2020-07-27,8.37175253154921e-08
2020-07-28,9.3717958453972e-08
2020-07-29,8.914675242074621e-08
2020-07-30,9.180494481386149e-08
2020-07-31,8.974620780330107e-08
2020-08-03,9.128668529555174e-08
2020-08-04,9.039667369464028e-08
2020-08-05,8.851819285890539e-08
2020-08-06,7.986556923560736e-08
2020-08-07,1.0066296074615613e-07
2020-08-10,8.91951219117266e-08
2020-08-11,8.047871243788501e-08
2020-08-12,7.670277596768895e-08
2020-08-13,6.833355213346277e-08
2020-08-14,7.919877458501053e-08
2020-08-17,8.5779691242673e-08
2020-08-18,9.915627958570128e-08
2020-08-19,1.2538137265418832e-07
2020-08-20,1.350551906419429e-07
2020-08-21,1.3963272338720072e-07
2020-08-24,1.5470622739280225e-07
2020-08-25,1.528406355005392e-07
2020-08-26,1.6626329129604215e-07
2020-08-27,1.8464861189951608e-07
2020-08-28,1.6368124672464337e-07
2020-08-31,1.640791068317326e-07
2020-09-01,1.4514277121478128e-07
2020-09-02,1.2525875827961695e-07
2020-09-03,1.2505740825482e-07
2020-09-04,1.0543888334763362e-07
2020-09-07,1.002644770189221e-07
2020-09-08,1.0967586241157591e-07
2020-09-09,9.929034041863897e-08
2020-09-10,9.23177874697225e-08
2020-09-11,9.419540973951432e-08
2020-09-14,8.732213487068821e-08
2020-09-15,9.227812290212963e-08
2020-09-16,9.518472373755111e-08
2020-09-17,8.923209966238591e-08
2020-09-18,9.073490804634986e-08
2020-09-21,9.430530182386038e-08
2020-09-22,1.0261088768637252e-07
2020-09-23,1.0655929991074788e-07
2020-09-24,1.0989525904569025e-07
2020-09-25,1.1332007000669572e-07
2020-09-28,1.0859024820949679e-07
2020-09-29,1.0889056616686298e-07
2020-09-30,1.115504642145773e-07
2020-10-09,1.2137685516015905e-07
2020-10-12,1.3190773180448568e-07
2020-10-13,1.368959148598733e-07
2020-10-14,1.2628679529563787e-07
2020-10-15,1.1857622663269097e-07
2020-10-16,1.0259421767108302e-07
2020-10-19,1.0059840335799872e-07
2020-10-20,1.0453783521751284e-07
2020-10-21,9.950493042562101e-08
2020-10-22,9.262311428399215e-08
2020-10-23,9.306938694276486e-08
2020-10-26,8.12625847430407e-08
2020-10-27,6.860113641477292e-08
2020-10-28,7.080989591132211e-08
2020-10-29,7.769513922015045e-08
2020-10-30,7.862617103243096e-08
2020-11-02,8.463386487424102e-08
2020-11-03,7.847956683171723e-08
2020-11-04,8.839381705614103e-08
2020-11-05,8.647866996677213e-08
2020-11-06,7.038101986160757e-08
2020-11-09,7.339558411559333e-08
2020-11-10,6.751411372061203e-08
2020-11-11,6.561468234895094e-08
2020-11-12,5.6949708986172426e-08
2020-11-13,6.059884217320602e-08
2020-11-16,5.4697079124385344e-08
2020-11-17,5.6180663997123765e-08
2020-11-18,4.989666477437171e-08
2020-11-19,4.658256033367423e-08
2020-11-20,4.357379740356243e-08
2020-11-23,3.394025714256916e-08
2020-11-24,4.253173708131669e-08
2020-11-25,3.7283425505839087e-08
2020-11-26,3.756204814174832e-08
2020-11-27,3.8407945397768215e-08
2020-11-30,3.509380607260303e-08
2020-12-01,4.056437180627134e-08
2020-12-02,4.0696180556616055e-08
2020-12-03,4.0598243960844455e-08
2020-12-04,5.22576260514649e-08
2020-12-07,6.205332134538481e-08
2020-12-08,6.440567602731985e-08
2020-12-09,7.396829540406008e-08
2020-12-10,8.502316789689737e-08
2020-12-11,8.28923551828718e-08
2020-12-14,8.065812186544117e-08
2020-12-15,7.187936494884342e-08
2020-12-16,8.498439486702416e-08
2020-12-17,1.0105158811551357e-07
2020-12-18,9.406484303537154e-08
2020-12-21,1.1679494506211874e-07
2020-12-22,1.3174839314259415e-07
2020-12-23,1.2769186765409763e-07
2020-12-24,1.2549433057880975e-07
2020-12-25,1.2274826044184743e-07
2020-12-28,1.3607920378283204e-07
2020-12-29,1.3765016466415396e-07
2020-12-30,1.2600492438207524e-07
2020-12-31,1.2551677555932188e-07
2021-01-04,1.2207676949701376e-07
2021-01-05,9.097427275798531e-08
2021-01-06,7.426718233169926e-08
2021-01-07,6.901809453215423e-08
2021-01-08,6.216860757602818e-08
2021-01-11,6.084695855963351e-08
2021-01-12,5.1065161945195896e-08
2021-01-13,5.676075315667044e-08
2021-01-14,6.279112022956432e-08
2021-01-15,5.817460858012835e-08
2021-01-18,6.331809121149025e-08
2021-01-19,7.841421198918988e-08
2021-01-20,6.983230214194299e-08
2021-01-21,8.464635459899146e-08
2021-01-22,8.479699632636836e-08
2021-01-25,8.58056920291809e-08
2021-01-26,9.29900195382022e-08
2021-01-27,9.656848821713432e-08
2021-01-28,9.292344397479747e-08
2021-01-29,8.527964199132393e-08
2021-02-01,7.986929623448793e-08
2021-02-02,6.659466331152988e-08
2021-02-03,6.756721285044031e-08
2021-02-04,5.880916256438124e-08
2021-02-05,5.844534127419475e-08
2021-02-08,5.817410778333074e-08
2021-02-09,5.4861347608606056e-08
2021-02-10,5.427562997635764e-08
2021-02-18,1.0665393688691e-07
2021-02-19,1.0716684342009292e-07
2021-02-22,1.1826612297383737e-07
2021-02-23,1.1523284505502076e-07
2021-02-24,1.139290769191085e-07
2021-02-25,1.233733466478393e-07
2021-02-26,1.290013033624375e-07
2021-03-01,1.3371082334221623e-07
2021-03-02,1.3186945959781645e-07
2021-03-03,1.2098479410850163e-07
2021-03-04,6.303249782961237e-08
2021-03-05,5.884256819517161e-08
2021-03-08,5.04489090548138e-08
2021-03-09,6.429590066876513e-08
2021-03-10,6.576180421604857e-08
2021-03-11,5.1114762897074795e-08
2021-03-12,5.215308702932999e-08
