date,FCT_Cci@80
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,-16.9980869359513
2020-02-03,-170.16108574327757
2020-02-04,-223.99735156193773
2020-02-05,-152.9673400588817
2020-02-06,-127.49697236264161
2020-02-07,-128.4032011117436
2020-02-10,-126.54295572594988
2020-02-11,-127.81824122244818
2020-02-12,-147.13792701591322
2020-02-13,-144.02285164246175
2020-02-14,-134.21001814717582
2020-02-17,-108.78290301403248
2020-02-18,-98.14655688583399
2020-02-19,-84.71631651027707
2020-02-20,-69.07198640126155
2020-02-21,-60.541949176732736
2020-02-24,-73.77539247042543
2020-02-25,-74.27983861754153
2020-02-26,-86.26357918810773
2020-02-27,-119.52182882213347
2020-02-28,-153.9179749636908
2020-03-02,-149.884894834371
2020-03-03,-138.30074574169058
2020-03-04,-132.90629674962582
2020-03-05,-129.64767203734024
2020-03-06,-138.74545574724024
2020-03-09,-214.89922242684636
2020-03-10,-268.49127013489124
2020-03-11,-245.04369430929637
2020-03-12,-266.4332620074839
2020-03-13,-269.7750986824943
2020-03-16,-266.88086329892064
2020-03-17,-285.69510081972595
2020-03-18,-335.8145114504568
2020-03-19,-378.9916589628279
2020-03-20,-343.9254894459449
2020-03-23,-367.1028650709583
2020-03-24,-343.80698135220473
2020-03-25,-332.83248615246436
2020-03-26,-304.62022362593353
2020-03-27,-276.1351749048179
2020-03-30,-275.1760744955296
2020-03-31,-250.1790280181653
2020-04-01,-235.671768383898
2020-04-02,-203.08222195522453
2020-04-03,-172.84443679348138
2020-04-07,-153.8227724775746
2020-04-08,-146.7573081369339
2020-04-09,-118.63750273819292
2020-04-10,-112.36304893527831
2020-04-13,-99.22455285717426
2020-04-14,-108.62711628219189
2020-04-15,-108.41834537111599
2020-04-16,-101.31701467111937
2020-04-17,-89.73937969891205
2020-04-20,-89.99678383741322
2020-04-21,-101.762763307537
2020-04-22,-122.61882849314546
2020-04-23,-99.97439833900252
2020-04-24,-89.2295113263974
2020-04-27,-84.80394374033109
2020-04-28,-81.26427785352429
2020-04-29,-72.4029336637504
2020-04-30,-65.52382778603538
2020-05-06,-50.77896255582722
2020-05-07,-58.19564078734468
2020-05-08,-60.44581680260807
2020-05-11,-61.89851558566332
2020-05-12,-62.56938281404855
2020-05-13,-59.58222863374485
2020-05-14,-56.26168940053802
2020-05-15,-50.354279197104276
2020-05-18,-40.27705291513219
2020-05-19,-33.86053314100947
2020-05-20,-32.594289604425384
2020-05-21,-30.842131893872786
2020-05-22,-36.456504009971646
2020-05-25,-36.03690072438194
2020-05-26,-32.182241199879385
2020-05-27,-29.904257878455724
2020-05-28,-31.800309186909168
2020-05-29,-29.58327623195473
2020-06-01,-23.74739263761309
2020-06-02,-18.16461055469835
2020-06-03,-7.361276458930002
2020-06-04,-11.982137669426976
2020-06-05,-9.990190190002826
2020-06-08,-2.3120566213063025
2020-06-09,-6.107589770240087
2020-06-10,-5.391132975951343
2020-06-11,-8.764564099061387
2020-06-12,-21.266676879365814
2020-06-15,-17.909254490699276
2020-06-16,-9.108391791625554
2020-06-17,-1.8811695912539304
2020-06-18,0.49861830518169953
2020-06-19,10.125237688393003
2020-06-22,6.34098193090738
2020-06-23,6.643111414540842
2020-06-24,9.461274163404008
2020-06-29,-4.571104384824845
2020-06-30,0.08315899378527007
2020-07-01,-3.3889160589284306
2020-07-02,6.703790733188928
2020-07-03,20.330642854976496
2020-07-06,27.159746662311875
2020-07-07,32.83710560699881
2020-07-08,33.96702112273022
2020-07-09,33.193806331039596
2020-07-10,4.259850849290273
2020-07-13,12.570294267145865
2020-07-14,9.901410984397254
2020-07-15,35.114730467508316
2020-07-16,36.935594979430945
2020-07-17,17.04468272424895
2020-07-20,18.243158603410485
2020-07-21,15.972811223089712
2020-07-22,21.656128465905034
2020-07-23,31.95171578464136
2020-07-24,44.541308099798385
2020-07-27,49.32328271545279
2020-07-28,39.88722140925372
2020-07-29,39.49260347808546
2020-07-30,17.867827330751783
2020-07-31,-11.035377414815134
2020-08-03,-38.991298997077266
2020-08-04,-30.159883626590688
2020-08-05,-35.88195407213593
2020-08-06,-30.13103863154872
2020-08-07,-74.6398404256188
2020-08-10,-112.01656989575937
2020-08-11,-84.4866126023803
2020-08-12,-100.11882255030775
2020-08-13,-95.69898343111527
2020-08-14,-109.07281360964201
2020-08-17,-138.98012673766618
2020-08-18,-168.27741265459406
2020-08-19,-238.4572324705904
2020-08-20,-238.1623566938023
2020-08-21,-203.96238355943342
2020-08-24,-162.0276925941067
2020-08-25,-147.81543261651493
2020-08-26,-167.486346130097
2020-08-27,-142.92066401623154
2020-08-28,-128.0630223849952
2020-08-31,-106.50456077418511
2020-09-01,-105.99476736761343
2020-09-02,-75.23599801332644
2020-09-03,-93.83034386955178
2020-09-04,-114.43204189970567
2020-09-07,-119.83642743085662
2020-09-08,-139.28414923447244
2020-09-09,-158.4661859007943
2020-09-10,-119.94310341303616
2020-09-11,-110.53767029314804
2020-09-14,-100.21864998459812
2020-09-15,-91.24686825182215
2020-09-16,-79.33534040030608
2020-09-17,-76.922115796292
2020-09-18,-59.394791855370826
2020-09-21,-70.75975102509679
2020-09-22,-108.7538144487507
2020-09-23,-104.0960907562127
2020-09-24,-111.50557406163104
2020-09-25,-111.28178894867784
2020-09-28,-92.02556099848944
2020-09-29,-83.78222700645681
2020-09-30,-107.64629420835085
2020-10-09,-78.09905180827542
2020-10-12,-67.28818419047847
2020-10-13,0.33810200184241224
2020-10-14,92.86221550960407
2020-10-15,108.34943018890701
2020-10-16,108.61865017215574
2020-10-19,176.34219126236985
2020-10-20,182.66965730219235
2020-10-21,208.193898678583
2020-10-22,188.6968319922939
2020-10-23,153.63324812333016
2020-10-26,156.79595270032314
2020-10-27,168.76064700736154
2020-10-28,208.59461321975536
2020-10-29,253.12706149184237
2020-10-30,252.1781462702422
2020-11-02,270.17199338923353
2020-11-03,271.1025730760428
2020-11-04,313.3179353040754
2020-11-05,289.46178102505144
2020-11-06,237.92843242596174
2020-11-09,269.9395389568492
2020-11-10,276.3975741099536
2020-11-11,271.34728197394867
2020-11-12,267.57334656559567
2020-11-13,271.34261980840694
2020-11-16,310.2568467166003
2020-11-17,261.3035412883454
2020-11-18,212.3179888227718
2020-11-19,185.1035094099271
2020-11-20,160.30459167226883
2020-11-23,160.99413889145998
2020-11-24,129.95713021531242
2020-11-25,118.04433644979375
2020-11-26,119.18910783479403
2020-11-27,120.14176888101197
2020-11-30,133.50863525639335
2020-12-01,117.53853022409871
2020-12-02,99.03461761397055
2020-12-03,93.27088556861388
2020-12-04,75.10157790293995
2020-12-07,77.48377226215895
2020-12-08,73.44862913109704
2020-12-09,56.78315407523007
2020-12-10,35.51867908752696
2020-12-11,32.27484110525694
2020-12-14,34.05736598489582
2020-12-15,30.198798291778083
2020-12-16,23.63439503430402
2020-12-17,26.879250970918275
2020-12-18,45.284468929727
2020-12-21,23.028478675725633
2020-12-22,0.30284488779305946
2020-12-23,-4.167915050039685
2020-12-24,1.2453019674397483
2020-12-25,2.215297461624096
2020-12-28,-28.79331779514416
2020-12-29,-44.91913121168778
2020-12-30,-37.12327236395566
2020-12-31,-25.311022670519566
2021-01-04,-20.47701485995793
2021-01-05,-12.28786468842294
2021-01-06,3.197576460731794
2021-01-07,7.029230100639964
2021-01-08,12.463773595773707
2021-01-11,15.270555685966075
2021-01-12,13.219262960230326
2021-01-13,33.497071627393524
2021-01-14,18.23135724979401
2021-01-15,17.805298138770116
2021-01-18,43.76654494645475
2021-01-19,50.89581813433539
2021-01-20,63.94012055188114
2021-01-21,39.22863220150738
2021-01-22,21.29677922411045
2021-01-25,19.217629627374848
2021-01-26,29.045785509447015
2021-01-27,66.17688803053613
2021-01-28,45.406992047513306
2021-01-29,43.900634690707825
2021-02-01,62.63354712611008
2021-02-02,82.6428144984583
2021-02-03,77.8963645868981
2021-02-04,96.24956301601449
2021-02-05,113.26875303400637
2021-02-08,129.11708216612408
2021-02-09,140.88650849238206
2021-02-10,117.14033833480818
2021-02-18,243.3253093252004
2021-02-19,271.6318970202197
2021-02-22,323.42211370408694
2021-02-23,317.15735889585034
2021-02-24,288.2165874577227
2021-02-25,312.1785332664914
2021-02-26,325.9406221460969
2021-03-01,288.3160594977875
2021-03-02,220.88063811506498
2021-03-03,207.19325127313064
2021-03-04,210.55299867797473
2021-03-05,200.77966745009994
2021-03-08,213.45028132576232
2021-03-09,156.76838164391742
2021-03-10,134.2669472923429
2021-03-11,134.0756983170273
2021-03-12,125.84803443008803
2021-03-15,115.07622649151863
2021-03-16,101.06093337613362
2021-03-17,78.26286021829239
2021-03-18,68.7366859827084
2021-03-19,42.485760769385315
2021-03-22,42.03415632367721
2021-03-23,40.18299490240448
2021-03-24,45.88790240890388
2021-03-25,54.48007138889522
2021-03-26,59.12412349609773
2021-03-29,57.28811708152962
2021-03-30,60.60213428045663
2021-03-31,68.16663604985169
2021-04-01,89.6588456843129
2021-04-02,91.69445239074372
2021-04-06,101.28750766912867
2021-04-07,99.4612713308131
2021-04-08,78.16109195374287
2021-04-09,62.74631308364758
2021-04-12,57.22475624983762
2021-04-13,58.53473535343281
2021-04-14,72.12960657725729
2021-04-15,79.56332295207916
2021-04-16,79.06943891503583
2021-04-19,89.53124485773506
2021-04-20,101.58986117693824
2021-04-21,105.9123522915509
2021-04-22,92.90458329957274
2021-04-23,89.51049890418886
2021-04-26,88.83462953224219
2021-04-27,78.51375653429514
2021-04-28,79.52361168085977
2021-04-29,83.00771291485218
2021-04-30,74.34306052190763
2021-05-06,91.52061873710343
2021-05-07,118.86821880109038
2021-05-10,138.77132097740827
2021-05-11,129.62347445447026
2021-05-12,133.93879292108883
2021-05-13,130.21144832585742
2021-05-14,116.00290493476581
2021-05-17,133.32692380987575
2021-05-18,138.1347384102992
2021-05-19,127.21409597112546
2021-05-20,105.2954363802025
2021-05-21,81.82814647949554
2021-05-24,67.52347539512637
2021-05-25,71.77636477756387
2021-05-26,59.48440987664945
2021-05-27,25.185121718320868
2021-05-28,16.140125158290953
2021-05-31,21.038140829217184
2021-06-01,42.75401149266708
2021-06-02,56.53275681654497
2021-06-03,62.26280959536134
2021-06-04,42.159023730749404
2021-06-07,13.442154883959894
2021-06-08,-14.291291806494753
2021-06-09,-21.826210135486146
2021-06-10,-44.47926483513196
2021-06-11,-40.04634295149898
2021-06-15,-40.99252261601765
2021-06-16,-22.083419923854468
2021-06-17,-25.35762365906799
2021-06-18,-33.70562106296386
2021-06-21,-48.68611704254728
2021-06-22,-13.570856140407692
2021-06-23,37.72341667481643
2021-06-24,50.357529405660166
2021-06-25,60.452578498693235
2021-06-28,76.01072154554892
2021-06-29,71.65933461545688
2021-06-30,104.61287351298455
2021-07-01,127.34149772509295
2021-07-02,151.11450756233268
2021-07-05,142.52351401981215
2021-07-06,109.66386104235418
2021-07-07,79.25086718418791
2021-07-08,85.25709291317507
2021-07-09,86.94874261411991
2021-07-12,89.2311966371798
2021-07-13,69.92025789820096
2021-07-14,87.62510297387483
2021-07-15,86.27561062057042
2021-07-16,85.24874791175517
2021-07-19,104.5143498047085
2021-07-20,52.10392392871538
2021-07-21,50.6604839754772
2021-07-22,87.65630691789359
2021-07-23,108.3918142157291
2021-07-26,109.44370474206033
2021-07-27,114.3866276895773
2021-07-28,98.13181753094698
2021-07-29,87.53120333432467
2021-07-30,59.07387356526501
2021-08-02,38.45786629957062
2021-08-03,-10.211590369446004
2021-08-04,-4.222977002648366
2021-08-05,-14.188051570909666
