date,FCT_Dmi_Adxr@80
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,23.023039206136602
2020-09-22,23.00836734147266
2020-09-23,22.97295297081598
2020-09-24,22.97120656672596
2020-09-25,23.00450668927622
2020-09-28,23.017909583856678
2020-09-29,23.040692598303902
2020-09-30,23.10111270590248
2020-10-09,23.132843263207917
2020-10-12,23.18250187142897
2020-10-13,23.194839909320866
2020-10-14,23.14155881834678
2020-10-15,23.085562413805206
2020-10-16,23.03193388775469
2020-10-19,22.947325391539447
2020-10-20,22.863383901110844
2020-10-21,22.777941419936354
2020-10-22,22.688390457709968
2020-10-23,22.60031210515462
2020-10-26,22.506638891586658
2020-10-27,22.42578235313134
2020-10-28,22.356883918129277
2020-10-29,22.349471987184632
2020-10-30,22.34914144923463
2020-11-02,22.342833547632267
2020-11-03,22.33295722425377
2020-11-04,22.33376634311481
2020-11-05,22.317143459164555
2020-11-06,22.29734923588174
2020-11-09,22.310704516858173
2020-11-10,22.31702726718976
2020-11-11,22.34139106651448
2020-11-12,22.35193740130746
2020-11-13,22.339366927855224
2020-11-16,22.356017869354915
2020-11-17,22.37433975831155
2020-11-18,22.337686290907165
2020-11-19,22.26494107281259
2020-11-20,22.177166591286987
2020-11-23,22.08314523703515
2020-11-24,21.94974803374372
2020-11-25,21.810042008268624
2020-11-26,21.682164315097296
2020-11-27,21.565848795725078
2020-11-30,21.50456515168129
2020-12-01,21.452406295087002
2020-12-02,21.383243342257682
2020-12-03,21.301082853778375
2020-12-04,21.223221174125335
2020-12-07,21.155221472086367
2020-12-08,21.118505126368504
2020-12-09,21.0470183741768
2020-12-10,20.94436567737776
2020-12-11,20.841950265002602
2020-12-14,20.75588735309694
2020-12-15,20.66132099503617
2020-12-16,20.558392213841792
2020-12-17,20.453833837063787
2020-12-18,20.40218175991723
2020-12-21,20.334089426666107
2020-12-22,20.241367032138314
2020-12-23,20.148544390541048
2020-12-24,20.067298642705858
2020-12-25,19.997585011896817
2020-12-28,19.92455721617476
2020-12-29,19.83482431346888
2020-12-30,19.746132243412198
2020-12-31,19.653036331474993
2021-01-04,19.566771432940094
2021-01-05,19.492722127477975
2021-01-06,19.43083029472146
2021-01-07,19.379133145080544
2021-01-08,19.34368742502975
2021-01-11,19.314532719641544
2021-01-12,19.283582757224885
2021-01-13,19.26859408330615
2021-01-14,19.23854993918317
2021-01-15,19.204319578288235
2021-01-18,19.196745588081047
2021-01-19,19.193477391720474
2021-01-20,19.194308899402202
2021-01-21,19.21057034492336
2021-01-22,19.247743466609837
2021-01-25,19.276674854698093
2021-01-26,19.323894766062374
2021-01-27,19.379607649609994
2021-01-28,19.434771199180265
2021-01-29,19.499698804830636
2021-02-01,19.568488895577712
2021-02-02,19.644043637548187
2021-02-03,19.70169555921177
2021-02-04,19.729444038918444
2021-02-05,19.759981015405835
2021-02-08,19.799134733990623
2021-02-09,19.82563080787116
2021-02-10,19.845849181190058
2021-02-18,19.89707101003839
2021-02-19,19.966882162617317
2021-02-22,20.06107101022939
2021-02-23,20.1637371145802
2021-02-24,20.266683615758737
2021-02-25,20.384486227298787
2021-02-26,20.490573620180058
2021-03-01,20.593757071520457
2021-03-02,20.666452997790543
2021-03-03,20.74301338721147
2021-03-04,20.833555216247348
2021-03-05,20.951975196598465
2021-03-08,21.091845556853087
2021-03-09,21.18943270947937
2021-03-10,21.275951909256477
2021-03-11,21.35694928342629
2021-03-12,21.45587626391312
2021-03-15,21.570777649870532
2021-03-16,21.684070301045317
2021-03-17,21.785286938220597
2021-03-18,21.85953377297035
2021-03-19,21.905701528400677
2021-03-22,21.94789355662626
2021-03-23,21.975087041215904
2021-03-24,22.01880329758641
2021-03-25,22.04609776774245
2021-03-26,22.069050109433526
2021-03-29,22.106105759040815
2021-03-30,22.165896736507918
2021-03-31,22.256392330642516
2021-04-01,22.376704455258235
2021-04-02,22.499064437760453
2021-04-06,22.648250206597517
2021-04-07,22.788806042886684
2021-04-08,22.870919063079448
2021-04-09,22.98922295149876
2021-04-12,23.121904765577646
2021-04-13,23.252452055930398
2021-04-14,23.363534275281904
2021-04-15,23.485060425498787
2021-04-16,23.640832340971233
2021-04-19,23.82024852937066
2021-04-20,23.950853522437498
2021-04-21,24.095012620037938
2021-04-22,24.252128749862223
2021-04-23,24.407439528377182
2021-04-26,24.546589723469232
2021-04-27,24.664610505460658
2021-04-28,24.772672252667466
2021-04-29,24.914676153652945
2021-04-30,25.05614531787222
2021-05-06,25.216250749065864
2021-05-07,25.387252674429014
2021-05-10,25.550319447686814
2021-05-11,25.70882880292728
2021-05-12,25.84849841171151
2021-05-13,25.936679508332077
2021-05-14,26.0167760573529
2021-05-17,26.10653488973686
2021-05-18,26.19440159192593
2021-05-19,26.299412934199584
2021-05-20,26.38817174002181
2021-05-21,26.44943143669358
2021-05-24,26.513352768618148
2021-05-25,26.581790212713862
2021-05-26,26.63423534238294
2021-05-27,26.657739064590253
2021-05-28,26.666328818068596
2021-05-31,26.638329267686636
2021-06-01,26.625167867464967
2021-06-02,26.621397485466822
2021-06-03,26.59009394955075
2021-06-04,26.568330648179693
2021-06-07,26.526340013532682
2021-06-08,26.524437141635453
2021-06-09,26.60488869728777
2021-06-10,26.672091151631506
2021-06-11,26.73065941238432
2021-06-15,26.82990412907214
2021-06-16,26.93445251865949
2021-06-17,27.00420972549743
2021-06-18,27.062227772740172
2021-06-21,27.091805549881606
2021-06-22,27.127668313144746
2021-06-23,27.154519006489643
2021-06-24,27.147301853764887
2021-06-25,27.087837826921085
2021-06-28,27.02294138925409
2021-06-29,26.98094512503542
2021-06-30,26.94785234121167
2021-07-01,26.88784010432311
2021-07-02,26.828380714585023
2021-07-05,26.766759271672104
2021-07-06,26.67780789320517
2021-07-07,26.573180893677126
2021-07-08,26.460779653686856
2021-07-09,26.344228784946743
2021-07-12,26.235510127562847
2021-07-13,26.070909754483086
2021-07-14,25.933979248435843
2021-07-15,25.833180199689913
2021-07-16,25.784504915905394
2021-07-19,25.747261744952354
2021-07-20,25.67829741486154
2021-07-21,25.63411282353437
2021-07-22,25.593413234684682
2021-07-23,25.548251053707297
2021-07-26,25.492421718188645
2021-07-27,25.419819012530382
2021-07-28,25.336800216383235
2021-07-29,25.252396309307578
2021-07-30,25.161992712735596
2021-08-02,25.069978594864295
2021-08-03,24.949034568290983
2021-08-04,24.831203684311454
2021-08-05,24.746891778829905
2021-08-06,24.68305401960118
2021-08-09,24.616910761919215
2021-08-10,24.536360426343258
2021-08-11,24.460268227279904
2021-08-12,24.37976887604411
2021-08-13,24.276242223428667
2021-08-16,24.147193058558152
2021-08-17,24.02294163675269
2021-08-18,23.92743647669417
2021-08-19,23.82637213023377
2021-08-20,23.705588101581288
2021-08-23,23.60096266442667
2021-08-24,23.525933973202463
2021-08-25,23.450112604458468
2021-08-26,23.368008016391123
2021-08-27,23.27947931614991
2021-08-30,23.168373578315876
2021-08-31,23.031402506413855
2021-09-01,22.883117334354324
2021-09-02,22.732693764106422
2021-09-03,22.57085035618663
2021-09-06,22.409548361692643
2021-09-07,22.26645522703537
2021-09-08,22.089185862022404
2021-09-09,21.941559804895768
2021-09-10,21.80758323888252
2021-09-13,21.68389691007466
2021-09-14,21.573698913610507
2021-09-15,21.449224499715022
2021-09-16,21.355879442326067
2021-09-17,21.26928306455182
2021-09-22,21.17889176682337
2021-09-23,21.08282207932646
2021-09-24,20.958569928818182
2021-09-27,20.833086931522846
2021-09-28,20.71090715042541
2021-09-29,20.60071490831226
2021-09-30,20.50191711664602
2021-10-08,20.45748811914331
2021-10-11,20.44419646748624
2021-10-12,20.44690109204181
2021-10-13,20.403598127012305
2021-10-14,20.378262828750678
2021-10-15,20.365281784728936
2021-10-18,20.33242028997568
2021-10-19,20.27020564189604
2021-10-20,20.156353610823736
2021-10-21,20.03358142559605
2021-10-22,19.8827469989619
2021-10-25,19.725662718856217
2021-10-26,19.5672142104215
2021-10-27,19.385308111131046
2021-10-28,19.230323413496457
2021-10-29,19.075674723756027
2021-11-01,18.920920607633406
2021-11-02,18.747589971423327
2021-11-03,18.540986870185538
2021-11-04,18.390520549279472
2021-11-05,18.27486468413047
2021-11-08,18.15437109800702
2021-11-09,18.02476849003688
2021-11-10,17.903297091405747
2021-11-11,17.79738901734006
2021-11-12,17.69467197709028
2021-11-15,17.597469764670727
2021-11-16,17.520283257102506
2021-11-17,17.454457805278146
2021-11-18,17.383760798657384
2021-11-19,17.289795322150276
2021-11-22,17.201089210721968
2021-11-23,17.130297510700323
2021-11-24,17.065487165129454
2021-11-25,17.013930733098093
2021-11-26,16.96579718445807
2021-11-29,16.90449469918511
2021-11-30,16.822304424345887
2021-12-01,16.713463771309677
2021-12-02,16.580627846672797
2021-12-03,16.46296476447096
2021-12-06,16.335746193141098
2021-12-07,16.195266888201218
2021-12-08,16.051600452644703
2021-12-09,15.914757075597619
2021-12-10,15.774712746172366
2021-12-13,15.63466439722706
