date,Amihud@10
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,3.203225248629129e-08
2018-12-25,3.6527469559769605e-08
2018-12-26,3.790901957437069e-08
2018-12-27,3.657950806849736e-08
2018-12-28,3.521022787937548e-08
2019-01-02,4.006829553410299e-08
2019-01-03,4.441552653480475e-08
2019-01-04,4.529179627314782e-08
2019-01-07,3.907811131984603e-08
2019-01-08,3.7076607439732223e-08
2019-01-09,3.313914343358555e-08
2019-01-10,2.578544912960026e-08
2019-01-11,2.5819156323503606e-08
2019-01-14,2.6316026215630984e-08
2019-01-15,2.9349822689744518e-08
2019-01-16,2.310916590015428e-08
2019-01-17,2.2554529683680524e-08
2019-01-18,2.097381059180431e-08
2019-01-21,2.2478395957964837e-08
2019-01-22,1.9439384305755286e-08
2019-01-23,1.832959206261593e-08
2019-01-24,1.684582929824267e-08
2019-01-25,1.5750675461631814e-08
2019-01-28,1.7286365596612223e-08
2019-01-29,1.5964584957628776e-08
2019-01-30,1.9309141904963608e-08
2019-01-31,2.0499814341167866e-08
2019-02-01,2.4969063776105496e-08
2019-02-11,3.2735109083892995e-08
2019-02-12,3.3686275075223606e-08
2019-02-13,3.76957910694438e-08
2019-02-14,3.7968229259949643e-08
2019-02-15,4.040593608853346e-08
2019-02-18,4.176023051484036e-08
2019-02-19,4.177892944224741e-08
2019-02-20,3.916960075466353e-08
2019-02-21,3.738097254246975e-08
2019-02-22,3.46934393428453e-08
2019-02-25,2.452796392350132e-08
2019-02-26,2.5992929530938466e-08
2019-02-27,2.157476038000735e-08
2019-02-28,2.271184980613694e-08
2019-03-01,2.8761344747323596e-08
2019-03-04,2.7370119761080555e-08
2019-03-05,2.7556722253913208e-08
2019-03-06,3.262271749642349e-08
2019-03-07,3.4184353172708887e-08
2019-03-08,3.522463947789989e-08
2019-03-11,3.7668138118174915e-08
2019-03-12,3.548586612525416e-08
2019-03-13,3.800733884445238e-08
2019-03-14,3.8477380957068387e-08
2019-03-15,3.5273868526477543e-08
2019-03-18,3.316772426251401e-08
2019-03-19,3.3446714430606037e-08
2019-03-20,3.254874875823783e-08
2019-03-21,2.7903171519786268e-08
2019-03-22,2.8273500294162682e-08
2019-03-25,2.6375903492085587e-08
2019-03-26,3.2710544067426444e-08
2019-03-27,3.4350347428030916e-08
2019-03-28,3.826717800252893e-08
2019-03-29,3.389752723573281e-08
2019-04-01,3.45528108845853e-08
2019-04-02,3.391756315497875e-08
2019-04-03,2.9207663681176254e-08
2019-04-04,2.8704658836370644e-08
2019-04-08,2.6732130431635188e-08
2019-04-09,2.6239251899056075e-08
2019-04-10,1.969516269370321e-08
2019-04-11,1.6814971396036855e-08
2019-04-12,1.0541673903510819e-08
2019-04-15,1.1933936663647833e-08
2019-04-16,1.3042309744198817e-08
2019-04-17,1.1677505743207953e-08
2019-04-18,1.1269713088920626e-08
2019-04-19,1.1891310910634004e-08
2019-04-22,1.079761538998858e-08
2019-04-23,1.0244560336619027e-08
2019-04-24,1.3760115856022077e-08
2019-04-25,1.4858265859164522e-08
2019-04-26,1.8435408969929663e-08
2019-04-29,2.094583097360848e-08
2019-04-30,2.1226780243452342e-08
2019-05-06,2.4543126755305695e-08
2019-05-07,2.590260386818124e-08
2019-05-08,2.582396816568199e-08
2019-05-09,2.7762375849734464e-08
2019-05-10,2.8353718282275036e-08
2019-05-13,2.9559498011876024e-08
2019-05-14,3.0275532386552865e-08
2019-05-15,2.7574569608773497e-08
2019-05-16,2.3269344632284365e-08
2019-05-17,2.3315037833559008e-08
2019-05-20,2.034745269584484e-08
2019-05-21,2.0334923132379363e-08
2019-05-22,2.0079637249089088e-08
2019-05-23,1.8083204451663497e-08
2019-05-24,2.010178037113852e-08
2019-05-27,1.5971467258865373e-08
2019-05-28,1.3393579861503022e-08
2019-05-29,1.3959761562699193e-08
2019-05-30,1.3152141193737639e-08
2019-05-31,1.0382603674294129e-08
2019-06-03,1.2171240400050197e-08
2019-06-04,1.1883936212437968e-08
2019-06-05,1.3457011894442625e-08
2019-06-06,1.4036118928025465e-08
2019-06-10,1.2548869340869186e-08
2019-06-11,1.3182284340841487e-08
2019-06-12,1.320039397501524e-08
2019-06-13,1.2706753135436687e-08
2019-06-14,1.3809620784069094e-08
2019-06-17,1.3553692513714275e-08
