date,FCT_Cci@180
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,
2018-12-25,
2018-12-26,
2018-12-27,
2018-12-28,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-21,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-18,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,
2019-04-30,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-27,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-02,
2019-09-03,-44.10585707786204
2019-09-04,-46.47368232268195
2019-09-05,-34.73610394305699
2019-09-06,-26.630152478999392
2019-09-09,-16.620024886657042
2019-09-10,-11.688657437747004
2019-09-11,-11.743617588197258
2019-09-12,-10.629017652664272
2019-09-16,26.236000652266824
2019-09-17,87.66948240923251
2019-09-18,65.22562237596526
2019-09-19,49.36064175117409
2019-09-20,46.77932334728053
2019-09-23,47.83064162126286
2019-09-24,53.78357143087186
2019-09-25,66.33414379692307
2019-09-26,45.25337113673433
2019-09-27,32.266119734946905
2019-09-30,36.36414558944455
2019-10-08,33.62452361635005
2019-10-09,35.5947643264844
2019-10-10,16.565357479408725
2019-10-11,-2.5010236479485726
2019-10-14,-15.08212192089553
2019-10-15,-24.27147481314849
2019-10-16,-33.61904352534075
2019-10-17,-44.86677914252217
2019-10-18,-41.37373744990408
2019-10-21,-51.463187750062055
2019-10-22,-50.214311607143735
2019-10-23,-47.892126865920176
2019-10-24,-39.57645000752496
2019-10-25,-33.05072873949543
2019-10-28,-26.070446220686073
2019-10-29,-35.65481714551001
2019-10-30,-35.87668341552866
2019-10-31,-36.008576308817524
2019-11-01,-41.04304709682925
2019-11-04,-38.17187648978238
2019-11-05,-38.08052557665159
2019-11-06,-49.46320147988981
2019-11-07,-62.19591658480273
2019-11-08,-61.54085675959639
2019-11-11,-62.2558738636623
2019-11-12,-51.340654045630394
2019-11-13,-35.662906490062376
2019-11-14,-29.938735237049073
2019-11-15,-24.181816540065903
2019-11-18,-27.834825193351655
