date,FCT_Dmi_Adxr@80
2012-12-03,
2012-12-04,
2012-12-05,
2012-12-06,
2012-12-07,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,
2012-12-17,
2012-12-18,
2012-12-19,
2012-12-20,
2012-12-21,
2012-12-24,
2012-12-25,
2012-12-26,
2012-12-27,
2012-12-28,
2012-12-31,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-30,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,11.840768823242664
2013-12-05,11.866223640825254
2013-12-06,11.920275690975739
2013-12-09,11.973741640410564
2013-12-10,12.028738758144149
2013-12-11,12.109585605485279
2013-12-12,12.12907483128075
2013-12-13,12.174474657994923
2013-12-16,12.207516724788388
2013-12-17,12.220181196259528
2013-12-18,12.272386052055744
2013-12-19,12.30854715893534
2013-12-20,12.36825601941998
2013-12-23,12.413047566448881
2013-12-24,12.445454373505765
2013-12-25,12.500327165034953
2013-12-26,12.544323192823496
2013-12-27,12.594122026844136
2013-12-30,12.622733819442653
2013-12-31,12.67597260882283
2014-01-02,12.741585146575709
2014-01-03,12.818993384046564
2014-01-06,12.879318181592033
2014-01-07,12.949198407031616
2014-01-08,13.020708331770736
2014-01-09,13.056496562793548
2014-01-10,13.089015886658796
2014-01-13,13.144505873619728
2014-01-14,13.178374107572465
2014-01-15,13.185383012072952
2014-01-16,13.202307059529112
2014-01-17,13.195418611785467
2014-01-20,13.173019334604739
2014-01-21,13.16502052840585
2014-01-22,13.170091623900316
2014-01-23,13.148704182268396
2014-01-24,13.093825070759252
2014-01-27,13.019664816486257
2014-01-28,12.917919406380786
2014-01-29,12.818650896052723
2014-01-30,12.742870695918267
2014-02-07,12.66380386329054
2014-02-10,12.581804502279581
2014-02-11,12.460533371072325
2014-02-12,12.334025125040462
2014-02-13,12.198678139142928
2014-02-14,12.062216181738599
2014-02-17,11.911182863733341
2014-02-18,11.766355385554277
2014-02-19,11.62311562346267
2014-02-20,11.469108042078293
2014-02-21,11.329007351363106
2014-02-24,11.200347339716764
2014-02-25,11.071236656841954
2014-02-26,10.95881260545659
2014-02-27,10.857133838598852
2014-02-28,10.770837209913093
2014-03-03,10.704799649145329
2014-03-04,10.671450863882958
2014-03-05,10.614155600576737
2014-03-06,10.544757962943086
2014-03-07,10.492705084196643
2014-03-10,10.472770090764783
2014-03-11,10.474675435229834
2014-03-12,10.473125972554627
2014-03-13,10.484375224463253
2014-03-14,10.517499703404912
2014-03-17,10.544197674683108
2014-03-18,10.558711444629937
2014-03-19,10.580807633447716
2014-03-20,10.582385129955128
2014-03-21,10.566388376975857
2014-03-24,10.578115389514553
2014-03-25,10.582096085853966
2014-03-26,10.608923929437978
2014-03-27,10.629362320766333
2014-03-28,10.64631732068046
2014-03-31,10.668722012661197
2014-04-01,10.711961987989783
2014-04-02,10.768349090006755
2014-04-03,10.818267023843035
2014-04-04,10.861119840357754
2014-04-08,10.878242762853077
2014-04-09,10.915087303063592
2014-04-10,10.962890341121394
2014-04-11,11.041686884509245
2014-04-14,11.1912038952211
2014-04-15,11.330344613876537
2014-04-16,11.44059788400743
2014-04-17,11.549371246891916
2014-04-18,11.66342692762787
2014-04-21,11.79445970945024
2014-04-22,11.901699990296265
2014-04-23,11.997929857224879
2014-04-24,12.096732342758242
2014-04-25,12.203125876290805
2014-04-28,12.295767223541187
2014-04-29,12.396504571775921
2014-04-30,12.531995192968129
2014-05-05,12.661970042397668
2014-05-06,12.783452951700085
2014-05-07,12.906427244342108
2014-05-08,13.00343089315952
2014-05-09,13.058276107793827
2014-05-12,13.107637283759715
2014-05-13,13.204374548564362
2014-05-14,13.289796469373591
2014-05-15,13.394764528374605
2014-05-16,13.504208648746944
2014-05-19,13.621324390558666
2014-05-20,13.7557306865661
2014-05-21,13.884193498554332
2014-05-22,14.019116737918315
2014-05-23,14.133186327769149
2014-05-26,14.236887090631594
2014-05-27,14.363924398612777
2014-05-28,14.522785887173473
2014-05-29,14.696151464878948
2014-05-30,14.880198400360065
2014-06-03,15.054994722747667
2014-06-04,15.226041533838403
2014-06-05,15.405035871868769
2014-06-06,15.592547713178135
2014-06-09,15.78492730138952
2014-06-10,16.01543575366192
2014-06-11,16.24488683529236
2014-06-12,16.48100622750534
2014-06-13,16.725590403771417
2014-06-16,16.999025079335876
2014-06-17,17.294545727256256
2014-06-18,17.569183602334963
2014-06-19,17.840037926710117
2014-06-20,18.065783739056457
2014-06-23,18.26592868877436
2014-06-24,18.467067744103723
2014-06-25,18.666480322895417
2014-06-26,18.84162746142976
2014-06-27,19.018085073766763
2014-06-30,19.18686839835209
