date,FCT_Bias_1@80
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,2.0968830093875757
2010-05-06,1.2650372422276186
2010-05-07,-0.04669753203376283
2010-05-10,0.9098020686164142
2010-05-11,0.5530997847595133
2010-05-12,0.6135291573072914
2010-05-13,1.0416729828509663
2010-05-14,0.3752873755489599
2010-05-17,-2.5845885073063948
2010-05-18,-1.994967316787171
2010-05-19,-3.548359956970203
2010-05-20,-2.9436294086996737
2010-05-21,-5.5084848211576825
2010-05-24,-4.514520192654083
2010-05-25,-5.799012805531335
2010-05-26,-4.9575290235516505
2010-05-27,-4.212537554295895
2010-05-28,-3.1027877854077195
2010-05-31,-3.7335885177738404
2010-06-01,-4.288477121971215
2010-06-02,-5.335570702114679
2010-06-03,-4.646977427688021
2010-06-04,-4.888228491232402
2010-06-07,-7.775993742885432
2010-06-08,-6.470919684685008
2010-06-09,-5.463317704855725
2010-06-10,-5.825166511058914
2010-06-11,-4.974845023777711
2010-06-17,-5.342486427971943
2010-06-18,-5.020608023387639
2010-06-21,-3.7889847515364825
2010-06-22,-4.3917104946307814
2010-06-23,-4.351494229131536
2010-06-24,-4.649409057610439
2010-06-25,-4.803244930368708
2010-06-28,-4.007972968707557
2010-06-29,-4.724002371749169
2010-06-30,-5.059021981455969
2010-07-01,-5.813693362966605
2010-07-02,-5.619509985002808
2010-07-05,-5.556864211520656
2010-07-06,-5.855025593323812
2010-07-07,-5.918365528721614
2010-07-08,-5.0249761924315495
2010-07-09,-5.099704562051673
2010-07-12,-5.45216460953552
2010-07-13,-5.746053248322658
2010-07-14,-4.991135617687972
2010-07-15,-5.309786527965479
2010-07-16,-5.460838186687942
2010-07-19,-5.421075101755507
2010-07-20,-4.944648297750114
2010-07-21,-5.153860159782
2010-07-22,-5.096385651860952
2010-07-23,-4.176622235892486
2010-07-26,-3.6480392420991485
2010-07-27,-3.503100185142546
2010-07-28,-3.732616086716619
2010-07-29,-2.9964077109187244
2010-07-30,-2.7122079741621254
2010-08-02,-1.700422789950589
2010-08-03,-1.5062699804653528
2010-08-04,-1.4372349500370871
2010-08-05,-1.631844418274258
2010-08-06,-0.948337363720618
2010-08-09,-0.78575419757072
2010-08-10,-1.186533942104916
2010-08-11,-1.4107772966023817
2010-08-12,-2.237201069967139
2010-08-13,-1.9499456524954482
2010-08-16,-1.6203822576267897
2010-08-17,-1.5135738924028455
2010-08-18,-1.1715256938424081
2010-08-19,-0.1478665989218184
2010-08-20,-2.172457266330871
2010-08-23,-2.887866865901742
2010-08-24,-3.66155400063442
2010-08-25,-2.9927135786960135
2010-08-26,-2.723624192130161
2010-08-27,-2.8356640128052977
2010-08-30,-1.8896689020561475
2010-08-31,-3.064032118467161
2010-09-01,-2.977835028544036
2010-09-02,-2.3135050521511085
2010-09-03,-2.3566479474549458
2010-09-06,-1.5706917927618353
2010-09-07,-1.5771156036161724
2010-09-08,-0.9633265347022432
2010-09-09,-2.064030860930362
2010-09-10,-1.560698196845596
2010-09-13,-0.9635359543921341
2010-09-14,-1.9378444378994617
2010-09-15,-2.138902320589938
2010-09-16,-1.9798556699327063
2010-09-17,-1.749193736600855
2010-09-20,-1.603959998116599
2010-09-21,-1.4886829420657017
2010-09-27,-0.9556915107673822
2010-09-28,-1.8264673104654847
2010-09-29,-1.7023060298118684
2010-09-30,-0.9096136124774208
2010-10-08,-0.5735992030238249
2010-10-11,1.6817179890935678
2010-10-12,1.1087400121011626
2010-10-13,2.9566598688343704
2010-10-14,3.516206279156487
2010-10-15,2.9236194585424835
2010-10-18,1.1331380780935663
2010-10-19,1.6443743086753633
2010-10-20,0.7014446841590931
2010-10-21,0.8979698750197562
2010-10-22,0.9877129904728089
2010-10-25,2.597266464817703
2010-10-26,1.9492880517020827
2010-10-27,0.6907316617841202
2010-10-28,1.2587759574406263
2010-10-29,0.6982602314590673
2010-11-01,1.1558513145738043
2010-11-02,1.7572569078433007
2010-11-03,1.5318199268965424
2010-11-04,2.555725938686905
2010-11-05,3.942166912854607
2010-11-08,3.449970124262437
2010-11-09,4.214257567951208
2010-11-10,3.1209165419398386
2010-11-11,4.2973234126064215
2010-11-12,1.6373472732019476
2010-11-15,1.4915670659055607
2010-11-16,0.7885416865099807
2010-11-17,-1.1657021808880637
2010-11-18,-0.5891600982337091
2010-11-19,-0.5346141330615571
2010-11-22,-0.41787212667472623
2010-11-23,-1.7982441906469933
2010-11-24,-1.2881691575480343
2010-11-25,-1.1800464382548126
2010-11-26,-1.4820207944190922
2010-11-29,-0.7511544167779636
2010-11-30,-0.0652223139120516
2010-12-01,-0.4033096438961583
2010-12-02,0.46897391176242026
2010-12-03,0.8822425563539046
2010-12-06,1.4675101512415913
2010-12-07,1.2355649712299537
2010-12-08,0.2547292899490589
2010-12-09,0.7330167889528643
2010-12-10,1.0082126377239338
2010-12-13,1.2552850370401052
2010-12-14,1.1705515329452918
2010-12-15,0.5315948055768676
2010-12-16,1.0157035017935732
2010-12-17,0.8637659655656087
2010-12-20,0.8784872491789268
2010-12-21,0.9923206793647755
2010-12-22,0.7864026418869364
2010-12-23,1.001213193638219
2010-12-24,1.0839627780309362
2010-12-27,0.7099667009759201
2010-12-28,0.1561583413271077
2010-12-29,-0.7762549730005724
2010-12-30,-0.5603799272195953
2010-12-31,-1.0522816972315423
2011-01-04,-0.43836418505335034
2011-01-05,-1.0790689145211112
2011-01-06,-0.8654174515135525
2011-01-07,-1.779659915523906
2011-01-10,-1.5968076430114344
2011-01-11,-1.527920082159807
2011-01-12,-1.422718248171373
2011-01-13,-1.489770190995502
