date,FCT_Dmi_Adx@40
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,20.43197807783518
2010-05-05,20.311355390220356
2010-05-06,19.950341512310683
2010-05-07,19.65827042056918
2010-05-10,19.5018240693911
2010-05-11,19.38324530265122
2010-05-12,18.99461454054934
2010-05-13,18.555671173779242
2010-05-14,18.803624031174515
2010-05-17,19.391367347691194
2010-05-18,20.088154072106683
2010-05-19,20.801309281718222
2010-05-20,21.443629497096985
2010-05-21,22.301906198663804
2010-05-24,23.191663021428763
2010-05-25,24.237656983554764
2010-05-26,25.300449884370103
2010-05-27,26.211601573801563
2010-05-28,26.920106624027333
2010-05-31,27.566639616893507
2010-06-01,28.273164261001558
2010-06-02,28.78390059688893
2010-06-03,29.270521553320016
2010-06-04,29.863388548921876
2010-06-07,30.572920790174464
2010-06-08,30.630603140815083
2010-06-09,30.582519771000744
2010-06-10,30.435246638613233
2010-06-11,30.300787582724276
2010-06-17,30.135836004693466
2010-06-18,30.208414639349893
2010-06-21,30.421322088343874
2010-06-22,30.631633862635038
2010-06-23,30.8190688523144
2010-06-24,31.058345979635295
2010-06-25,31.21694217167011
2010-06-28,31.459239070607868
2010-06-29,32.03510891365481
2010-06-30,32.65829808563177
2010-07-01,33.390850042268156
2010-07-02,34.158657541700556
2010-07-05,35.1411639633184
2010-07-06,36.15932086518483
2010-07-07,36.92575996319321
2010-07-08,37.63384946980785
2010-07-09,38.39100041029538
2010-07-12,39.200581100492585
2010-07-13,40.11107380798686
2010-07-14,40.74546097148367
2010-07-15,40.69011566001983
2010-07-16,40.653985186814495
2010-07-19,40.57202066720211
2010-07-20,40.577438068202994
2010-07-21,40.14793426723445
2010-07-22,39.75245465942947
2010-07-23,39.11415832443557
2010-07-26,38.48327533447382
2010-07-27,37.931383285529506
2010-07-28,37.852818870827306
2010-07-29,37.60082918928818
2010-07-30,37.142961009432554
2010-08-02,36.21767014948146
2010-08-03,35.29275900897203
2010-08-04,34.45666076514765
2010-08-05,33.131314559440796
2010-08-06,31.896250268876294
2010-08-09,30.875795388481624
2010-08-10,29.897200959714286
2010-08-11,28.97702631310248
2010-08-12,28.366264524939044
2010-08-13,27.766807798360343
2010-08-16,27.498110457380882
2010-08-17,27.16465401819092
2010-08-18,26.713971436585616
2010-08-19,26.09065450821472
2010-08-20,25.537699507563108
2010-08-23,25.265116299406678
2010-08-24,25.071099198495514
2010-08-25,24.806531641309935
2010-08-26,24.351247916136916
2010-08-27,23.718469668211355
2010-08-30,23.05614235198759
2010-08-31,22.414375151739385
2010-09-01,21.945097169205503
2010-09-02,21.66698847827427
2010-09-03,21.32054896658168
2010-09-06,20.8881927279603
2010-09-07,20.32473578716311
2010-09-08,19.72263151591323
2010-09-09,19.64655654002845
2010-09-10,19.52974139129701
2010-09-13,19.288427462327313
2010-09-14,19.077558576445156
2010-09-15,19.098554446456987
2010-09-16,19.07119061910619
2010-09-17,19.349951788627333
2010-09-20,19.459634470450148
2010-09-21,19.515258999015742
2010-09-27,19.243533466596226
2010-09-28,19.161226383184598
2010-09-29,19.23447859210699
2010-09-30,19.697073798913507
2010-10-08,20.146277957518514
2010-10-11,20.11024965594211
2010-10-12,20.324751430392283
2010-10-13,20.430098720916188
2010-10-14,20.38117542191171
2010-10-15,20.283887565246037
2010-10-18,20.295840568717562
2010-10-19,19.864527919083983
2010-10-20,19.60756037192923
2010-10-21,19.120165011521053
2010-10-22,18.692499535679556
2010-10-25,18.28917194505638
2010-10-26,18.147508663471598
2010-10-27,17.88432263263248
2010-10-28,17.36603430424119
2010-10-29,16.82113651064277
2010-11-01,16.242768697719708
2010-11-02,15.700028340614642
2010-11-03,15.217612792237507
2010-11-04,14.891039525941798
2010-11-05,14.664591341851718
2010-11-08,14.423236510885406
2010-11-09,14.178576247375085
2010-11-10,13.963378952129279
2010-11-11,13.87168656550303
2010-11-12,13.648487443824171
2010-11-15,13.45493926557224
2010-11-16,13.287760032297552
2010-11-17,12.87806535442057
2010-11-18,12.568376668894464
2010-11-19,12.305351168484052
2010-11-22,12.044397432545958
2010-11-23,11.702123615825043
2010-11-24,11.24425064826299
2010-11-25,10.929349358556388
2010-11-26,10.548606021513674
2010-11-29,10.254055714933163
2010-11-30,9.978842300945345
2010-12-01,9.647826607163875
2010-12-02,9.251733070336027
2010-12-03,8.907387603541057
2010-12-06,8.859621929643808
2010-12-07,8.751796406452161
2010-12-08,8.611703304799281
2010-12-09,8.535423634409756
2010-12-10,8.409615787347295
2010-12-13,8.367307267828192
2010-12-14,8.449917015830845
2010-12-15,8.497408722498148
2010-12-16,8.556128515473391
2010-12-17,8.6087639364815
2010-12-20,8.63119328523118
2010-12-21,8.564592671708064
2010-12-22,8.64860412303213
2010-12-23,8.798821289652931
2010-12-24,9.07136883400278
2010-12-27,9.307735344069844
2010-12-28,9.475765826234
2010-12-29,9.528180863005385
2010-12-30,9.473958518731205
2010-12-31,9.52068401327565
2011-01-04,9.399809243407026
2011-01-05,9.396377314189857
2011-01-06,9.366805121540711
2011-01-07,9.492257792471321
2011-01-10,9.605522293133493
2011-01-11,9.744128312507563
2011-01-12,9.500600748439817
2011-01-13,9.424645259602276
2011-01-14,9.345481313032987
2011-01-17,9.068121709882039
2011-01-18,8.818391669825049
2011-01-19,8.769254269751805
2011-01-20,8.673209136396478
2011-01-21,8.539881774067325
2011-01-24,8.403722712465884
2011-01-25,8.488361474494745
2011-01-26,8.699235755695355
2011-01-27,8.840995615585125
2011-01-28,9.164082202233601
2011-01-31,9.39457038326955
2011-02-01,9.85253474405219
2011-02-09,10.363818835646004
