date,FCT_Dmi_Adxr@80
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-25,
2010-11-26,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-24,
2010-12-27,
2010-12-28,
2010-12-29,17.051125722448297
2010-12-30,17.03246623000191
2010-12-31,16.969458976620068
2011-01-04,16.892744627849183
2011-01-05,16.83880979170205
2011-01-06,16.798228195793417
2011-01-07,16.713635872772542
2011-01-10,16.635056954141746
2011-01-11,16.598935847480984
2011-01-12,16.529697701349228
2011-01-13,16.4730607016639
2011-01-14,16.399996896172542
2011-01-17,16.336396413723186
2011-01-18,16.237159233073886
2011-01-19,16.149125209331384
2011-01-20,16.06366489301571
2011-01-21,15.957933629109661
2011-01-24,15.864311390286112
2011-01-25,15.77219770489763
2011-01-26,15.681671234657294
2011-01-27,15.589678067520406
2011-01-28,15.506414184850055
2011-01-31,15.418245295209521
2011-02-01,15.349714085603708
2011-02-09,15.2515528144352
2011-02-10,15.210850581216556
2011-02-11,15.191413453543161
2011-02-14,15.174863547417154
2011-02-15,15.123423758357504
2011-02-16,15.096912459543212
2011-02-17,15.028642270181779
2011-02-18,14.948159104392904
2011-02-21,14.858014894112438
2011-02-22,14.77359816620211
2011-02-23,14.68367102209034
2011-02-24,14.584776132906804
2011-02-25,14.479960428296547
2011-02-28,14.379691858192132
2011-03-01,14.2575998203519
2011-03-02,14.123123142095295
2011-03-03,13.97267379803126
2011-03-04,13.817840411499573
2011-03-07,13.68433946720581
2011-03-08,13.556731626288432
2011-03-09,13.47258220940147
2011-03-10,13.386748016702878
2011-03-11,13.323638969142003
2011-03-14,13.243306980383913
2011-03-15,13.14192558796638
2011-03-16,13.049758060213776
2011-03-17,12.899654782177151
2011-03-18,12.746894240709052
2011-03-21,12.587987739893133
2011-03-22,12.431479295011385
2011-03-23,12.25755535888215
2011-03-24,12.098672966726665
2011-03-25,11.941134713287418
2011-03-28,11.78003412301679
2011-03-29,11.62335925582172
2011-03-30,11.484820078336252
2011-03-31,11.344645888039427
2011-04-01,11.2279985330868
2011-04-06,11.129959963967757
2011-04-07,11.041692920853
2011-04-08,10.91425769517829
2011-04-11,10.763352970172367
2011-04-12,10.642230908428143
2011-04-13,10.51557954096495
2011-04-14,10.400222758746885
2011-04-15,10.276215353423954
2011-04-18,10.151087086148038
2011-04-19,10.049760255628986
2011-04-20,9.945337360060963
2011-04-21,9.844738491932617
2011-04-22,9.759776554601427
2011-04-25,9.66521855714296
2011-04-26,9.573663104076832
2011-04-27,9.498748625279344
2011-04-28,9.405004580618554
2011-04-29,9.29824499222596
2011-05-03,9.1649489586054
2011-05-04,9.054259794894337
2011-05-05,8.943783532331341
2011-05-06,8.880622499872457
2011-05-09,8.811947694921528
2011-05-10,8.742560756855557
2011-05-11,8.63871812833174
2011-05-12,8.537782503760278
2011-05-13,8.440047669981393
2011-05-16,8.358617728583816
2011-05-17,8.27718778718624
2011-05-18,8.208487489903959
2011-05-19,8.114913589743342
2011-05-20,8.039780915113035
2011-05-23,7.9623155006395665
2011-05-24,7.878858841612377
2011-05-25,7.779323160368198
2011-05-26,7.6735254453033725
2011-05-27,7.520829650250473
