date,FCT_Br_1@180
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-04,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,
2014-08-07,
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,
2014-08-22,
2014-08-25,
2014-08-26,
2014-08-27,
2014-08-28,
2014-08-29,
2014-09-01,
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,
2014-09-09,
2014-09-10,
2014-09-11,
2014-09-12,
2014-09-15,
2014-09-16,
2014-09-17,
2014-09-18,
2014-09-19,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-29,
2014-09-30,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,
2014-11-07,
2014-11-10,
2014-11-11,
2014-11-12,
2014-11-13,
2014-11-14,
2014-11-17,
2014-11-18,
2014-11-19,
2014-11-20,
2014-11-21,
2014-11-24,
2014-11-25,
2014-11-26,
2014-11-27,
2014-11-28,
2014-12-01,
2014-12-02,
2014-12-03,
2014-12-04,
2014-12-05,
2014-12-08,
2014-12-09,
2014-12-10,
2014-12-11,-0.051710326000806286
2014-12-12,-0.05127161756938572
2014-12-15,-0.04351401547096942
2014-12-16,-0.057589453887614724
2014-12-17,-0.054063261738172004
2014-12-18,-0.05087192905631269
2014-12-19,-0.05427267402456939
2014-12-22,-0.06581666758883661
2014-12-23,-0.0720321892700321
2014-12-24,-0.06290679372303445
2014-12-25,-0.06874220490528635
2014-12-26,-0.06922432179759982
2014-12-29,-0.0720434374801833
2014-12-30,-0.052641708464231274
2014-12-31,-0.060768995710705646
2015-01-05,-0.06525368319044231
2015-01-06,-0.058374712135358095
2015-01-07,-0.06287125838781076
2015-01-08,-0.06023227641963811
2015-01-09,-0.06616659813667852
2015-01-12,-0.06768234248331792
2015-01-13,-0.06923026952054116
2015-01-14,-0.08404590115376609
2015-01-15,-0.08437442448690187
2015-01-16,-0.087907231356326
2015-01-19,-0.09091522597952775
2015-01-20,-0.08790892870640454
2015-01-21,-0.09197818361687887
2015-01-22,-0.09187562527569229
2015-01-23,-0.08191416745262099
2015-01-26,-0.08985281075586242
2015-01-27,-0.0895341200554229
2015-01-28,-0.07765536799647275
2015-01-29,-0.07525265605181754
2015-01-30,-0.07840408606904077
2015-02-02,-0.06356871695752235
2015-02-03,-0.062480403606517805
2015-02-04,-0.05873764686915847
2015-02-05,-0.05056912820959576
2015-02-06,-0.04769229056688176
2015-02-09,-0.049871353604327734
2015-02-10,-0.050706585908420844
2015-02-11,-0.05306104521825092
2015-02-12,-0.05621239220367802
2015-02-13,-0.06042996524800382
2015-02-16,-0.06085396983118113
2015-02-17,-0.058422735909318395
2015-02-25,-0.06350529401102789
2015-02-26,-0.05437960256262717
2015-02-27,-0.05796475814040559
