date,FCT_Dmi_Adx@80
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-04,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,
2014-08-07,
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,
2014-08-22,
2014-08-25,
2014-08-26,
2014-08-27,
2014-08-28,
2014-08-29,
2014-09-01,
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,
2014-09-09,
2014-09-10,
2014-09-11,
2014-09-12,
2014-09-15,
2014-09-16,
2014-09-17,
2014-09-18,
2014-09-19,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-29,
2014-09-30,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,
2014-11-07,
2014-11-10,
2014-11-11,
2014-11-12,
2014-11-13,20.472750721231243
2014-11-14,20.717248362066712
2014-11-17,20.904175447120004
2014-11-18,21.016589028926155
2014-11-19,21.14486144429858
2014-11-20,21.26159011605852
2014-11-21,21.35273469341835
2014-11-24,21.432489397084773
2014-11-25,21.525471336399093
2014-11-26,21.655250066305136
2014-11-27,21.67849042110291
2014-11-28,21.65936410653862
2014-12-01,21.53559051600829
2014-12-02,21.419642451236157
2014-12-03,21.506978609813764
2014-12-04,21.58534372050563
2014-12-05,21.672036639300767
2014-12-08,21.734690838039427
2014-12-09,21.805325056301253
2014-12-10,21.91917215147783
2014-12-11,22.0779821990921
2014-12-12,22.178993896125853
2014-12-15,22.22942145421178
2014-12-16,22.274786171737595
2014-12-17,22.311106245196036
2014-12-18,22.338107446256906
2014-12-19,22.371344302774723
2014-12-22,22.414704270343755
2014-12-23,22.442368165135544
2014-12-24,22.536051188809832
2014-12-25,22.627478919632033
2014-12-26,22.66907377539632
2014-12-29,22.724511491664437
2014-12-30,22.68998251800488
2014-12-31,22.627834277181673
2015-01-05,22.514147786428705
2015-01-06,22.3279303546787
2015-01-07,22.138648681288633
2015-01-08,21.967938768931543
2015-01-09,21.76374791819532
2015-01-12,21.551311051846703
2015-01-13,21.35016361052403
2015-01-14,21.23840408053008
2015-01-15,21.132048780861968
2015-01-16,20.97494251848938
2015-01-19,20.751259955387134
2015-01-20,20.470749704047577
2015-01-21,20.083895115052034
2015-01-22,19.73590820188634
2015-01-23,19.396295570117783
2015-01-26,19.063577488361112
2015-01-27,18.778580945352946
2015-01-28,18.455811037142354
2015-01-29,18.1316773100146
2015-01-30,17.807468967638385
2015-02-02,17.446491431276385
2015-02-03,17.151143127320772
2015-02-04,17.007144543608085
2015-02-05,16.878380160046884
2015-02-06,16.741193272678807
2015-02-09,16.517087064500938
2015-02-10,16.289077415781257
2015-02-11,16.085187039169135
2015-02-12,15.87135499506852
2015-02-13,15.604792060004447
2015-02-16,15.310153796090555
2015-02-17,15.001749146580647
