date,FCT_Ac_Tr_1@10
2013-10-18,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-25,-1.1343441048697553
2013-12-26,-1.0789855072463979
2013-12-27,-0.9967519685039349
2013-12-30,-0.7425387596899314
2013-12-31,-0.5230113636363691
2014-01-02,-0.3058768656716403
2014-01-03,-0.18214285714284442
2014-01-06,-0.0951342281879093
2014-01-07,0.02739361702127842
2014-01-08,0.08219424460430695
2014-01-09,0.10929054054053554
2014-01-10,0.0869897959183638
2014-01-13,-0.015839041095874896
2014-01-14,-0.18319256756756713
2014-01-15,-0.2670535714285817
2014-01-16,-0.3073905109488955
2014-01-17,-0.339880952380943
2014-01-20,-0.3631782945736449
2014-01-21,-0.4329629629629595
2014-01-22,-0.4758333333333423
2014-01-23,-0.3694444444444297
2014-01-24,-0.22777777777778146
2014-01-27,-0.08341836734695064
2014-01-28,0.001056338028159273
2014-01-29,0.042176870748301974
2014-01-30,0.095692567567572
2014-02-07,0.1517857142857042
2014-02-10,0.19466666666667334
2014-02-11,0.31579861111110846
2014-02-12,0.4056338028168847
2014-02-13,0.4445512820512748
2014-02-14,0.3786764705882446
2014-02-17,0.4133620689655243
2014-02-18,0.45393145161290294
2014-02-19,0.49138655462185205
2014-02-20,0.42947916666666364
2014-02-21,0.39524336283185296
2014-02-24,0.23955223880596285
2014-02-25,0.09124087591241173
2014-02-26,-0.026930147058835348
2014-02-27,-0.13333333333334563
2014-02-28,-0.27083333333332865
2014-03-03,-0.45565569290278873
2014-03-04,-0.6610433959933919
2014-03-05,-0.7174666274446111
2014-03-06,-0.7495835173605419
2014-03-07,-0.7627264400391168
2014-03-10,-0.8819061717346256
2014-03-11,-0.8110280177265985
2014-03-12,-0.7616355042291828
2014-03-13,-0.7198777060499995
2014-03-14,-0.6997997481404786
2014-03-17,-0.6708118903230603
2014-03-18,-0.6400306225059427
2014-03-19,-0.6352795092697189
2014-03-20,-0.5343890248877988
2014-03-21,-0.45600331889652634
2014-03-24,-0.2571475028199709
2014-03-25,-0.024568026832406838
2014-03-26,0.26907521390546446
2014-03-27,0.49930389325358415
2014-03-28,0.7433088535291724
2014-03-31,0.9720134184471083
2014-04-01,1.2100762253603456
2014-04-02,1.2522907706646613
2014-04-03,1.3401658215305703
2014-04-04,1.4294090476660026
2014-04-08,1.6236277875630656
2014-04-09,1.7249293437813271
2014-04-10,1.7063463127295004
2014-04-11,1.7328199284932022
2014-04-14,1.6348676846948957
2014-04-15,1.47215086015576
2014-04-16,1.2224830474083448
2014-04-17,1.150474929928372
2014-04-18,0.9193111776534356
2014-04-21,0.6397117132153951
2014-04-22,0.2718717711297283
2014-04-23,-0.08974085106053276
2014-04-24,-0.29255247572926335
2014-04-25,-0.3798345724345297
2014-04-28,-0.4608513512573738
2014-04-29,-0.5617493442909515
2014-04-30,-0.6579196103273276
2014-05-05,-0.651542652658773
2014-05-06,-0.606138419531702
2014-05-07,-0.5450488564630834
2014-05-08,-0.5919666292669674
2014-05-09,-0.7306763445892474
2014-05-12,-0.9372795718233091
2014-05-13,-1.0458823529411665
2014-05-14,-1.2553697183098604
2014-05-15,-1.2634191176470448
2014-05-16,-1.1951198630136945
2014-05-19,-1.301835664335664
2014-05-20,-1.369132653061225
2014-05-21,-1.4567446043165433
2014-05-22,-1.299999999999999
2014-05-23,-1.073886986301378
2014-05-26,-0.8383116883116951
2014-05-27,-0.7341059602648927
2014-05-28,-0.5815950920245465
2014-05-29,-0.494277108433735
2014-05-30,-0.4112878787878754
2014-06-03,-0.3041666666666666
2014-06-04,-0.16422955974842673
2014-06-05,-0.04749999999999764
2014-06-06,0.0074835526315700385
2014-06-09,0.09600694444444427
2014-06-10,0.13295454545454263
2014-06-11,0.10288461538461216
2014-06-12,0.061592741935489075
2014-06-13,0.014634146341474696
2014-06-16,0.07581775700933173
2014-06-17,0.17670454545455128
2014-06-18,0.23446261682243213
2014-06-19,0.2725247524752458
2014-06-20,0.28340707964601125
2014-06-23,0.37568359375000865
2014-06-24,0.5183531746031781
2014-06-25,0.6516098484848497
2014-06-26,0.8371453900709208
2014-06-27,1.0935739436619731
2014-06-30,1.209290540540539
2014-07-01,1.357844827586208
2014-07-02,1.3557389937106898
2014-07-03,1.4222727272727294
2014-07-04,1.5564144736842094
2014-07-07,1.4175
2014-07-08,1.2014481707317097
2014-07-09,1.0560294117647018
2014-07-10,0.9306962025316523
2014-07-11,0.7290064102564083
2014-07-14,0.6674166666666661
2014-07-15,0.6040833333333303
2014-07-16,0.5335185185185198
2014-07-17,0.36596153846153023
2014-07-18,0.1556587837837906
2014-07-21,0.025919117647060768
2014-07-22,-0.1126016260162626
2014-07-23,-0.2777395988113043
2014-07-24,-0.4487310132666774
2014-07-25,-0.5782913498098872
2014-07-28,-0.6708905024946519
2014-07-29,-0.7670837104072442
2014-07-30,-0.8284469096671995
2014-07-31,-0.8472978364958353
2014-08-01,-0.8568531038721581
2014-08-04,-0.594638836772979
2014-08-05,-0.3986683205392173
2014-08-06,-0.21053713151927528
2014-08-07,-0.02996863883168103
2014-08-08,0.036793203519944535
2014-08-11,-0.0015104061426536826
2014-08-12,-0.18369923727066603
2014-08-13,-0.28726257829864676
2014-08-14,-0.45793514521192696
2014-08-15,-0.5366584016784235
2014-08-18,-0.6011133892809384
2014-08-19,-0.7886455062794411
2014-08-20,-0.8414341883542508
2014-08-21,-0.9282677356656951
2014-08-22,-0.897387656985867
2014-08-25,-0.8981578689167918
2014-08-26,-0.8139164237123414
2014-08-27,-0.7291490180978014
2014-08-28,-0.5917091836734621
2014-08-29,-0.5880239933811326
2014-09-01,-0.6388221153846093
2014-09-02,-0.5464837286265829
2014-09-03,-0.49858048057933924
2014-09-04,-0.5215379008746373
2014-09-05,-0.6091367797118759
2014-09-09,-0.6599838496549691
2014-09-10,-0.6779107796964972
2014-09-11,-0.7286125740618798
2014-09-12,-0.74040492957747
2014-09-15,-0.6300663265306136
2014-09-16,-0.5326315266366258
2014-09-17,-0.4625386009666997
2014-09-18,-0.40317925677734506
2014-09-19,-0.27641415261756247
2014-09-22,-0.1789690358902175
2014-09-23,-0.11923574224210241
2014-09-24,-0.010764533085957354
2014-09-25,0.025648148148144683
2014-09-26,0.025309641097826956
2014-09-29,-0.06324061882817984
2014-09-30,-0.15254934210526125
2014-10-08,-0.17835365853658977
2014-10-09,-0.18347701149424844
2014-10-10,-0.10301724137931113
2014-10-13,0.11705882352940762
2014-10-14,0.383383233532938
2014-10-15,0.5849702380952343
2014-10-16,0.7029796511627925
2014-10-17,0.8493055555555551
2014-10-20,1.0783333333333402
2014-10-21,1.2233333333333325
2014-10-22,1.4262310606060677
2014-10-23,1.3500717211677338
2014-10-24,1.3252572616590301
2014-10-27,1.1633065670217757
2014-10-28,0.8682816501054853
2014-10-29,0.6529724964739086
2014-10-30,0.6516081489103283
2014-10-31,0.6104492816238004
2014-11-03,0.4874027590498857
2014-11-04,0.3063395538395561
2014-11-05,0.16771392472611407
2014-11-06,0.1109542515411468
2014-11-07,0.03243471168955909
2014-11-10,-0.029415988201614895
2014-11-11,-0.07514187394348887
2014-11-12,-0.14935013971780517
2014-11-13,-0.3476521970576726
2014-11-14,-0.47214085072230927
2014-11-17,-0.49184321594491626
2014-11-18,-0.45487547300588205
2014-11-19,-0.5589090867412375
2014-11-20,-0.6105515564574765
2014-11-21,-0.6911476480836224
2014-11-24,-0.7797000932671695
2014-11-25,-0.90013911910964
2014-11-26,-0.9978393514561782
2014-11-27,-0.9306834191789196
2014-11-28,-0.8282980461888463
2014-12-01,-0.7832151232913489
2014-12-02,-0.6840978918510098
2014-12-03,-0.48191542795324366
2014-12-04,-0.19086430143302674
2014-12-05,0.08215200015958045
2014-12-08,0.293883205320584
2014-12-09,0.49623681281455156
2014-12-10,0.6628910911173631
2014-12-11,0.7320106828300429
2014-12-12,0.7060116712555727
2014-12-15,0.763088138050307
2014-12-16,0.7330080287929064
2014-12-17,0.7069955221036577
2014-12-18,0.6588420170672694
2014-12-19,0.5932113946293396
2014-12-22,0.560263481389823
2014-12-23,0.5082536957477806
2014-12-24,0.457866164758582
2014-12-25,0.427985791090639
2014-12-26,0.397382552660754
2014-12-29,0.3257690596121898
2014-12-30,0.4381578947368333
2014-12-31,0.6017499999999883
2015-01-05,0.6005841121495301
2015-01-06,0.5608870967741898
2015-01-07,0.6333653846153818
2015-01-08,0.7990079365079452
2015-01-09,0.9400000000000097
2015-01-12,0.911241007194245
2015-01-13,0.8980633802816981
2015-01-14,0.860563380281689
2015-01-15,0.7467429577464754
2015-01-16,0.5628703703703716
2015-01-19,0.3846715328467126
2015-01-20,0.21012396694214933
2015-01-21,-0.0725000000000004
2015-01-22,-0.34838709677419627
