date,FCT_Ar_1@120
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,-0.12357831068549091
2014-04-15,-0.13253505633395438
2014-04-16,-0.13527643907643214
2014-04-17,-0.13031104230049975
2014-04-18,-0.13585101452278964
2014-04-21,-0.12458387168427495
2014-04-22,-0.12670794552336817
2014-04-23,-0.1319005153867533
2014-04-24,-0.12039907514746231
2014-04-25,-0.1259217283715069
2014-04-28,-0.13911493440253112
2014-04-29,-0.15075604981701538
2014-04-30,-0.16388973940259846
2014-05-05,-0.15868842224063126
2014-05-06,-0.15688966277082755
2014-05-07,-0.16317992804223236
2014-05-08,-0.16285782176003522
2014-05-09,-0.16466699716743538
2014-05-12,-0.16390965512009267
2014-05-13,-0.16724628341205733
2014-05-14,-0.1675155257495742
2014-05-15,-0.16498357735344868
2014-05-16,-0.17542819885675648
2014-05-19,-0.18615986221987524
2014-05-20,-0.18868530002920397
2014-05-21,-0.18066613223812064
2014-05-22,-0.1702925741678416
2014-05-23,-0.17241257347609773
2014-05-26,-0.16375927292447692
2014-05-27,-0.16267857708938838
2014-05-28,-0.1751501868001692
2014-05-29,-0.17998775915843906
2014-05-30,-0.18730477081186228
2014-06-03,-0.1920808655908621
2014-06-04,-0.19392536032467916
2014-06-05,-0.19589625183604067
2014-06-06,-0.1924727458644636
2014-06-09,-0.19287714874965076
2014-06-10,-0.19592107510213766
2014-06-11,-0.19230604942449828
2014-06-12,-0.195984250885413
2014-06-13,-0.18164042427037383
2014-06-16,-0.18887689469419683
2014-06-17,-0.17686137785130107
2014-06-18,-0.17552401484417218
2014-06-19,-0.1763941802395584
2014-06-20,-0.16536916855796305
2014-06-23,-0.14631693914423255
2014-06-24,-0.15915306624901376
