date,FCT_Bias_1@80
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-17,-2.943943943943936
2014-02-18,-3.872000000000007
2014-02-19,-3.517241379310332
2014-02-20,-4.425076452599403
2014-02-21,-4.498964803312616
2014-02-24,-6.777777777777772
2014-02-25,-6.967512690355325
2014-02-26,-6.634791454730406
2014-02-27,-6.232890704800807
2014-02-28,-6.629929221435783
2014-03-03,-7.355564466849996
2014-03-04,-7.073277035533572
2014-03-05,-6.792644565043816
2014-03-06,-7.801810672128615
2014-03-07,-9.358245199693492
2014-03-10,-11.772938794145027
2014-03-11,-10.284168473413452
2014-03-12,-10.048339929502383
2014-03-13,-8.889868290578653
2014-03-14,-9.192304059604705
2014-03-17,-9.738798224114024
2014-03-18,-9.305354338905707
2014-03-19,-9.159795738272527
2014-03-20,-8.725424772472804
2014-03-21,-8.5379625999624
2014-03-24,-7.458415652152216
2014-03-25,-6.230615764483995
2014-03-26,-6.126481707516895
2014-03-27,-6.006560908933872
2014-03-28,-4.219498347182626
2014-03-31,-3.2205748467990314
2014-04-01,-2.71425684352624
2014-04-02,-3.564103256753599
2014-04-03,-2.493778136638098
2014-04-04,-1.825234070918521
2014-04-08,-0.6689555263637578
2014-04-09,-0.9435189214333003
2014-04-10,-1.0300910599105848
2014-04-11,-1.0659731004418922
2014-04-14,-1.625946211113485
2014-04-15,-1.0232609966118755
2014-04-16,-1.8334355794415678
2014-04-17,-1.8801776891931248
2014-04-18,-2.616496569879844
2014-04-21,-2.519568212593563
2014-04-22,-2.548238663484499
2014-04-23,-2.0612842714680495
2014-04-24,-1.509521231298315
2014-04-25,-1.3744708843899436
2014-04-28,-3.3042566289568556
2014-04-29,-2.56879806522296
2014-04-30,-2.8129214097732818
2014-05-05,-2.3659734308954636
2014-05-06,-2.451578859320196
2014-05-07,-3.4495604930017687
2014-05-08,-4.148974340082893
2014-05-09,-4.047789539227905
2014-05-12,-3.5881618931315136
2014-05-13,-3.5532526066030385
2014-05-14,-3.5930230270160073
2014-05-15,-3.5127483682788285
2014-05-16,-4.593898486631812
2014-05-19,-5.0315082521191234
2014-05-20,-5.298270632701173
2014-05-21,-4.7087646871464095
2014-05-22,-4.264289943353125
2014-05-23,-4.582099643688924
2014-05-26,-3.60208079362942
2014-05-27,-3.4427879504890226
2014-05-28,-4.273945565104144
