date,Amihud@10
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,1.2707123855905422e-07
2015-05-04,1.2233633877642703e-07
2015-05-05,1.26614314459518e-07
2015-05-06,8.674701892394742e-08
2015-05-07,9.6416600978505e-08
2015-05-08,1.165451716656192e-07
2015-05-11,1.4191026872629962e-07
2015-05-12,1.5223625462974227e-07
2015-05-13,1.405491093895993e-07
2015-05-14,1.2909611492495426e-07
2015-05-15,1.2690235062072166e-07
2015-05-18,1.384651200515357e-07
2015-05-19,1.3247815666638e-07
2015-05-20,1.2864120630496288e-07
2015-05-21,1.3275949929359786e-07
2015-05-22,1.0587136506740692e-07
2015-05-25,8.341559634489535e-08
2015-05-26,9.308748314693472e-08
2015-05-27,9.077254786297833e-08
2015-05-28,1.0312518410374907e-07
2015-05-29,1.0571305209940905e-07
2015-06-01,1.2793301162184206e-07
2015-06-02,1.191566621013127e-07
2015-06-03,1.1547559547913012e-07
2015-06-04,1.0227651231828651e-07
2015-06-05,1.0421222912784921e-07
2015-06-08,1.0575332355958595e-07
2015-06-09,8.670325560977814e-08
2015-06-10,9.469088799520131e-08
2015-06-11,8.880231904251038e-08
2015-06-12,9.06537228221524e-08
2015-06-15,6.322193614286959e-08
2015-06-16,6.767645650874565e-08
2015-06-17,7.080254607465163e-08
2015-06-18,8.087390390621787e-08
2015-06-19,9.327303102191723e-08
2015-06-23,8.643875594904524e-08
2015-06-24,8.947097364364492e-08
2015-06-25,9.977984452793686e-08
2015-06-26,1.1766747413745699e-07
2015-06-29,1.3869882767786575e-07
2015-06-30,1.4916307395545033e-07
2015-07-01,1.6138131966782613e-07
2015-07-02,1.5854559190769318e-07
2015-07-03,1.5128592113811754e-07
2015-07-06,1.380881685210526e-07
2015-07-07,2.3241732820325912e-07
2015-07-08,4.581861812862702e-07
2015-07-09,1.0245963175382123e-06
2015-07-10,1.8975605066821429e-06
2015-07-13,1.923223300846697e-06
2015-07-14,1.9139602224599043e-06
2015-07-15,1.961773286467119e-06
2015-07-16,2.0059176768123985e-06
2015-07-17,2.062338627949683e-06
2015-07-20,2.079001117646835e-06
2015-07-21,1.9900888327493247e-06
2015-07-22,1.7633954546382067e-06
2015-07-23,1.223863413598118e-06
2015-07-24,3.499019121907557e-07
2015-07-27,3.493379155836349e-07
2015-07-28,3.5050813735170925e-07
2015-07-29,3.160353323923188e-07
2015-07-30,2.9979626830465275e-07
2015-07-31,2.503670055456471e-07
2015-08-03,2.781647723501453e-07
2015-08-04,3.329943567592634e-07
2015-08-05,3.469538431055234e-07
2015-08-06,3.075819475394197e-07
2015-08-07,3.122978769536208e-07
2015-08-10,3.1669501376949993e-07
2015-08-11,3.219461619143894e-07
2015-08-12,2.973696045497392e-07
2015-08-13,2.9415555062054273e-07
2015-08-14,2.8400998288746093e-07
2015-08-17,2.6543367338422076e-07
2015-08-18,2.7429722258678297e-07
2015-08-19,2.9346123254093425e-07
2015-08-20,3.022124626928327e-07
2015-08-21,2.980058022102248e-07
2015-08-24,3.4810144360580156e-07
2015-08-25,4.107597085605635e-07
2015-08-26,4.4547614536457667e-07
