date,FCT_Cci@120
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,
2015-09-15,
2015-09-16,
2015-09-17,
2015-09-18,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,-33.90097290661554
2015-10-14,-33.98680623219936
2015-10-15,-20.91271244146096
2015-10-16,-17.871266224460058
2015-10-19,-24.08586153893425
2015-10-20,-16.37629359836837
2015-10-21,-30.17063183228403
2015-10-22,-27.24972793347437
2015-10-23,-12.089852972350453
2015-10-26,-10.495774450423966
2015-10-27,-11.219860197075947
2015-10-28,-17.36324491724551
2015-10-29,-16.08815935504514
2015-10-30,-16.088360585380887
2015-11-02,-20.983884618818973
2015-11-03,-23.237483157397005
2015-11-04,-2.4439628671542737
2015-11-05,4.398598033882903
2015-11-06,17.28760786682083
2015-11-09,24.69193224709981
2015-11-10,28.09565300985246
2015-11-11,35.61477063355281
2015-11-12,35.7100023479194
2015-11-13,32.044586619513225
2015-11-16,40.421413244842526
2015-11-17,45.45977289562218
2015-11-18,40.904904001629426
2015-11-19,53.43578120044834
2015-11-20,61.70661582111352
2015-11-23,60.61482690249615
2015-11-24,61.83614482375265
2015-11-25,74.9065139240742
2015-11-26,77.10389244131794
2015-11-27,47.847123551287034
2015-11-30,40.51339580674427
2015-12-01,48.59924996321456
2015-12-02,53.24872648999368
2015-12-03,69.9180825740335
2015-12-04,69.72708000662197
2015-12-07,75.70723436455653
2015-12-08,68.73536007860514
2015-12-09,70.03150639744342
