date,Amihud@120
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,
2015-09-15,
2015-09-16,
2015-09-17,
2015-09-18,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,0.5483354263269867
2015-10-15,0.5926806703567197
2015-10-16,0.6108351563684613
2015-10-19,0.6313714481879359
2015-10-20,0.6572156047462633
2015-10-21,0.6826921927258262
2015-10-22,0.7087209348516263
2015-10-23,0.7293258454185922
2015-10-26,0.731529008632018
2015-10-27,0.732598438171767
2015-10-28,0.7593917667190713
2015-10-29,0.766501931434855
2015-10-30,0.7661875630587189
2015-11-02,0.7812585974874937
2015-11-03,0.7932479911897156
2015-11-04,0.8562286904759694
2015-11-05,0.8802213821851621
2015-11-06,0.9102759390055641
2015-11-09,0.9193836020394534
2015-11-10,0.9250751498895572
2015-11-11,0.9250073941921919
2015-11-12,0.946939441923068
2015-11-13,0.9629435330039636
2015-11-16,0.9647533812773188
2015-11-17,0.9950097342250976
2015-11-18,0.9941089278515347
2015-11-19,1.0353190984358986
2015-11-20,1.0510480867640564
2015-11-23,1.0536706428008933
2015-11-24,1.0547083094794047
2015-11-25,1.069359024921342
2015-11-26,1.0763000782243004
2015-11-27,1.1205918069700447
2015-11-30,1.1263039768757186
2015-12-01,1.1349772631035997
2015-12-02,1.1853712893119994
2015-12-03,1.1888506922295417
2015-12-04,1.2220832177587728
2015-12-07,1.2280804071269389
2015-12-08,1.2462466489962158
2015-12-09,1.2554480783109372
