date,FCT_Dmi_Adxr@20
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,25.22759313547607
2015-07-13,25.57812508025724
2015-07-14,25.650758431652815
2015-07-15,26.250663499807903
2015-07-16,26.993993214420442
2015-07-17,27.23345441064547
2015-07-20,27.531281062757326
2015-07-21,27.34531937957102
2015-07-22,27.37354929033981
2015-07-23,27.26096790248287
2015-07-24,27.11466465900476
2015-07-27,26.844803157639376
2015-07-28,26.92403470288768
2015-07-29,26.812610252857212
2015-07-30,26.691860590767156
2015-07-31,26.695236064032756
2015-08-03,26.749781816265077
2015-08-04,26.50444303436133
2015-08-05,26.38061439918497
2015-08-06,26.15104244017128
2015-08-07,26.428255696189076
2015-08-10,26.322289051431405
2015-08-11,26.053812807273395
2015-08-12,26.10684197849858
2015-08-13,26.123920820357835
2015-08-14,26.3360930284847
2015-08-17,26.078882661149322
2015-08-18,25.884994100481393
2015-08-19,25.62395978933321
2015-08-20,25.71724835897825
2015-08-21,25.907844269570315
2015-08-24,25.9229228829045
2015-08-25,25.93888234364632
2015-08-26,25.96190579913587
2015-08-27,25.623943799818605
2015-08-28,25.008952050898017
2015-08-31,24.611367136604617
2015-09-01,24.154728221272087
2015-09-02,23.926023380447525
2015-09-07,23.417208605916358
2015-09-08,23.48645868214013
2015-09-09,23.750452415724375
2015-09-10,23.973687385885054
2015-09-11,24.177960023563017
2015-09-14,24.51881453460213
2015-09-15,25.078973619395992
2015-09-16,25.520079431055667
2015-09-17,25.65478573315098
2015-09-18,25.78440171644463
2015-09-21,26.06733282302186
2015-09-22,26.32386340640674
2015-09-23,26.35287653396435
2015-09-24,27.008400910425642
2015-09-25,27.692917737615993
2015-09-28,28.07482158968729
2015-09-29,28.1590557370069
2015-09-30,28.282264841023583
2015-10-08,28.91632107352258
2015-10-09,29.286019803502942
2015-10-12,29.891615833848395
2015-10-13,30.0264073654168
2015-10-14,30.23359073158266
2015-10-15,30.886166460235575
2015-10-16,31.489329970895326
2015-10-19,32.344939302265644
2015-10-20,32.84856083085825
2015-10-21,32.777781773857484
2015-10-22,32.38439337539678
2015-10-23,32.2611780702435
2015-10-26,31.874959734415416
2015-10-27,31.117470173721067
2015-10-28,30.656540757090053
2015-10-29,29.952669484117763
2015-10-30,29.395100070737286
2015-11-02,29.113171023700662
