date,Amihud@120
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-30,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-04,
2011-07-05,
2011-07-06,
2011-07-07,
2011-07-08,
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,
2011-07-15,
2011-07-18,
2011-07-19,
2011-07-20,
2011-07-21,
2011-07-22,
2011-07-25,
2011-07-26,
2011-07-27,
2011-07-28,
2011-07-29,
2011-08-01,
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-08,
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,
2011-08-19,
2011-08-22,
2011-08-23,
2011-08-24,
2011-08-25,
2011-08-26,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-05,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-13,
2011-09-14,
2011-09-15,
2011-09-16,
2011-09-19,
2011-09-20,
2011-09-21,
2011-09-22,
2011-09-23,
2011-09-26,
2011-09-27,
2011-09-28,
2011-09-29,
2011-09-30,
2011-10-10,
2011-10-11,
2011-10-12,1.1628512965952273e-06
2011-10-13,1.1621298941149975e-06
2011-10-14,1.1669870756150675e-06
2011-10-17,1.1832415844271437e-06
2011-10-18,1.1944036722744185e-06
2011-10-19,1.1977168601703086e-06
2011-10-20,1.2425254794403501e-06
2011-10-21,1.2580241174015593e-06
2011-10-24,1.273039606733902e-06
2011-10-25,1.2731074064506869e-06
2011-10-26,1.2714915346337907e-06
2011-10-27,1.2723936565749079e-06
2011-10-28,1.2738959876152226e-06
2011-10-31,1.292621473869801e-06
2011-11-01,1.2891707262254882e-06
2011-11-02,1.2945511133973928e-06
2011-11-03,1.3089461565469764e-06
2011-11-04,1.338963234017734e-06
2011-11-07,1.344958050884373e-06
2011-11-08,1.35472942518152e-06
2011-11-09,1.3554914792809728e-06
2011-11-10,1.3809991731306176e-06
2011-11-11,1.3997251594709997e-06
2011-11-14,1.401002519148656e-06
2011-11-15,1.4008217603240064e-06
2011-11-16,1.4003608328833683e-06
2011-11-17,1.3991874919942995e-06
2011-11-18,1.4028789539445145e-06
2011-11-21,1.4071208129993214e-06
2011-11-22,1.407940423150329e-06
2011-11-23,1.423760554474808e-06
2011-11-24,1.4243136401799145e-06
2011-11-25,1.4335246127721091e-06
2011-11-28,1.4297326738518118e-06
2011-11-29,1.436314064868396e-06
2011-11-30,1.4369137831156908e-06
2011-12-01,1.4414575278801001e-06
2011-12-02,1.4490138037713984e-06
2011-12-05,1.4536849233586285e-06
2011-12-06,1.4621618090494714e-06
2011-12-07,1.4720024603561402e-06
2011-12-08,1.4915528784798814e-06
2011-12-09,1.4878845595919492e-06
2011-12-12,1.5139828364915963e-06
2011-12-13,1.5060623402843744e-06
2011-12-14,1.5157051714959829e-06
2011-12-15,1.5363713369854655e-06
2011-12-16,1.558009727688226e-06
2011-12-19,1.553706851318642e-06
2011-12-20,1.5561381477161892e-06
2011-12-21,1.558891129000547e-06
2011-12-22,1.5565686202302896e-06
2011-12-23,1.5627259012434742e-06
2011-12-26,1.5651898690108116e-06
2011-12-27,1.560543216110133e-06
2011-12-28,1.5728870908502853e-06
2011-12-29,1.5698734254988497e-06
2011-12-30,1.5771903100688588e-06
2012-01-04,1.5876647889127106e-06
2012-01-05,1.6003685210505948e-06
2012-01-06,1.6076219749326474e-06
2012-01-09,1.6003586820245589e-06
2012-01-10,1.6003722146439273e-06
2012-01-11,1.6052051079309334e-06
2012-01-12,1.6055274659557118e-06
2012-01-13,1.617179763195859e-06
2012-01-16,1.6167216990273968e-06
2012-01-17,1.6230515545035427e-06
2012-01-18,1.6240411357958648e-06
2012-01-19,1.62961197774172e-06
2012-01-20,1.6266419068594282e-06
2012-01-30,1.6274073031327904e-06
2012-01-31,1.632211276780811e-06
2012-02-01,1.6480545776628395e-06
2012-02-02,1.6507308704192926e-06
2012-02-03,1.6530311932005853e-06
2012-02-06,1.66578402228819e-06
2012-02-07,1.65684436820349e-06
2012-02-08,1.6710365185535613e-06
2012-02-09,1.6540639090014963e-06
2012-02-10,1.6085859190846974e-06
2012-02-13,1.5879311407671753e-06
2012-02-14,1.5710118203957765e-06
2012-02-15,1.5489878499442789e-06
2012-02-16,1.4863906086653186e-06
2012-02-17,1.4120394612628495e-06
2012-02-20,1.3951457279051226e-06
2012-02-21,1.3605774579744822e-06
2012-02-22,1.239583623910393e-06
2012-02-23,1.104827233085532e-06
2012-02-24,1.0914381974240848e-06
2012-02-27,1.1125805240529957e-06
2012-02-28,1.1198831506530638e-06
2012-02-29,1.1345744450977843e-06
2012-03-01,1.1695206878868356e-06
2012-03-02,1.1872319100982765e-06
2012-03-05,1.2103392173066913e-06
2012-03-06,1.211523035925549e-06
2012-03-07,1.245279698371055e-06
2012-03-08,1.270626613725936e-06
2012-03-09,1.2851430545447092e-06
2012-03-12,1.3032501090162133e-06
2012-03-13,1.309640651807262e-06
2012-03-14,1.3337423807423122e-06
2012-03-15,1.324701544680382e-06
2012-03-16,1.3189778359696295e-06
2012-03-19,1.3273607738270897e-06
2012-03-20,1.3308605646168906e-06
2012-03-21,1.3310332575687929e-06
2012-03-22,1.3276722603474732e-06
2012-03-23,1.3385364130853054e-06
2012-03-26,1.3316179764759053e-06
2012-03-27,1.3268690011934698e-06
2012-03-28,1.344258303320768e-06
2012-03-29,1.3394069954737795e-06
2012-03-30,1.3321622529629913e-06
2012-04-05,1.3277478294244331e-06
2012-04-06,1.37332954044415e-06
2012-04-09,1.4018322712269152e-06
2012-04-10,1.4081658297097297e-06
2012-04-11,1.4169592607008045e-06
2012-04-12,1.46382274891482e-06
2012-04-13,1.5374755665176913e-06
2012-04-16,1.5391237532326872e-06
2012-04-17,1.5361961177193931e-06
2012-04-18,1.5621225129284495e-06
2012-04-19,1.5200566260997337e-06
2012-04-20,1.505524464207714e-06
2012-04-23,1.5146315255372344e-06
2012-04-24,1.5161009703687354e-06
2012-04-25,1.5188967154683538e-06
2012-04-26,1.51755904107892e-06
2012-04-27,1.5287423830023018e-06
2012-05-02,1.5087966981215875e-06
2012-05-03,1.5115739995920105e-06
2012-05-04,1.5082032105584463e-06
2012-05-07,1.4930535383811508e-06
2012-05-08,1.4729451346970356e-06
2012-05-09,1.467922814302986e-06
2012-05-10,1.4615510854024495e-06
2012-05-11,1.4635447173070212e-06
2012-05-14,1.4633110429626382e-06
2012-05-15,1.4464434655532223e-06
2012-05-16,1.4738479204814194e-06
2012-05-17,1.4827856723941299e-06
2012-05-18,1.490515009541618e-06
2012-05-21,1.5012538225341124e-06
2012-05-22,1.4966007543661054e-06
2012-05-23,1.5091665083977708e-06
2012-05-24,1.5128514404406272e-06
2012-05-25,1.4998281263402031e-06
2012-05-28,1.5139776454165496e-06
2012-05-29,1.5050441369560787e-06
2012-05-30,1.5166311713426889e-06
2012-05-31,1.5165675330599001e-06
2012-06-01,1.529526234408082e-06
2012-06-04,1.5653235773963654e-06
2012-06-05,1.5659187936130268e-06
2012-06-06,1.5716834204184003e-06
2012-06-07,1.5644530366676664e-06
2012-06-08,1.5715628803685558e-06
2012-06-11,1.5617550836020158e-06
2012-06-12,1.5912889640766416e-06
2012-06-13,1.5717531937395011e-06
2012-06-14,1.5756247239494805e-06
2012-06-15,1.5720466018917829e-06
2012-06-18,1.548577226037745e-06
2012-06-19,1.5231404515254992e-06
2012-06-20,1.5368212421760533e-06
2012-06-21,1.554427687023936e-06
2012-06-25,1.565306702418847e-06
2012-06-26,1.5667967328720043e-06
2012-06-27,1.5610463194917072e-06
2012-06-28,1.555815146462362e-06
2012-06-29,1.5563968668015387e-06
2012-07-02,1.5470615279894036e-06
2012-07-03,1.5467626123710325e-06
2012-07-04,1.5351802187417027e-06
2012-07-05,1.525268386311777e-06
2012-07-06,1.512006154201499e-06
2012-07-09,1.5060018192241476e-06
2012-07-10,1.5057950730527075e-06
2012-07-11,1.504513669071135e-06
2012-07-12,1.5013196521277026e-06
2012-07-13,1.5000194626558857e-06
2012-07-16,1.4938795727588278e-06
2012-07-17,1.4945877027992744e-06
2012-07-18,1.4824313438139545e-06
2012-07-19,1.4814417625216321e-06
2012-07-20,1.4828629457515424e-06
2012-07-23,1.4887750323963192e-06
2012-07-24,1.4816932834321154e-06
2012-07-25,1.4786539265143814e-06
2012-07-26,1.46338459090727e-06
2012-07-27,1.4615438779889208e-06
2012-07-30,1.4605239990401912e-06
2012-07-31,1.4480941708025031e-06
2012-08-01,1.4325768043169887e-06
2012-08-02,1.4159599576788384e-06
2012-08-03,1.4057220750864273e-06
2012-08-06,1.3999471131314598e-06
2012-08-07,1.3956151763392196e-06
2012-08-08,1.3849641340702677e-06
2012-08-09,1.3830591559560426e-06
2012-08-10,1.3714552861720694e-06
2012-08-13,1.3698040391356628e-06
2012-08-14,1.364986613121458e-06
2012-08-15,1.35319473945375e-06
2012-08-16,1.3418357114446157e-06
2012-08-17,1.3374802553854827e-06
2012-08-20,1.3376298659456042e-06
2012-08-21,1.3133136336285503e-06
2012-08-22,1.3011250446317683e-06
2012-08-23,1.2862500418755341e-06
2012-08-24,1.2502158519366318e-06
2012-08-27,1.2300642407055494e-06
2012-08-28,1.1997539458958496e-06
2012-08-29,1.1962203100220157e-06
2012-08-30,1.1499982299605928e-06
2012-08-31,1.122823994787359e-06
2012-09-03,1.1003305825539867e-06
2012-09-04,1.0793320104663641e-06
2012-09-05,1.0630356697666958e-06
2012-09-06,1.0323572376344453e-06
2012-09-07,1.0228224450922992e-06
2012-09-10,1.019081503113565e-06
2012-09-11,1.0024046926916278e-06
2012-09-12,9.896826443962128e-07
2012-09-13,9.763917058449121e-07
2012-09-14,9.764554336307106e-07
2012-09-17,9.613164332988627e-07
2012-09-18,9.55232591300942e-07
2012-09-19,9.491063919117057e-07
2012-09-20,9.056686342417803e-07
2012-09-21,8.969198137267946e-07
2012-09-24,8.922834212144219e-07
2012-09-25,8.673161304508088e-07
2012-09-26,8.112215172541621e-07
2012-09-27,7.741795402587906e-07
2012-09-28,7.629625585489467e-07
2012-10-08,7.461568621157523e-07
2012-10-09,6.967407854916727e-07
2012-10-10,6.175702847748652e-07
2012-10-11,5.996499093265586e-07
2012-10-12,5.912518139530855e-07
2012-10-15,5.620115657294137e-07
2012-10-16,5.593361100603008e-07
2012-10-17,5.578936672002046e-07
2012-10-18,5.336490664449761e-07
2012-10-19,5.299860273239736e-07
2012-10-22,5.273507965705337e-07
2012-10-23,5.261493407843907e-07
2012-10-24,5.099531546904002e-07
2012-10-25,5.057770504839644e-07
2012-10-26,4.974411793890471e-07
2012-10-29,4.910817031578869e-07
2012-10-30,4.88600507405647e-07
2012-10-31,4.754961653818805e-07
2012-11-01,4.728931608852939e-07
2012-11-02,4.6752209332142133e-07
2012-11-05,4.6407025684586815e-07
2012-11-06,4.3787898246843623e-07
2012-11-07,4.3520328721245745e-07
2012-11-08,4.0618156164471717e-07
2012-11-09,3.9665949513080764e-07
2012-11-12,3.8599114110354177e-07
2012-11-13,3.7383009083708297e-07
2012-11-14,3.738420786428338e-07
2012-11-15,3.5655593719399695e-07
2012-11-16,3.5105383680955645e-07
2012-11-19,3.4712788643320724e-07
2012-11-20,3.3224915323193925e-07
2012-11-21,3.3090088504539563e-07
2012-11-22,3.193735734625586e-07
2012-11-23,3.1013026115083257e-07
2012-11-26,2.957907056769611e-07
2012-11-27,2.5323060662137826e-07
2012-11-28,2.4168015935141557e-07
2012-11-29,2.2956362952445557e-07
2012-11-30,2.2488393604203088e-07
2012-12-03,2.070430243262527e-07
2012-12-04,1.9329204886003021e-07
2012-12-05,1.6155381679425603e-07
2012-12-06,1.5513571027754366e-07
2012-12-07,1.48122279286219e-07
2012-12-10,1.3724663044435067e-07
2012-12-11,1.359257080564806e-07
2012-12-12,1.3506305879726025e-07
2012-12-13,1.2147741916346207e-07
2012-12-14,9.997340265229674e-08
2012-12-17,8.547688944655319e-08
2012-12-18,8.403320353029999e-08
2012-12-19,7.939254728975482e-08
2012-12-20,7.587964280358808e-08
2012-12-21,7.533686873268137e-08
2012-12-24,7.200716264169678e-08
2012-12-25,7.125349237161918e-08
2012-12-26,6.996583330125847e-08
2012-12-27,6.823242630506139e-08
2012-12-28,6.730823838255727e-08
2012-12-31,6.286115959141492e-08
2013-01-04,6.211510483436684e-08
2013-01-07,6.065567184168877e-08
2013-01-08,5.6889917517340604e-08
2013-01-09,5.674436177678836e-08
2013-01-10,5.1252009773400903e-08
