date,FCT_Br_1@40
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-30,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-13,0.10835058661145618
2011-06-14,0.1229012760241773
2011-06-15,0.037638376383763834
2011-06-16,0.06463878326996197
2011-06-17,0.03481012658227848
2011-06-20,0.01594896331738437
2011-06-21,0.04065040650406504
2011-06-22,0.019150707743547043
2011-06-23,0.06162695152013147
2011-06-24,0.04276315789473684
2011-06-27,0.024671052631578948
2011-06-28,0.05032467532467533
2011-06-29,0.028478437754271765
2011-06-30,0.05988515176374077
2011-07-01,0.08547717842323652
2011-07-04,0.15371621621621623
2011-07-05,0.13900589721988205
2011-07-06,0.15946843853820597
2011-07-07,0.09471919530595138
2011-07-08,0.08964316797214969
2011-07-11,0.00658513640639699
2011-07-12,0.021677662582469368
2011-07-13,0.06304558680892337
2011-07-14,0.04714142427281846
2011-07-15,0.03172978505629478
2011-07-18,0.022964509394572025
2011-07-19,0.039913700107874865
2011-07-20,0.02857142857142857
2011-07-21,0.024229074889867842
2011-07-22,-0.004434589800443459
2011-07-25,0.03262092238470191
2011-07-26,0.03409090909090909
2011-07-27,0.021764032073310423
2011-07-28,0.024165707710011506
2011-07-29,0.05176470588235294
2011-08-01,0.06971153846153846
2011-08-02,0.06930693069306931
2011-08-03,0.07672955974842767
2011-08-04,0.09838107098381071
2011-08-05,0.09359605911330049
2011-08-08,0.06242350061199511
2011-08-09,-0.07497116493656286
2011-08-10,-0.04498269896193772
2011-08-11,-0.03815028901734104
2011-08-12,-0.042382588774341354
2011-08-15,-0.04664391353811149
2011-08-16,-0.09502262443438914
2011-08-17,-0.09253065774804906
2011-08-18,-0.14446952595936793
2011-08-19,-0.16517857142857142
2011-08-22,-0.22077922077922077
2011-08-23,-0.3164950484670037
2011-08-24,-0.27970986843160944
2011-08-25,-0.27108548279158495
2011-08-26,-0.264352860614074
2011-08-29,-0.2999978676295505
2011-08-30,-0.28843245255229405
2011-08-31,-0.2810388134019075
2011-09-01,-0.25950821508690525
2011-09-02,-0.28823252898777774
2011-09-05,-0.2808804291325901
2011-09-06,-0.2538596581928498
2011-09-07,-0.26345313780564283
2011-09-08,-0.2614683590483059
2011-09-09,-0.25781207071056067
2011-09-13,-0.2710719326151729
2011-09-14,-0.2818070556571702
2011-09-15,-0.2684046644881871
2011-09-16,-0.24578284338958348
2011-09-19,-0.2621018188402336
2011-09-20,-0.29005898089340837
2011-09-21,-0.26004995885864596
2011-09-22,-0.3020998142704888
2011-09-23,-0.34428567947542976
2011-09-26,-0.37534351941894034
2011-09-27,-0.33377727173236243
2011-09-28,-0.34287474771301857
2011-09-29,-0.3826992977251587
2011-09-30,-0.3839580691084899
2011-10-10,-0.33945520935745815
2011-10-11,-0.29828334537067186
2011-10-12,-0.2444428983414693
2011-10-13,-0.26658909497263794
2011-10-14,-0.2590918927309235
2011-10-17,-0.2839970346536278
2011-10-18,-0.28700885959863087
2011-10-19,-0.2582875612071791
2011-10-20,-0.30322942088176313
2011-10-21,-0.2660172908530735
2011-10-24,-0.1984141169901579
2011-10-25,-0.1379310344827567
2011-10-26,-0.0860741777466747
2011-10-27,-0.10428571428571387
2011-10-28,-0.08754448398576417
2011-10-31,-0.10812720848056445
2011-11-01,-0.10500352360817376
2011-11-02,-0.13351877607788507
2011-11-03,-0.17338995046001315
2011-11-04,-0.14644351464435057
2011-11-07,-0.13314447592067907
2011-11-08,-0.1251778093883352
2011-11-09,-0.1403887688984874
2011-11-10,-0.20027341079972644
2011-11-11,-0.12687052700065032
2011-11-14,-0.12476007677543141
2011-11-15,-0.0959752321981427
2011-11-16,-0.09637814610190353
2011-11-17,-0.08936170212766029
2011-11-18,-0.11299093655589194
2011-11-21,-0.10282621767889429
2011-11-22,-0.09068923821039954
2011-11-23,-0.11814859926918464
2011-11-24,-0.08796007485963869
2011-11-25,-0.05694177863083875
2011-11-28,-0.015894039735099837
2011-11-29,-0.04236718224613404
2011-11-30,0.011952191235059074
2011-12-01,0.11365164761264201
2011-12-02,0.09103169251517088
2011-12-05,0.06232686980609349
2011-12-06,0.010958904109588538
2011-12-07,0.011065006915629162
2011-12-08,-0.0013736263736263325
2011-12-09,0.0054204476046221025
2011-12-12,0.009817720239172503
2011-12-13,0.02660146828682946
2011-12-14,0.010209579092805576
2011-12-15,0.051679493976344415
2011-12-16,0.058198637463861884
2011-12-19,0.01255297373109513
2011-12-20,-0.004271242965113249
2011-12-21,0.011985218963756802
2011-12-22,-0.006612865227941471
2011-12-23,-0.048323538800098625
2011-12-26,-0.03149451025307955
2011-12-27,-0.028623623770306205
2011-12-28,0.028497059956099767
2011-12-29,0.0341948620027877
2011-12-30,0.02453895673150793
2012-01-04,0.038657429708797764
2012-01-05,0.01935459839734855
2012-01-06,0.04370055700737112
2012-01-09,0.12006256478664308
2012-01-10,0.04827257759695345
2012-01-11,0.07962740811198303
2012-01-12,0.049570057060473884
2012-01-13,0.05853838580389595
2012-01-16,0.029114251337822455
2012-01-17,0.08042781423992273
2012-01-18,0.09269400721152035
2012-01-19,0.12059774907447969
2012-01-20,0.14004511314728774
2012-01-30,0.1929724640011027
2012-01-31,0.21265557585523553
2012-02-01,0.19305919716385314
2012-02-02,0.19414283020751216
2012-02-03,0.14703598090785325
2012-02-06,0.12326445010367808
2012-02-07,0.1264569947894542
2012-02-08,0.14362777764460402
2012-02-09,0.16761132206391585
2012-02-10,0.16466684846832005
2012-02-13,0.18421052631578827
2012-02-14,0.17680608365018874
2012-02-15,0.21908471275559646
2012-02-16,0.2061955469506274
2012-02-17,0.2368932038834927
2012-02-20,0.2977250247279902
2012-02-21,0.27235772357723353
2012-02-22,0.2949640287769757
2012-02-23,0.274999999999996
2012-02-24,0.26819126819126465
2012-02-27,0.306334371754929
2012-02-28,0.31945889698230706
2012-02-29,0.3361611876988311
2012-03-01,0.3136842105263137
2012-03-02,0.3049040511727056
2012-03-05,0.286315789473682
2012-03-06,0.26282051282050967
2012-03-07,0.23093447905477674
2012-03-08,0.25108225108224824
2012-03-09,0.23820224719100974
2012-03-12,0.2273236282194824
2012-03-13,0.23711340206185297
2012-03-14,0.168771526980479
2012-03-15,0.15384615384614886
2012-03-16,0.16414435389987939
2012-03-19,0.15654205607476265
2012-03-20,0.14792899408283638
2012-03-21,0.15576694411414715
2012-03-22,0.11245465538088974
2012-03-23,0.11084337349396983
2012-03-26,0.0616352201257796
2012-03-27,0.05196451204055149
2012-03-28,0.05236270753511671
2012-03-29,0.038961038961034124
2012-03-30,0.03830911492733967
2012-04-05,-0.030054644808748154
2012-04-06,-0.034965034965040304
2012-04-09,-0.08238636363637011
2012-04-10,-0.06427503736921662
2012-04-11,-0.06363636363637236
2012-04-12,-0.07530120481928634
2012-04-13,-0.07875185735513418
2012-04-16,-0.10804449478336725
2012-04-17,-0.0819093174125676
2012-04-18,-0.1301732713350516
2012-04-19,-0.17695210415910526
2012-04-20,-0.18972093132423332
2012-04-23,-0.25675292068471
2012-04-24,-0.23796394311645563
2012-04-25,-0.2597496291452696
2012-04-26,-0.30051209470598356
2012-04-27,-0.3059420987447398
2012-05-02,-0.3092007903412381
2012-05-03,-0.2899034663739026
2012-05-04,-0.3366094426388734
2012-05-07,-0.3267006155169487
2012-05-08,-0.3505589521273669
2012-05-09,-0.3150777461783659
2012-05-10,-0.32886951355604777
2012-05-11,-0.38544317986997284
2012-05-14,-0.42738151900455873
2012-05-15,-0.44498456533216957
2012-05-16,-0.4559335332598474
2012-05-17,-0.42929133858267926
2012-05-18,-0.4551642010688576
2012-05-21,-0.4111424250589275
2012-05-22,-0.43370269807490175
2012-05-23,-0.47897536434533466
2012-05-24,-0.4692102808030143
2012-05-25,-0.48446279151926475
2012-05-28,-0.4597526817568661
2012-05-29,-0.4647077656773405
2012-05-30,-0.46473206499535336
2012-05-31,-0.4707784615021202
2012-06-01,-0.47390999948313356
2012-06-04,-0.5062195006317626
2012-06-05,-0.4567329033605761
2012-06-06,-0.43311938939242717
2012-06-07,-0.4182239494486955
2012-06-08,-0.43679683843793676
2012-06-11,-0.3835742128566214
2012-06-12,-0.41477832512315055
2012-06-13,-0.41878669275929403
2012-06-14,-0.41954022988505596
2012-06-15,-0.3870029097963126
2012-06-18,-0.3673076923076904
2012-06-19,-0.3693346190935368
2012-06-20,-0.3153692614770436
2012-06-21,-0.34892787524366303
2012-06-25,-0.36407300672430243
2012-06-26,-0.36792452830188466
2012-06-27,-0.37148217636022307
2012-06-28,-0.38489871086555955
2012-06-29,-0.3926325247079944
2012-07-02,-0.3442622950819653
2012-07-03,-0.3208510638297858
2012-07-04,-0.26492851135407686
2012-07-05,-0.2549999999999979
2012-07-06,-0.2709196354598159
2012-07-09,-0.26910299003322075
2012-07-10,-0.20590790616854762
2012-07-11,-0.2059336823734713
2012-07-12,-0.1295512277730725
2012-07-13,-0.1387720773759449
2012-07-16,-0.15703824247355488
2012-07-17,-0.19968051118210764
2012-07-18,-0.1988184983216454
2012-07-19,-0.16384070563784506
2012-07-20,-0.20163722878722498
2012-07-23,-0.2407214755845836
2012-07-24,-0.2327693891298873
2012-07-25,-0.2669585935368922
2012-07-26,-0.24145645431283566
2012-07-27,-0.2234346983290185
2012-07-30,-0.2368131673096487
2012-07-31,-0.19956500140971636
2012-08-01,-0.20292312278216768
2012-08-02,-0.21249365520039637
2012-08-03,-0.2245535725931073
2012-08-06,-0.20213579595215492
2012-08-07,-0.2248309754912566
2012-08-08,-0.18562138227461195
2012-08-09,-0.16743152331546382
2012-08-10,-0.15972446846007554
2012-08-13,-0.18052253203346508
2012-08-14,-0.21176714268069066
2012-08-15,-0.20757305066127615
2012-08-16,-0.2153565973270525
2012-08-17,-0.18627641998367955
2012-08-20,-0.16790256819531563
2012-08-21,-0.18101770554240357
2012-08-22,-0.17150145142175674
2012-08-23,-0.1493381834424262
2012-08-24,-0.1475744433264369
2012-08-27,-0.16607814188217143
2012-08-28,-0.19766497648003062
2012-08-29,-0.249274161756185
2012-08-30,-0.2904411692537953
2012-08-31,-0.2825586593446065
2012-09-03,-0.2768623199932464
2012-09-04,-0.31548618421819546
2012-09-05,-0.322620104461643
2012-09-06,-0.3481914513465748
2012-09-07,-0.31806235883070677
2012-09-10,-0.24657770078312383
2012-09-11,-0.23197903014416948
2012-09-12,-0.20491273432450113
2012-09-13,-0.21644187540141524
2012-09-14,-0.13423249839435078
2012-09-17,-0.11271297509829879
2012-09-18,-0.115434500648511
2012-09-19,-0.07476635514018945
2012-09-20,-0.10735989196489122
2012-09-21,-0.11111111111111345
2012-09-24,-0.08965517241379564
2012-09-25,-0.07079037800687499
2012-09-26,-0.09839497557571739
2012-09-27,-0.05729877216917023
2012-09-28,-0.034818941504180516
2012-10-08,-0.03651685393258628
2012-10-09,0.00341763499658022
2012-10-10,0.010101010101008095
2012-10-11,-0.008684034736140945
2012-10-12,0.019607843137252758
2012-10-15,0.015523932729622688
2012-10-16,0.06438896189224513
2012-10-17,0.08541392904073387
2012-10-18,0.09306930693069115
2012-10-19,0.06779661016948967
2012-10-22,0.06778566817301282
2012-10-23,0.07110826393337423
2012-10-24,0.06385696040868298
2012-10-25,0.045511591853027264
2012-10-26,0.04135669923094377
2012-10-29,0.00754058852886114
2012-10-30,0.03217954505598878
2012-10-31,0.05929457793218594
2012-11-01,0.10463311674048238
2012-11-02,0.09942696057119044
2012-11-05,0.10593958854912253
2012-11-06,0.14223122417564538
2012-11-07,0.14788865606170437
2012-11-08,0.11960439600366199
2012-11-09,0.11130653751724966
2012-11-12,0.08239491620625379
2012-11-13,0.08657468040727849
2012-11-14,0.060725229849665927
2012-11-15,0.07078199231104952
2012-11-16,0.03685087329886807
2012-11-19,0.0538476317419724
2012-11-20,0.04466118711225486
2012-11-21,0.06199525215562765
2012-11-22,0.09090153232163829
2012-11-23,0.09112856074084581
2012-11-26,0.0885213020866233
2012-11-27,0.06595006547197925
2012-11-28,0.070432144614579
2012-11-29,0.007773241250117993
2012-11-30,-0.009251491450205991
2012-12-03,0.02026669433922897
2012-12-04,-0.032383581921232446
2012-12-05,-0.03365248799674678
2012-12-06,-0.027739220026869283
2012-12-07,-0.04287647526415832
2012-12-10,0.012518908983288087
2012-12-11,-0.011601954846641548
2012-12-12,-0.04954055671771443
2012-12-13,-0.07508915412914524
2012-12-14,-0.013078614188190396
2012-12-17,-0.003779565959522668
2012-12-18,0.056703764603188204
2012-12-19,0.061183550651954986
2012-12-20,0.05263157894736767
2012-12-21,0.09815950920245393
2012-12-24,0.13983050847457676
2012-12-25,0.17368961973278613
2012-12-26,0.19793814432989731
2012-12-27,0.22645290581162372
2012-12-28,0.2658730158730161
2012-12-31,0.32567049808429055
2013-01-04,0.31766917293233066
2013-01-07,0.3240223463687153
2013-01-08,0.3430127041742291
