date,Amihud@20
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,2.056889955784804e-08
2013-04-24,2.125843392266532e-08
2013-04-25,2.141911833005331e-08
2013-04-26,2.1611117532130054e-08
2013-05-02,2.900884004113675e-08
2013-05-03,3.0434508623702887e-08
2013-05-06,3.2355814946232485e-08
2013-05-07,3.3753840668818004e-08
2013-05-08,3.9874290229546435e-08
2013-05-09,4.24913801029775e-08
2013-05-10,4.628630889484372e-08
2013-05-13,4.900937979958447e-08
2013-05-14,4.8376246646596115e-08
2013-05-15,5.285408585176248e-08
2013-05-16,4.97186648915322e-08
2013-05-17,5.12073855650272e-08
2013-05-20,5.05690880706782e-08
2013-05-21,5.017822023322808e-08
2013-05-22,5.132625089214789e-08
2013-05-23,5.476175648044336e-08
2013-05-24,5.2896128846092443e-08
2013-05-27,5.729038740838377e-08
2013-05-28,5.718414056716238e-08
2013-05-29,6.017458834180795e-08
2013-05-30,5.3395110679414654e-08
2013-05-31,5.482442010836926e-08
2013-06-03,5.1603121235118285e-08
2013-06-04,5.035554861108415e-08
2013-06-05,4.4076162596795085e-08
2013-06-06,4.78396104396482e-08
2013-06-07,4.608326604588857e-08
2013-06-13,4.428204751395066e-08
2013-06-14,4.509392900094668e-08
2013-06-17,4.2327122151851486e-08
2013-06-18,4.219111235239983e-08
2013-06-19,4.121342811219395e-08
2013-06-20,4.4547003249084265e-08
2013-06-21,4.4523787833039034e-08
2013-06-24,4.431448893890009e-08
2013-06-25,4.213634170792597e-08
2013-06-26,4.519567889728319e-08
2013-06-27,4.133724503330623e-08
2013-06-28,4.7522385617271615e-08
2013-07-01,4.777645825178854e-08
2013-07-02,4.748421836208513e-08
2013-07-03,4.397044170427732e-08
2013-07-04,4.417727135952751e-08
2013-07-05,4.3167598901988125e-08
2013-07-08,4.423910784769057e-08
2013-07-09,3.938169538047936e-08
2013-07-10,3.935982364985624e-08
2013-07-11,3.7749486063636783e-08
2013-07-12,3.784518904503734e-08
2013-07-15,3.753156778140913e-08
2013-07-16,3.8153146642436954e-08
2013-07-17,3.864838490916426e-08
2013-07-18,3.567931228987097e-08
2013-07-19,3.6043537312860926e-08
2013-07-22,3.480794454038936e-08
2013-07-23,3.181801881612969e-08
2013-07-24,2.9196530872706796e-08
2013-07-25,2.7977936400953647e-08
2013-07-26,2.250575740441375e-08
2013-07-29,2.2433280980238543e-08
2013-07-30,2.198456781779431e-08
2013-07-31,2.3227117242861102e-08
2013-08-01,2.4671958798599564e-08
2013-08-02,2.7284634459156217e-08
2013-08-05,2.69394090887904e-08
2013-08-06,2.5969772349546807e-08
2013-08-07,2.441003226133775e-08
2013-08-08,2.8076531016834244e-08
2013-08-09,2.9103354504274957e-08
2013-08-12,2.99872006384668e-08
2013-08-13,3.053080163576708e-08
2013-08-14,2.9567462623455068e-08
2013-08-15,2.9297492686438964e-08
2013-08-16,2.957687297425791e-08
2013-08-19,2.984620615979341e-08
2013-08-20,2.9394642942244345e-08
2013-08-21,2.871333184472887e-08
2013-08-22,2.841211234013962e-08
2013-08-23,2.789245744460623e-08
2013-08-26,2.418928560950313e-08
2013-08-27,2.5253376936801286e-08
2013-08-28,2.59537498859142e-08
2013-08-29,2.3706457897725928e-08
2013-08-30,2.108511062123295e-08
2013-09-02,2.2308395941806455e-08
2013-09-03,2.2012447869576612e-08
2013-09-04,2.1949725203089208e-08
2013-09-05,1.9013190373335255e-08
2013-09-06,1.7418273040509832e-08
2013-09-09,1.6348478521985604e-08
2013-09-10,1.6547556883250026e-08
2013-09-11,1.6117107430036664e-08
2013-09-12,1.7482805186680747e-08
2013-09-13,1.8872905611264423e-08
2013-09-16,1.850028558087375e-08
2013-09-17,1.8994577653545257e-08
2013-09-18,2.130857370419198e-08
2013-09-23,2.2356264251931583e-08
2013-09-24,2.221406749039812e-08
2013-09-25,2.203848694719847e-08
2013-09-26,2.1698922574440397e-08
2013-09-27,2.2350136529591143e-08
2013-09-30,2.413011374642551e-08
2013-10-08,2.396743361917998e-08
2013-10-09,2.264515443119051e-08
2013-10-10,2.2532984689139887e-08
2013-10-11,2.283755883317262e-08
2013-10-14,2.6128378156157812e-08
2013-10-15,2.670764447220234e-08
2013-10-16,2.7640185109918517e-08
2013-10-17,2.6874752019375787e-08
2013-10-18,2.700186397276048e-08
2013-10-21,2.8754812279509915e-08
2013-10-22,3.048235936430113e-08
2013-10-23,3.1961032547803684e-08
2013-10-24,3.461941145313445e-08
2013-10-25,3.5203089109313155e-08
2013-10-28,3.4423255730055535e-08
2013-10-29,3.622453933279769e-08
2013-10-30,3.6353997050403885e-08
2013-10-31,4.138105783809308e-08
2013-11-01,4.037805856199589e-08
2013-11-04,4.244549822619899e-08
2013-11-05,4.3368836138549686e-08
2013-11-06,4.225978146274683e-08
2013-11-07,4.285507881808815e-08
2013-11-08,4.407875612294554e-08
2013-11-11,4.042646129974252e-08
2013-11-12,4.062021734981129e-08
2013-11-13,3.842473592913202e-08
2013-11-14,3.8294200686244795e-08
