date,FCT_Br_1@120
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-16,
2013-09-17,-0.0742322756215076
2013-09-18,-0.06946405696070389
2013-09-23,-0.07095609802818083
2013-09-24,-0.07698617049083639
2013-09-25,-0.07519752372693388
2013-09-26,-0.07758186856162223
2013-09-27,-0.07819245400533546
2013-09-30,-0.06556188981466382
2013-10-08,-0.08038965754324014
2013-10-09,-0.08157409400400298
2013-10-10,-0.07391884730917982
2013-10-11,-0.0763507820685397
2013-10-14,-0.06560328504902488
2013-10-15,-0.061933840900685815
2013-10-16,-0.06882259632604884
2013-10-17,-0.05022029756681907
2013-10-18,-0.04124848630862076
2013-10-21,-0.028498250135495694
2013-10-22,-0.02057280378850037
2013-10-23,-0.030168931177679506
2013-10-24,-0.03264093044522572
2013-10-25,-0.03053357498954926
2013-10-28,-0.033933219631873374
2013-10-29,-0.04010180684511927
2013-10-30,-0.043602580226377786
2013-10-31,-0.033976416639370524
2013-11-01,-0.039779659623447323
2013-11-04,-0.05252959959402443
2013-11-05,-0.05639791625586613
2013-11-06,-0.05861740708783838
2013-11-07,-0.05348813997790639
2013-11-08,-0.059785184328468015
2013-11-11,-0.07413314045371108
2013-11-12,-0.0682035072888915
2013-11-13,-0.05188557278892188
2013-11-14,-0.04636593671970062
2013-11-15,-0.055745096324186685
2013-11-18,-0.059026138517669136
2013-11-19,-0.05468873158827381
2013-11-20,-0.051822569843353275
2013-11-21,-0.04768608541981814
2013-11-22,-0.049434774993172684
2013-11-25,-0.04347747441580076
2013-11-26,-0.0384176252079302
2013-11-27,-0.04046626403906021
2013-11-28,-0.030596091612790227
2013-11-29,-0.026720139414457705
2013-12-02,-0.024435547153591818
2013-12-03,-0.02469865351516634
2013-12-04,-0.013044139591789329
2013-12-05,0.010399777297340205
2013-12-06,0.013224723229615664
2013-12-09,0.020863134759173618
2013-12-10,0.02639115645840907
2013-12-11,0.00797313702177712
2013-12-12,0.01279495649396132
2013-12-13,0.004520819683931307
2013-12-16,0.02444371868669947
2013-12-17,0.027126152103341364
2013-12-18,0.024966901816446296
2013-12-19,0.014212140904079122
2013-12-20,0.004671491954049874
2013-12-23,0.0010723509688709977
2013-12-24,0.00515502676690743
2013-12-25,0.010845065027970108
2013-12-26,0.015137975955140067
2013-12-27,0.011763001713420112
2013-12-30,0.0008968393685053907
2013-12-31,-0.007934101433888834
2014-01-02,-0.00041945753468193906
2014-01-03,-0.0060087376526207804
2014-01-06,-0.01668793877661509
2014-01-07,-0.023131329544201194
2014-01-08,-0.023459662377543322
2014-01-09,-0.02453445327068695
2014-01-10,-0.022780893379237596
2014-01-13,-0.030714537414408827
2014-01-14,-0.028025255868253343
2014-01-15,-0.03740075502361629
2014-01-16,-0.04568580317579648
2014-01-17,-0.04881267661522581
2014-01-20,-0.05756175183780542
2014-01-21,-0.053078010322498606
2014-01-22,-0.0478428581893534
2014-01-23,-0.03406358597582692
2014-01-24,-0.03079606336965849
2014-01-27,-0.03845981987188887
2014-01-28,-0.05975409051329213
2014-01-29,-0.05576288233639116
2014-01-30,-0.059532188089597794
2014-02-07,-0.062499435399429544
2014-02-10,-0.05224805674576775
2014-02-11,-0.0715934685848191
2014-02-12,-0.07525831029196127
2014-02-13,-0.09144533612209362
2014-02-14,-0.09583577593363839
2014-02-17,-0.08235973139276329
2014-02-18,-0.10298822878390844
2014-02-19,-0.08536615754763602
2014-02-20,-0.1021476685501449
2014-02-21,-0.11092305934443887
