date,FCT_Bias_1@180
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,-2.134016662879838
2010-10-08,-1.0476548900904799
2010-10-11,0.8935329962094227
2010-10-12,0.24074904629622265
2010-10-13,0.7516370329589209
2010-10-14,1.2486153104305042
2010-10-15,0.7552010055856065
2010-10-18,-0.24413272347864395
2010-10-19,0.2515115686019192
2010-10-20,-0.36788701617968594
2010-10-21,-0.008506294204644079
2010-10-22,1.0278805198253747
2010-10-25,1.8354006657231139
2010-10-26,1.5852673347174617
2010-10-27,0.6480979358114068
2010-10-28,1.3215125227163758
2010-10-29,1.9362097220283054
2010-11-01,2.5961852376076986
2010-11-02,2.3195326605454767
2010-11-03,2.264840484360791
2010-11-04,3.2969973547904794
2010-11-05,5.054249828979686
2010-11-08,5.061888121937175
2010-11-09,8.034132566783885
2010-11-10,6.941722013061336
2010-11-11,4.847270890438316
2010-11-12,3.2163861466777908
2010-11-15,0.8234717871891085
2010-11-16,-0.09820131441601718
2010-11-17,-1.2356949339974628
2010-11-18,0.6344943536978292
2010-11-19,0.6312318359916511
2010-11-22,0.3009146112367579
2010-11-23,-1.6083131154726227
2010-11-24,-0.9599435741985678
2010-11-25,-1.3348842413643847
2010-11-26,-2.6455282990728226
2010-11-29,-1.787600522467978
2010-11-30,-2.259037613342775
2010-12-01,-1.5280566093942518
2010-12-02,-0.901012335821551
2010-12-03,-0.6171415621171825
2010-12-06,-0.48808765195373716
2010-12-07,-0.8398984152676611
2010-12-08,-1.0319995177540124
2010-12-09,-0.4254476698935064
2010-12-10,-0.14077385877494172
2010-12-13,1.7900532802159028
2010-12-14,1.8977455336110645
2010-12-15,1.5907123740221212
2010-12-16,1.362474802248556
2010-12-17,1.778970228443399
2010-12-20,1.3544480587708272
2010-12-21,1.7830427197224135
2010-12-22,1.5899329776749846
2010-12-23,2.940493186687034
2010-12-24,2.986716621913045
2010-12-27,3.2302787981632055
2010-12-28,2.750211632386456
2010-12-29,2.1248553941074677
2010-12-30,2.596250351956979
2010-12-31,1.960270310416828
2011-01-04,3.0586704152927946
2011-01-05,2.867669786007551
2011-01-06,3.3213247580317438
2011-01-07,1.5689510861925136
2011-01-10,1.4675796439619635
2011-01-11,1.4539083830910948
2011-01-12,1.6930020988593157
2011-01-13,1.8250432086883623
2011-01-14,1.9174378483907362
2011-01-17,1.2421406019311034
2011-01-18,0.9357068027815292
2011-01-19,1.5883240603505746
2011-01-20,1.3715412618039287
2011-01-21,0.5599447893524288
2011-01-24,1.564926158550598
2011-01-25,-0.071690041561976
2011-01-26,-0.1526666429333839
2011-01-27,-0.25042808416834217
2011-01-28,-0.011541414816105608
2011-01-31,0.3297414284050676
2011-02-01,1.0006472827522526
2011-02-09,1.029615887484079
2011-02-10,2.3060571896505575
2011-02-11,2.2531657590802268
2011-02-14,2.621787145682117
2011-02-15,2.284783738009935
2011-02-16,2.2325742550343337
2011-02-17,1.8295714090270967
2011-02-18,1.4111849206843372
2011-02-21,1.797986938927991
2011-02-22,0.8440941052216041
2011-02-23,-0.3382455540722089
2011-02-24,-0.5139312053233919
2011-02-25,-0.21088023085301427
2011-02-28,0.4076324947872357
2011-03-01,0.19773458370040053
2011-03-02,0.4977120455587612
2011-03-03,0.5800828594868386
2011-03-04,0.6775434718566625
2011-03-07,1.2478808321034147
2011-03-08,0.47349158194757696
2011-03-09,0.5605551914538521
2011-03-10,-0.294151845984698
2011-03-11,-0.6282362513076183
2011-03-14,-0.934361212227705
2011-03-15,-1.3445273495740806
2011-03-16,-1.21767272391813
2011-03-17,-1.5360654420247328
2011-03-18,-1.0721879123230802
2011-03-21,-1.364795602989312
2011-03-22,-1.1812580383461015
2011-03-23,-0.7454602847010212
2011-03-24,-1.1131347161848746
2011-03-25,-1.087194606725868
2011-03-28,-1.7656061678813608
2011-03-29,-2.084715826621701
2011-03-30,-2.258586217035258
2011-03-31,-2.274031047543603
2011-04-01,-2.995877417429403
2011-04-06,-2.5953858182686904
