date,FCT_Dmi_Adx@120
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-25,
2010-11-26,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-24,
2010-12-27,
2010-12-28,
2010-12-29,13.031441324354653
2010-12-30,12.911695840592719
2010-12-31,12.789320885977322
2011-01-04,12.678826645063435
2011-01-05,12.583645387682285
2011-01-06,12.494003521572402
2011-01-07,12.36498679925679
2011-01-10,12.240830892608635
2011-01-11,12.135168693771611
2011-01-12,12.021913925219227
2011-01-13,11.916244542699255
2011-01-14,11.810379360212329
2011-01-17,11.702219515446204
2011-01-18,11.577005737824441
2011-01-19,11.450522147746856
2011-01-20,11.342483594566707
2011-01-21,11.22856991298557
2011-01-24,11.130584766858647
2011-01-25,11.033626201443392
2011-01-26,10.937327925545974
2011-01-27,10.848924987533012
2011-01-28,10.76538614590301
2011-01-31,10.687835560728852
2011-02-01,10.614177504455682
2011-02-09,10.541433511808474
2011-02-10,10.49607954011743
2011-02-11,10.444328663396144
2011-02-14,10.389664580689862
2011-02-15,10.323604621074594
2011-02-16,10.24296862522035
2011-02-17,10.16812975533791
2011-02-18,10.053103631128772
2011-02-21,9.935448210558238
2011-02-22,9.801854564235969
2011-02-23,9.678998434934742
2011-02-24,9.552028763497526
2011-02-25,9.415371876310072
2011-02-28,9.295020701687983
2011-03-01,9.175989527498304
2011-03-02,9.069662587180282
2011-03-03,8.974746285817643
2011-03-04,8.87431251230614
2011-03-07,8.775694307235922
2011-03-08,8.668122558176092
2011-03-09,8.57891561818999
2011-03-10,8.483392042453042
2011-03-11,8.403013204593327
2011-03-14,8.327124832242836
2011-03-15,8.234346487338403
2011-03-16,8.128155636741935
2011-03-17,8.02281544804604
2011-03-18,7.915999717828672
2011-03-21,7.798402791012746
2011-03-22,7.682761011019817
2011-03-23,7.570299800595322
2011-03-24,7.457794642195335
2011-03-25,7.341599909136158
2011-03-28,7.221740472842355
2011-03-29,7.10715437847115
2011-03-30,6.988839812229888
2011-03-31,6.865869428245073
2011-04-01,6.732466398784863
2011-04-06,6.63278266683322
2011-04-07,6.589479063865733
2011-04-08,6.536140575446054
2011-04-11,6.476757369714888
2011-04-12,6.440512807058271
2011-04-13,6.374670606104406
2011-04-14,6.289898821222696
2011-04-15,6.230199898628017
2011-04-18,6.156350985460549
2011-04-19,6.106777469111562
2011-04-20,6.07205740080382
2011-04-21,6.053292982837201
2011-04-22,6.021808651672665
2011-04-25,5.961808088255103
2011-04-26,5.918555991798865
2011-04-27,5.915118359629647
2011-04-28,5.922453466213555
2011-04-29,5.924513132386485
2011-05-03,5.929436285035044
2011-05-04,5.959521267351145
2011-05-05,6.037165333644554
2011-05-06,6.136317918314217
2011-05-09,6.235250041244194
2011-05-10,6.328577340156175
2011-05-11,6.412671351492606
2011-05-12,6.516105147205208
2011-05-13,6.624198439890358
2011-05-16,6.708252403842016
2011-05-17,6.785145335995099
2011-05-18,6.862027926077979
2011-05-19,6.951616380791655
2011-05-20,7.0359518040470315
2011-05-23,7.134790627199997
2011-05-24,7.230525353436973
2011-05-25,7.3260891872580665
2011-05-26,7.410945104297837
2011-05-27,7.4916055976090945
