date,Amihud@40
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,1.2723217647666091e-06
2021-03-15,1.3092271214546277e-06
2021-03-16,1.3130507717436003e-06
2021-03-17,1.3447470856499485e-06
2021-03-18,1.3564213571041632e-06
2021-03-19,1.3591232088114912e-06
2021-03-22,1.4005647370524795e-06
2021-03-23,1.4473170411178756e-06
2021-03-24,1.4937575537865735e-06
2021-03-25,1.6275880098410784e-06
2021-03-26,1.6783070183447281e-06
2021-03-29,1.7620251778250346e-06
2021-03-30,1.8236807259977513e-06
2021-03-31,1.8028403666199083e-06
2021-04-01,1.928594870534155e-06
2021-04-02,1.9616915498233448e-06
2021-04-06,2.143798744580783e-06
2021-04-07,2.2016958802764274e-06
2021-04-08,2.2323199694175124e-06
2021-04-09,2.281819995547872e-06
2021-04-12,2.310031961162951e-06
2021-04-13,2.395173743091221e-06
2021-04-14,2.4575316070068434e-06
2021-04-15,2.5239888364723336e-06
2021-04-16,2.5477768092854023e-06
2021-04-19,2.566554732954706e-06
2021-04-20,2.544708532318856e-06
2021-04-21,2.555101038559627e-06
2021-04-22,2.560858331117247e-06
2021-04-23,2.6330618856494243e-06
2021-04-26,2.7190583652214657e-06
2021-04-27,2.7978223144996825e-06
2021-04-28,2.837673588150087e-06
2021-04-29,2.869580475274245e-06
2021-04-30,2.8694339952504255e-06
2021-05-06,2.92071648244305e-06
2021-05-07,2.953287851306445e-06
2021-05-10,3.00203492375375e-06
2021-05-11,2.997121783827601e-06
2021-05-12,2.973567777380023e-06
2021-05-13,2.9824928637823835e-06
2021-05-14,2.9211440048140857e-06
2021-05-17,2.9180342225265543e-06
2021-05-18,2.9310564541587513e-06
2021-05-19,2.988253004744266e-06
2021-05-20,2.9794213000156595e-06
2021-05-21,2.9640644692224168e-06
2021-05-24,2.914788255644172e-06
2021-05-25,2.8621172874089986e-06
2021-05-26,2.8331964692822056e-06
2021-05-27,2.82185328031773e-06
2021-05-28,2.7104448549121166e-06
2021-05-31,2.6434385297872895e-06
2021-06-01,2.6634302034915694e-06
2021-06-02,2.5806750727494534e-06
2021-06-03,2.552461248994021e-06
2021-06-04,2.396731124820565e-06
2021-06-07,2.320540080264504e-06
2021-06-08,2.298991507124441e-06
2021-06-09,2.2347444868017626e-06
2021-06-10,2.1466237427389302e-06
2021-06-11,2.0234735373231585e-06
2021-06-15,2.00618098773477e-06
2021-06-16,1.921758421098316e-06
2021-06-17,1.8796959979857238e-06
2021-06-18,1.8238229814668541e-06
2021-06-21,1.8185604206976098e-06
2021-06-22,1.7972159204672628e-06
2021-06-23,1.8158396950938423e-06
2021-06-24,1.7519877666416959e-06
2021-06-25,1.6930919961872075e-06
2021-06-28,1.5791285094079927e-06
2021-06-29,1.4969914880165977e-06
2021-06-30,1.4637308042595385e-06
2021-07-01,1.4675897716064697e-06
2021-07-02,1.3834375622335355e-06
2021-07-05,1.3250453961727646e-06
2021-07-06,1.181297677031988e-06
2021-07-07,1.1911018789910175e-06
2021-07-08,1.1519693744213167e-06
2021-07-09,1.1344375493531922e-06
2021-07-12,1.1584562853772396e-06
2021-07-13,1.178022909722122e-06
2021-07-14,1.118338075582646e-06
2021-07-15,1.019671623417341e-06
2021-07-16,1.0484020955723343e-06
2021-07-19,1.032388889639864e-06
2021-07-20,1.0262777879519715e-06
2021-07-21,1.0281886798162675e-06
2021-07-22,9.606800232824224e-07
2021-07-23,8.916284004429008e-07
2021-07-26,9.014759961682079e-07
2021-07-27,8.838195037995913e-07
2021-07-28,8.612193853819927e-07
2021-07-29,8.295999720422401e-07
2021-07-30,7.997344213404354e-07
2021-08-02,8.116626423263531e-07
2021-08-03,8.358060556853789e-07
2021-08-04,8.443278015439462e-07
2021-08-05,8.322008923367959e-07
2021-08-06,8.292295274385544e-07
2021-08-09,8.405310319781824e-07
2021-08-10,8.294813134994759e-07
2021-08-11,8.257532486199596e-07
2021-08-12,8.065130705012018e-07
2021-08-13,8.012517180354399e-07
2021-08-16,7.718363338475531e-07
2021-08-17,7.802503812465925e-07
2021-08-18,7.906651164821873e-07
2021-08-19,8.088579721930296e-07
2021-08-20,8.037510463821246e-07
2021-08-23,8.50708099098172e-07
2021-08-24,8.436237902023943e-07
2021-08-25,8.439822975530217e-07
2021-08-26,8.399602186102026e-07
2021-08-27,8.305206487543439e-07
2021-08-30,8.661197817494799e-07
2021-08-31,8.695363220190002e-07
2021-09-01,8.626227700166441e-07
2021-09-02,8.763141096126691e-07
2021-09-03,8.474259450979651e-07
2021-09-06,8.265630877237501e-07
2021-09-07,8.005775797859426e-07
2021-09-08,8.261949263468421e-07
2021-09-09,8.492664238244505e-07
2021-09-10,8.22016326143601e-07
2021-09-13,8.155194927065531e-07
2021-09-14,8.216409484492311e-07
2021-09-15,8.282933031245922e-07
2021-09-16,7.960642912244282e-07
2021-09-17,8.028861832366177e-07
2021-09-22,8.118537271479977e-07
2021-09-23,8.033618463497763e-07
2021-09-24,7.969992299445747e-07
2021-09-27,7.979487374455046e-07
2021-09-28,7.948569804812753e-07
2021-09-29,7.405368397694756e-07
2021-09-30,7.101759592937439e-07
2021-10-08,6.994980558764705e-07
2021-10-11,7.265919348541734e-07
2021-10-12,7.086617955241049e-07
2021-10-13,6.862563590112562e-07
2021-10-14,6.683975095421129e-07
2021-10-15,6.795742316438726e-07
2021-10-18,6.91440232737771e-07
2021-10-19,6.750210924875271e-07
2021-10-20,6.780680128215633e-07
2021-10-21,6.723919225255252e-07
2021-10-22,6.490701536589671e-07
2021-10-25,6.397251201576092e-07
2021-10-26,6.17379488644289e-07
2021-10-27,5.76221557844421e-07
2021-10-28,5.718374454728442e-07
2021-10-29,5.837579315580027e-07
2021-11-01,5.956732197687012e-07
2021-11-02,6.010941221420087e-07
2021-11-03,5.580460760933864e-07
2021-11-04,5.518503853312396e-07
2021-11-05,5.409704704277139e-07
2021-11-08,5.249868136546068e-07
2021-11-09,5.287838048528433e-07
2021-11-10,5.211032742188512e-07
2021-11-11,5.334886553991099e-07
2021-11-12,5.219537890993653e-07
2021-11-15,5.128835155691357e-07
2021-11-16,5.311028131378787e-07
2021-11-17,5.197757231938445e-07
2021-11-18,5.215879670198531e-07
2021-11-19,5.265516913772182e-07
2021-11-22,5.342992656022964e-07
2021-11-23,5.296176355979481e-07
2021-11-24,5.244383551353406e-07
2021-11-25,5.381445107244647e-07
2021-11-26,5.419446875046635e-07
2021-11-29,5.532162379977669e-07
2021-11-30,5.394727299736655e-07
2021-12-01,5.512009448018912e-07
2021-12-02,6.103324481441358e-07
2021-12-03,5.99464321624746e-07
2021-12-06,5.711137519516735e-07
2021-12-07,5.719336669721323e-07
2021-12-08,5.987851027363907e-07
2021-12-09,6.098390370458784e-07
2021-12-10,6.025631625482334e-07
2021-12-13,5.917764171179333e-07
