date,FCT_Cci@40
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,74.10850101134511
2021-03-12,86.94158075601392
2021-03-15,75.80675247155392
2021-03-16,65.85087073013555
2021-03-17,68.21873258732472
2021-03-18,61.81319434919764
2021-03-19,55.58530133091753
2021-03-22,44.411483663020384
2021-03-23,38.491486329645795
2021-03-24,30.089067897899312
2021-03-25,10.604796353453477
2021-03-26,-11.127549799130907
2021-03-29,-50.94481140064352
2021-03-30,-45.83112991362588
2021-03-31,-46.171371379280906
2021-04-01,-7.521813825217973
2021-04-02,-4.107180746264045
2021-04-06,-44.53486516674636
2021-04-07,-78.0561122244489
2021-04-08,-78.68104465931849
2021-04-09,-106.74070646305745
2021-04-12,-79.67384973791499
2021-04-13,-47.74970375142183
2021-04-14,-47.250922358292115
2021-04-15,-71.32741731399338
2021-04-16,-104.70125885295145
2021-04-19,-87.03771363617903
2021-04-20,-67.82639793598511
2021-04-21,-82.9104873963315
2021-04-22,-64.26930626905543
2021-04-23,-17.275103425594033
2021-04-26,-32.85073578737864
2021-04-27,-74.83164747307734
2021-04-28,-60.21053140446913
2021-04-29,-45.05102965154902
2021-04-30,-34.56680230586627
2021-05-06,-101.89611185888938
2021-05-07,-96.25360856069965
2021-05-10,-235.0014747299155
2021-05-11,-281.2576039862139
2021-05-12,-232.15587467178113
2021-05-13,-243.97377884069493
2021-05-14,-238.40293644610634
2021-05-17,-210.56386961617062
2021-05-18,-207.2664745685128
2021-05-19,-249.75708687986534
2021-05-20,-241.4509390126763
2021-05-21,-189.92139750506948
2021-05-24,-169.72827976752282
2021-05-25,-145.7382893326355
2021-05-26,-163.81570848923596
2021-05-27,-181.7227014589301
2021-05-28,-157.2253296493475
2021-05-31,-161.91725333692045
2021-06-01,-154.0209707661641
2021-06-02,-160.09894190874863
2021-06-03,-182.09895122266406
2021-06-04,-191.09310758672655
2021-06-07,-180.84585018553128
2021-06-08,-165.12039082921223
2021-06-09,-147.06881587390225
2021-06-10,-138.23310455627342
2021-06-11,-134.0840102260075
2021-06-15,-150.72625262692353
2021-06-16,-139.82127897235412
2021-06-17,-140.07605425960614
2021-06-18,-150.10189075515228
2021-06-21,-160.78235841913795
2021-06-22,-148.80024238454985
2021-06-23,-121.41827375527124
2021-06-24,-111.65012829810195
2021-06-25,-90.75771781259385
2021-06-28,-74.66733255984151
2021-06-29,-70.7453082447679
2021-06-30,-62.65247037605405
2021-07-01,-65.00401554122988
2021-07-02,-72.39465013765816
2021-07-05,-65.23109668986027
2021-07-06,-59.79938894540157
2021-07-07,-64.03609475490374
2021-07-08,-59.157118337431
2021-07-09,-47.71131647540697
2021-07-12,-53.5490747297867
2021-07-13,-65.63829823752405
2021-07-14,-74.4249914177824
2021-07-15,-74.57526350141832
2021-07-16,-63.970777327436686
2021-07-19,-44.457088114221044
2021-07-20,-34.1122433692773
2021-07-21,-34.943366502009646
2021-07-22,-51.247199778499414
2021-07-23,-63.63548384258701
2021-07-26,-52.237186868939936
2021-07-27,-51.11733547276205
2021-07-28,-46.27638696906075
2021-07-29,-23.711280292904476
2021-07-30,2.2566395231249228
2021-08-02,-66.68886114579014
2021-08-03,-100.65348383264025
2021-08-04,-131.68267046142523
2021-08-05,-157.73988059530967
2021-08-06,-138.51493631914454
2021-08-09,-122.12365947305709
2021-08-10,-160.48660336141927
2021-08-11,-164.09831889964332
2021-08-12,-151.87879854644007
2021-08-13,-146.98701497413555
2021-08-16,-146.3637673251506
2021-08-17,-161.5004430041419
2021-08-18,-170.41133818255824
2021-08-19,-190.25952733357497
2021-08-20,-150.36655827066878
2021-08-23,-175.013975353956
2021-08-24,-179.66386485239934
2021-08-25,-161.42816496785025
2021-08-26,-138.81253579871762
2021-08-27,-127.07375884312523
2021-08-30,-150.23750985375256
2021-08-31,-132.6431754779758
2021-09-01,-135.27901664466071
2021-09-02,-145.20167261925823
2021-09-03,-146.2165679587947
2021-09-06,-144.0797591115755
2021-09-07,-135.28485638608416
2021-09-08,-140.87926610842368
2021-09-09,-159.3360769697205
2021-09-10,-154.0381371403997
2021-09-13,-158.0295339931199
2021-09-14,-159.49131570963212
2021-09-15,-160.73927763324713
2021-09-16,-143.92217611280452
2021-09-17,-137.60237812339264
2021-09-22,-155.9323654779538
2021-09-23,-151.52547928937352
2021-09-24,-143.9233691506621
2021-09-27,-115.50909883510109
2021-09-28,-108.2420347018995
2021-09-29,-112.56306035550861
2021-09-30,-105.23838326538544
2021-10-08,-89.41939555037577
2021-10-11,-50.017498302181366
2021-10-12,-29.773223280846572
2021-10-13,-24.799805500876296
2021-10-14,-44.17820427066264
2021-10-15,-37.322578093086825
2021-10-18,10.362741112165164
2021-10-19,28.301464437611205
2021-10-20,34.30927327549074
2021-10-21,28.235657955775526
2021-10-22,42.72679770087205
2021-10-25,108.45932034387035
2021-10-26,109.30581715939174
2021-10-27,123.12958435207817
2021-10-28,117.43573195654518
2021-10-29,94.98467989034042
2021-11-01,48.25653284972386
2021-11-02,40.50615034811949
2021-11-03,56.59979181816889
2021-11-04,72.90643224453447
2021-11-05,83.05502955184484
2021-11-08,71.50010699764597
2021-11-09,48.61045824252512
2021-11-10,48.302849851127256
2021-11-11,38.77629063097513
2021-11-12,42.71604938271616
2021-11-15,77.37414335033768
2021-11-16,60.73979032418443
2021-11-17,38.63028092499225
2021-11-18,39.33700355236798
2021-11-19,50.9489203932143
2021-11-22,44.218811913636046
2021-11-23,42.07134780116786
2021-11-24,53.37431653221156
2021-11-25,72.51695540324188
2021-11-26,73.23950364650882
2021-11-29,14.968593074729126
2021-11-30,0.04397344004275652
2021-12-01,9.673891276553176
2021-12-02,-33.00575028038045
2021-12-03,-59.01685198056467
2021-12-06,-71.87641932268171
2021-12-07,-76.27199088146757
2021-12-08,-109.4059553109298
2021-12-09,-89.64827974730676
2021-12-10,-67.0016465554798
2021-12-13,-43.984953913984405
2021-12-14,-29.61097323440209
2021-12-15,-33.79851976226981
2021-12-16,-23.25518780555741
2021-12-17,-54.90040573933874
2021-12-20,-82.96535915248961
2021-12-21,-68.71007125150476
2021-12-22,-71.33026260033922
2021-12-23,3.029976023379235
2021-12-24,93.28130208121388
2021-12-27,90.99876581549648
2021-12-28,65.68248102412151
2021-12-29,69.67836273154958
2021-12-30,40.931393182338645
2021-12-31,36.70968419124119
2022-01-04,-37.8379056427676
2022-01-05,-37.61787114577592
2022-01-06,-71.07159188998192
2022-01-07,-126.25747826095039
2022-01-10,-247.6140659682702
2022-01-11,-215.57827790988853
2022-01-12,-151.52077422038087
2022-01-13,-150.8814676357882
2022-01-14,-140.32315470472602
2022-01-17,-106.5329892776638
2022-01-18,-88.94641127119904
2022-01-19,-88.15995366483445
2022-01-20,-88.50691409902933
2022-01-21,-77.6399294240934
2022-01-24,-151.38426281982325
2022-01-25,-153.9262623436132
