date,FCT_Dmi_Adxr@80
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-06,
2021-05-07,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-08,
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-04,25.602262917631343
2022-01-05,25.559645857798646
2022-01-06,25.519521330573443
2022-01-07,25.48917309481336
2022-01-10,25.44264911506374
2022-01-11,25.416325039608722
2022-01-12,25.40151794793639
2022-01-13,25.386142856201687
2022-01-14,25.375364148332622
2022-01-17,25.39376649150376
2022-01-18,25.40077198207686
2022-01-19,25.40062721712184
2022-01-20,25.430942980484566
2022-01-21,25.44535639000362
2022-01-24,25.447195241556326
2022-01-25,25.419040338943446
2022-01-26,25.356925540245122
2022-01-27,25.279720854779278
2022-01-28,25.192962413468344
2022-02-07,25.11915812110541
2022-02-08,25.015515639612797
2022-02-09,24.87312674341599
2022-02-10,24.683885275662366
2022-02-11,24.491048980012994
2022-02-14,24.293221399340712
2022-02-15,24.087549064053032
2022-02-16,23.843872039735466
2022-02-17,23.55929160265398
2022-02-18,23.280604917129587
2022-02-21,23.028011020945645
2022-02-22,22.847916374324015
2022-02-23,22.674806519116444
2022-02-24,22.53703377189489
2022-02-25,22.393321613155496
2022-02-28,22.236339519495502
2022-03-01,22.046451496414193
2022-03-02,21.861378872033566
2022-03-03,21.698273247854054
2022-03-04,21.56069052709905
2022-03-07,21.45202649364421
2022-03-08,21.338741424220025
2022-03-09,21.215266659090997
2022-03-10,21.08672799216634
2022-03-11,20.961988929542997
2022-03-14,20.838746734802122
2022-03-15,20.758128772650903
2022-03-16,20.68581905411117
2022-03-17,20.62431037700106
2022-03-18,20.554728421701867
2022-03-21,20.473818744965744
2022-03-22,20.39681914583221
2022-03-23,20.323930303582518
2022-03-24,20.274763940827967
2022-03-25,20.248128930071083
2022-03-28,20.231234015014923
2022-03-29,20.14746815017361
2022-03-30,20.061572360275747
2022-03-31,19.968171261543134
2022-04-01,19.868200476272065
2022-04-06,19.758606682133596
2022-04-07,19.64908375387079
2022-04-08,19.532762260399878
2022-04-11,19.420293473451906
2022-04-12,19.30856749176296
2022-04-13,19.20619995070168
2022-04-14,19.119020689638333
2022-04-15,19.036467034790686
2022-04-18,18.88594058749572
2022-04-19,18.731146388252622
2022-04-20,18.55590359559404
2022-04-21,18.356420020592797
2022-04-22,18.17081533076473
2022-04-25,17.960481692170326
2022-04-26,17.764787080205487
2022-04-27,17.57672735538417
2022-04-28,17.398609818005433
2022-04-29,17.221266714704736
2022-05-05,17.039242887473627
2022-05-06,16.872930592064325
2022-05-09,16.66797905524039
2022-05-10,16.435597995842105
2022-05-11,16.1931040533811
2022-05-12,15.944872686709704
2022-05-13,15.695391422532737
2022-05-16,15.474859215509913
2022-05-17,15.225875533571475
2022-05-18,14.974290913281047
2022-05-19,14.709246199935397
2022-05-20,14.4449440206653
2022-05-23,14.165111589561171
2022-05-24,13.899794330634133
2022-05-25,13.646208043678278
2022-05-26,13.388373647412791
2022-05-27,13.137959748940691
2022-05-30,12.867220191449007
2022-05-31,12.620462450896706
2022-06-01,12.405346095276947
2022-06-02,12.200629782714948
2022-06-06,12.017427736155916
2022-06-07,11.838320741484186
2022-06-08,11.686562707768408
2022-06-09,11.55169539458198
2022-06-10,11.419175350773536
2022-06-13,11.296959387675251
2022-06-14,11.179334669912699
2022-06-15,11.11870413239863
2022-06-16,11.08675838705268
2022-06-17,11.091929521755917
2022-06-20,11.112752807668787
2022-06-21,11.123440191478288
2022-06-22,11.154445679347141
2022-06-23,11.1590062248046
2022-06-24,11.138272171537894
2022-06-27,11.148398918845901
2022-06-28,11.141920945050348
2022-06-29,11.12443340006472
2022-06-30,11.11478038498733
2022-07-01,11.130491511123346
2022-07-04,11.199437180313897
