date,FCT_Bias_1@120
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-09,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,2.8945827802141464
2020-12-18,2.2633538621123583
2020-12-21,1.416631702458214
2020-12-22,0.6296913321151847
2020-12-23,0.45913165446811915
2020-12-24,1.5345442893776653
2020-12-25,1.706209073423198
2020-12-28,1.06542618311745
2020-12-29,1.4177158230570879
2020-12-30,1.510686613759151
2020-12-31,1.9168154338185424
2021-01-04,2.7460564132218983
2021-01-05,1.2827137326849558
2021-01-06,3.401551193055728
2021-01-07,3.1875034392785153
2021-01-08,3.267794131213321
2021-01-11,3.113790178590334
2021-01-12,4.371163107460982
2021-01-13,4.457352160886829
2021-01-14,4.224147360698072
2021-01-15,4.119985278945466
2021-01-18,4.318588506289103
2021-01-19,4.142993116671763
2021-01-20,4.9648546576422286
2021-01-21,4.097015344515335
2021-01-22,3.4885805881747842
2021-01-25,3.279989107869807
2021-01-26,3.449027018314333
2021-01-27,4.005702010897231
2021-01-28,3.553754321691332
2021-01-29,3.266349566349859
2021-02-01,3.5345183583628184
2021-02-02,4.660755864227601
2021-02-03,4.780866964739366
2021-02-04,5.016321713700263
2021-02-05,5.619607502475728
2021-02-08,5.819012729174739
2021-02-09,6.6593991588420876
2021-02-10,5.764249972878611
2021-02-18,7.832271656175114
2021-02-19,7.0456521503069816
2021-02-22,7.288216150437627
2021-02-23,8.159293099464529
2021-02-24,7.669131477934933
2021-02-25,8.666051559580728
2021-02-26,7.769716644382168
2021-03-01,7.385155701728105
2021-03-02,5.484633950491547
2021-03-03,5.806088018022293
2021-03-04,6.418615924887804
2021-03-05,8.092900827495264
2021-03-08,9.345338056805405
2021-03-09,7.8086864328291075
2021-03-10,6.919128413038218
2021-03-11,7.187127779720441
2021-03-12,7.448733185731427
2021-03-15,8.190879275411987
2021-03-16,6.859047919384631
2021-03-17,7.015168411195304
2021-03-18,5.8685884062956095
2021-03-19,3.4027926510182254
2021-03-22,4.504917888571338
2021-03-23,4.2171958106122
2021-03-24,3.1431259981704747
2021-03-25,3.6209983545605793
2021-03-26,3.400577893639925
2021-03-29,3.645917435743452
2021-03-30,4.172233106233236
2021-03-31,4.02744824604392
2021-04-01,3.284116850740467
2021-04-02,4.466103286159658
2021-04-06,3.3628101216275885
2021-04-07,2.9711888081110556
2021-04-08,2.9163915067309674
2021-04-09,3.237477359717015
2021-04-12,3.10419828673563
2021-04-13,3.735510133170538
2021-04-14,4.183264036450624
2021-04-15,5.0866527495470715
2021-04-16,5.15008773090566
2021-04-19,4.606578821404297
2021-04-20,4.563533041678137
2021-04-21,3.7225387778050534
2021-04-22,2.7865365534190416
2021-04-23,3.136535060634524
2021-04-26,2.713832465806092
2021-04-27,3.009424635656372
2021-04-28,3.1898264491914357
2021-04-29,3.5248269702750665
2021-04-30,3.6167651809336783
2021-05-06,3.7719826090196045
2021-05-07,3.8992756027617634
2021-05-10,3.773183315821599
2021-05-11,2.7838343637868213
2021-05-12,3.610956083182569
2021-05-13,3.081289181426058
2021-05-14,1.8997250449787364
2021-05-17,2.479724171454199
2021-05-18,2.532359796342354
2021-05-19,1.275256062068369
2021-05-20,0.8838124148505412
2021-05-21,-0.01498931446811941
2021-05-24,1.26568569802637
2021-05-25,1.5508482898824483
2021-05-26,1.6447178200162278
2021-05-27,1.28921893902225
2021-05-28,1.9017282709794248
2021-05-31,1.9191818879868952
2021-06-01,2.615630370420434
2021-06-02,2.7097952199233135
2021-06-03,3.3371088236175
2021-06-04,3.337146705700372
2021-06-07,3.0088894116917864
2021-06-08,2.637015552447648
2021-06-09,3.15288722200456
2021-06-10,2.1423606264852375
2021-06-11,2.833138170332503
2021-06-15,3.0514382118028482
2021-06-16,3.5368473529756543
2021-06-17,3.1843893980580664
2021-06-18,2.3165229905654354
2021-06-21,2.87279380345238
2021-06-22,3.498393248008657
2021-06-23,3.8749293092921144
2021-06-24,3.5278627318566196
2021-06-25,3.3930423846730315
2021-06-28,3.510281912006508
2021-06-29,2.65664338546599
2021-06-30,2.619354463225381
2021-07-01,2.5726789193660564
2021-07-02,3.1829588360875922
2021-07-05,3.414600500358701
2021-07-06,3.305146973789002
2021-07-07,1.7703227848958194
2021-07-08,1.2539183611073421
2021-07-09,1.6987256036239942
2021-07-12,2.4087948872870992
2021-07-13,2.601485655735806
2021-07-14,3.117656587455708
2021-07-15,1.7107924469016187
2021-07-16,1.314289713518445
2021-07-19,1.1240354857764523
2021-07-20,-0.45464496287182804
2021-07-21,-0.4964794240273353
2021-07-22,0.6719440475566977
2021-07-23,1.2120376004749376
2021-07-26,0.8018316419748656
2021-07-27,1.2789875136879025
2021-07-28,1.5491890476760732
2021-07-29,1.5608069917791587
2021-07-30,1.5563558194031821
2021-08-02,1.4083895820912855
2021-08-03,0.3011378453784471
2021-08-04,0.1837171039172919
2021-08-05,-0.8243934302481722
2021-08-06,-0.05166462276098663
2021-08-09,-0.9372570093206052
2021-08-10,-0.8082282891049558
2021-08-11,-0.20304348411068726
2021-08-12,-0.24595409461276801
2021-08-13,-0.38136873599573745
2021-08-16,-1.2026123939969313
2021-08-17,-1.4406362568401876
2021-08-18,-1.0671739603839725
2021-08-19,-2.095897316711857
2021-08-20,-2.050765044449081
2021-08-23,-2.068593612301802
2021-08-24,-0.7643491247109333
2021-08-25,-0.3310969773918788
2021-08-26,0.11863961427044839
2021-08-27,0.5048024467136214
2021-08-30,0.7090114332516831
2021-08-31,0.7479626568333629
2021-09-01,1.487109905990587
2021-09-02,1.0092840166582107
2021-09-03,1.6343581084481964
2021-09-06,0.8649457164253425
2021-09-07,1.630569369993514
2021-09-08,1.4368985203125502
2021-09-09,1.6620869092881434
2021-09-10,1.1982854730736385
2021-09-13,2.293815868149065
2021-09-14,2.3286547200950904
2021-09-15,2.433526830456204
