date,FCT_Br_1@180
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,0.025150295613134154
2010-09-30,0.02715337888931501
2010-10-08,0.012001685182030469
2010-10-11,0.027684830694936973
2010-10-12,0.05113285942480433
2010-10-13,0.06462741049594026
2010-10-14,0.06099214903322985
2010-10-15,0.06806298120504681
2010-10-18,0.0686007233439741
2010-10-19,0.06651339849643212
2010-10-20,0.054945897838063355
2010-10-21,0.06337461664797814
2010-10-22,0.058118078422012505
2010-10-25,0.07160174619363131
2010-10-26,0.05921261641487604
2010-10-27,0.05847887663671768
2010-10-28,0.0666650693377811
2010-10-29,0.06316229267063923
2010-11-01,0.07091242159794825
2010-11-02,0.0720017374977375
2010-11-03,0.07199479898627732
2010-11-04,0.08947986212402652
2010-11-05,0.10764507508484955
2010-11-08,0.0961604318318779
2010-11-09,0.10393133165790441
2010-11-10,0.11205113447919623
2010-11-11,0.10756375643227942
2010-11-12,0.09062759814860037
2010-11-15,0.08774105716321029
2010-11-16,0.07775475436287578
2010-11-17,0.062003954205296315
2010-11-18,0.05089544549603546
2010-11-19,0.0420049532992924
2010-11-22,0.03841186636855956
2010-11-23,0.04542396315907465
2010-11-24,0.05531486451698859
2010-11-25,0.050839470407193235
2010-11-26,0.05020411188774323
2010-11-29,0.041067754842285704
2010-11-30,0.04321851822777388
2010-12-01,0.04874558419945513
2010-12-02,0.05262227981413158
2010-12-03,0.05377122220992212
2010-12-06,0.05838655156995142
2010-12-07,0.05667667375346382
2010-12-08,0.05601388498810889
2010-12-09,0.06153091963697319
2010-12-10,0.054602600142001814
2010-12-13,0.05507388522053294
2010-12-14,0.06394335437212267
2010-12-15,0.051756242226050894
2010-12-16,0.05673398099652654
2010-12-17,0.05666709347498779
2010-12-20,0.061878046738395684
2010-12-21,0.06294908951028882
2010-12-22,0.06575815515437375
2010-12-23,0.06651274144842582
2010-12-24,0.06794042168983665
2010-12-27,0.06379991518402452
2010-12-28,0.07644973641553261
2010-12-29,0.0694685447980546
2010-12-30,0.0716722882668848
2010-12-31,0.07044626889113773
2011-01-04,0.07081252506800936
2011-01-05,0.06302807253908979
2011-01-06,0.0650214273140481
2011-01-07,0.056149761659520556
2011-01-10,0.06022117348575393
2011-01-11,0.06348003523454551
2011-01-12,0.05906673838182559
2011-01-13,0.07522252850380226
2011-01-14,0.07603374736095547
2011-01-17,0.08175872922042052
2011-01-18,0.07801746456194913
2011-01-19,0.07288556887853602
2011-01-20,0.06636218507048054
2011-01-21,0.06940125108350402
2011-01-24,0.08002101053114793
2011-01-25,0.07222416475879362
2011-01-26,0.06244662213826854
2011-01-27,0.07128140440874867
2011-01-28,0.0715210133831566
2011-01-31,0.08193736018487022
2011-02-01,0.09215568534888646
2011-02-09,0.09260701556555914
2011-02-10,0.09732470562613461
2011-02-11,0.09216684424187455
2011-02-14,0.09197976987243695
2011-02-15,0.08887814866609804
2011-02-16,0.09014658381286798
2011-02-17,0.08521500029486025
2011-02-18,0.09394199536302045
2011-02-21,0.08819830463623762
2011-02-22,0.09072503159582758
2011-02-23,0.07112802307261132
2011-02-24,0.07228526796092175
2011-02-25,0.07616670245597523
2011-02-28,0.08332609491286563
2011-03-01,0.08347896143155731
2011-03-02,0.09124536558345166
2011-03-03,0.09005729469619682
2011-03-04,0.09339320804836637
2011-03-07,0.09115384232134666
2011-03-08,0.08066946370673035
2011-03-09,0.08791868888123779
2011-03-10,0.08231669654889534
2011-03-11,0.08657327427483143
2011-03-14,0.0820094260307366
2011-03-15,0.08589430878331489
2011-03-16,0.07237834898338624
2011-03-17,0.07016804131454137
2011-03-18,0.06765253412243075
2011-03-21,0.0734230923500542
2011-03-22,0.07359084467421373
2011-03-23,0.07916644067856661
2011-03-24,0.07767708213475978
2011-03-25,0.08174363404879428
2011-03-28,0.07874449761259995
2011-03-29,0.0813216685497599
2011-03-30,0.08234626490220079
2011-03-31,0.08041820260511204
2011-04-01,0.08512319968318151
2011-04-06,0.08309747591114501
