date,FCT_Dbcd
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-04,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,
2014-08-07,
2014-08-08,
2014-08-11,
2014-08-12,0.0016528151385466234
2014-08-13,0.003441349776950245
2014-08-14,0.005223752464871376
2014-08-15,0.0067029073445321425
2014-08-18,0.00767566817730665
2014-08-19,0.00790206100995711
2014-08-20,0.007316578527713055
2014-08-21,0.006420385078339657
2014-08-22,0.005435792178035632
2014-08-25,0.004436733878887915
2014-08-26,0.0034706217407503804
2014-08-27,0.0026061704056103948
2014-08-28,0.001573981675711663
2014-08-29,0.000488772968857897
2014-09-01,-0.0006363050015265964
2014-09-02,-0.0016283329468025957
2014-09-03,-0.0025036201261469534
2014-09-04,-0.003444510460822991
2014-09-05,-0.004649580371728991
2014-09-09,-0.005931082511685448
2014-09-10,-0.007137307308877216
2014-09-11,-0.008132523387728045
2014-09-12,-0.008686187945060975
2014-09-15,-0.008581887998342943
2014-09-16,-0.007866051367575812
2014-09-17,-0.006597958814871585
2014-09-18,-0.004850882598784628
2014-09-19,-0.0026831054404480984
2014-09-22,-0.00045356761612995905
2014-09-23,0.0014426673479702745
2014-09-24,0.0028098921955577775
2014-09-25,0.003676754783998181
2014-09-26,0.003977988684530384
2014-09-29,0.00383111981592616
2014-09-30,0.0038691646891229393
2014-10-08,0.003992108719465871
2014-10-09,0.0041208416076748055
2014-10-10,0.003957527482416313
2014-10-13,0.0037802097224713463
2014-10-14,0.00335137354080559
2014-10-15,0.0026223392198478426
2014-10-16,0.0014711958664443549
2014-10-17,3.1808326273320696e-05
2014-10-20,-0.002002982656890568
2014-10-21,-0.0043436543133802625
2014-10-22,-0.006416213995837786
2014-10-23,-0.007773188613014454
2014-10-24,-0.00817412094810996
2014-10-27,-0.007675509641845035
2014-10-28,-0.006682401583131739
2014-10-29,-0.005594187180216996
2014-10-30,-0.004702213611240559
2014-10-31,-0.004044677672494325
2014-11-03,-0.003392066989919157
2014-11-04,-0.002498968632836661
2014-11-05,-0.0018094658887534538
2014-11-06,-0.0014098607346855491
2014-11-07,-0.0012591604610478612
2014-11-10,-0.0010934929101440469
2014-11-11,-0.0008889408763678118
2014-11-12,-3.761843073239032e-05
2014-11-13,0.0012240755299718225
2014-11-14,0.0022990111304131305
2014-11-17,0.0027043937545221204
2014-11-18,0.0023382286232400207
2014-11-19,0.0013451795473328632
2014-11-20,0.0001605146127865247
2014-11-21,-0.0006044771566786602
2014-11-24,-0.0010577159724254337
2014-11-25,-0.0010130167366507142
2014-11-26,-0.0010357319031470541
2014-11-27,-0.0011402290854445657
2014-11-28,-0.0011390029881713415
2014-12-01,-0.000834972140031398
2014-12-02,-0.0005837125250841002
2014-12-03,-0.00028757748447583707
2014-12-04,-0.0005073193129277326
2014-12-05,-0.0014905174862852619
2014-12-08,-0.003230298227248576
