date,Amihud@80
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,6.773137924927976e-08
2015-07-23,6.298639142869204e-08
2015-07-24,5.913283202544822e-08
2015-07-27,5.719983087424647e-08
2015-07-28,5.478445843092925e-08
2015-07-29,5.426037345863076e-08
2015-07-30,5.3215658783370204e-08
2015-07-31,5.173131490595596e-08
2015-08-03,5.186799803665273e-08
2015-08-04,5.1904663689639795e-08
2015-08-05,5.144183055678544e-08
2015-08-06,5.0229485448019964e-08
2015-08-07,4.9269114551241226e-08
2015-08-10,4.9505623722126765e-08
2015-08-11,4.920634636266533e-08
2015-08-12,4.8914788230262555e-08
2015-08-13,4.847785958001204e-08
2015-08-14,4.864815593107624e-08
2015-08-17,4.8711345020351475e-08
2015-08-18,4.8001100904408107e-08
2015-08-19,4.64605297555833e-08
2015-08-20,4.6447360133110415e-08
2015-08-21,4.5961722305438005e-08
2015-08-24,4.6344541972250554e-08
2015-08-25,4.6484093848223255e-08
2015-08-26,4.662301822477817e-08
2015-08-27,4.6233018668656286e-08
2015-08-28,4.6776462884190605e-08
2015-08-31,4.717527950910623e-08
2015-09-01,4.728848987035231e-08
2015-09-02,4.724403689328998e-08
2015-09-07,4.7494710819088413e-08
2015-09-08,4.7369782019495817e-08
2015-09-09,4.7427325811267186e-08
2015-09-10,4.723488524290298e-08
2015-09-11,4.677597120644184e-08
2015-09-14,4.544029209715714e-08
2015-09-15,4.530694385190701e-08
2015-09-16,4.535878753555496e-08
2015-09-17,4.527196813295607e-08
2015-09-18,4.522800551583432e-08
2015-09-21,4.5049320904248347e-08
2015-09-22,4.5074735097010455e-08
2015-09-23,4.39271712625435e-08
2015-09-24,4.3342509879580247e-08
2015-09-25,4.2353632292788524e-08
2015-09-28,4.211264666941344e-08
2015-09-29,4.240048024875737e-08
2015-09-30,4.288814279030323e-08
2015-10-08,4.2558828869236595e-08
2015-10-09,4.2975459932307675e-08
2015-10-12,4.301697097942218e-08
2015-10-13,4.312205188156826e-08
2015-10-14,4.233283469797437e-08
2015-10-15,4.2327062328596214e-08
2015-10-16,4.171273765144868e-08
2015-10-19,4.186090060441227e-08
2015-10-20,4.164685628585028e-08
2015-10-21,4.100348567188304e-08
2015-10-22,4.079062548274851e-08
2015-10-23,4.0578883894719315e-08
2015-10-26,4.0299110284409164e-08
2015-10-27,4.0205236859689165e-08
2015-10-28,3.9456347448991295e-08
2015-10-29,3.85900150165876e-08
2015-10-30,3.880337721462082e-08
2015-11-02,3.871837054182851e-08
2015-11-03,3.874049857644784e-08
2015-11-04,3.773799794703878e-08
2015-11-05,3.7763785195263866e-08
2015-11-06,2.2438910360094274e-08
2015-11-09,2.2377028828636353e-08
2015-11-10,2.2137237586928106e-08
2015-11-11,2.1901136237897292e-08
2015-11-12,2.158200929851072e-08
2015-11-13,2.1229628040276555e-08
2015-11-16,2.107320478665325e-08
2015-11-17,2.1420174512498415e-08
2015-11-18,2.1425434875456763e-08
2015-11-19,2.1108130410954963e-08
2015-11-20,2.0811435430788066e-08
2015-11-23,2.145846839828715e-08
2015-11-24,2.1236917996552282e-08
2015-11-25,2.1595976263845528e-08
2015-11-26,2.1822835744998508e-08
2015-11-27,2.151447501033535e-08
2015-11-30,2.1103114819442712e-08
2015-12-01,2.0857669210961137e-08
2015-12-02,2.0681780964109565e-08
