date,FCT_Ar_1@20
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,1.0
2012-08-13,1.0
2012-08-14,1.0
2012-08-15,1.0
2012-08-16,1.0
2012-08-17,1.0
2012-08-20,1.0
2012-08-21,1.0
2012-08-22,1.0
2012-08-23,1.0
2012-08-24,1.0
2012-08-27,1.0
2012-08-28,1.0
2012-08-29,1.0
2012-08-30,1.0
2012-08-31,1.0
2012-09-03,
2012-09-04,
2012-09-05,
2012-09-06,
2012-09-07,
2012-09-10,
2012-09-11,
2012-09-12,
2012-09-13,
2012-09-14,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-10-08,
2012-10-09,
2012-10-10,-1.0
2012-10-11,0.10970464135021098
2012-10-12,0.10970464135021098
2012-10-15,0.10970464135021098
2012-10-16,0.10970464135021098
2012-10-17,0.1505869221127373
2012-10-18,0.1505869221127373
2012-10-19,0.1505869221127373
2012-10-22,0.1505869221127373
2012-10-23,0.14829433212010404
2012-10-24,0.16001032094780526
2012-10-25,0.16001032094780526
2012-10-26,0.27040848946366913
2012-10-29,0.1797904651637989
2012-10-30,0.1797904651637989
2012-10-31,0.1797904651637989
2012-11-01,0.03536760754308457
2012-11-02,-0.034145259068425006
2012-11-05,-0.028908712801963908
2012-11-06,-0.028908712801963908
2012-11-07,0.2771226280684994
2012-11-08,-0.10317460317460066
2012-11-09,-0.10495049504950084
2012-11-12,-0.05354058721933804
2012-11-13,-0.06164383561643285
2012-11-14,-0.11307420494699001
2012-11-15,-0.11307420494699001
2012-11-16,0.010989010989015481
2012-11-19,0.048338368580063996
2012-11-20,0.04992435703479937
2012-11-21,0.03975535168196066
2012-11-22,-0.07356948228882462
2012-11-23,-0.09902370990236906
2012-11-26,-0.10027855153203037
2012-11-27,-0.1305518169582749
2012-11-28,-0.09232769830948984
2012-11-29,-0.02080443828016177
2012-11-30,0.06467661691542731
2012-12-03,0.11111111111111353
2012-12-04,0.08637236084453188
2012-12-05,-0.009208103130760363
2012-12-06,-0.02003642987250096
2012-12-07,-0.018248175182488873
2012-12-10,-0.06751054852321813
2012-12-11,-0.057569296375277766
2012-12-12,0.18592964824119773
2012-12-13,0.14935064935063885
2012-12-14,0.06821963394342134
2012-12-17,0.06821963394342277
2012-12-18,-0.03736920777279857
2012-12-19,-0.007256894049349657
2012-12-20,0.03012048192770858
2012-12-21,-0.04024767801857926
2012-12-24,-0.03875968992248538
2012-12-25,0.037707390648564876
2012-12-26,-0.03603603603603928
2012-12-27,0.07555555555555386
2012-12-28,0.05387647831799973
2012-12-31,0.016029593094943582
2013-01-04,-0.007667031763417383
2013-01-07,0.061507936507938996
2013-01-08,0.11301044634378182
2013-01-09,0.10800744878957204
2013-01-10,0.16404886561954649
2013-01-11,0.1645781119465326
2013-01-14,0.059768064228368216
2013-01-15,0.0891608391608419
2013-01-16,0.04464285714285851
2013-01-17,0.000887311446317669
2013-01-18,0.0377880184331803
2013-01-21,0.01744719926538052
2013-01-22,0.07210626185958194
2013-01-23,0.03969022265246825
2013-01-24,0.03915950334288596
2013-01-25,-0.007692307692307814
2013-01-28,-0.004840271055179167
2013-01-29,-0.06666666666666776
2013-01-30,-0.03719447396386888
2013-01-31,-0.05986696230598779
2013-02-01,-0.060419235511713965
2013-02-04,-0.14078374455732676
2013-02-05,-0.264573991031387
2013-02-06,-0.25937031484257445
2013-02-07,-0.3908794788273578
2013-02-08,-0.39795918367346345
2013-02-18,-0.45388788426762594
2013-02-19,-0.4486486486486434
2013-02-20,-0.45644599303135397
2013-02-21,-0.44578313253011
2013-02-22,-0.3666092943201267
2013-02-25,-0.36319999999998787
2013-02-26,-0.3406249999999868
2013-02-27,-0.27051671732521626
2013-02-28,-0.4017971758664882
2013-03-01,-0.3645569620253086
2013-03-04,-0.35025380710659076
2013-03-05,-0.3063291139240416
2013-03-06,-0.3341804320203203
2013-03-07,-0.3195342820181015
2013-03-08,-0.22755227552274493
2013-03-11,-0.24290998766953686
2013-03-12,-0.24999999999999326
2013-03-13,-0.2910179640718482
2013-03-14,-0.30787037037036286
2013-03-15,-0.2884834663625934
2013-03-18,-0.2889390519187303
2013-03-19,-0.2995391705069077
2013-03-20,-0.2511961722487989
2013-03-21,-0.22541966426858334
2013-03-22,-0.26040428061831034
2013-03-25,-0.21339950372208272
2013-03-26,-0.20551378446115434
2013-03-27,-0.24518613607188522
2013-03-28,-0.047770700636941846
2013-03-29,-0.05107084019769276
2013-04-01,-0.0917721518987313
2013-04-02,-0.10172143974960765
2013-04-03,-0.0911949685534565
2013-04-08,-0.07836990595611
2013-04-09,-0.12121212121212
2013-04-10,-0.13522537562604242
2013-04-11,-0.13953488372093062
2013-04-12,-0.06944444444444363
2013-04-15,-0.056338028169014814
2013-04-16,-0.04051863857374
