date,FCT_Bias_1@80
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-20,
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-27,
2012-08-28,
2012-08-29,
2012-08-30,
2012-08-31,
2012-09-03,
2012-09-04,
2012-09-05,
2012-09-06,
2012-09-07,
2012-09-10,
2012-09-11,
2012-09-12,
2012-09-13,
2012-09-14,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-10-08,
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,
2012-10-19,
2012-10-22,
2012-10-23,
2012-10-24,
2012-10-25,
2012-10-26,
2012-10-29,
2012-10-30,
2012-10-31,
2012-11-01,
2012-11-02,
2012-11-05,
2012-11-06,
2012-11-07,
2012-11-08,
2012-11-09,
2012-11-12,-8.579787546120025
2012-11-13,-11.401469415505941
2012-11-14,-9.349772304487434
2012-11-15,-7.431117443311416
2012-11-16,-9.43958940641111
2012-11-19,-7.640208039011523
2012-11-20,-7.537281655453756
2012-11-21,-6.421701975641791
2012-11-22,-6.995002680140954
2012-11-23,-5.325260574023434
2012-11-26,-6.096851083492141
2012-11-27,-5.5738009974640645
2012-11-28,-5.4974674643692385
2012-11-29,-5.095554259514729
2012-11-30,-5.292294201775658
2012-12-03,-4.311141867688776
2012-12-04,-4.559329207702234
2012-12-05,-2.812376170671191
2012-12-06,-2.0265965185820374
2012-12-07,-1.8431187578103274
2012-12-10,-1.80791683420758
2012-12-11,-1.7689051616025284
2012-12-12,-3.3603060880268876
2012-12-13,-3.1563638655159334
2012-12-14,-1.7084100299950284
2012-12-17,-1.0960655214352393
2012-12-18,-2.448925363145216
2012-12-19,-2.120294392250446
2012-12-20,-2.165170894773556
2012-12-21,-1.7157212613946815
2012-12-24,-1.3997879205090022
2012-12-25,-1.1265576214676167
2012-12-26,-1.2660000614279294
2012-12-27,0.2829742442096088
2012-12-28,-1.235888262604575
2012-12-31,-1.7672120335432344
2013-01-04,0.20761339682494645
2013-01-07,-1.2045229547655674
2013-01-08,-1.4982383235880257
2013-01-09,-1.0112308957308367
2013-01-10,0.0995177140803601
2013-01-11,-0.3059868442172966
2013-01-14,0.38428128587702315
2013-01-15,0.3398040159133198
2013-01-16,0.2760948499755791
2013-01-17,0.17115218682396474
2013-01-18,0.3933893413063699
2013-01-21,0.7389802799433299
2013-01-22,0.7574614018702092
2013-01-23,0.6907479678595339
2013-01-24,-0.5678824618025164
2013-01-25,-0.05008760843897518
2013-01-28,-0.058288015704939425
2013-01-29,0.05633298656267466
2013-01-30,0.5531021268356316
2013-01-31,0.6347995669291748
2013-02-01,0.4952761139021699
2013-02-04,0.8845454991767266
2013-02-05,0.3928089510566336
2013-02-06,0.26818580192814995
2013-02-07,0.20052234474752986
2013-02-08,-0.15373437954083977
2013-02-18,-0.6039546379761199
2013-02-19,-0.05523590333715733
2013-02-20,-0.6013609299687941
2013-02-21,-0.8169092945128822
2013-02-22,-0.6783430636641545
2013-02-25,-2.1004103967168373
2013-02-26,-2.561127676877176
2013-02-27,-2.0071763731714056
2013-02-28,-1.7410856838744122
2013-03-01,-1.9043112513144131
2013-03-04,-1.9095188284519016
2013-03-05,-1.6461824953445057
2013-03-06,-1.5453551912568193
2013-03-07,-1.7734682405845845
2013-03-08,-0.28436018957346415
2013-03-11,-0.430050363738113
2013-03-12,-0.8082571349404369
2013-03-13,-0.8611264494754066
2013-03-14,-1.686036671368106
2013-03-15,-1.0901569186875786
2013-03-18,-1.739267315397828
2013-03-19,-1.3988505747126139
2013-03-20,-1.5210727969348599
2013-03-21,-1.6194690265486744
2013-03-22,-1.9065147531405096
2013-03-25,-1.1331197203611953
2013-03-26,-0.971910112359541
2013-03-27,-0.6753441053261596
2013-03-28,-1.307576668671058
2013-03-29,-1.6611644657863058
2013-04-01,-2.449716502536556
2013-04-02,-2.5830589643818733
2013-04-03,-2.77508960573476
2013-04-08,-2.904776209071794
2013-04-09,-2.4892150988615933
2013-04-10,-2.1847826086956443
2013-04-11,-2.6351879699248153
2013-04-12,-2.84047976011994
2013-04-15,-3.635450516986678
2013-04-16,-4.087306145893171
2013-04-17,-3.411747167561108
2013-04-18,-3.64977777777776
2013-04-19,-3.3378176382660656
2013-04-22,-3.386370370370364
2013-04-23,-1.4706916764361226
2013-04-24,-0.971204188481676
2013-04-25,0.37910189982729253
2013-04-26,0.42893835616437176
2013-05-02,-0.41809360730591166
2013-05-03,0.19113018597996626
2013-05-06,1.0256627185561147
2013-05-07,0.30882352941177843
2013-05-08,1.1166857798165233
2013-05-09,0.9184325108853535
2013-05-10,1.2695522388059521
