date,Amihud@20
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,1.8223837376490127e-08
2010-02-02,1.7861288260252454e-08
2010-02-03,2.0201375370504113e-08
2010-02-04,1.9710046287326596e-08
2010-02-05,1.942049823156456e-08
2010-02-08,2.011642788869873e-08
2010-02-09,1.901031369154897e-08
2010-02-10,1.604770707474007e-08
2010-02-11,1.62931872473007e-08
2010-02-12,1.740902614279695e-08
2010-02-22,1.9581440089080427e-08
2010-02-23,2.0637868402267177e-08
2010-02-24,2.0332167354456567e-08
2010-02-25,2.0113453002088924e-08
2010-02-26,2.088681677385445e-08
2010-03-01,2.2021762314319233e-08
2010-03-02,2.152114259045586e-08
2010-03-03,2.256605748320536e-08
2010-03-04,2.3838982545844648e-08
2010-03-05,2.4803854119044265e-08
2010-03-08,2.379676731094408e-08
2010-03-09,2.4313171817524138e-08
2010-03-10,2.2307858422798737e-08
2010-03-11,2.21029756504194e-08
2010-03-12,2.2673867030877708e-08
2010-03-15,2.1971992535344394e-08
2010-03-16,2.2050708730895647e-08
2010-03-17,2.285919319278334e-08
2010-03-18,2.203737620425554e-08
2010-03-19,2.1242108748201683e-08
2010-03-22,1.9284152111259724e-08
2010-03-23,1.7955924521268616e-08
2010-03-24,1.678303099486013e-08
2010-03-25,1.5886471490821932e-08
2010-03-26,1.607812893334522e-08
2010-03-29,1.575553380110726e-08
2010-03-30,1.5265330564430722e-08
2010-03-31,1.4631979707266762e-08
2010-04-01,1.2875478023836554e-08
2010-04-02,1.3258111605006699e-08
2010-04-06,1.3616157662828353e-08
2010-04-07,1.5040763234861526e-08
2010-04-08,1.4457402954822022e-08
2010-04-09,1.4488303873777522e-08
2010-04-12,1.4270504929649353e-08
2010-04-13,1.4804320072439638e-08
2010-04-14,1.48281566450723e-08
2010-04-15,1.4098941775915922e-08
2010-04-16,1.3832659792949225e-08
2010-04-19,1.9548176084437267e-08
2010-04-20,2.023041480223204e-08
2010-04-21,2.1755233031799708e-08
2010-04-22,2.385825433052004e-08
2010-04-23,2.837588559825467e-08
2010-04-26,3.081238831991708e-08
2010-04-27,3.203109616148089e-08
2010-04-28,3.388450319132885e-08
2010-04-29,3.440670218071185e-08
2010-04-30,3.562499537524241e-08
2010-05-04,3.558853486790969e-08
2010-05-05,3.557272650773391e-08
2010-05-06,3.5611828190985885e-08
2010-05-07,3.966317334115695e-08
2010-05-10,4.247974861518736e-08
2010-05-11,4.3896149455408054e-08
2010-05-12,4.4142742582337954e-08
2010-05-13,4.479463303150375e-08
2010-05-14,4.6978995662305e-08
2010-05-17,4.99472766249772e-08
2010-05-18,4.6282877448373405e-08
2010-05-19,4.6018676715282365e-08
2010-05-20,4.631681919139357e-08
2010-05-21,4.587100873527582e-08
2010-05-24,4.1222738830951246e-08
2010-05-25,4.124263059845213e-08
2010-05-26,4.0653235892500576e-08
2010-05-27,3.970646666052475e-08
2010-05-28,3.8279507177571214e-08
2010-05-31,4.126104912807254e-08
2010-06-01,3.968812296753729e-08
2010-06-02,4.1854445340863566e-08
2010-06-03,4.07978195710602e-08
2010-06-04,3.781413417152831e-08
2010-06-07,4.010236344937332e-08
2010-06-08,3.825104713833444e-08
2010-06-09,3.7420440965007764e-08
2010-06-10,3.825030276029234e-08
2010-06-11,3.581798026883654e-08
2010-06-17,3.51777420123808e-08
2010-06-18,3.4110282845502904e-08
2010-06-21,3.7971839912746686e-08
2010-06-22,3.89358005668627e-08
2010-06-23,3.737908608078467e-08
2010-06-24,3.774274315127503e-08
2010-06-25,3.47842696629761e-08
2010-06-28,3.4359167669926875e-08
2010-06-29,3.7263872709693365e-08
2010-06-30,4.077151817882023e-08
2010-07-01,4.069242257990761e-08
2010-07-02,4.070676335182654e-08
2010-07-05,4.076308003579769e-08
2010-07-06,4.105723546144793e-08
2010-07-07,3.99509559890565e-08
2010-07-08,3.806825202001863e-08
2010-07-09,4.166847243474679e-08
2010-07-12,4.2528681872125376e-08
2010-07-13,4.164186439588604e-08
2010-07-14,4.399230737852571e-08
2010-07-15,4.145016787585532e-08
2010-07-16,4.3913797077985235e-08
2010-07-19,3.9268778995506455e-08
2010-07-20,3.673994575131152e-08
2010-07-21,3.7059836269601954e-08
2010-07-22,3.9371350176696944e-08
2010-07-23,4.045541915331953e-08
2010-07-26,4.1211043098293854e-08
2010-07-27,4.087599592672806e-08
2010-07-28,4.100858127434422e-08
2010-07-29,3.9477181742253766e-08
2010-07-30,3.9829001223526644e-08
2010-08-02,4.1958852194948806e-08
2010-08-03,4.096207729743277e-08
2010-08-04,4.201934829279947e-08
2010-08-05,3.96479052916363e-08
2010-08-06,3.819153805162897e-08
2010-08-09,3.7852013040795795e-08
2010-08-10,3.871798341896549e-08
2010-08-11,3.702071082611598e-08
2010-08-12,3.692688139549909e-08
2010-08-13,3.643838124266224e-08
2010-08-16,3.7265287308088275e-08
2010-08-17,3.737657915891993e-08
2010-08-18,3.824740098207719e-08
2010-08-19,3.5824654379057965e-08
2010-08-20,4.042646655107866e-08
2010-08-23,3.921509129126188e-08
2010-08-24,3.6825866356210784e-08
2010-08-25,3.5517876128383614e-08
2010-08-26,3.601252340707929e-08
2010-08-27,3.877348449844614e-08
2010-08-30,4.0907502839716884e-08
2010-08-31,5.7144867748318544e-08
2010-09-01,5.628413617795072e-08
2010-09-02,6.193590534409159e-08
2010-09-03,6.935976553923686e-08
2010-09-06,7.162795116561453e-08
2010-09-07,8.04805490980074e-08
2010-09-08,8.391929815829196e-08
2010-09-09,9.529487645567395e-08
2010-09-10,1.1026294932390958e-07
2010-09-13,1.2116597741315873e-07
2010-09-14,1.2192373034389223e-07
2010-09-15,1.2060355954449287e-07
2010-09-16,1.2093165715140813e-07
2010-09-17,1.1500757260746753e-07
2010-09-20,1.1961568170398431e-07
2010-09-21,1.186183440967888e-07
2010-09-27,1.225564545020565e-07
2010-09-28,1.2078763351049072e-07
2010-09-29,1.2221071952590655e-07
2010-09-30,1.1807020294878237e-07
2010-10-08,1.0173874066239467e-07
2010-10-11,3.9288240502015684e-07
2010-10-12,3.8583545809910583e-07
2010-10-13,3.7715622804107173e-07
2010-10-14,3.7499368303171314e-07
2010-10-15,3.6467573292929344e-07
2010-10-18,3.651972563928056e-07
2010-10-19,3.5493915501596126e-07
2010-10-20,3.3754561696257283e-07
2010-10-21,3.28148610060704e-07
2010-10-22,3.276636089927392e-07
2010-10-25,3.3155184126803424e-07
2010-10-26,3.330735531766859e-07
2010-10-27,3.3695611181234885e-07
2010-10-28,3.380379804185592e-07
