date,FCT_Cci@180
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,186.4018436775204
2010-09-30,188.29087878260933
2010-10-08,205.26070001517445
2010-10-11,321.541985376396
2010-10-12,302.0766356951122
2010-10-13,314.1597348131074
2010-10-14,332.7510501070694
2010-10-15,324.6871238592657
2010-10-18,276.31198241461976
2010-10-19,286.0838617008399
2010-10-20,254.15234034840788
2010-10-21,300.0428254090445
2010-10-22,291.5803011544557
2010-10-25,328.21243181525864
2010-10-26,311.7103065171183
2010-10-27,267.02183208344957
2010-10-28,282.86586079442077
2010-10-29,257.80546362696424
2010-11-01,264.76056267008846
2010-11-02,263.40098757397794
2010-11-03,249.69135673223383
2010-11-04,280.4906988695754
2010-11-05,330.13380012267135
2010-11-08,359.57724241030024
2010-11-09,363.0155037228349
2010-11-10,358.4370336091122
2010-11-11,340.72526776916317
2010-11-12,282.5644966249578
2010-11-15,234.16191141318137
2010-11-16,224.77384511270958
2010-11-17,159.7854181293161
2010-11-18,152.68122501819036
2010-11-19,174.67465689274192
2010-11-22,147.09735164465863
2010-11-23,131.5685934123217
2010-11-24,143.30866871320586
2010-11-25,153.824492839751
2010-11-26,138.62037188890568
2010-11-29,145.087598750721
2010-11-30,151.1876825432788
2010-12-01,166.57062142244266
2010-12-02,181.70036425870694
2010-12-03,175.88957178942653
2010-12-06,182.97597213454708
2010-12-07,190.53337183478814
2010-12-08,167.82743566901172
2010-12-09,173.03498762492356
2010-12-10,165.15106650086145
2010-12-13,177.2816572284539
2010-12-14,183.6206627373617
2010-12-15,175.90697482551073
2010-12-16,166.34090603531365
2010-12-17,166.02536743474445
2010-12-20,158.13560398677413
2010-12-21,162.64956248666797
2010-12-22,161.02653862554334
2010-12-23,169.76478707291028
2010-12-24,168.61746849308426
2010-12-27,170.24550935416386
2010-12-28,177.60363062843723
2010-12-29,164.10413375629724
2010-12-30,160.45205444304816
2010-12-31,161.61766826853693
2011-01-04,168.17858523108555
2011-01-05,157.50766452633954
2011-01-06,171.77515293407762
2011-01-07,157.9426851061647
2011-01-10,150.19194145665062
2011-01-11,149.9025142658721
2011-01-12,140.03262069688859
2011-01-13,142.99506770292794
2011-01-14,137.3390165776773
2011-01-17,131.89041354450023
2011-01-18,125.80021880822832
2011-01-19,130.86582896193377
2011-01-20,129.6666427688396
2011-01-21,127.85498067384795
2011-01-24,138.3714202365345
2011-01-25,124.96626773659092
2011-01-26,100.75393210172035
2011-01-27,109.8942571170498
2011-01-28,107.73164082578003
2011-01-31,115.19780198631335
2011-02-01,119.4323013497537
2011-02-09,127.56716950962824
2011-02-10,136.2812020439651
2011-02-11,129.47164237488403
2011-02-14,128.01874297680953
2011-02-15,120.60826743720862
2011-02-16,104.41967899653102
2011-02-17,98.98435883825731
2011-02-18,95.04530203587127
2011-02-21,88.1909993113668
2011-02-22,91.40257962535911
2011-02-23,63.440843018913235
2011-02-24,59.3360553162713
2011-02-25,63.81280141565287
2011-02-28,72.67061925128463
2011-03-01,69.34099506003926
2011-03-02,76.62886157701516
2011-03-03,77.74992434243003
2011-03-04,79.50349715860463
2011-03-07,81.47126797226919
2011-03-08,71.82274291965345
2011-03-09,66.10525513554487
2011-03-10,53.91536404129929
2011-03-11,50.335250491440085
2011-03-14,38.65821226215282
2011-03-15,38.200144473899755
2011-03-16,28.631671622148964
2011-03-17,33.85943635381063
2011-03-18,45.17687319857231
2011-03-21,51.94350013895827
2011-03-22,46.01697451145268
2011-03-23,47.66651224980628
2011-03-24,35.34976867471333
2011-03-25,39.442959316824805
2011-03-28,38.56545191767007
2011-03-29,34.18679874764334
2011-03-30,41.38233071531229
2011-03-31,41.86615410345604
2011-04-01,48.06827800596816
2011-04-06,51.38795069776548
2011-04-07,49.89107749601498
2011-04-08,52.14077432087011
2011-04-11,63.337351185411535
2011-04-12,49.61313335142161
2011-04-13,36.597555640477445
2011-04-14,31.643933309696997
2011-04-15,26.12187432066726
2011-04-18,22.059417060223517
2011-04-19,20.420748758183578
