date,FCT_Demark_Ref_1@120
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,0.34481309167779134
2010-07-07,0.3364101544735282
2010-07-08,0.32710747320049105
2010-07-09,0.3537733251729906
2010-07-12,0.36638436904523447
2010-07-13,0.36299891951064284
2010-07-14,0.37330811977687517
2010-07-15,0.3954982243576353
2010-07-16,0.3927690592502031
2010-07-19,0.4086655385354356
2010-07-20,0.4116751053766971
2010-07-21,0.40588124784736956
2010-07-22,0.4171068734025902
2010-07-23,0.4266961529568949
2010-07-26,0.430584453293804
2010-07-27,0.4312530815630739
2010-07-28,0.43341367087753496
2010-07-29,0.4348526380445109
2010-07-30,0.4551506547214598
2010-08-02,0.4537808948803972
2010-08-03,0.47913603492897827
2010-08-04,0.48129987953947323
2010-08-05,0.47594424900859467
2010-08-06,0.47755499902936827
2010-08-09,0.48209603753221153
2010-08-10,0.49072721512935774
2010-08-11,0.4888849275136634
2010-08-12,0.48765832751372745
2010-08-13,0.48162933445620965
2010-08-16,0.49851219326018487
2010-08-17,0.4984461265312411
2010-08-18,0.48816573830425136
2010-08-19,0.4874708570009562
2010-08-20,0.48931337133008734
2010-08-23,0.47577767849048785
2010-08-24,0.46786931806044285
2010-08-25,0.4676967048851802
2010-08-26,0.4616828236783669
2010-08-27,0.46453160924530407
2010-08-30,0.46649971326806017
2010-08-31,0.4751839808040845
2010-09-01,0.46019096339868193
2010-09-02,0.45778599371627343
2010-09-03,0.4690869078963997
2010-09-06,0.4786900813264076
2010-09-07,0.49323351625339185
2010-09-08,0.4944333469758308
2010-09-09,0.49421090403743834
2010-09-10,0.46999768930858976
2010-09-13,0.46999768930858976
2010-09-14,0.4711121250810549
2010-09-15,0.47216516980877155
2010-09-16,0.4755728904477274
2010-09-17,0.46967098455666123
2010-09-20,0.47219521805726233
2010-09-21,0.4970228514515316
2010-09-27,0.501311955384473
2010-09-28,0.530171655192794
2010-09-29,0.5326666521681404
2010-09-30,0.5213300574763048
2010-10-08,0.5206937353720451
2010-10-11,0.5210349396273276
2010-10-12,0.5414581084934016
2010-10-13,0.5308816657445756
2010-10-14,0.531490791935197
2010-10-15,0.5437093363557395
2010-10-18,0.5422038334637068
2010-10-19,0.5311498715935109
2010-10-20,0.5353756794624572
2010-10-21,0.5335259509861335
2010-10-22,0.5494600138545759
2010-10-25,0.5492073289319657
2010-10-26,0.565245505393742
2010-10-27,0.5622860374876382
2010-10-28,0.5351020008577351
2010-10-29,0.5338352837718919
2010-11-01,0.5349039047879018
2010-11-02,0.5375776487101643
2010-11-03,0.5421417165964563
2010-11-04,0.5399517356557655
2010-11-05,0.5559722285077284
2010-11-08,0.5705051313496576
2010-11-09,0.60065797607598
2010-11-10,0.6014664465590824
2010-11-11,0.6054065429259016
2010-11-12,0.6039912840917152
2010-11-15,0.5856902286081493
2010-11-16,0.5661554609193171
2010-11-17,0.5778419883641104
2010-11-18,0.5574526633842523
2010-11-19,0.5480450095911221
2010-11-22,0.5506459418819298
2010-11-23,0.5472967414479847
2010-11-24,0.5400815366961885
2010-11-25,0.5444666065035295
2010-11-26,0.5525707015051835
2010-11-29,0.5435053435792704
2010-11-30,0.5434260547062433
2010-12-01,0.5502969179108232
2010-12-02,0.5586394367749449
2010-12-03,0.5646451870692498
2010-12-06,0.5628491975950773
2010-12-07,0.5665265213029425
2010-12-08,0.5817442069815644
2010-12-09,0.5754270361665729
2010-12-10,0.5826032776806015
2010-12-13,0.5812006998918743
2010-12-14,0.5906894219168229
2010-12-15,0.5901260490764302
2010-12-16,0.5901175822406518
2010-12-17,0.5858765638499905
2010-12-20,0.5875203830110642
2010-12-21,0.5850821697681552
2010-12-22,0.5841405275691505
2010-12-23,0.5861335792302412
2010-12-24,0.5904753410789952
2010-12-27,0.5973303018859606
2010-12-28,0.6028372922515509
2010-12-29,0.6090851214666058
2010-12-30,0.6045270316449968
2010-12-31,0.601480762638556
2011-01-04,0.6089259769166926
2011-01-05,0.6130461168252491
2011-01-06,0.6078634730120528
2011-01-07,0.6150552237502744
2011-01-10,0.6078267726647281
2011-01-11,0.6071235230220099
2011-01-12,0.6067003612999163
2011-01-13,0.5999982300660672
2011-01-14,0.5973343058143789
2011-01-17,0.595530136606697
2011-01-18,0.5952091849428152
2011-01-19,0.5913549835708989
2011-01-20,0.5922992909482181
2011-01-21,0.5922375508273243
2011-01-24,0.5906999561245653
2011-01-25,0.6022676970420077
2011-01-26,0.5970581253248586
2011-01-27,0.5699873513406141
2011-01-28,0.5709255696923459
2011-01-31,0.5651616028377179
2011-02-01,0.570324617747166
2011-02-09,0.5714850964143662
2011-02-10,0.5792548953521763
2011-02-11,0.5830313689567217
2011-02-14,0.5737552122217758
2011-02-15,0.5735043581414591
2011-02-16,0.5728374034295244
2011-02-17,0.562217915008989
2011-02-18,0.5561078096826332
2011-02-21,0.549912053657235
2011-02-22,0.54887233306272
2011-02-23,0.5534522296951441
