date,FCT_Br_1@120
2011-03-24,
2011-03-25,
2011-03-28,
2011-03-29,
2011-03-30,
2011-03-31,
2011-04-01,
2011-04-06,
2011-04-07,
2011-04-08,
2011-04-11,
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-30,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-04,
2011-07-05,
2011-07-06,
2011-07-07,
2011-07-08,
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,
2011-07-15,
2011-07-18,
2011-07-19,
2011-07-20,
2011-07-21,
2011-07-22,
2011-07-25,
2011-07-26,
2011-07-27,
2011-07-28,
2011-07-29,
2011-08-01,
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-08,
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,
2011-08-19,
2011-08-22,
2011-08-23,
2011-08-24,
2011-08-25,
2011-08-26,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-05,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-13,
2011-09-14,-0.09997136549634668
2011-09-15,-0.10212649456240402
2011-09-16,-0.10393070330059866
2011-09-19,-0.11041885179623429
2011-09-20,-0.11516199405545867
2011-09-21,-0.12280016238007528
2011-09-22,-0.14229119791641143
2011-09-23,-0.1625594637967894
2011-09-26,-0.207260398338096
2011-09-27,-0.17523897473282088
2011-09-28,-0.1727376924820595
2011-09-29,-0.2011437740480259
2011-09-30,-0.17602696501423531
2011-10-10,-0.1755616909794477
2011-10-11,-0.16418288727569125
2011-10-12,-0.16749386536480287
2011-10-13,-0.16493587901437237
2011-10-14,-0.14460490804303006
2011-10-17,-0.15154789593116252
2011-10-18,-0.16967318381576207
2011-10-19,-0.15872827814797666
2011-10-20,-0.17337756607577157
2011-10-21,-0.1446725438389758
2011-10-24,-0.12054156210385486
2011-10-25,-0.11509058778655755
2011-10-26,-0.11463843529238016
2011-10-27,-0.11309667326568965
2011-10-28,-0.09554400855560588
2011-10-31,-0.07341850118746533
2011-11-01,-0.05939350553890049
2011-11-02,-0.07675002145256284
2011-11-03,-0.08043386179082372
2011-11-04,-0.08329392613645431
2011-11-07,-0.07527291071596616
2011-11-08,-0.09166280889747963
2011-11-09,-0.08056472784784591
2011-11-10,-0.09397032558857156
2011-11-11,-0.09353584754200181
