date,FCT_Dmi_Adxr@20
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-29,27.738973855755376
2020-06-30,26.519377749582087
2020-07-01,25.199647696751725
2020-07-02,23.838546653700703
2020-07-03,22.510761940148196
2020-07-06,21.27303952139647
2020-07-07,20.225505509077884
2020-07-08,19.168521890819957
2020-07-09,18.195624551428747
2020-07-10,17.29710377907473
2020-07-13,17.71829979173416
2020-07-14,18.667900009758036
2020-07-15,20.053167614253148
2020-07-16,21.213430773044472
2020-07-17,22.256583672838495
2020-07-20,22.796893119092566
2020-07-21,23.63562209241043
2020-07-22,24.25437189612791
2020-07-23,25.060999326910913
2020-07-24,25.991222260361965
2020-07-27,27.173018040183358
2020-07-28,28.13546869862367
2020-07-29,28.765887440553204
2020-07-30,28.917494850202466
2020-07-31,29.270556923724293
2020-08-03,29.901152307183025
2020-08-04,30.443084006937113
2020-08-05,30.88483598354177
2020-08-06,31.082838182585483
2020-08-07,30.936569140151718
2020-08-10,31.020223855755642
2020-08-11,31.35990941408903
2020-08-12,31.140483848868197
2020-08-13,31.06683409436738
2020-08-14,30.92572701632745
2020-08-17,31.10798140799954
2020-08-18,30.541659144290918
2020-08-19,30.353789568905892
2020-08-20,30.822133132656205
2020-08-21,31.351879882900562
2020-08-24,32.02984781582765
2020-08-25,32.51550270148253
2020-08-26,33.223283540842324
2020-08-27,33.80441347171232
2020-08-28,34.20698323060392
2020-08-31,34.35409639141571
2020-09-01,34.7443463128946
2020-09-02,35.609337467363616
2020-09-03,36.58164265915996
2020-09-04,37.57828864749198
2020-09-07,37.56099046992305
2020-09-08,36.933431433549025
2020-09-09,36.34302068951493
2020-09-10,35.81648510697848
2020-09-11,35.243696208767076
2020-09-14,35.370808141185236
2020-09-15,35.41700360028554
2020-09-16,35.241386903510104
2020-09-17,34.448503387428026
2020-09-18,33.18552112145543
2020-09-21,31.95299369285545
2020-09-22,31.21035361688204
2020-09-23,30.467713540908633
2020-09-24,30.051161326680997
2020-09-25,29.768130362734002
2020-09-28,29.542988017431117
2020-09-29,29.219649150058437
2020-09-30,28.823618209166018
2020-10-09,27.91283487362023
2020-10-12,27.18551017071665
2020-10-13,27.110127682648496
2020-10-14,27.236327392087166
2020-10-15,28.177968574554036
2020-10-16,29.08566088224634
2020-10-19,29.82672344431188
2020-10-20,30.24442453666541
2020-10-21,31.04431278411432
2020-10-22,31.51472483505558
2020-10-23,31.353098910935223
2020-10-26,31.028457647625
2020-10-27,30.631231090720043
2020-10-28,30.51050830622388
2020-10-29,30.357249798824927
2020-10-30,30.59333137929312
2020-11-02,31.023807544425438
2020-11-03,31.464003127847917
2020-11-04,31.554869455044035
2020-11-05,31.387636462426055
2020-11-06,30.848886439284215
2020-11-09,30.124094266637755
2020-11-10,29.335068854854903
2020-11-11,28.72219287954188
2020-11-12,28.10064193909412
2020-11-13,27.591183846559964
2020-11-16,26.856777675526573
2020-11-17,25.630487339352534
2020-11-18,24.353029784814552
2020-11-19,23.35781434430887
2020-11-20,23.310710730188177
2020-11-23,23.745464065423153
2020-11-24,24.183557047685838
2020-11-25,23.79521928849522
2020-11-26,23.345204531452655
2020-11-27,23.25375792518085
2020-11-30,23.023597114695683
2020-12-01,22.377692256079072
2020-12-02,21.70103312096687
2020-12-03,21.026317386367417
2020-12-04,20.9265161087522
2020-12-07,21.523427220558773
2020-12-08,21.993430601034145
2020-12-09,21.85168647431733
2020-12-10,21.026782549085386
2020-12-11,20.490087625653047
2020-12-14,20.539545066127936
2020-12-15,20.511854910558448
