date,FCT_Bias_1@80
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,1.1867337603263173
2014-06-27,1.5302138512850758
2014-06-30,1.854142243063702
2014-07-01,3.3870595031773316
2014-07-02,2.9535239552452865
2014-07-03,3.0159847764034233
2014-07-04,3.668800764452945
2014-07-07,3.7290798021914076
2014-07-08,3.253427302568081
2014-07-09,2.2239696826148814
2014-07-10,2.1803387264641843
2014-07-11,2.3837884121396673
2014-07-14,2.25938697318008
2014-07-15,2.1391287660717784
2014-07-16,2.389770890769062
2014-07-17,1.3299631484456516
2014-07-18,0.9872276483846754
2014-07-21,0.9889560128374624
2014-07-22,0.6585156993339666
2014-07-23,1.400377893245164
2014-07-24,1.1938950171167566
2014-07-25,2.0332103321033177
2014-07-28,2.2835892056832394
2014-07-29,2.6575849629770363
2014-07-30,2.5377942998761007
2014-07-31,2.337836898037674
2014-08-01,1.788979390677887
2014-08-04,1.8091980725052703
2014-08-05,0.9502894476875126
2014-08-06,1.3147367021501046
2014-08-07,1.0412386569198036
2014-08-08,0.6178919242648823
2014-08-11,1.0498531763736336
2014-08-12,0.4274550737459995
2014-08-13,0.16594341402065715
2014-08-14,0.2752410632792411
2014-08-15,0.8963937611315103
2014-08-18,1.157179517097954
2014-08-19,1.190647168205338
2014-08-20,0.467085261776779
2014-08-21,1.636941095802887
2014-08-22,1.5210966277035083
2014-08-25,1.5479254849742337
2014-08-26,1.4330835041150136
2014-08-27,1.2799585903462163
2014-08-28,0.8829550763887799
2014-08-29,0.502762213161211
2014-09-01,0.26491313758027096
2014-09-02,1.130963344624789
2014-09-03,1.099900676364616
2014-09-04,1.5478172985915084
2014-09-05,0.5452117211258023
2014-09-09,-0.1631199951124431
2014-09-10,-0.7218541836269416
2014-09-11,-0.8320542679392853
2014-09-12,-1.372651610157212
2014-09-15,-1.1424952952775178
2014-09-16,-0.8893667300160836
2014-09-17,-1.5538167739321371
2014-09-18,-2.2161222090804498
2014-09-19,-2.5298533412914073
2014-09-22,-3.9095500157487875
2014-09-23,-4.289135082999376
2014-09-24,-3.3482800177826464
2014-09-25,-2.8412606009403403
2014-09-26,-2.4921609436177876
2014-09-29,-1.522810581742533
2014-09-30,-1.2274984923281766
2014-10-08,-3.808029595409462
2014-10-09,-3.7010621025154706
2014-10-10,-6.377630129971171
2014-10-13,-5.466602803448516
2014-10-14,-4.600142922463295
2014-10-15,-4.336808823624874
2014-10-16,-5.123266580970518
2014-10-17,-6.982176857478339
2014-10-20,-7.361293033068328
2014-10-21,-7.420507543917805
2014-10-22,-7.005933531202128
2014-10-23,-5.80888187948266
2014-10-24,-4.110914401260265
2014-10-27,-4.368972718372387
2014-10-28,-3.1552346938868374
2014-10-29,-2.5071544394365146
2014-10-30,-2.549029420339044
2014-10-31,-1.8382914460351871
2014-11-03,-2.572428137326246
2014-11-04,-3.547928217085676
2014-11-05,-4.823932005809022
2014-11-06,-3.0169737172349964
2014-11-07,-2.3043398584412667
2014-11-10,-1.651491323004821
2014-11-11,-3.2040185870462365
2014-11-12,-2.996155951802967
2014-11-13,-2.6730544113058405
2014-11-14,-3.6256317042583546
2014-11-17,-3.7190299424377438
2014-11-18,-3.866573517714836
2014-11-19,-3.458352642288918
2014-11-20,-4.034637963089909
2014-11-21,-3.2168222744637536
2014-11-24,-3.313710836393861
2014-11-25,-2.926000530840967
2014-11-26,-3.4135951033444556
2014-11-27,-3.2604720818144304
2014-11-28,-5.202970787942993
2014-12-01,-7.187864757187285
2014-12-02,-6.279033423425842
2014-12-03,-6.7633315002513985
2014-12-04,-6.375223644173384
2014-12-05,-6.773229570528411
2014-12-08,-7.771736353756346
2014-12-09,-9.049703067685483
2014-12-10,-8.858523804162385
2014-12-11,-9.206179993607847
2014-12-12,-8.729381949781681
2014-12-15,-7.5494387138877155
2014-12-16,-7.7927735541135945
2014-12-17,-7.806558247664081
2014-12-18,-7.2700112262832715
2014-12-19,-7.489614049499763
2014-12-22,-6.611214621893016
2014-12-23,-6.739110231981645
2014-12-24,-6.376567369460903
2014-12-25,-6.357838470559816
2014-12-26,-6.464865823577624
2014-12-29,-6.316084007379326
2014-12-30,-5.848858693664649
2014-12-31,-4.660868379102483
2015-01-05,-6.632447737276757
2015-01-06,-6.891144223831343
2015-01-07,-7.255711211294067
2015-01-08,-7.341109809401358
2015-01-09,-8.492305990358508
2015-01-12,-7.9673406072165
2015-01-13,-7.891503172879743
2015-01-14,-7.623139103594725
2015-01-15,-6.767663872294479
