date,FCT_Cci@120
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-04,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,
2014-08-07,
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,63.721502887811816
2014-08-21,85.89392283692192
2014-08-22,93.11818832154364
2014-08-25,88.22697204890298
2014-08-26,90.54687405158272
2014-08-27,87.62088094966771
2014-08-28,75.90326259579194
2014-08-29,64.93090358364654
2014-09-01,56.27148800584284
2014-09-02,72.00187755409523
2014-09-03,77.48943121210195
2014-09-04,102.16890795199849
2014-09-05,75.42712984554662
2014-09-09,46.76499132399719
2014-09-10,28.87196154873407
2014-09-11,8.448444034989077
2014-09-12,-6.218591537077661
2014-09-15,-6.033537949395251
2014-09-16,8.709987269618754
2014-09-17,-5.520093875345768
2014-09-18,-45.66891725696907
2014-09-19,-66.17544871568609
2014-09-22,-119.91011410747682
2014-09-23,-156.79231664534024
2014-09-24,-132.36123041362092
2014-09-25,-102.28522086814701
2014-09-26,-91.70978015938014
2014-09-29,-61.328691056497696
2014-09-30,-32.558166640508645
2014-10-08,-132.36171613384107
2014-10-09,-151.38026188466614
2014-10-10,-252.32738995622705
2014-10-13,-243.94284941194678
2014-10-14,-205.79355480007538
2014-10-15,-208.8334149710249
2014-10-16,-221.57022648275998
2014-10-17,-266.56376331945046
2014-10-20,-301.1690180241618
2014-10-21,-304.08698349073137
2014-10-22,-273.5355640521522
2014-10-23,-247.45796887238743
2014-10-24,-171.89306658339098
2014-10-27,-164.3298276735819
2014-10-28,-132.32275560689143
2014-10-29,-104.34397172422759
2014-10-30,-95.48350174699864
2014-10-31,-87.43513743613121
2014-11-03,-90.43428367461742
2014-11-04,-127.25968982182074
2014-11-05,-167.4184098107441
2014-11-06,-129.2572751727867
2014-11-07,-101.16579060056911
2014-11-10,-78.66805594172604
2014-11-11,-113.34655399600562
2014-11-12,-120.27650433868762
2014-11-13,-120.3127466385303
2014-11-14,-144.45435798202274
2014-11-17,-135.72758626753046
2014-11-18,-146.01857131379916
2014-11-19,-136.5611658044863
2014-11-20,-142.07224152375994
2014-11-21,-128.6898225397196
2014-11-24,-122.21015914661494
2014-11-25,-128.70725047868478
2014-11-26,-130.5706884473041
2014-11-27,-128.1351096509617
2014-11-28,-180.9950261820882
2014-12-01,-227.8267541208198
2014-12-02,-200.70429717709865
2014-12-03,-223.65387384964947
2014-12-04,-207.67237676628937
2014-12-05,-216.9633389454778
2014-12-08,-227.93835429936848
2014-12-09,-264.52806946287564
2014-12-10,-261.1266674262571
2014-12-11,-267.81859573682976
2014-12-12,-252.60034695581152
2014-12-15,-230.5934378871211
2014-12-16,-219.7706695160028
2014-12-17,-218.22476448074775
2014-12-18,-200.70574027711115
2014-12-19,-203.36913822581428
2014-12-22,-177.942033701886
2014-12-23,-184.23684902877406
2014-12-24,-174.74163077360413
2014-12-25,-169.7222061768526
2014-12-26,-170.04550461312078
2014-12-29,-167.1984116006001
2014-12-30,-156.27387536747747
2014-12-31,-140.17350937408398
2015-01-05,-166.54897139804896
2015-01-06,-182.3338555532402
2015-01-07,-184.51465441558918
2015-01-08,-182.1590389295617
2015-01-09,-198.11120079677107
2015-01-12,-199.974733610918
2015-01-13,-190.67912270126502
2015-01-14,-182.4206334819882
2015-01-15,-167.89017466201773
2015-01-16,-167.39303858331328
2015-01-19,-147.38326219188926
2015-01-20,-151.54546297562246
2015-01-21,-145.2138070396678
2015-01-22,-140.04231662012825
2015-01-23,-137.58147586108802
2015-01-26,-144.37077801863452
2015-01-27,-140.54826271138478
2015-01-28,-132.47339147177237
2015-01-29,-126.89650802284639
2015-01-30,-128.559307922486
2015-02-02,-114.63098559379307
2015-02-03,-96.21338568186083
2015-02-04,-78.10603501216796
2015-02-05,-87.21527319996869
2015-02-06,-68.05235746802185
2015-02-09,-68.44668706840085
2015-02-10,-67.70002573768059
2015-02-11,-64.63868656465436
2015-02-12,-61.341481073133615
2015-02-13,-40.14742622152743
2015-02-16,-28.575084824923646
