date,FCT_Ar_1@80
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,-0.1385003087796443
2010-05-05,-0.15230505531904875
2010-05-06,-0.15103789588495445
2010-05-07,-0.17298304410721776
2010-05-10,-0.1393268670308214
2010-05-11,-0.1275565612170897
2010-05-12,-0.14284874599246564
2010-05-13,-0.14760759284294334
2010-05-14,-0.14204169101591255
2010-05-17,-0.16508989886882727
2010-05-18,-0.1574581654263024
2010-05-19,-0.14489577582647326
2010-05-20,-0.1313869345037493
2010-05-21,-0.12989799396361568
2010-05-24,-0.12875033207830605
2010-05-25,-0.1217909908245954
2010-05-26,-0.13111356559861106
2010-05-27,-0.1272834650544729
2010-05-28,-0.1417253142192504
2010-05-31,-0.15534501850268848
2010-06-01,-0.16540632953760795
2010-06-02,-0.15892913805775558
2010-06-03,-0.12354480059743697
2010-06-04,-0.11718271321737753
2010-06-07,-0.11115175615136354
2010-06-08,-0.10554532931996065
2010-06-09,-0.10171177752124164
2010-06-10,-0.11286426701044605
2010-06-11,-0.11668202896574331
2010-06-17,-0.11896597679015634
2010-06-18,-0.13262911645494882
2010-06-21,-0.10986888291265776
2010-06-22,-0.11491319377879479
2010-06-23,-0.11779489863222824
2010-06-24,-0.0996384219933731
2010-06-25,-0.1003031930841226
2010-06-28,-0.11080613389176741
2010-06-29,-0.10593606859424506
2010-06-30,-0.09664974056886022
2010-07-01,-0.09770663209446712
2010-07-02,-0.10604656335525454
2010-07-05,-0.11044083526682223
2010-07-06,-0.11219739292365082
2010-07-07,-0.11137108095461017
2010-07-08,-0.11121517209084564
2010-07-09,-0.10685954269715355
2010-07-12,-0.10731021555763798
2010-07-13,-0.1511068334937441
2010-07-14,-0.1498172959805112
2010-07-15,-0.14578254509995103
2010-07-16,-0.1525257479156446
2010-07-19,-0.15132223310479906
2010-07-20,-0.13429122483927824
2010-07-21,-0.14276168465744432
2010-07-22,-0.14740260402651012
2010-07-23,-0.14641760444099572
2010-07-26,-0.14407194108642152
2010-07-27,-0.1476060283083546
2010-07-28,-0.1286272651336287
2010-07-29,-0.11845268880692734
2010-07-30,-0.10723088321348799
2010-08-02,-0.10496493688639463
2010-08-03,-0.11482554618520739
2010-08-04,-0.10341088748088047
2010-08-05,-0.1148527125280112
2010-08-06,-0.11039800926715444
2010-08-09,-0.1034503071142547
2010-08-10,-0.10024368636712765
2010-08-11,-0.08054934778377143
2010-08-12,-0.09346473814610447
2010-08-13,-0.08399250994660905
2010-08-16,-0.06977582227236893
2010-08-17,-0.06628552691369277
2010-08-18,-0.07009394579957283
2010-08-19,-0.07363042788410593
2010-08-20,-0.07579377908121163
2010-08-23,-0.07780647379414321
2010-08-24,-0.07303497637287802
2010-08-25,-0.07073978604591118
2010-08-26,-0.07620832721612447
2010-08-27,-0.09194992113047532
2010-08-30,-0.0939811080543
2010-08-31,-0.08664228569378772
2010-09-01,-0.06296787439616322
2010-09-02,-0.04383060008932104
2010-09-03,-0.04503512833128701
2010-09-06,-0.0013960375234317898
2010-09-07,-0.0021110353539473886
2010-09-08,-0.012660135810939473
2010-09-09,-0.027679500923395477
2010-09-10,-0.01274806713468397
2010-09-13,-0.04834836460099781
2010-09-14,-0.07447521487908586
2010-09-15,-0.06945332545142736
2010-09-16,-0.08834815216080133
2010-09-17,-0.08698579663483472
2010-09-20,-0.06624354875806812
2010-09-21,-0.07727379547918481
2010-09-27,-0.08959753129926214
2010-09-28,-0.0854842530467849
2010-09-29,-0.07845515251193096
2010-09-30,-0.07516479734613188
2010-10-08,-0.06778760772111686
2010-10-11,-0.05631016408546167
2010-10-12,-0.058786804357755365
2010-10-13,-0.06898986778539126
2010-10-14,-0.083044894059001
2010-10-15,-0.07121617993970243
2010-10-18,-0.05967716367602286
2010-10-19,-0.07706285785386112
2010-10-20,-0.07223788161439862
2010-10-21,-0.08603606637732587
2010-10-22,-0.09363398695394473
2010-10-25,-0.06999754724863896
2010-10-26,-0.08315401275030214
2010-10-27,-0.0712708399626717
2010-10-28,-0.051668872320312725
2010-10-29,-0.04730010560065022
2010-11-01,-0.037220314133313635
2010-11-02,-0.03722588533836436
2010-11-03,-0.035636774726038364
2010-11-04,-0.03338374782611419
2010-11-05,-0.017708201716937315
2010-11-08,-0.030185920932438666
2010-11-09,0.017527969195327252
2010-11-10,0.0017897609785203815
2010-11-11,0.009910017452681039
2010-11-12,-0.028866456327193923
2010-11-15,-0.004454018942763202
2010-11-16,-0.013255285265659573
2010-11-17,-0.01003842628346068
2010-11-18,-0.022718357556983884
2010-11-19,-0.03859807010552362
2010-11-22,-0.02959373244811886
2010-11-23,-0.03205355045014641
2010-11-24,-0.027077810875343104
2010-11-25,-0.02270609309192946
2010-11-26,-0.018409037561793157
2010-11-29,-0.03150429531324926
2010-11-30,-0.03954273745124067
2010-12-01,-0.04284724106789359
2010-12-02,-0.05374202886375425
2010-12-03,-0.03721795849168271
2010-12-06,-0.04375167496952327
2010-12-07,-0.031600020408287674
2010-12-08,-0.03909676667571266
2010-12-09,-0.05435312212619782
2010-12-10,-0.0489220502970977
2010-12-13,-0.048962675805220915
2010-12-14,-0.0382843876887931
2010-12-15,-0.0341650030768817
2010-12-16,-0.03971319069778187
2010-12-17,-0.03234136143056257
2010-12-20,-0.03240470670624604
2010-12-21,-0.027713285113448085
2010-12-22,-0.02855495669573187
2010-12-23,-0.023156699627485032
2010-12-24,-0.03092167122805815
2010-12-27,-0.031176709151605263
2010-12-28,-0.03134939402950279
2010-12-29,-0.02857864357994002
2010-12-30,-0.03198643166803514
2010-12-31,-0.031083476390095118
