date,FCT_Cci@120
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,-169.73094853912806
2010-07-05,-158.92003859127433
2010-07-06,-156.48843054814216
2010-07-07,-153.5031885070567
2010-07-08,-151.5787926416183
2010-07-09,-151.152446118697
2010-07-12,-146.03631773368548
2010-07-13,-147.25268465275332
2010-07-14,-146.2232460876731
2010-07-15,-142.6649433261421
2010-07-16,-137.07609675788055
2010-07-19,-126.0425320607468
2010-07-20,-111.16962695948177
2010-07-21,-106.02685997021644
2010-07-22,-104.7024851311137
2010-07-23,-94.04263194365087
2010-07-26,-91.46370049654409
2010-07-27,-98.74896685373857
2010-07-28,-92.2585194360722
2010-07-29,-85.84300467855206
2010-07-30,-74.92914870269163
2010-08-02,-59.688290558093954
2010-08-03,-61.80266965316558
2010-08-04,-61.865011700070525
2010-08-05,-60.06756925565996
2010-08-06,-59.71194537203093
2010-08-09,-48.16763578715561
2010-08-10,-46.28325289619738
2010-08-11,-43.91695660726846
2010-08-12,-55.361980425068765
2010-08-13,-52.99775252804219
2010-08-16,-45.97681665740892
2010-08-17,-42.0233514704991
2010-08-18,-40.00612074790183
2010-08-19,-41.43299640832005
2010-08-20,-48.63278757056569
2010-08-23,-57.852244978233834
2010-08-24,-62.93099514618532
2010-08-25,-66.88632524383694
2010-08-26,-60.88300633770273
2010-08-27,-57.68408708309696
2010-08-30,-45.01683451151453
2010-08-31,-43.55336961386491
2010-09-01,-37.0480291481311
2010-09-02,-28.381186263602324
2010-09-03,-29.86020542542575
2010-09-06,8.933010908587367
2010-09-07,15.891359123172668
2010-09-08,11.503352051685848
2010-09-09,-11.28893976733005
2010-09-10,-3.120354829447046
2010-09-13,3.132733371967927
2010-09-14,-11.26405617877548
2010-09-15,-15.04236519390313
2010-09-16,-23.072743422546154
2010-09-17,-27.258644171707708
2010-09-20,-21.028598399034177
2010-09-21,-34.2835597905846
2010-09-27,-47.21676392899758
2010-09-28,-55.410163603538976
2010-09-29,-57.120117584636695
2010-09-30,-58.399673109524976
2010-10-08,-47.569625918093685
2010-10-11,-24.389503725446005
2010-10-12,-35.31354443148052
2010-10-13,-31.35458091537973
2010-10-14,-33.27338215531984
2010-10-15,-35.60169685570447
2010-10-18,-20.725431377885535
2010-10-19,-24.46651009061221
2010-10-20,-58.44729551366169
2010-10-21,-50.35447137476449
2010-10-22,-57.3400229805391
2010-10-25,-26.15350889262414
2010-10-26,-20.78549619791227
2010-10-27,-14.81048890015596
2010-10-28,-9.037703075535577
2010-10-29,-11.441386518981611
2010-11-01,16.374965345564288
2010-11-02,21.3025768493007
2010-11-03,32.0955779475449
2010-11-04,56.85154333616881
2010-11-05,127.83873583163682
2010-11-08,139.59515680503432
2010-11-09,221.1989470868643
2010-11-10,204.32031318768523
2010-11-11,205.00314245879758
2010-11-12,118.70912719145714
2010-11-15,108.34368203452934
2010-11-16,110.6939325638376
2010-11-17,29.72416489750001
2010-11-18,71.17109373590446
2010-11-19,93.79217828775418
2010-11-22,102.93492839601085
2010-11-23,81.53919905200374
2010-11-24,116.18410429789287
2010-11-25,140.32865302132757
2010-11-26,111.33728558134885
2010-11-29,112.39700787076461
2010-11-30,95.53525507361658
2010-12-01,111.95913007238038
2010-12-02,130.00328320928259
2010-12-03,143.52228984100805
2010-12-06,142.23931843178426
2010-12-07,153.96552522786638
2010-12-08,137.78933449140357
2010-12-09,132.13428312743
2010-12-10,125.39335513938667
2010-12-13,150.6483471592068
2010-12-14,153.63813081213402
2010-12-15,150.3476246364273
2010-12-16,141.456759632999
2010-12-17,145.30567380505536
2010-12-20,150.0806643648119
2010-12-21,156.7753398505085
2010-12-22,144.28111236361647
2010-12-23,128.57466075456384
2010-12-24,117.9838863999422
2010-12-27,104.60791903966162
2010-12-28,104.81557402780139
2010-12-29,108.6120175109053
2010-12-30,117.96514092047535
2010-12-31,127.51368293728653
2011-01-04,136.23606036867275
2011-01-05,121.31737072042722
2011-01-06,125.25757084263505
2011-01-07,116.38978053423386
2011-01-10,129.36821195959985
2011-01-11,132.11932485968012
2011-01-12,135.27436566693143
2011-01-13,137.00436659288786
2011-01-14,152.4451606148294
2011-01-17,162.4746317510155
2011-01-18,155.58020746476532
2011-01-19,161.63096386063606
2011-01-20,154.7351809037657
2011-01-21,158.40015927858283
2011-01-24,170.0303586803679
2011-01-25,167.6830890200908
2011-01-26,153.24131344088502
2011-01-27,141.9312631345724
2011-01-28,141.60740172898548
2011-01-31,160.0280405187751
2011-02-01,171.8706411944001
2011-02-09,169.21454096666105
2011-02-10,185.36806247833115
2011-02-11,187.9342350886043
2011-02-14,171.09055792448373
2011-02-15,170.32339309071384
2011-02-16,140.04547108666776
2011-02-17,112.18445441645879
2011-02-18,92.143932776427
2011-02-21,93.51215206743665
2011-02-22,88.675619162019
2011-02-23,63.38003184205427
2011-02-24,46.305469746065334
2011-02-25,33.043336454669685
2011-02-28,37.524283954483465
2011-03-01,20.89761605262634
