date,Amihud@40
2012-12-28,
2012-12-31,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,1.9512099675276528e-08
2013-03-07,1.69952422155222e-08
2013-03-08,1.5378207516862866e-08
2013-03-11,1.3598992361018765e-08
2013-03-12,1.3688346078770528e-08
2013-03-13,1.3848691677034716e-08
2013-03-14,1.3656864808877317e-08
2013-03-15,1.3414296341656078e-08
2013-03-18,1.3431673725183467e-08
2013-03-19,1.3375753913201135e-08
2013-03-20,1.325187883006896e-08
2013-03-21,1.3480415271083287e-08
2013-03-22,1.4056370652911226e-08
2013-03-25,1.4221883721443537e-08
2013-03-26,1.4257077878720797e-08
2013-03-27,1.4036153242392584e-08
2013-03-28,1.3782105202141168e-08
2013-03-29,1.4212742155873023e-08
2013-04-01,1.4978077272011312e-08
2013-04-02,1.5128233433200472e-08
2013-04-03,1.474633955201835e-08
2013-04-08,1.4831963345827255e-08
2013-04-09,1.4678606711992298e-08
2013-04-10,1.4424879879689177e-08
2013-04-11,1.4213220941538786e-08
2013-04-12,1.4529384740303602e-08
2013-04-15,1.3914426801657824e-08
2013-04-16,1.2651754033255861e-08
2013-04-17,1.0503775824811157e-08
2013-04-18,9.836948563823384e-09
2013-04-19,9.966612688826485e-09
2013-04-22,9.799270234916174e-09
2013-04-23,1.0020675598331305e-08
2013-04-24,1.0164012177063959e-08
2013-04-25,1.0215513692565038e-08
2013-04-26,1.0172503709689382e-08
2013-05-02,1.0155597633369502e-08
2013-05-03,1.0277186299645662e-08
2013-05-06,1.0468450885829539e-08
2013-05-07,1.0230812852119928e-08
2013-05-08,1.045589284438708e-08
2013-05-09,1.0675036177876571e-08
2013-05-10,1.0831843329953317e-08
2013-05-13,1.0774492608708707e-08
2013-05-14,1.0904184966071277e-08
2013-05-15,1.103327752059201e-08
2013-05-16,1.097464925462949e-08
2013-05-17,1.1479005661442992e-08
2013-05-20,1.146946700869166e-08
2013-05-21,1.1610560019163726e-08
2013-05-22,1.1993829127899806e-08
2013-05-23,1.2346924180663423e-08
2013-05-24,1.2557048478046713e-08
2013-05-27,1.4111567118966714e-08
2013-05-28,1.3938185301105088e-08
2013-05-29,1.4796594927493153e-08
2013-05-30,1.4006592057781393e-08
2013-05-31,1.4105747897142754e-08
2013-06-03,1.4275023298133253e-08
2013-06-04,1.426125856611732e-08
2013-06-05,1.4800625551342137e-08
2013-06-06,1.5395886089989394e-08
2013-06-07,1.58403751775199e-08
2013-06-13,1.6968483266743138e-08
2013-06-14,1.802222077377912e-08
2013-06-17,1.781512587428138e-08
2013-06-18,1.787116629786777e-08
2013-06-19,1.8025089462953543e-08
2013-06-20,1.7967430077506264e-08
2013-06-21,1.8767878945761424e-08
2013-06-24,1.9158055088273538e-08
2013-06-25,1.9745890890590626e-08
2013-06-26,1.9517707090875646e-08
2013-06-27,1.9234351808883458e-08
2013-06-28,1.9677213241271866e-08
2013-07-01,2.0273856170935597e-08
2013-07-02,2.075992084627572e-08
2013-07-03,2.065502080501359e-08
2013-07-04,2.0615824530886844e-08
2013-07-05,2.0713170009007126e-08
2013-07-08,2.1044534554005315e-08
2013-07-09,2.1513858985546853e-08
2013-07-10,2.1371185836293813e-08
2013-07-11,2.120295450347808e-08
2013-07-12,2.0700907562711646e-08
2013-07-15,2.0553619194596748e-08
2013-07-16,2.0953103909774556e-08
2013-07-17,2.046216919889309e-08
2013-07-18,2.0476614842931446e-08
2013-07-19,2.0364194664785446e-08
2013-07-22,2.0002152575025318e-08
2013-07-23,1.9544309876918773e-08
2013-07-24,1.878288074182584e-08
2013-07-25,1.7352283790438146e-08
2013-07-26,1.767282954155105e-08
2013-07-29,1.672732382624214e-08
2013-07-30,1.674294245915024e-08
2013-07-31,1.6042084187509972e-08
2013-08-01,1.491068794219629e-08
2013-08-02,1.4883788742917467e-08
2013-08-05,1.4259486565240789e-08
2013-08-06,1.3284985741622033e-08
2013-08-07,1.3117042931855867e-08
2013-08-08,1.1713847748832905e-08
2013-08-09,1.0673789987662589e-08
2013-08-12,1.0621072547196915e-08
2013-08-13,1.1019465248815644e-08
2013-08-14,1.0793748902486076e-08
2013-08-15,1.0958116047169602e-08
2013-08-16,1.017326479555263e-08
2013-08-19,9.778944486847939e-09
2013-08-20,9.122674338965958e-09
2013-08-21,9.186577807711114e-09
2013-08-22,9.053963887469848e-09
2013-08-23,8.541785790435156e-09
2013-08-26,9.23969197357904e-09
2013-08-27,8.814889982243474e-09
2013-08-28,9.10967255717758e-09
2013-08-29,9.05889337555109e-09
2013-08-30,9.099458221160057e-09
2013-09-02,8.820361389892041e-09
2013-09-03,8.144160377134158e-09
2013-09-04,8.299989663057715e-09
2013-09-05,8.289082604827236e-09
2013-09-06,8.611314598639896e-09
2013-09-09,8.688754749522849e-09
2013-09-10,8.483936650320004e-09
2013-09-11,8.623975760565399e-09
2013-09-12,8.378276338080248e-09
2013-09-13,8.403681213192255e-09
2013-09-16,8.850224664303494e-09
2013-09-17,8.706024824097715e-09
2013-09-18,8.756759138702564e-09
2013-09-23,8.467324380637942e-09
2013-09-24,8.159194079556067e-09
2013-09-25,8.138884083099857e-09
2013-09-26,8.214029882926297e-09
2013-09-27,8.476377588518881e-09
2013-09-30,8.405096752749888e-09
2013-10-08,8.583128805472557e-09
2013-10-09,8.567394474801425e-09
2013-10-10,8.717902285965544e-09
2013-10-11,8.535059518050918e-09
2013-10-14,8.264726066637874e-09
2013-10-15,8.424799287038654e-09
2013-10-16,8.157243565065726e-09
2013-10-17,7.65059817355772e-09
2013-10-18,7.677892098744531e-09
2013-10-21,7.531003865689866e-09
2013-10-22,7.615882599200698e-09
2013-10-23,7.558916397432382e-09
2013-10-24,7.682688759046614e-09
2013-10-25,7.849269681913682e-09
2013-10-28,7.738628670588081e-09
2013-10-29,7.931434974708271e-09
2013-10-30,6.725279305337817e-09
2013-10-31,6.531715418768541e-09
2013-11-01,6.252123743605164e-09
2013-11-04,6.4479668599692885e-09
2013-11-05,6.298200696755605e-09
2013-11-06,5.963724171725777e-09
2013-11-07,6.200863635307812e-09
2013-11-08,6.2417627614578794e-09
2013-11-11,6.245815967276449e-09
2013-11-12,6.551035079838289e-09
2013-11-13,6.739982591790777e-09
2013-11-14,6.781145166508778e-09
2013-11-15,6.6127997699044166e-09
2013-11-18,6.821075819332006e-09
2013-11-19,6.766707832601287e-09
2013-11-20,6.2359811360096405e-09
2013-11-21,6.106271734391395e-09
2013-11-22,6.130062390737115e-09
2013-11-25,6.141471278254286e-09
2013-11-26,6.03825752875258e-09
2013-11-27,6.174938115656958e-09
2013-11-28,6.19924286523557e-09
2013-11-29,6.1094122137455566e-09
2013-12-02,6.175714764232518e-09
2013-12-03,5.947083264502265e-09
2013-12-04,6.218267505197837e-09
2013-12-05,6.088675476180844e-09
2013-12-06,5.972152958334484e-09
2013-12-09,6.055522520065256e-09
2013-12-10,5.856378817035715e-09
2013-12-11,5.883185430450084e-09
2013-12-12,6.044373912175947e-09
2013-12-13,6.153397324999501e-09
2013-12-16,6.20426621155855e-09
2013-12-17,6.1820965143829426e-09
2013-12-18,6.195677116871855e-09
2013-12-19,6.071276303456217e-09
2013-12-20,5.8639748859223404e-09
2013-12-23,5.919842402423884e-09
2013-12-24,5.839628580795891e-09
2013-12-25,6.00780538572768e-09
2013-12-26,5.980180125825553e-09
