date,FCT_Dmi_Adx@80
2012-12-28,
2012-12-31,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,10.033173629324533
2013-09-02,10.264068038994735
2013-09-03,10.539142539230085
2013-09-04,10.828993867785199
2013-09-05,11.034486688878427
2013-09-06,11.204220109377593
2013-09-09,11.371039889324411
2013-09-10,11.511409239045216
2013-09-11,11.631251833904379
2013-09-12,11.744411102326927
2013-09-13,11.813046092364512
2013-09-16,11.83556715815131
2013-09-17,11.835075151870582
2013-09-18,11.8482243001408
2013-09-23,11.864673952603551
2013-09-24,11.890498353869805
2013-09-25,11.936087163740101
2013-09-26,12.045655986712301
2013-09-27,12.19363336430947
2013-09-30,12.377612112760072
2013-10-08,12.574283985589926
2013-10-09,12.782645622575172
2013-10-10,12.96664202004823
2013-10-11,13.16244567961742
2013-10-14,13.30971605815868
2013-10-15,13.382211190505615
2013-10-16,13.461726154929488
2013-10-17,13.561713505016186
2013-10-18,13.646305075479813
2013-10-21,13.74687770866712
2013-10-22,13.769002484792418
2013-10-23,13.781303560828274
2013-10-24,13.793312729353156
2013-10-25,13.721348105908191
2013-10-28,13.69909291267335
2013-10-29,13.694818198154872
2013-10-30,13.6924879164255
2013-10-31,13.709897404135663
2013-11-01,13.743822166407833
2013-11-04,13.810833984491277
2013-11-05,13.869634670727388
2013-11-06,13.950775531770494
2013-11-07,14.024454728659336
2013-11-08,14.079098641230033
2013-11-11,14.185738726371284
2013-11-12,14.292490374282488
2013-11-13,14.437440642139347
2013-11-14,14.540964182970438
2013-11-15,14.616993049696058
2013-11-18,14.626896643299597
2013-11-19,14.59736229699771
2013-11-20,14.588750066754631
2013-11-21,14.563239978929175
2013-11-22,14.532067272979077
2013-11-25,14.51328554179544
2013-11-26,14.637093229219577
2013-11-27,14.77368086637012
2013-11-28,14.872900147865792
2013-11-29,14.981611025414953
2013-12-02,15.064668047263941
2013-12-03,15.133507558431933
2013-12-04,15.148729919595857
2013-12-05,15.19635998545616
2013-12-06,15.326749517736399
2013-12-09,15.474563891994197
2013-12-10,15.605728642463053
2013-12-11,15.747530414250907
2013-12-12,15.805861178885127
2013-12-13,15.786428980055058
2013-12-16,15.720960897238843
2013-12-17,15.624168421936787
2013-12-18,15.513063922245337
2013-12-19,15.371188754551913
2013-12-20,15.228785427152527
2013-12-23,15.01221713556196
2013-12-24,14.752633457050592
2013-12-25,14.422049673610626
2013-12-26,14.053377997099986
2013-12-27,13.77033750361222
2013-12-30,13.61223350770579
2013-12-31,13.487213268741666
2014-01-02,13.332229625883537
2014-01-03,13.152495284393542
2014-01-06,12.972760942903543
2014-01-07,12.787522515883104
2014-01-08,12.59504716967097
2014-01-09,12.43480180121978
2014-01-10,12.34882812861056
2014-01-13,12.260972878612622
2014-01-14,12.17979581821645
2014-01-15,12.072749709467784
2014-01-16,12.094151787480369
2014-01-17,12.154697926523061
2014-01-20,12.16385935145653
2014-01-21,12.173270080297078
2014-01-22,12.080724700593697
2014-01-23,11.981380434911413
2014-01-24,11.866465663514644
2014-01-27,11.709266374381171
2014-01-28,11.530834043457144
2014-01-29,11.30855555653751
2014-01-30,11.119577908175781
2014-02-07,11.054207348178284
2014-02-10,11.032708507483006
2014-02-11,11.000468654245271
2014-02-12,11.068615326802291
2014-02-13,11.146010339696621
2014-02-14,11.226238011271423
2014-02-17,11.269124223851701
2014-02-18,11.34188834552818
2014-02-19,11.37335779796863
2014-02-20,11.405258975920015
2014-02-21,11.44269116515708
2014-02-24,11.543333606226216
2014-02-25,11.672069672551704
2014-02-26,11.796772825646537
2014-02-27,11.878124896217514
2014-02-28,11.982901320289635
2014-03-03,12.097552480912976
2014-03-04,12.12773471409111
2014-03-05,12.160777447561662
2014-03-06,12.178132604211253
2014-03-07,12.28988882980765
2014-03-10,12.463600413955817
2014-03-11,12.624163108390073
2014-03-12,12.791385796012333
2014-03-13,12.885427947533127
2014-03-14,12.99650937693788
2014-03-17,13.10247379531219
2014-03-18,13.252027600431086
2014-03-19,13.435657266306553
2014-03-20,13.641376398879796
2014-03-21,13.848958235424584
2014-03-24,14.037155735134622
2014-03-25,14.215787938287239
2014-03-26,14.347043967047304
2014-03-27,14.488998282553599
2014-03-28,14.622177819915711
2014-03-31,14.712108257192904
2014-04-01,14.843228442006296
2014-04-02,14.983610800243966
2014-04-03,15.116333574181482
2014-04-04,15.242694184377982
2014-04-08,15.350600844532963
2014-04-09,15.45912396181122
2014-04-10,15.569537904918395
2014-04-11,15.679800939804531
2014-04-14,15.854226301931075
2014-04-15,16.111061150788355
2014-04-16,16.3700004109966
2014-04-17,16.627194478786244
2014-04-18,16.93139297118465
2014-04-21,17.260041267624064
2014-04-22,17.57514796360168
2014-04-23,17.90324975416089
2014-04-24,18.26692098535691
2014-04-25,18.624171171466507
2014-04-28,19.038514861115512
2014-04-29,19.37557310505394
2014-04-30,19.65446697481657
2014-05-05,19.880777425988335
2014-05-06,20.1214071616796
2014-05-07,20.380627865690663
2014-05-08,20.654508018525544
2014-05-09,21.003262223417572
2014-05-12,21.365494079615065
2014-05-13,21.701544563561075
2014-05-14,22.028076614312106
2014-05-15,22.35764298174508
2014-05-16,22.67625853660627
2014-05-19,22.99359373056516
2014-05-20,23.22564461532289
2014-05-21,23.416294143937286
2014-05-22,23.66160177172025
2014-05-23,23.915180045058058
2014-05-26,24.36185364359847
2014-05-27,24.74163196842287
2014-05-28,25.135590673579845
2014-05-29,25.55341402548923
