date,FCT_Dmi_Adxr@80
2012-12-28,
2012-12-31,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-30,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,11.7601934490331
2014-01-02,11.798148832439136
2014-01-03,11.845818911811813
2014-01-06,11.90087740534437
2014-01-07,11.911004602380766
2014-01-08,11.899633639524282
2014-01-09,11.902920845272096
2014-01-10,11.930118683827889
2014-01-13,11.9461123562585
2014-01-14,11.962103460271688
2014-01-15,11.942897900916147
2014-01-16,11.964859472815839
2014-01-17,11.994886539196822
2014-01-20,12.006041825798665
2014-01-21,12.018972016450315
2014-01-22,11.98561152723175
2014-01-23,11.958733799325756
2014-01-24,11.956060825113472
2014-01-27,11.951449869345321
2014-01-28,11.954223078108608
2014-01-29,11.941419771063718
2014-01-30,11.951111765375476
2014-02-07,12.010424684113257
2014-02-10,12.097577093550214
2014-02-11,12.155092356201976
2014-02-12,12.225413258653953
2014-02-13,12.303868247313055
2014-02-14,12.393975758143805
2014-02-17,12.457714649665757
2014-02-18,12.544383027097648
2014-02-19,12.571180141380523
2014-02-20,12.593281268374145
2014-02-21,12.618001947255118
2014-02-24,12.632340856067204
2014-02-25,12.685581292612527
2014-02-26,12.745795511900704
2014-02-27,12.785306406321507
2014-02-28,12.846399362212649
2014-03-03,12.920687323660404
2014-03-04,12.969284349291193
2014-03-05,13.015206059144525
2014-03-06,13.064454067990873
2014-03-07,13.157171779233494
2014-03-10,13.271349527592925
2014-03-11,13.404950917380678
2014-03-12,13.541938085147411
2014-03-13,13.661434294836237
2014-03-14,13.768736779954159
2014-03-17,13.859733422504124
2014-03-18,13.939462121865342
2014-03-19,14.016509781652132
2014-03-20,14.115063232817214
2014-03-21,14.206099107176879
2014-03-24,14.28461150405685
2014-03-25,14.36453674004134
2014-03-26,14.49206859813344
2014-03-27,14.631339574461858
2014-03-28,14.747538983890752
2014-03-31,14.84685964130393
2014-04-01,14.953948244635118
2014-04-02,15.05855917933795
2014-04-03,15.13253174688867
2014-04-04,15.219527084917072
2014-04-08,15.33867518113468
2014-04-09,15.466843926902708
2014-04-10,15.587633273690724
2014-04-11,15.71366567702772
2014-04-14,15.830043740408101
2014-04-15,15.948745065421708
2014-04-16,16.04548065411772
2014-04-17,16.125681450361515
2014-04-18,16.222228446714993
2014-04-21,16.31561501108799
2014-04-22,16.401966695377105
2014-04-23,16.457733444861425
2014-04-24,16.509777221203752
2014-04-25,16.523110422538565
2014-04-28,16.54594642910775
2014-04-29,16.57295530433308
2014-04-30,16.63335024126118
2014-05-05,16.683995347365
2014-05-06,16.726818393781567
2014-05-07,16.766561575042104
2014-05-08,16.813634480714544
2014-05-09,16.895392369650338
2014-05-12,16.98027062464302
2014-05-13,17.068173182390428
2014-05-14,17.18845237146133
2014-05-15,17.30930793017885
2014-05-16,17.42802717741136
2014-05-19,17.533171720016473
2014-05-20,17.659898201401628
2014-05-21,17.785496035230175
2014-05-22,17.91273056158839
2014-05-23,18.04422506267757
2014-05-26,18.221289172096082
2014-05-27,18.36150620166714
2014-05-28,18.501028168547244
2014-05-29,18.6313401999352
2014-05-30,18.778428170033546
2014-06-03,18.91954666220633
2014-06-04,19.076310166111455
2014-06-05,19.1754252337129
2014-06-06,19.248618932678422
2014-06-09,19.33942970946018
2014-06-10,19.451846727117868
2014-06-11,19.578114324350032
2014-06-12,19.715442021330347
2014-06-13,19.856388100567564
2014-06-16,20.022822988600655
2014-06-17,20.156584702769614
2014-06-18,20.258350995946977
2014-06-19,20.36648424701382
2014-06-20,20.497471992819065
2014-06-23,20.63874819536975
2014-06-24,20.75916146095358
2014-06-25,20.862105278734095
2014-06-26,20.98374006581936
2014-06-27,21.120103702182995
2014-06-30,21.242176875035813
2014-07-01,21.3145051315746
2014-07-02,21.37499572193674
2014-07-03,21.449129945133432
2014-07-04,21.512340379409157
2014-07-07,21.56722361624253
2014-07-08,21.623303439082132
2014-07-09,21.651687552594296
2014-07-10,21.70921892028997
2014-07-11,21.78458587516233
2014-07-14,21.868911971688114
2014-07-15,21.952925747050426
2014-07-16,22.023973564062644
2014-07-17,22.09216878219204
2014-07-18,22.154705007337128
2014-07-21,22.193627708902767
2014-07-22,22.21085303209372
