underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
RM,2012-12-28,RM1305,2430.0,2398.0,2458.0,2385.0,0,421116.0,2360.0,2410.0,2360.0,44712.0,2549.0,2170.0,2430.0
RM,2012-12-31,RM1305,2399.0,2340.0,2399.0,2336.0,0,237194.0,2398.0,2365.0,2410.0,39290.0,2507.0,2313.0,2399.0
RM,2013-01-04,RM1305,2322.0,2370.0,2380.0,2316.0,0,193882.0,2340.0,2362.0,2365.0,38458.0,2460.0,2270.0,2322.0
RM,2013-01-07,RM1305,2365.0,2455.0,2457.0,2360.0,0,406060.0,2370.0,2438.0,2362.0,64538.0,2457.0,2267.0,2365.0
RM,2013-01-08,RM1305,2470.0,2480.0,2500.0,2438.0,0,899582.0,2455.0,2478.0,2438.0,77626.0,2536.0,2340.0,2470.0
RM,2013-01-09,RM1305,2488.0,2478.0,2514.0,2472.0,0,696804.0,2480.0,2498.0,2478.0,94100.0,2578.0,2378.0,2488.0
RM,2013-01-10,RM1305,2473.0,2462.0,2490.0,2459.0,0,591086.0,2478.0,2474.0,2498.0,96660.0,2598.0,2398.0,2473.0
RM,2013-01-11,RM1305,2465.0,2509.0,2525.0,2463.0,0,1621470.0,2462.0,2508.0,2474.0,165614.0,2573.0,2375.0,2465.0
RM,2013-01-14,RM1305,2527.0,2541.0,2548.0,2505.0,0,1299760.0,2509.0,2528.0,2508.0,150852.0,2609.0,2407.0,2527.0
RM,2013-01-15,RM1305,2549.0,2562.0,2618.0,2542.0,0,1674334.0,2541.0,2584.0,2528.0,178192.0,2630.0,2426.0,2549.0
RM,2013-01-16,RM1305,2565.0,2586.0,2595.0,2542.0,0,1070868.0,2562.0,2572.0,2584.0,192280.0,2688.0,2480.0,2565.0
RM,2013-01-17,RM1305,2602.0,2571.0,2612.0,2565.0,0,815406.0,2586.0,2584.0,2572.0,162682.0,2675.0,2469.0,2602.0
RM,2013-01-18,RM1305,2580.0,2573.0,2612.0,2561.0,0,947392.0,2571.0,2585.0,2584.0,147836.0,2688.0,2480.0,2580.0
RM,2013-01-21,RM1305,2575.0,2573.0,2591.0,2562.0,0,568840.0,2573.0,2576.0,2585.0,137418.0,2689.0,2481.0,2575.0
RM,2013-01-22,RM1305,2574.0,2591.0,2595.0,2574.0,0,543526.0,2573.0,2586.0,2576.0,146734.0,2680.0,2472.0,2574.0
RM,2013-01-23,RM1305,2591.0,2576.0,2604.0,2573.0,0,411626.0,2591.0,2590.0,2586.0,132690.0,2690.0,2482.0,2591.0
RM,2013-01-24,RM1305,2569.0,2493.0,2569.0,2486.0,0,771526.0,2576.0,2518.0,2590.0,152044.0,2694.0,2486.0,2569.0
