date,FCT_Cci@120
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,-92.4090584575821
2010-07-05,-81.55700660466442
2010-07-06,-84.01826612057731
2010-07-07,-71.49949056444039
2010-07-08,-53.960202132363065
2010-07-09,-49.67506322724033
2010-07-12,-74.5710855568864
2010-07-13,-103.46664242821863
2010-07-14,-96.91538043865712
2010-07-15,-86.58423670666163
2010-07-16,-75.27080113607606
2010-07-19,-83.72752212304081
2010-07-20,-66.41286266432073
2010-07-21,-57.88487680563095
2010-07-22,-63.22217296297756
2010-07-23,-19.24996569452
2010-07-26,-22.312350857601064
2010-07-27,-31.122219500979064
2010-07-28,-0.4142457475713182
2010-07-29,32.45070189688035
2010-07-30,46.143495235896545
2010-08-02,82.46051586220281
2010-08-03,81.4391662823073
2010-08-04,93.9303831343127
2010-08-05,86.61937392660887
2010-08-06,85.58449619630717
2010-08-09,94.74466692675752
2010-08-10,99.41270727142171
2010-08-11,88.99700095924352
2010-08-12,68.30292857012462
2010-08-13,85.48204947093281
2010-08-16,84.31500283047919
2010-08-17,107.55060887360489
2010-08-18,122.94100324509456
2010-08-19,137.4733720305378
2010-08-20,120.55322302855572
2010-08-23,107.65655971463123
2010-08-24,77.82201011299813
2010-08-25,80.58057639771623
2010-08-26,118.47899942629407
2010-08-27,123.91919647582696
2010-08-30,135.3953407087488
2010-08-31,112.49719392327256
2010-09-01,124.9683491090344
2010-09-02,142.90916529575685
2010-09-03,145.44344263886853
2010-09-06,154.5221118388064
2010-09-07,145.5655643389567
2010-09-08,144.60766485083747
2010-09-09,111.84737854437597
2010-09-10,88.02150751645657
2010-09-13,93.82311700184094
2010-09-14,91.88689252205789
2010-09-15,78.99024157956902
2010-09-16,67.90775627202216
2010-09-17,90.27141086675351
2010-09-20,122.92591628227429
2010-09-21,129.59921420466708
2010-09-27,133.80931529631954
2010-09-28,120.78673506940456
2010-09-29,127.38873883541521
2010-09-30,125.769898317355
2010-10-08,154.03639097603707
2010-10-11,201.51321934134936
2010-10-12,214.79631128425513
2010-10-13,250.61271734808503
2010-10-14,280.72374265028236
2010-10-15,283.1898987782853
2010-10-18,266.04621675047116
2010-10-19,271.6879490401578
2010-10-20,245.9936768666528
2010-10-21,231.92544973183234
2010-10-22,213.03668345720496
2010-10-25,235.90533902981142
2010-10-26,237.49091875419245
2010-10-27,200.74820489377595
2010-10-28,199.20274401042008
2010-10-29,170.91957858748472
2010-11-01,175.58812862700532
2010-11-02,179.4928542136902
2010-11-03,194.11122575505573
2010-11-04,212.5033769776651
2010-11-05,237.19962324517027
2010-11-08,250.74346665668452
2010-11-09,259.8328959087935
2010-11-10,267.96816169480144
2010-11-11,251.40811805753586
2010-11-12,211.17008491139606
2010-11-15,166.28943307010067
2010-11-16,160.1640721142529
2010-11-17,133.19176880710089
2010-11-18,131.2920277259183
2010-11-19,145.61059386971354
2010-11-22,136.91493683502117
2010-11-23,115.77998720741344
2010-11-24,103.27476340335052
2010-11-25,94.05689599345719
2010-11-26,74.57305399255605
2010-11-29,66.77902725708611
2010-11-30,66.48518632792
2010-12-01,75.87336364886748
2010-12-02,86.24935417835762
2010-12-03,90.51948680353794
2010-12-06,99.73507843395907
2010-12-07,99.74969395589622
2010-12-08,90.19487482769586
2010-12-09,98.6958342023078
2010-12-10,103.01062506082032
2010-12-13,122.97061715997259
2010-12-14,132.13649346264395
2010-12-15,120.95633745612609
2010-12-16,116.82645191867381
2010-12-17,128.27701885024777
2010-12-20,145.92845451503652
2010-12-21,146.7234855583799
2010-12-22,136.05018548745522
2010-12-23,134.91286192342633
2010-12-24,133.75458858993656
2010-12-27,132.00555562286652
2010-12-28,116.97819586614865
2010-12-29,110.55311640210412
2010-12-30,109.80692775509199
2010-12-31,116.8122816671412
2011-01-04,125.30662170653677
2011-01-05,128.57283554946162
2011-01-06,135.80207366570085
2011-01-07,115.51122603196771
2011-01-10,112.3076350835375
2011-01-11,116.21825384564022
2011-01-12,125.6644371419362
2011-01-13,122.50838068791192
2011-01-14,121.4082367601392
2011-01-17,121.68502977478742
2011-01-18,115.75337049893632
2011-01-19,134.097364545529
2011-01-20,141.84771287669008
2011-01-21,147.58340246051236
2011-01-24,148.75108051884882
2011-01-25,134.34715010096104
2011-01-26,119.30539234132023
2011-01-27,137.39116209772124
2011-01-28,139.61347715292493
2011-01-31,146.32748890655373
2011-02-01,149.17410359044027
2011-02-09,162.8385251208945
2011-02-10,162.75365939696493
2011-02-11,158.12424510939564
2011-02-14,156.75943497923913
2011-02-15,144.88360017160696
2011-02-16,133.20587316581924
2011-02-17,131.5827167491242
2011-02-18,114.31991033262283
2011-02-21,107.90782246443612
2011-02-22,100.41385788175351
2011-02-23,88.88890230354838
2011-02-24,79.06257304555696
2011-02-25,69.4404006294834
2011-02-28,77.47641616576729
2011-03-01,84.5517274477324
2011-03-02,73.924609300204
2011-03-03,74.40200562224202
2011-03-04,60.92041758839749
2011-03-07,64.14629458870118
