date,FCT_Demark_Ref_1@40
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,0.4880586063890556
2010-03-10,0.483903721494951
2010-03-11,0.47285116575205416
2010-03-12,0.4472828254295304
2010-03-15,0.43829580239676963
2010-03-16,0.3882990639739966
2010-03-17,0.3824125085682509
2010-03-18,0.41937213836571074
2010-03-19,0.4259745225757506
2010-03-22,0.44829750493411896
2010-03-23,0.45565754973444805
2010-03-24,0.42786381669491713
2010-03-25,0.41535693441684035
2010-03-26,0.4496728784685619
2010-03-29,0.48515723596108506
2010-03-30,0.4906965553958893
2010-03-31,0.4898909166876415
2010-04-01,0.49173401387898236
2010-04-02,0.5244563988969762
2010-04-06,0.5338653432303427
2010-04-07,0.5871006500069759
2010-04-08,0.5788570997119228
2010-04-09,0.5639696603986372
2010-04-12,0.5717511688866994
2010-04-13,0.6236011667359734
2010-04-14,0.6160783256135639
2010-04-15,0.6326264427024291
2010-04-16,0.6139967740753887
2010-04-19,0.5717950237195746
2010-04-20,0.5154610696992137
2010-04-21,0.47455723143521406
2010-04-22,0.4820174989475599
2010-04-23,0.45745225463758565
2010-04-26,0.4589261436658915
2010-04-27,0.46743337077337543
2010-04-28,0.42077818099312697
2010-04-29,0.4262428687856562
2010-04-30,0.42903487429034876
2010-05-04,0.42352941176470627
2010-05-05,0.42439024390243935
2010-05-06,0.37571545380212584
2010-05-07,0.37849898580121694
2010-05-10,0.3636009353078719
2010-05-11,0.3825636942675159
2010-05-12,0.3863187030446814
2010-05-13,0.4113684210526312
2010-05-14,0.4215265866209261
2010-05-17,0.38117748173614097
2010-05-18,0.3362247005369681
2010-05-19,0.3486015403323875
2010-05-20,0.3633122028526148
2010-05-21,0.38418530351437696
2010-05-24,0.3809900990099009
2010-05-25,0.3620408163265302
2010-05-26,0.34902124114952066
2010-05-27,0.35837438423645285
2010-05-28,0.3804127883447992
2010-05-31,0.3996730690641598
2010-06-01,0.39387837293596417
2010-06-02,0.378123719786972
2010-06-03,0.30201066885514916
2010-06-04,0.30201066885514916
2010-06-07,0.3000407664084787
2010-06-08,0.28102329133256904
2010-06-09,0.2584050039093034
2010-06-10,0.2848344880677437
2010-06-11,0.2948766603415556
2010-06-17,0.30516080777860854
2010-06-18,0.34236910508726276
2010-06-21,0.3666003976143136
2010-06-22,0.3945267958950965
2010-06-23,0.38458095774353207
2010-06-24,0.4019502896441108
2010-06-25,0.4090364944552291
2010-06-28,0.4018137875644336
2010-06-29,0.43989509201359844
2010-06-30,0.4417262476138295
2010-07-01,0.4298194184591431
2010-07-02,0.4468275495881129
2010-07-05,0.4468275495881129
2010-07-06,0.4751947979779311
2010-07-07,0.4699302593690319
2010-07-08,0.4997427905118621
2010-07-09,0.5110587357918993
2010-07-12,0.5220530669548973
2010-07-13,0.4960314824919778
2010-07-14,0.47547231550676694
2010-07-15,0.4932592505530291
2010-07-16,0.537987882964025
2010-07-19,0.5307650130309388
2010-07-20,0.512275431565104
2010-07-21,0.5158522095858089
2010-07-22,0.5339124810591492
2010-07-23,0.5018308013317995
2010-07-26,0.5372463055975605
2010-07-27,0.5236806589908166
2010-07-28,0.49959136013965044
2010-07-29,0.5156251130097951
2010-07-30,0.5410917037876558
2010-08-02,0.5522109830647919
2010-08-03,0.6276574854420345
2010-08-04,0.6276574854420345
2010-08-05,0.6528643934182745
2010-08-06,0.7032077878563872
2010-08-09,0.7044233486619623
2010-08-10,0.6977049977792413
2010-08-11,0.6958173037115722
2010-08-12,0.674128135887707
2010-08-13,0.6304389448865867
2010-08-16,0.6450792702032085
2010-08-17,0.6238525450493317
2010-08-18,0.649115205569192
2010-08-19,0.6588227741322923
2010-08-20,0.659013467508921
2010-08-23,0.6420595503464696
2010-08-24,0.6164739297990501
2010-08-25,0.6219252027029759
2010-08-26,0.6378930318041461
2010-08-27,0.6672670683636759
2010-08-30,0.6700377902423835
2010-08-31,0.6732716599703648
2010-09-01,0.6533057572020189
2010-09-02,0.6573449634600872
2010-09-03,0.6536284385395227
2010-09-06,0.656979724342181
2010-09-07,0.7029443271975386
2010-09-08,0.7327187358587419
2010-09-09,0.7347227879574404
2010-09-10,0.6679540126731067
2010-09-13,0.6594386119786825
2010-09-14,0.6694932147255942
2010-09-15,0.660643417576796
2010-09-16,0.6402042304287734
2010-09-17,0.6427877051652174
2010-09-20,0.6357562020998285
2010-09-21,0.661514541768793
2010-09-27,0.6755657852344679
2010-09-28,0.6731236113440372
2010-09-29,0.643743844465763
2010-09-30,0.6407942106073494
2010-10-08,0.6111235708386247
2010-10-11,0.6462031143835143
2010-10-12,0.6703176296880958
2010-10-13,0.681147938372555
2010-10-14,0.7071355344454858
2010-10-15,0.7256484990219267
2010-10-18,0.7257027526221499
2010-10-19,0.730413959142281
2010-10-20,0.7690407425813174
2010-10-21,0.7459977745881645
2010-10-22,0.744385456620141
2010-10-25,0.7384405098289099
2010-10-26,0.754237836629612
2010-10-27,0.7559165781247286
2010-10-28,0.716272039500498
2010-10-29,0.7210809533673381
2010-11-01,0.7209116825722404
2010-11-02,0.7213264147594474
2010-11-03,0.7150619656894507
2010-11-04,0.726041972639442
2010-11-05,0.7358766339265456
2010-11-08,0.764044884382958
2010-11-09,0.7839142696107365
2010-11-10,0.7876986808783681
2010-11-11,0.7930476645055963
2010-11-12,0.7845283497408455
2010-11-15,0.7569318996585616
2010-11-16,0.6858897047611908
2010-11-17,0.7104485216742694
2010-11-18,0.6939237423686722
2010-11-19,0.6790353075191555
2010-11-22,0.689395206449731
2010-11-23,0.6969659807194775
2010-11-24,0.6772257655646073
2010-11-25,0.6475586278973269
2010-11-26,0.6344685937120577
2010-11-29,0.6140348216163197
2010-11-30,0.592571848380115
2010-12-01,0.5969395351497175
2010-12-02,0.601899488221631
2010-12-03,0.6084593466025148
2010-12-06,0.598417871726698
2010-12-07,0.5912512040944424
2010-12-08,0.5831056982731511
2010-12-09,0.5629247562931254
2010-12-10,0.5507119864063581
2010-12-13,0.553860741335071
2010-12-14,0.578067468554105
2010-12-15,0.5718611546456089
2010-12-16,0.5710993397408598
2010-12-17,0.5653451225779774
2010-12-20,0.5787016925172508
2010-12-21,0.5837973774025509
