date,Amihud@80
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-28,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,9.351688428198928e-08
2018-07-24,8.976835067126996e-08
2018-07-25,8.470561359258063e-08
2018-07-26,8.445117939447739e-08
2018-07-27,7.932644363456185e-08
2018-07-30,7.525552303116381e-08
2018-07-31,6.778245730861998e-08
2018-08-01,6.809325411448173e-08
2018-08-02,6.652549197385901e-08
2018-08-03,6.193128671958954e-08
2018-08-06,6.048202865792791e-08
2018-08-07,5.959229179875673e-08
2018-08-08,5.969186904914212e-08
2018-08-09,6.0777980585634e-08
2018-08-10,6.138302426141698e-08
2018-08-13,6.144171966139651e-08
2018-08-14,5.86658591586691e-08
2018-08-15,5.770404216536149e-08
2018-08-16,5.739911044315465e-08
2018-08-17,5.516067144412038e-08
2018-08-20,5.294258853011356e-08
2018-08-21,5.243344284902091e-08
2018-08-22,5.212705134462637e-08
2018-08-23,5.180598651149757e-08
2018-08-24,5.124440426201988e-08
2018-08-27,5.131068475750805e-08
2018-08-28,4.9062421793970566e-08
2018-08-29,4.920713338304938e-08
2018-08-30,4.9632365095436596e-08
2018-08-31,4.7941488910062405e-08
2018-09-03,4.7393865637160604e-08
2018-09-04,4.6788258616842405e-08
2018-09-05,4.5678116221686897e-08
2018-09-06,4.574836458895586e-08
2018-09-07,4.492419166313229e-08
2018-09-10,4.486953732834505e-08
2018-09-11,4.428615217690151e-08
2018-09-12,4.454240647067606e-08
2018-09-13,4.4665614561318815e-08
2018-09-14,4.521705941948448e-08
2018-09-17,4.4272701115186246e-08
2018-09-18,4.310781193240913e-08
2018-09-19,4.334154035857649e-08
2018-09-20,4.383003137632848e-08
2018-09-21,4.3173327204937584e-08
2018-09-25,4.645328109797725e-08
2018-09-26,4.638388216156147e-08
2018-09-27,4.6057395664852794e-08
2018-09-28,4.645793469766371e-08
2018-10-08,4.853739304655085e-08
2018-10-09,4.9460326760669116e-08
2018-10-10,4.961480425262705e-08
2018-10-11,5.023989822651047e-08
2018-10-12,4.93668657904866e-08
2018-10-15,4.894540520669287e-08
2018-10-16,4.958494683972956e-08
2018-10-17,4.754169296768758e-08
2018-10-18,4.767836697214871e-08
2018-10-19,4.74927572356318e-08
2018-10-22,4.790948657895385e-08
2018-10-23,4.7447921719342175e-08
2018-10-24,4.7733598794300785e-08
2018-10-25,4.6528746295355887e-08
2018-10-26,4.6084042966720117e-08
2018-10-29,4.5856097910561025e-08
2018-10-30,4.572359946440785e-08
2018-10-31,4.596182398952575e-08
2018-11-01,4.628119232593367e-08
2018-11-02,4.689225163524996e-08
2018-11-05,4.684264662518281e-08
2018-11-06,4.6788195070102393e-08
2018-11-07,4.667939491411113e-08
2018-11-08,4.6793447643214534e-08
2018-11-09,4.6328109548500594e-08
2018-11-12,4.642224079030066e-08
2018-11-13,4.763088894660846e-08
2018-11-14,4.796000535985782e-08
2018-11-15,4.798222500498222e-08
2018-11-16,4.779237982648329e-08
2018-11-19,4.788645648783851e-08
2018-11-20,4.8158600514440815e-08
2018-11-21,4.8677714720450844e-08
2018-11-22,4.8012158130890814e-08
2018-11-23,4.853939853133527e-08
2018-11-26,5.0772600105685054e-08
2018-11-27,5.042935184272162e-08
2018-11-28,5.03349383768231e-08
2018-11-29,5.008598257079725e-08
2018-11-30,5.049116595534153e-08
2018-12-03,5.0071494154029796e-08
2018-12-04,4.959579130291571e-08
2018-12-05,4.7938596031301355e-08
2018-12-06,4.721012404905937e-08
2018-12-07,4.541586085829951e-08
2018-12-10,4.4062101063554116e-08
2018-12-11,4.3855484876565664e-08
2018-12-12,4.343986207227573e-08
2018-12-13,4.2999122150035984e-08
2018-12-14,4.211178789466574e-08
2018-12-17,4.230258885690587e-08
2018-12-18,4.333341177074824e-08
2018-12-19,4.405726894870515e-08
2018-12-20,4.347654088022205e-08
2018-12-21,4.373788069386064e-08
2018-12-24,4.3709464547077656e-08
2018-12-25,4.567578214411009e-08
2018-12-26,4.577647353468496e-08
2018-12-27,4.683330056212555e-08
2018-12-28,4.601818417285152e-08
2019-01-02,4.763090338523207e-08
2019-01-03,4.8152286614462726e-08
2019-01-04,4.849273612838194e-08
2019-01-07,4.873851011326131e-08
2019-01-08,4.872957947646234e-08
2019-01-09,4.909521929049911e-08
2019-01-10,4.87296551240937e-08
2019-01-11,4.90280081647345e-08
2019-01-14,4.8829731273794815e-08
2019-01-15,4.873663965829788e-08
2019-01-16,4.856061500885698e-08
2019-01-17,4.8542935354162265e-08
2019-01-18,4.8538661936179085e-08
2019-01-21,4.847962873986624e-08
2019-01-22,4.8321348838173815e-08
2019-01-23,4.812242313321483e-08
2019-01-24,4.499497153836547e-08
2019-01-25,4.487052704846016e-08
2019-01-28,4.524607380994212e-08
2019-01-29,4.4988458419138345e-08
2019-01-30,4.335904714906875e-08
2019-01-31,4.274192244697976e-08
2019-02-01,4.325406199860102e-08
2019-02-11,4.471867092278219e-08
2019-02-12,4.49381445203222e-08
2019-02-13,4.5399298813629605e-08
2019-02-14,4.556635625181935e-08
2019-02-15,4.5417822136029256e-08
2019-02-18,4.635013020506397e-08
2019-02-19,4.617216612786755e-08
2019-02-20,4.6194986577688706e-08
2019-02-21,4.5937308783354845e-08
2019-02-22,4.4982232712988766e-08
2019-02-25,4.574845221974386e-08
2019-02-26,4.694692655758752e-08
2019-02-27,4.738118010692547e-08
2019-02-28,4.705944432028743e-08
2019-03-01,4.77448857760312e-08
2019-03-04,4.7988148776095645e-08
2019-03-05,4.745258346871823e-08
2019-03-06,4.771812074333081e-08
2019-03-07,4.7656091908769565e-08
2019-03-08,4.731858526768462e-08
2019-03-11,4.72199276011963e-08
2019-03-12,4.704275204448757e-08
2019-03-13,4.695699677260792e-08
2019-03-14,4.643939343265987e-08
2019-03-15,4.525679685119505e-08
2019-03-18,4.618112241854086e-08
2019-03-19,4.712699753241108e-08
2019-03-20,4.6467627685155554e-08
2019-03-21,4.6400956992472904e-08
2019-03-22,4.572120639828939e-08
2019-03-25,4.646627498134552e-08
2019-03-26,4.640603132146687e-08
2019-03-27,4.4287090845784196e-08
2019-03-28,4.476103420473049e-08
2019-03-29,4.475238232367096e-08
2019-04-01,4.4344299837103355e-08
2019-04-02,4.4677899191025003e-08
2019-04-03,4.4275665132701285e-08
2019-04-04,4.4555880273798054e-08
2019-04-08,4.626544759262974e-08
2019-04-09,4.630762020033555e-08
2019-04-10,4.609374600244817e-08
2019-04-11,4.568986178255148e-08
2019-04-12,4.5537866218138325e-08
2019-04-15,4.535904674160442e-08
2019-04-16,4.580857412870068e-08
2019-04-17,4.8922987345942907e-08
2019-04-18,4.9175188600056294e-08
2019-04-19,4.820347317868251e-08
2019-04-22,4.878111114547577e-08
2019-04-23,4.94751554272507e-08
2019-04-24,4.9076538857212816e-08
2019-04-25,4.950189142973107e-08
2019-04-26,4.825176917430203e-08
2019-04-29,4.8970722245977315e-08
2019-04-30,4.8080910184575775e-08
2019-05-06,5.178572728341072e-08
2019-05-07,5.137117888270861e-08
2019-05-08,5.081311143913501e-08
2019-05-09,5.0243224819973355e-08
2019-05-10,5.0285863828898346e-08
2019-05-13,5.107784089655684e-08
2019-05-14,5.051354056589488e-08
2019-05-15,5.073336654732008e-08
2019-05-16,5.0943530110383916e-08
2019-05-17,5.088400406587556e-08
2019-05-20,5.172871007470949e-08
2019-05-21,5.2368743697019645e-08
2019-05-22,5.270397426801185e-08
2019-05-23,5.342344035248646e-08
2019-05-24,5.43165027230658e-08
2019-05-27,5.41983456171254e-08
2019-05-28,5.488029138392962e-08
2019-05-29,5.4823105694910155e-08
2019-05-30,5.470767484337453e-08
2019-05-31,5.6033571910289304e-08
2019-06-03,5.738649668045228e-08
2019-06-04,5.743951373769142e-08
2019-06-05,5.703804416768731e-08
2019-06-06,5.686786421395943e-08
2019-06-10,6.059962680377836e-08
2019-06-11,6.06367739122977e-08
2019-06-12,6.091200099447086e-08
2019-06-13,6.031036079988066e-08
2019-06-14,6.023678909127086e-08
2019-06-17,5.8726556180588534e-08
2019-06-18,6.032827549098159e-08
2019-06-19,6.06690694402843e-08
2019-06-20,6.109531518783727e-08
2019-06-21,6.146041141659585e-08
2019-06-24,6.139602537393851e-08
2019-06-25,6.062066169633903e-08
2019-06-26,6.084705807937186e-08
2019-06-27,6.086230265397548e-08
2019-06-28,6.019333132820001e-08
2019-07-01,5.984525461054141e-08
2019-07-02,6.021815299505152e-08
2019-07-03,6.094191174125359e-08
2019-07-04,6.104143820907899e-08
2019-07-05,6.098132760685378e-08
2019-07-08,6.164585070720933e-08
2019-07-09,6.12392887699507e-08
2019-07-10,6.137468178558433e-08
2019-07-11,6.215565357319355e-08
2019-07-12,6.228199285006133e-08
2019-07-15,6.152909831353785e-08
2019-07-16,6.061973871428451e-08
2019-07-17,6.705184263921277e-08
2019-07-18,6.79071945509585e-08
2019-07-19,6.81438031391583e-08
2019-07-22,6.749065704482496e-08
2019-07-23,6.723310220225936e-08
2019-07-24,6.718240117588828e-08
2019-07-25,6.666673600868107e-08
2019-07-26,6.669501038535358e-08
2019-07-29,6.699081707052156e-08
2019-07-30,6.682520769029382e-08
2019-07-31,6.691879197204237e-08
2019-08-01,6.701019513894862e-08
2019-08-02,6.612631221914668e-08
2019-08-05,6.638284970830666e-08
2019-08-06,6.641469173164605e-08
2019-08-07,6.748988858882212e-08
2019-08-08,6.738018074840478e-08
2019-08-09,6.71882372005051e-08
2019-08-12,6.7256960668289e-08
2019-08-13,6.413029759559689e-08
2019-08-14,6.499972790890013e-08
2019-08-15,7.035638873449282e-08
2019-08-16,6.970860595110017e-08
2019-08-19,7.157125723145818e-08
2019-08-20,7.182674981010227e-08
2019-08-21,7.117344912100457e-08
2019-08-22,7.044462968361857e-08
2019-08-23,6.968960319659353e-08
2019-08-26,6.963730140471669e-08
2019-08-27,6.568239657986461e-08
2019-08-28,6.510241216589083e-08
2019-08-29,6.521368351876021e-08
2019-08-30,6.616811096417646e-08
2019-09-02,6.660544880794242e-08
2019-09-03,6.603835553771612e-08
2019-09-04,6.604806787133164e-08
2019-09-05,6.675961148281396e-08
2019-09-06,6.67498243033673e-08
2019-09-09,6.715426096306243e-08
2019-09-10,6.679001184847766e-08
2019-09-11,6.593284162632115e-08
2019-09-12,6.664824227651058e-08
2019-09-16,7.454871090056358e-08
2019-09-17,7.457561572111405e-08
2019-09-18,7.536202297140813e-08
2019-09-19,7.563537972950601e-08
2019-09-20,7.596497483699484e-08
2019-09-23,7.606826288036755e-08
2019-09-24,7.469206775736896e-08
2019-09-25,7.415850368055764e-08
2019-09-26,7.380872508011842e-08
2019-09-27,7.388354567637637e-08
2019-09-30,7.34883445196665e-08
2019-10-08,7.152417303087478e-08
2019-10-09,7.225590345820344e-08
2019-10-10,7.165117973105722e-08
2019-10-11,7.335402353924931e-08
2019-10-14,7.615188977314498e-08
2019-10-15,8.139455283456454e-08
2019-10-16,8.105807910488508e-08
2019-10-17,8.351957530114843e-08
2019-10-18,8.412980061715322e-08
2019-10-21,8.395257465591731e-08
2019-10-22,8.400898544753435e-08
2019-10-23,8.365447698427862e-08
2019-10-24,8.355288420435362e-08
2019-10-25,8.398681507483752e-08
2019-10-28,8.440953600911517e-08
2019-10-29,8.3943972712285e-08
2019-10-30,8.385291141460819e-08
2019-10-31,8.330244640828749e-08
2019-11-01,8.4262571298939e-08
2019-11-04,8.529625892942e-08
2019-11-05,8.591916753118234e-08
